Generation,Average_Fitness,Worst_Fit,Best_Fit
1,972.8694901306895,1024.237947225406,899.9242762775268
2,955.377199244072,996.7253475672964,889.8679387175472
3,942.7072896831257,977.980316023232,879.8052067547485
4,925.300654695786,961.0477164207812,865.3305264727411
5,913.7331132488692,943.8594325210071,863.4308488938525
6,897.5999612967731,927.4905483998291,852.3636143541614
7,882.0265078945794,911.459793423848,811.4873211350448
8,868.0648359931253,898.8625424760995,811.4873211350448
9,854.653272655332,877.3000229583404,798.0785526638163
10,842.8237133162168,868.8321653377055,719.4364586217374
11,826.0345675733738,857.549011144606,701.3795705115181
12,809.5755938584845,846.6283804772171,701.3795705115181
13,785.7999522231294,826.2867501843219,701.3795705115181
14,774.9286225517204,807.2584977618485,701.3795705115181
15,761.7146400764163,793.7315327790329,701.3795705115181
16,749.5997455581896,781.299204895248,689.6745391721972
17,735.3568200566806,759.5325522140465,689.6745391721972
18,720.264740677712,746.9925137079582,670.5622308757402
19,711.1398099116145,729.2561364677006,670.5622308757402
20,700.8069905601487,721.7607768748446,631.6786762347464
21,688.3491812781479,711.9259685647062,630.083127693625
22,671.9649368146041,700.0545128792069,628.4892224062488
23,659.5221809273461,685.2852409111371,627.0646942012737
24,649.1350359065653,669.4536113676886,626.0685123394774
25,636.6366562234597,656.4500200324882,593.2675859337744
26,629.4801632281462,649.1570494791442,593.2675859337744
27,618.857142766848,639.3670069232729,569.1506379330363
28,605.1515804999817,627.0646942012737,567.5702473981697
29,594.6240788202933,615.8358453131049,559.3013297225617
30,588.1482769724523,605.2917241609427,548.8907890591684
31,577.318199765486,595.2558106553131,543.4874250178627
32,570.1775224905975,588.6888727835083,533.2900890182325
33,560.024366174346,577.9903922498875,519.5343030972115
34,552.5923021734494,572.3928833043706,485.19941364618717
35,543.0183245409974,564.9883732578127,485.19941364618717
36,534.0648965346116,553.0353992104793,485.19941364618717
37,524.1827978387602,542.3191081253697,485.19941364618717
38,516.8759295177592,533.2900890182325,485.19941364618717
39,507.4918859118128,525.2801105216377,478.09189349725034
40,498.0315299390266,514.3262092057785,466.1390385178561
41,489.9220166576105,504.7695566556088,466.1390385178561
42,484.105680760375,495.2033870376237,462.6518159149843
43,478.5455759630988,491.2415449916032,455.39788588469725
44,472.7434187631162,484.274588962414,435.09734724373124
45,466.40538079480734,478.2466939675585,435.09734724373124
46,454.78154401066575,471.9497025989299,416.45518222029915
47,448.3113384131297,463.2696900354648,416.45518222029915
48,441.0941582201077,455.3718583521375,416.45518222029915
49,435.522179907995,447.59353429222256,413.60948417582614
50,425.866461862297,439.96269424214375,392.687736285109
51,420.3919424269076,433.7621346992571,392.687736285109
52,411.6059174033642,426.1305093230587,375.8763493750696
53,403.3416965869874,416.45518222029915,375.8763493750696
54,399.2893514284239,410.35277167138645,375.8763493750696
55,395.29998167789086,406.2783844059072,375.8763493750696
56,389.2783613570836,399.2455483768524,356.04211265683716
57,385.050073273527,393.8274205634089,356.04211265683716
58,380.7973464160389,389.07152920974835,356.04211265683716
59,376.53057212214463,384.87612252226756,353.8336404655286
60,372.0983753915663,381.8920677655549,353.65932799289504
61,367.83093155105786,377.32814476358857,353.65932799289504
62,362.2437177656094,372.23564422138054,337.8505605726891
63,355.4786733015755,366.62731102538913,327.92162872734446
64,351.9298560318023,361.17711540136804,327.35114473073827
65,348.0454578411539,356.36294256087103,327.35114473073827
66,344.3338230727081,353.8336404655286,327.35114473073827
67,339.43149296936383,349.25666041597304,316.20534474166385
68,335.208839331058,343.5055793247174,316.20534474166385
69,331.764428066387,339.77704428160183,316.20534474166385
70,328.0927075257494,335.8486709603376,307.0848147317179
71,325.46868580428514,334.1709649173108,307.0848147317179
72,321.96435585636175,329.42308423327773,307.0848147317179
73,319.62337658405744,326.4064602635381,299.53032412760774
74,316.57269162223156,322.9255360709414,299.270545876665
75,313.9484745501144,320.5516203627415,299.270545876665
76,310.8274579675601,317.28478499385693,299.270545876665
77,308.48462774133486,314.0086978725926,298.9205110673029
78,306.49384392760084,311.1849803665433,294.1052884689545
79,304.72866687453575,309.0727668276336,294.1052884689545
80,302.73446493147367,307.515850124042,289.1647106388077
81,300.0435802373446,305.3009532332257,289.1647106388077
82,296.8704780791645,302.5247214885132,285.7805414938395
83,293.950431952311,299.63565357621275,284.0717116704496
84,292.154439696418,296.50539887355205,282.18921508132513
85,288.82247498139924,294.35429028327553,275.38734744919225
86,287.40825381064946,292.8607077477902,275.38734744919225
87,285.3400690116278,290.6899795616979,275.38734744919225
88,283.8845083259872,288.8363283787749,275.38734744919225
89,282.22897584821385,287.2725931348335,275.38734744919225
90,280.8056404167124,285.7241711210178,273.37248078588766
91,278.8517212534744,283.5563718019206,260.4506707646551
92,276.50420159586264,280.78929716188344,260.4506707646551
93,275.18426793244356,279.55869468229764,260.4506707646551
94,273.85406512435054,278.50624744883066,260.4506707646551
95,271.95149320835066,276.6839385302647,260.4506707646551
96,270.4196484498001,275.1889064137871,260.4506707646551
97,268.73224733252044,273.4006128696311,260.27513390104536
98,266.99155704097063,270.77855413668823,257.2191960813979
99,266.0494734943427,270.17864242596835,257.2191960813979
100,265.0822142483572,269.0141589727125,257.2191960813979
101,264.25153783809185,268.32355660425867,257.2191960813979
102,263.1186056591208,266.4613704338718,257.2191960813979
103,262.094161896541,265.8543208553977,254.1258151603318
104,260.70187159415144,264.7612851224642,250.32318811179965
105,259.48365712412283,263.6178582094669,250.32318811179965
106,258.5781881144307,262.859444291101,250.32318811179965
107,257.8116317788891,261.0810464378454,250.32318811179965
108,256.6717919532035,259.9723224539012,248.72214241807956
109,256.11027550349485,259.30110100249,248.72214241807956
110,255.44156587172975,258.4825321871125,248.72214241807956
111,254.1022821955559,257.2474377470315,240.45782897891402
112,252.88725084802917,256.645702318534,240.45782897891402
113,251.9529729489112,255.89744416734865,240.45782897891402
114,250.99152262016025,254.1258151603318,240.45782897891402
115,250.14709950032568,253.5510631873452,240.45782897891402
116,248.9748030631485,252.0197769511241,240.45782897891402
117,247.96034664479077,250.77159302866676,240.45782897891402
118,247.61556053453947,250.44509632264686,240.45782897891402
119,246.9902016459989,250.0726333162575,240.45782897891402
120,246.44921471725112,249.74982981126158,240.45782897891402
121,245.68131756650928,248.42080128601557,240.45782897891402
122,245.28472747675835,247.34887138209072,240.45782897891402
123,244.58657401496836,246.37056983485573,240.45782897891402
124,244.30216740780585,245.99347720234368,239.36926246343234
125,243.8033161957757,245.64693095289792,239.36926246343234
126,243.5091024367415,245.27784881974836,239.36926246343234
127,243.07744162091316,244.80224261178208,238.3867026927488
128,242.61679245277537,244.57170449467725,237.60470947684868
129,242.15352919383713,243.9434221784111,237.60470947684868
130,241.67764370174262,243.4274364510791,237.60470947684868
131,241.47665081449995,243.07457146498177,237.60470947684868
132,241.1078359779649,242.75879326812236,237.60470947684868
133,240.7667804001003,242.33030525044853,237.0714081605957
134,240.347241360307,241.9637917664721,236.73594543216316
135,239.9316191155142,241.5660804467397,235.74873576453214
136,239.61303868637097,241.26803207373587,235.74873576453214
137,239.0620344560089,240.87708862615023,233.5900238526924
138,238.27295276723194,240.5716306849075,231.84982459586575
139,237.993086378448,240.2198247491519,231.84982459586575
140,237.68033076605053,239.7047251918649,231.84982459586575
141,236.92595852929256,239.19969417323497,231.52631910986617
142,236.30532097117234,238.7616076545579,231.52631910986617
143,235.7525038817368,238.2475331490606,231.52631910986617
144,235.22121111375083,237.60470947684868,229.58789921057326
145,234.64001122715558,236.8341280295554,229.58789921057326
146,234.17479804726315,236.46087250908457,229.58789921057326
147,233.51908295351367,235.67395183847478,229.58789921057326
148,233.0510914083759,235.14233987405112,228.51009503286008
149,232.54713490078043,234.75082825901703,228.51009503286008
150,231.97145932920384,233.96857209091309,227.72677685951905
151,231.7181762169215,233.63629589093782,227.72677685951905
152,231.39918621935357,233.15187780211576,227.72677685951905
153,231.1568532822456,232.68448382281395,227.72677685951905
154,230.89905830563094,232.36039255169513,227.72677685951905
155,230.45184972260435,232.23945496410892,225.790206175449
156,230.02814850285853,231.81083004246292,225.790206175449
157,229.71701554486117,231.33287905054942,225.790206175449
158,229.39824827679328,230.94229582691887,224.7708550683081
159,229.07639561509745,230.53983830480934,224.7708550683081
160,228.96871830709537,230.3527754727545,224.7708550683081
161,228.66917806858936,230.0399817711298,224.5113031595689
162,228.34943884147987,229.71903710869591,224.5113031595689
163,227.9963512285949,229.61465258552818,224.5113031595689
164,227.6196291068125,229.07484775926784,224.5113031595689
165,227.3621132395649,228.66790872222663,224.35387213382822
166,227.16373483001095,228.54060619204833,224.35387213382822
167,226.94310531955725,228.38052630670484,224.35387213382822
168,226.50974956249203,228.02681521408599,224.30608876659065
169,226.3498391462829,227.80410907476153,224.30608876659065
170,226.04693410827545,227.47669041136368,224.30608876659065
171,225.83558147052455,227.32338858212992,224.30608876659065
172,225.6385695834853,227.26195263347472,224.30608876659065
173,225.36943699521373,226.53712335539544,224.30608876659065
174,225.20108668463806,225.98657760269242,224.30608876659065
175,225.03397618315748,225.98589463900234,223.61776251389173
176,224.92354828216105,225.74780897205153,223.61776251389173
177,224.72304222340145,225.60962942021433,222.82478812375922
178,224.61149951249033,225.3997165823781,222.82478812375922
179,224.446827141016,225.072712826617,222.82478812375922
180,224.40304036132696,224.7708550683081,222.82478812375922
181,224.30202497648247,224.69011106140263,222.82478812375922
182,224.26602006946126,224.5113031595689,222.82478812375922
183,224.21622004952394,224.5113031595689,222.82478812375922
184,224.16696962701363,224.5113031595689,222.82478812375922
185,224.05603097552674,224.47299041819105,222.82478812375922
186,223.98738493576622,224.42854882586906,222.82478812375922
187,223.80324294511294,224.41919107174897,221.72148883038741
188,223.67474822693973,224.31823807397768,221.72148883038741
189,223.55991932272246,224.30888031985762,221.72148883038741
190,223.35498805617888,224.30888031985762,221.72148883038741
191,223.25088656319699,224.13284948000364,221.72148883038741
192,223.06744687283458,223.75653216485136,221.42616471729934
193,222.95601631926348,223.6893765599077,221.42616471729934
194,222.81709430898664,223.6893765599077,221.42616471729934
195,222.64895998029516,223.58469921586357,221.31516841465088
196,222.48491860938182,223.1304418526096,221.31516841465088
197,222.43688276407465,222.98164071264506,221.31516841465088
198,222.3461875420756,222.82478812375922,220.64001032198698
199,222.25389895532425,222.82478812375922,220.64001032198698
200,222.18780842407963,222.82478812375922,220.64001032198698
201,222.09887611310774,222.82478812375922,220.64001032198698
202,222.04214766821758,222.82478812375922,220.64001032198698
203,221.9367321488046,222.5384465320139,220.64001032198698
204,221.8675735867651,222.5384465320139,220.64001032198698
205,221.74774584124506,222.3146221338541,220.64001032198698
206,221.6500206649173,222.03548393117754,220.64001032198698
207,221.58432763457597,221.9698265807142,220.2113581663107
208,221.55094428019277,221.87834141927326,220.2113581663107
209,221.50796177115458,221.74330961535878,220.2113581663107
210,221.43233277325763,221.74330961535878,220.17140819255087
211,221.31589780030544,221.72148883038741,220.17140819255087
212,221.2224345577815,221.72148883038741,219.95482606018354
213,221.17613196112893,221.72148883038741,219.95482606018354
214,221.00860904647843,221.45696802361346,218.71857395700084
215,220.90031035312037,221.44761026949337,218.71857395700084
216,220.7722637364451,221.31516841465088,218.71857395700084
217,220.68471710721008,221.29075768060756,218.71857395700084
218,220.51743198284763,221.1453417394497,218.71857395700084
219,220.43597671506464,220.99543356751948,218.71857395700084
220,220.3314659451094,220.9696503859372,218.71857395700084
221,220.19309751010985,220.65884908661366,218.65096913521216
222,220.06651469569294,220.64001032198698,218.5421032249327
223,219.92817248789171,220.4709578596321,218.5421032249327
224,219.81924100170068,220.3282607814367,218.5421032249327
225,219.6338982827011,220.2973453997275,218.5421032249327
226,219.52425399078658,220.17140819255087,218.5421032249327
227,219.33907400430655,220.14049281084166,218.5421032249327
228,219.20206867621707,219.95482606018354,218.5421032249327
229,219.0217284012914,219.6112563448962,218.03248490216953
230,218.89421951552202,219.45440375601038,218.03248490216953
231,218.8385623333674,219.14722611267712,218.03248490216953
232,218.77210883593446,219.14722611267712,218.03248490216953
233,218.70943042460206,219.125668485088,218.03248490216953
234,218.63941378903095,218.87542654588665,218.03248490216953
235,218.6292179079705,218.71857395700084,218.03248490216953
236,218.6070852011554,218.71857395700084,218.03248490216953
237,218.59514486079556,218.71857395700084,218.03248490216953
238,218.57396837294738,218.71857395700084,218.03248490216953
239,218.56338012902333,218.71857395700084,218.03248490216953
240,218.50750623432307,218.71857395700084,217.8560141701014
241,218.45954928865638,218.71857395700084,217.8560141701014
242,218.42300057617177,218.5421032249327,217.8560141701014
243,218.38889406216458,218.5421032249327,217.8560141701014
244,218.34772871887472,218.5421032249327,217.8560141701014
245,218.33753635241945,218.5421032249327,217.8560141701014
246,218.2932374719571,218.5421032249327,217.8560141701014
247,218.2657939097639,218.5421032249327,217.8560141701014
248,218.24187976221202,218.5421032249327,217.8560141701014
249,218.17013731955646,218.5421032249327,217.8560141701014
250,218.10839222798003,218.5421032249327,217.8560141701014
251,218.0130028646784,218.5421032249327,217.5362279247046
252,217.94491264051027,218.03248490216953,217.5362279247046
253,217.92436493360617,218.03248490216953,217.5362279247046
254,217.90671786039937,218.03248490216953,217.5362279247046
255,217.89612961647526,218.03248490216953,217.5362279247046
256,217.86852308028858,218.03248490216953,217.5362279247046
257,217.84961844519373,217.8560141701014,217.5362279247046
258,217.84961844519373,217.8560141701014,217.5362279247046
259,217.84961844519373,217.8560141701014,217.5362279247046
260,217.84961844519373,217.8560141701014,217.5362279247046
261,217.8410887798547,217.8560141701014,217.42953090314913
262,217.8410887798547,217.8560141701014,217.42953090314913
263,217.8406426001145,217.8560141701014,217.42953090314913
264,217.8401964203743,217.8560141701014,217.42953090314913
265,217.8401964203743,217.8560141701014,217.42953090314913
266,217.83067033223935,217.8560141701014,217.3797097633539
267,217.83067033223935,217.8560141701014,217.3797097633539
268,217.83067033223935,217.8560141701014,217.3797097633539
269,217.81084468937868,217.8560141701014,217.34103643381374
270,217.78621416869623,217.8560141701014,216.62448813598078
271,217.78621416869623,217.8560141701014,216.62448813598078
272,217.78621416869623,217.8560141701014,216.62448813598078
273,217.78621416869623,217.8560141701014,216.62448813598078
274,217.76561505924474,217.8560141701014,216.62448813598078
275,217.7570853939057,217.8560141701014,216.62448813598078
276,217.74711312603057,217.8560141701014,216.62448813598078
277,217.73718798648125,217.8560141701014,216.62448813598078
278,217.7286583211422,217.8560141701014,216.62448813598078
279,217.7218164164941,217.8560141701014,216.62448813598078
280,217.71544698567234,217.8560141701014,216.62448813598078
281,217.67711940959742,217.8560141701014,216.62448813598078
282,217.60360789367573,217.8560141701014,216.62448813598078
283,217.5759247789956,217.8560141701014,216.62448813598078
284,217.54535940633446,217.8560141701014,216.62448813598078
285,217.4996396825556,217.8560141701014,216.62448813598078
286,217.4429438957302,217.83370518309218,216.62448813598078
287,217.3748458481757,217.72569345722707,216.62448813598078
288,217.3081158588393,217.55985161602345,216.44801740391264
289,217.23605502694147,217.42953090314913,216.44801740391264
290,217.21345771332693,217.3797097633539,216.44801740391264
291,217.20996479554933,217.3797097633539,216.44801740391264
292,217.15094475138164,217.3797097633539,216.44801740391264
293,217.13481513195475,217.35975719263647,216.44801740391264
294,217.09609904934715,217.35975719263647,216.44801740391264
295,217.0421434923766,217.34103643381374,216.44801740391264
296,217.01042461964832,217.34103643381374,216.44801740391264
297,216.9747038584523,217.34103643381374,216.44801740391264
298,216.90726422452798,217.34103643381374,216.44801740391264
299,216.86113241565684,217.34103643381374,216.44801740391264
