Generation,Average_Fitness,Worst_Fit,Best_Fit
1,499.9101677882781,548.5283471382631,440.87295170897175
2,498.2027592053279,548.5283471382631,432.9856162620332
3,490.895386817835,548.5283471382631,420.6961353206509
4,491.50397056499264,548.5283471382631,420.6961353206509
5,493.49838040622103,548.5283471382631,434.9727677599236
6,494.15482434077063,552.7549372615268,434.9727677599236
7,499.33576277104095,552.7549372615268,443.0642097725425
8,494.1129722223002,552.7549372615268,443.0642097725425
9,497.1874605438879,552.7549372615268,449.7486416676209
10,497.1516696982861,550.1221581586104,429.1661057668113
11,501.9397202598871,550.1221581586104,439.9599230808845
12,497.75118494953296,549.1633420905468,432.5476619296914
13,493.0109880843533,542.0441056266219,429.36638778853893
14,497.15257936345074,551.4883269180165,429.36638778853893
15,495.49798509683626,551.4883269180165,429.36638778853893
16,494.2727224976227,551.4883269180165,439.67466682173983
17,489.5818912311928,551.4883269180165,431.46500445370833
18,486.54340360263484,542.0441056266219,437.491457821346
19,485.30872453300594,542.0441056266219,407.53411284356486
20,484.0057743110733,535.0034807872439,434.094674391628
21,481.2508580941143,535.0034807872439,439.67466682173983
22,479.7329953782914,529.0374789491195,416.18639817496165
23,475.148448753579,529.0374789491195,416.18639817496165
24,476.7083236056667,529.0374789491195,422.0174143389144
25,479.7487933039681,529.0374789491195,422.0174143389144
26,475.53849500076984,528.7555833782644,422.0174143389144
27,467.732130350406,528.7555833782644,393.44229465775095
28,468.5180765474823,528.7555833782644,410.9980928170541
29,467.96828483252233,528.7555833782644,410.9980928170541
30,469.4033392889829,528.7555833782644,428.19280093634995
31,463.443643470553,528.7555833782644,426.3572260232402
32,462.7773483356113,528.7555833782644,416.26021113064974
33,464.6707186543117,528.7555833782644,416.26021113064974
34,464.02833610500755,528.7555833782644,416.26021113064974
35,462.41546515355213,515.0710130242271,416.26021113064974
36,460.9977884797416,515.0710130242271,416.26021113064974
37,462.0112693793974,515.0710130242271,402.09084361213723
38,456.7887996085934,503.7460448124033,387.6114853729245
39,458.2697668250707,503.7460448124033,399.3810170293755
40,457.3351756529972,500.98219426536804,399.3810170293755
41,454.7385238008642,498.4706017632616,399.3810170293755
42,453.865889290038,492.1055797001085,399.3810170293755
43,447.4269064704169,492.09479230432197,392.07271374420293
44,443.5569463196318,492.09479230432197,392.07271374420293
45,443.27479561582345,482.99442797511864,392.07271374420293
46,443.77713547446257,484.3868201265429,378.9495465283283
47,439.6929185149976,484.3868201265429,378.9495465283283
48,434.33937690014614,484.3868201265429,370.0489221637678
49,435.2461514056329,484.3868201265429,370.0489221637678
50,435.09940312681306,484.3868201265429,370.0489221637678
51,435.80426296761635,474.8631282852005,370.0489221637678
52,435.4166512185668,480.46534289168903,370.0489221637678
53,434.768675269177,480.46534289168903,371.07886372104394
54,429.3494845489336,480.46534289168903,371.07886372104394
55,424.5685156424221,468.68687212395747,358.853398175211
56,423.713574183886,468.68687212395747,358.853398175211
57,428.4340256346566,468.68687212395747,358.853398175211
58,429.3237722147194,466.0485245828384,358.853398175211
59,431.2450849238618,466.0485245828384,358.853398175211
60,429.9895386814194,466.0485245828384,358.853398175211
61,427.75738878988636,466.0485245828384,358.853398175211
62,423.8053378863437,465.9950188944289,358.853398175211
63,422.4026337736406,465.9950188944289,376.02034284541037
64,423.0866581589294,465.9950188944289,376.02034284541037
65,418.83140983277985,465.9950188944289,372.08204142734644
66,414.7337015419312,465.9950188944289,364.4899675091852
67,413.9624989074609,459.32805988100705,372.08204142734644
68,410.35261508053264,453.05250839392323,372.08204142734644
69,410.35094111066326,453.05250839392323,371.09100629216414
70,405.6692542543551,453.05250839392323,367.3560121772964
71,403.07377894337276,446.29473776476544,367.3560121772964
72,404.76604005057726,446.29473776476544,369.24890057838815
73,402.5405742507744,439.55643842246496,351.56052794305714
74,401.7084322067916,439.55643842246496,351.56052794305714
75,403.8110356365225,439.93446102880563,355.1023480332587
76,403.0155615923887,449.1176914330082,341.72569321881616
77,405.65231787449125,449.1176914330082,355.1023480332587
78,405.7898044762394,449.1176914330082,355.1023480332587
79,404.4441813082292,448.3546709925097,339.5195399005959
80,401.47543129696345,446.2296411745589,339.5195399005959
81,399.0476067953366,439.4459403689302,339.5195399005959
82,393.39086526637965,437.88627764487234,327.1205061467351
83,391.935794689757,437.88627764487234,328.25096783963727
84,388.8921703116901,428.08684820814955,328.25096783963727
85,386.72554909817785,430.0553188772848,328.25096783963727
86,377.9237889832218,427.38119070594104,317.4235712200158
87,376.9301915414459,434.74498964930075,317.4235712200158
88,378.2015968333923,434.74498964930075,317.4235712200158
89,380.8019848811777,434.74498964930075,317.4235712200158
90,381.44014379985526,434.74498964930075,305.0715926410118
91,383.43919888579643,431.8958777120585,305.0715926410118
92,384.27027562823844,431.8958777120585,305.0715926410118
93,382.4328351247732,431.8958777120585,305.0715926410118
94,382.7973123515543,431.8958777120585,305.0715926410118
95,381.99952984488795,431.8958777120585,305.0715926410118
96,383.9254983032009,431.8958777120585,343.8130336515245
97,386.81199971989815,431.8958777120585,336.6768917452579
98,380.7539006855664,431.8958777120585,328.1205455954359
99,382.21089273559636,431.8958777120585,328.1205455954359
100,381.99878504128645,423.4139832649265,328.1205455954359
101,381.3259138402037,422.4839888941396,325.1548517020422
102,380.18425346069694,420.6515169379328,325.1548517020422
103,382.7389321391678,420.6515169379328,344.20874949099266
104,381.5157780788039,420.6515169379328,332.28221041115717
105,380.7734286857622,420.6515169379328,332.28221041115717
106,376.06049224853325,420.6515169379328,331.6323611454785
107,378.0140736787084,428.76377516254473,326.0605804492087
108,381.9813280261486,420.6515169379328,332.28221041115717
109,384.4412162693911,423.64585156269857,332.28221041115717
110,384.11270900670684,422.2163302284938,332.28221041115717
111,382.74719408817214,420.6515169379328,332.28221041115717
112,378.10039548154543,414.6430153385442,337.36382141135687
113,377.98756552922714,414.6430153385442,317.106912721774
114,381.29814964389016,414.6430153385442,317.106912721774
115,379.9543423168301,414.6430153385442,317.106912721774
116,380.17096508812887,420.7197472129426,333.5901306767727
117,380.08178408424175,416.1616990598857,318.19754792590743
118,378.493366474591,416.1616990598857,318.19754792590743
119,378.4408304692702,416.1616990598857,318.19754792590743
120,380.6075578002334,416.1616990598857,318.19754792590743
121,379.06849874046276,416.1616990598857,320.82562627111616
122,377.77887258229,410.7560036432141,287.12174741820434
123,379.1750503870792,411.29828364534376,320.82562627111616
124,379.31697953030766,416.899051432463,327.4818844674886
125,378.2905484249915,416.899051432463,306.09084696594664
126,380.8429093378134,416.899051432463,306.09084696594664
127,379.75727475940926,416.899051432463,306.09084696594664
128,380.32552571077105,416.899051432463,315.21447875131037
129,377.39151992966845,416.899051432463,315.21447875131037
130,374.8773120954864,418.38826597157424,318.17569972724846
131,375.46796196241746,418.38826597157424,316.8350205443285
132,370.2130247414836,418.38826597157424,316.7046610431241
133,371.08367539059907,418.38826597157424,316.8350205443285
134,373.5294096767902,411.5185689898704,316.8350205443285
135,375.41250113894193,411.5185689898704,316.8350205443285
136,373.08179793781807,411.5185689898704,297.5101513585885
137,371.2152354160443,411.5185689898704,316.8350205443285
138,372.9250786048545,412.9528368351552,327.46240152795974
139,366.33361358273976,411.5185689898704,323.2485167354766
140,362.4032431775079,411.5185689898704,317.87547045231474
141,361.744159376979,409.9375586237827,314.6432320755144
142,360.8533225638905,409.9375586237827,314.6432320755144
143,362.57832461782976,409.9375586237827,317.87547045231474
144,359.6053391551611,409.9375586237827,312.81220592767323
145,359.96189015355753,409.9375586237827,312.81220592767323
146,361.8005157800175,409.9375586237827,312.81220592767323
147,359.8448485930416,398.96017197723023,319.7048497630685
148,362.31593686329325,398.96017197723023,319.7048497630685
149,362.85318464631547,399.9344863573499,310.87379438941315
150,361.37809499520984,399.9344863573499,310.87379438941315
151,359.146421753869,400.7613255730149,310.87379438941315
152,354.24495760754843,410.72552141997346,307.94861960709216
153,358.04253678693703,410.72552141997346,310.87379438941315
154,359.63638042410776,410.72552141997346,293.82268653344977
155,356.49559837512396,410.72552141997346,293.82268653344977
156,353.606945441311,400.7613255730149,298.1501391752983
157,351.93742851742593,391.76241164575623,298.1501391752983
158,355.48053492868223,391.76241164575623,298.1501391752983
159,354.7251269011537,386.8931834171614,295.1061226656435
160,354.0164928205726,386.8931834171614,295.1061226656435
161,351.86969471210426,388.7606527008444,289.714928906347
162,349.73173177970335,374.44676306232276,288.9894081938952
163,348.8296324278521,373.8460188690221,289.714928906347
164,347.1695670828542,373.8460188690221,289.714928906347
165,343.5706880642491,373.8460188690221,289.714928906347
166,341.83818370005866,372.69296389554535,288.0116490858098
167,341.5813467761069,371.81723025881,288.0116490858098
168,341.54726560009834,377.936605150121,288.0116490858098
