Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.74,100,98
2,99.76,100,98
3,99.7,100,98
4,99.64,100,98
5,99.7,100,97
6,99.58,100,97
7,99.38,100,96
8,99.44,100,97
9,99.4,100,97
10,99.34,100,97
11,99.26,100,97
12,98.96,100,97
13,99.14,100,97
14,99.24,100,97
15,99.44,100,97
16,99.5,100,97
17,99.22,100,94
18,99.1,100,94
19,99.06,100,94
20,99.08,100,95
21,99.28,100,95
22,99.18,100,95
23,99.06,100,95
24,99.0,100,95
25,98.68,100,94
26,98.68,100,94
27,98.12,100,94
28,98.18,100,94
29,98.42,100,94
30,98.38,100,95
31,98.42,100,95
32,98.3,100,95
33,98.46,100,95
34,98.38,100,93
35,98.6,100,93
36,98.48,100,95
37,98.4,100,96
38,98.42,100,96
39,98.4,100,96
40,98.42,100,96
41,98.4,100,96
42,98.16,100,96
43,98.24,100,96
44,98.16,100,96
45,98.22,100,95
46,97.96,100,95
47,97.88,100,95
48,97.76,100,95
49,97.6,100,95
50,97.78,100,95
51,97.76,100,94
52,97.64,100,95
53,97.62,100,95
54,97.54,100,94
55,97.4,100,94
56,97.0,100,94
57,96.6,100,93
58,97.0,100,94
59,96.74,100,94
60,96.72,100,93
61,96.48,100,94
62,96.64,100,93
63,97.06,100,93
64,97.32,100,94
65,96.94,100,94
66,97.1,100,94
67,96.9,100,94
68,96.7,100,94
69,96.8,100,94
70,97.1,100,94
71,97.16,100,93
72,97.4,100,94
73,97.5,100,94
74,97.58,100,94
75,97.78,100,95
76,97.68,100,96
77,97.64,100,96
78,97.58,100,96
79,97.62,100,96
80,97.6,100,96
81,97.38,99,96
82,97.24,100,94
83,97.1,100,93
84,97.24,100,92
85,97.0,99,93
86,97.38,99,95
87,97.26,99,94
88,97.12,99,94
89,97.28,99,94
90,97.12,98,94
91,97.28,98,95
92,97.26,98,94
93,97.24,98,94
94,97.22,98,94
95,97.44,98,94
96,97.34,98,94
97,97.18,98,94
98,97.22,98,94
99,97.12,98,94
100,97.34,98,94
101,97.2,98,94
102,97.18,98,94
103,97.14,98,94
104,96.8,98,94
105,96.6,98,94
106,96.56,98,92
107,96.68,98,92
108,96.62,98,92
109,96.84,98,94
110,96.94,98,94
111,96.98,98,95
112,96.82,98,93
113,96.74,98,93
114,96.88,98,95
115,96.76,98,94
116,96.64,98,94
117,96.82,98,94
118,96.62,98,93
119,96.74,98,93
120,96.8,98,93
121,96.72,98,94
122,96.54,98,94
123,96.54,98,94
124,96.46,98,94
125,96.56,98,95
126,96.38,98,94
127,96.28,98,94
128,96.14,98,94
129,96.0,98,94
130,95.88,98,93
131,95.82,98,93
132,95.74,98,93
133,95.84,98,93
134,95.52,98,93
135,95.4,98,93
136,95.28,98,93
137,95.16,98,93
138,95.02,98,92
139,94.8,98,92
140,94.9,98,92
141,94.84,98,92
142,94.82,98,92
143,94.74,98,92
144,94.86,98,92
145,94.92,98,93
146,94.86,98,92
147,94.92,98,92
148,94.96,98,92
149,94.64,98,92
150,94.48,98,92
151,94.4,98,91
152,94.34,97,91
153,94.4,97,91
154,94.16,97,90
155,94.28,97,90
156,94.2,96,90
157,94.34,96,90
158,94.22,96,90
159,94.04,96,90
160,94.16,96,90
161,94.3,96,90
162,94.48,96,90
163,94.44,96,90
164,94.52,96,90
165,94.5,96,90
166,94.28,96,90
167,94.3,96,91
168,94.36,96,91
169,94.24,96,91
170,94.38,96,91
171,94.5,96,92
172,94.44,96,92
173,94.46,96,92
174,94.16,96,90
175,94.26,96,90
176,94.38,96,90
177,94.36,96,90
178,94.54,96,92
179,94.54,96,92
180,94.8,96,92
181,94.76,96,93
182,94.54,96,93
183,94.74,96,93
184,94.66,96,93
185,94.62,96,91
186,94.54,96,91
187,94.46,96,91
