Generation,Average_Fitness,Worst_Fit,Best_Fit
1,500.87933087466956,561.8625456282955,449.4534282293658
2,492.62287419155683,530.984553978971,429.9922432751558
3,491.97050083004126,530.984553978971,429.9922432751558
4,493.2014724948512,541.3540460612123,436.5390598529873
5,494.7276894074692,541.3540460612123,452.2677096292146
6,493.6439447811798,541.3540460612123,447.1670693309204
7,495.0620330438674,541.3540460612123,447.1670693309204
8,491.8588733902115,541.3540460612123,443.07136868181175
9,495.09000745122654,541.3540460612123,443.07136868181175
10,494.9746625004816,541.3540460612123,449.83613233745854
11,490.2551648716845,541.3540460612123,446.70647996072415
12,490.2387937127334,541.3540460612123,446.70647996072415
13,489.2212439032471,541.3540460612123,444.11569615411344
14,488.62916941987527,545.4917043957923,430.0392094876536
15,486.2209618957983,539.9058803785015,402.6607019257121
16,483.4362814591913,539.9058803785015,402.6607019257121
17,488.0493036633918,551.5193682741568,402.6607019257121
18,480.66686018364527,551.5193682741568,396.3365457830748
19,479.34681236583776,551.5193682741568,396.3365457830748
20,477.7378955918877,551.5193682741568,411.6955227059339
21,469.27241772219503,551.5193682741568,394.25436098096486
22,462.9718864160566,551.5193682741568,389.95197245307617
23,459.356765958409,542.4867761949316,389.95197245307617
24,459.3705267084112,542.4867761949316,394.25436098096486
25,464.82953268642746,542.4867761949316,394.25436098096486
26,468.89531761384677,542.4867761949316,403.7972442488662
27,465.13547705334867,542.4867761949316,408.56237854458465
28,466.8346587746435,556.9601777821516,408.56237854458465
29,467.4126488412718,556.9601777821516,411.49110775083983
30,458.2674109012556,556.9601777821516,377.9102525354718
31,461.96874944109817,556.9601777821516,377.9102525354718
32,466.78705076600374,556.9601777821516,377.9102525354718
33,466.7779226938437,528.6815515871733,377.9102525354718
34,468.5622718139664,528.6815515871733,377.9102525354718
35,462.8791022512189,528.6815515871733,379.6163586871078
36,465.3086107502198,528.6815515871733,379.6163586871078
37,467.1673558946469,528.6815515871733,389.8136609337687
38,471.4807931488406,520.6431550038968,389.8136609337687
39,476.02917363713374,520.6431550038968,401.60989667401157
40,474.43958022923215,520.2491704713151,422.1599501523114
41,477.59727922344996,520.2491704713151,421.2676256485311
42,470.4508030791924,520.2491704713151,416.8283432184827
43,474.3129710120767,523.832654801614,421.2676256485311
44,478.32597140156446,542.620193720622,415.8583248982108
45,479.0973039401924,542.620193720622,421.2676256485311
46,476.5813870260702,520.2491704713151,417.5591644499918
47,476.33182188898223,519.8288050444886,417.5591644499918
48,476.15567268731263,519.8288050444886,424.0190377229455
49,473.2359826763049,514.2777166141371,400.6269521622191
50,475.2626432049391,514.2777166141371,423.2757897260491
51,471.132297515905,514.2777166141371,407.7520012732805
52,471.02487784734535,514.2777166141371,413.85398399425344
53,470.41086043001275,525.0545756142183,426.5909129535467
54,468.92545027894914,525.0545756142183,414.8308173883122
55,464.0657945029591,525.0545756142183,414.8308173883122
56,461.5092198543267,525.0545756142183,414.7904332458648
57,460.3881262736793,525.0545756142183,414.7904332458648
58,458.28027071526,525.0545756142183,414.7904332458648
59,453.8862861636355,525.0545756142183,413.2818511476159
60,451.5053838084175,525.0545756142183,413.2818511476159
61,451.4951450391283,525.0545756142183,413.2818511476159
62,447.1785208899028,525.0545756142183,380.3640816295376
63,452.4703604383669,525.0545756142183,396.7956986550692
64,455.3380020827775,525.0545756142183,398.4989251058107
65,452.1662501079824,525.0545756142183,397.207329932425
66,453.6036917656228,525.0545756142183,397.207329932425
67,449.5082532244084,525.0545756142183,381.91013093893287
68,452.4594893194368,521.4341373205575,379.12073281118353
69,451.1503752256938,519.3115913832576,375.1013955090427
70,455.1776134950694,519.3115913832576,375.1013955090427
71,453.10203009645886,512.0616133237177,374.8367487014562
72,451.2035164029296,512.0616133237177,374.8367487014562
73,455.54416666541334,512.0616133237177,393.6318021654851
74,452.5008917118273,511.4979388935749,399.46832788998097
75,448.0059964016253,504.8849370853088,399.46832788998097
76,447.1518037242606,504.8849370853088,386.73851205484124
77,451.73480304601867,504.8849370853088,373.7367221508412
78,451.3919974257071,504.8849370853088,380.8084224140039
79,450.69449426885376,518.201471172917,380.8084224140039
80,450.79743858068906,518.201471172917,380.8084224140039
81,446.3131792470933,504.8849370853088,380.8084224140039
82,438.9144927693612,492.9046021396303,371.7751592058805
83,438.24118976715977,492.9046021396303,371.7751592058805
84,440.7366454149298,492.9046021396303,389.1401356042671
85,436.86690339342533,492.9046021396303,373.3177989028158
86,439.7276090237325,496.3220147478227,373.3177989028158
87,437.50056407359193,485.707234649085,372.5569118341099
88,440.73431856783844,485.707234649085,373.3177989028158
89,444.2440209358065,485.707234649085,392.47255658932096
90,445.73418833237616,485.707234649085,392.47255658932096
91,443.27512207102416,487.31477485896704,368.2680998944427
92,441.30282599676735,487.31477485896704,368.2680998944427
93,438.1858844210554,487.31477485896704,368.2680998944427
94,437.65135315611406,487.31477485896704,368.2680998944427
95,431.8094034554733,479.7130652252917,367.46213932678353
96,433.24027480428134,469.11148528932057,368.2680998944427
97,425.81359100104294,469.11148528932057,355.38251114181355
98,429.59299634276994,469.11148528932057,355.38251114181355
99,430.682466405483,469.11148528932057,363.2199082499204
100,431.8065236175903,469.11148528932057,385.55336668104525
101,431.55284502252516,469.11148528932057,379.4666596923006
102,428.83411329016656,462.74290157097255,379.4666596923006
103,425.20932728469154,462.74290157097255,371.6856351065331
104,424.5978247028408,462.74290157097255,370.1053455696711
105,419.49692236971345,462.74290157097255,369.2041911594994
106,420.2181062446664,459.0990072742471,369.2041911594994
107,415.30283380029687,460.46962486923104,356.45105480887094
108,415.948895101058,460.46962486923104,356.45105480887094
109,414.3817859737927,450.96325746014855,351.0232829600188
110,410.8762215013596,450.96325746014855,357.2409744487537
111,411.6523557137635,450.96325746014855,373.30206583085027
112,413.47340479671715,450.96325746014855,373.30206583085027
113,414.556431473198,442.5509566765249,353.0451942933204
114,415.18046641856165,442.5509566765249,374.8441022102144
115,415.41945644249734,468.80949911174287,374.8441022102144
116,415.3574632132804,457.19348471978446,374.8441022102144
117,415.08252782002864,457.19348471978446,374.8441022102144
