Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.68,100,98
2,99.68,100,98
3,99.68,100,98
4,99.7,100,99
5,99.64,100,99
6,99.38,100,96
7,99.5,100,96
8,99.34,100,96
9,99.4,100,96
10,99.44,100,96
11,99.56,100,98
12,99.48,100,98
13,99.48,100,98
14,99.48,100,98
15,99.44,100,98
16,99.42,100,97
17,99.42,100,97
18,99.54,100,97
19,99.62,100,98
20,99.6,100,97
21,99.48,100,96
22,99.5,100,96
23,99.56,100,96
24,99.62,100,99
25,99.62,100,98
26,99.62,100,99
27,99.5,100,98
28,99.54,100,98
29,99.56,100,99
30,99.48,100,99
31,99.36,100,98
32,99.38,100,98
33,99.32,100,98
34,99.34,100,98
35,99.38,100,98
36,99.4,100,97
37,99.28,100,97
38,99.22,100,97
39,99.36,100,97
40,99.22,100,97
41,99.06,100,97
42,98.98,100,97
43,98.86,100,97
44,98.78,100,97
45,98.86,100,96
46,98.9,100,96
47,98.92,100,96
48,98.76,100,96
49,98.82,100,96
50,99.0,100,97
51,98.96,100,97
52,98.98,100,96
53,99.04,100,97
54,98.94,100,97
55,98.94,100,96
56,98.96,100,97
57,98.94,100,96
58,98.98,100,96
59,99.08,100,96
60,98.9,100,96
61,98.72,100,96
62,98.7,100,95
63,98.72,100,95
64,98.6,100,95
65,98.8,100,94
66,98.8,100,94
67,98.76,100,94
68,98.76,100,94
69,98.74,100,94
70,98.84,100,94
71,98.74,100,94
72,98.78,100,94
73,98.8,100,95
74,98.82,100,97
75,98.72,100,96
76,98.5,100,95
77,98.32,100,95
78,98.26,100,95
79,98.04,100,94
80,98.2,100,94
81,98.02,100,93
82,98.1,100,94
83,97.92,100,94
84,97.86,100,94
85,97.84,100,94
86,97.58,100,94
87,97.36,100,94
88,97.64,100,94
89,97.86,100,94
90,97.68,100,94
91,97.94,100,94
92,97.82,100,94
93,98.22,100,96
94,98.28,100,96
95,98.18,100,96
96,98.34,100,96
97,98.32,100,96
98,98.14,100,95
99,98.24,100,96
100,98.06,100,96
101,98.06,100,96
102,97.96,100,95
103,97.86,100,95
104,97.7,100,95
105,97.58,99,95
106,97.18,99,95
107,97.32,99,95
108,97.42,99,95
109,97.32,99,95
110,97.26,99,95
111,97.24,99,94
112,97.16,100,94
113,97.22,100,94
114,97.14,100,95
115,96.9,100,95
116,96.66,100,95
117,96.8,100,95
118,96.88,100,93
119,97.22,100,93
120,96.92,100,93
121,96.72,100,93
122,96.86,100,93
123,96.96,100,93
124,97.04,100,93
125,96.96,100,93
126,97.08,99,93
127,97.06,100,93
128,97.04,99,94
129,97.3,99,94
130,97.0,99,93
131,96.8,99,93
132,96.82,99,93
133,97.0,99,93
134,96.84,99,94
135,96.88,99,94
136,96.72,99,93
137,96.66,99,93
138,96.7,100,93
139,96.48,100,93
140,96.34,100,93
141,96.22,100,93
142,96.18,100,92
143,95.94,99,92
144,95.48,99,92
145,95.72,99,92
146,95.68,99,93
147,95.8,98,93
148,95.78,98,93
149,95.36,98,92
150,95.24,98,92
151,95.28,99,92
152,95.36,99,91
153,95.3,99,92
154,95.24,99,92
155,95.24,98,92
156,95.3,98,92
157,95.42,98,92
158,95.3,98,92
159,95.28,98,92
160,95.52,98,92
161,95.44,99,92
162,95.32,99,92
163,95.12,99,91
164,95.06,99,91
165,95.2,99,92
166,95.44,99,92
167,95.56,99,92
168,95.18,99,92
169,95.46,99,93
170,95.44,99,93
171,95.48,99,93
172,95.48,98,93
173,95.52,98,93
174,95.46,99,92
175,95.5,99,92
176,95.88,99,93
177,95.86,99,93
178,95.86,99,94
179,96.2,99,94
180,96.28,99,94
181,96.16,99,94
182,96.16,99,93
183,95.98,99,93
184,96.0,99,93
185,95.82,99,91
186,95.66,99,91
187,95.54,99,91
188,95.22,99,91
189,95.22,99,91
190,94.72,99,91
191,94.08,99,89
192,93.94,99,90
193,94.0,98,89
194,93.92,98,90
195,93.86,98,90
196,93.66,97,90
197,93.62,97,89
198,93.16,97,89
199,93.22,97,89
200,92.92,97,89
201,92.86,97,89
202,92.96,97,89
203,93.16,97,89
204,92.8,98,88
205,92.9,98,88
206,93.0,96,87
207,93.58,96,88
208,93.72,97,88
209,93.42,97,88
210,93.28,97,88
211,93.2,97,88
212,93.04,97,88
213,92.54,97,88
214,92.62,96,88
215,92.56,96,87
216,92.5,96,87
217,92.68,96,87
218,92.92,96,88
219,92.76,96,88
220,93.02,96,88
221,93.04,96,88
222,92.48,96,88
223,92.4,97,88
224,92.74,97,88
225,92.42,97,88
226,92.26,97,88
227,91.86,96,88
228,91.98,96,88
229,92.06,96,88
230,91.96,96,89
231,92.24,96,89
232,92.36,96,88
233,91.98,96,88
234,92.36,96,87
235,92.14,96,87
236,92.2,96,88
237,92.08,96,88
238,91.7,96,87
239,91.62,96,87
240,91.76,96,87
241,91.48,96,87
242,91.54,96,87
243,91.6,96,87
244,91.5,96,87
245,91.52,96,87
246,91.52,96,87
247,91.46,96,88
248,91.2,96,88
249,91.26,96,88
250,91.1,96,87
251,91.48,96,88
252,90.96,95,88
253,90.98,95,88
254,91.0,95,87
255,90.44,95,86
256,90.64,95,86
257,90.3,95,86
258,90.18,95,86
259,89.98,95,86
260,90.24,95,86
261,90.12,95,86
262,90.2,95,86
263,90.1,95,86
264,89.82,95,86
265,89.8,93,86
266,89.4,93,86
267,89.42,93,86
268,89.38,93,86
269,89.36,93,86
270,89.2,93,86
271,88.84,93,86
272,89.0,93,86
273,88.72,93,86
274,88.82,93,84
275,89.1,93,86
276,88.78,93,85
277,89.32,93,86
278,89.0,93,83
279,88.58,93,83
280,88.66,93,83
281,88.52,93,83
282,88.5,93,83
283,88.42,93,83
284,87.96,93,83
285,87.9,93,83
286,87.84,93,83
287,87.7,93,83
288,87.58,91,83
289,87.62,91,83
290,87.38,91,81
291,87.8,91,81
292,88.28,92,81
293,88.36,92,81
294,88.54,93,83
295,88.38,93,83
296,88.56,93,83
297,88.44,93,83
298,88.32,93,83
299,88.1,93,83
300,88.0,93,83
301,87.94,93,81
302,87.94,93,83
303,87.34,93,81
304,87.34,91,83
305,87.28,91,83
306,87.44,91,83
307,87.62,91,83
308,87.76,92,83
309,87.48,92,83
310,88.1,93,83
311,88.46,93,83
312,88.28,93,84
313,88.28,92,84
314,88.48,92,84
315,88.92,92,84
316,88.62,92,83
317,88.8,92,83
318,88.42,92,81
319,88.78,92,81
320,89.24,93,81
321,89.4,92,84
322,89.08,93,84
323,89.12,93,84
324,88.8,93,84
325,88.88,93,85
326,88.98,93,85
327,88.5,93,84
328,88.14,93,84
329,87.94,93,84
330,87.8,93,84
331,87.96,93,84
332,87.92,93,84
333,87.88,93,84
334,87.54,93,82
335,87.94,93,84
336,87.96,93,83
337,87.26,91,83
338,86.96,91,83
339,87.14,91,83
340,87.38,92,81
341,87.4,92,81
342,87.7,92,81
343,87.44,92,81
344,87.58,92,81
345,87.2,92,81
346,86.76,92,81
347,86.42,92,81
348,86.72,92,82
349,86.8,92,82
350,87.12,92,80
351,87.08,92,80
352,87.08,92,80
353,87.04,92,80
354,86.98,93,80
355,87.52,93,80
356,87.46,92,80
357,86.9,92,80
358,86.82,92,80
359,86.88,92,81
360,87.46,92,79
361,87.76,92,80
362,87.52,92,80
363,87.9,92,82
364,87.36,92,80
365,87.7,92,80
366,87.58,92,80
367,88.06,92,80
368,88.1,92,80
369,87.88,92,80
370,87.52,92,80
371,87.54,92,80
372,86.66,92,79
373,86.5,92,79
374,87.22,92,79
375,86.64,92,78
376,86.34,92,78
377,86.76,92,78
378,86.56,91,80
379,86.4,91,80
380,86.58,91,80
381,86.74,91,80
382,86.1,91,80
383,85.78,91,76
384,86.56,91,76
385,87.36,91,80
386,87.42,91,81
387,87.9,91,81
388,87.3,91,81
389,87.58,91,81
390,87.42,91,81
391,87.38,91,83
392,87.4,91,82
393,87.32,91,82
394,87.5,91,82
395,87.46,91,82
396,87.58,91,82
397,87.88,93,83
398,88.52,93,83
399,88.36,93,83
400,87.86,91,83
401,88.14,91,83
402,87.9,91,83
403,88.06,91,83
404,87.7,90,82
405,87.08,90,82
406,86.7,90,82
407,86.38,90,82
408,85.98,90,82
409,85.76,90,82
410,85.88,90,83
411,86.0,90,80
412,85.78,90,80
413,85.94,91,80
414,85.5,91,80
415,85.66,91,80
416,85.24,91,80
417,85.52,91,80
418,85.24,91,80
419,85.16,90,80
420,84.28,90,80
421,84.92,91,80
422,84.72,91,80
423,84.84,91,79
424,84.78,91,79
425,84.5,91,79
426,84.62,91,80
427,84.26,91,80
428,84.52,91,80
429,84.34,91,79
430,84.02,91,78
431,84.44,91,78
432,84.4,89,78
433,84.52,89,78
434,85.0,89,78
435,85.36,89,78
436,85.72,89,80
437,85.98,89,80
438,86.04,89,81
439,86.48,89,81
440,86.66,89,81
441,86.74,89,81
442,86.76,89,81
443,86.96,89,82
444,86.92,89,83
445,87.0,89,83
446,86.98,89,83
447,87.46,89,83
448,87.5,89,84
