Generation,Average_Fitness,Worst_Fit,Best_Fit
1,988.3695748784938,1077.9345408706986,893.4986133294072
2,970.4813182096576,1029.86789883586,893.4986133294072
3,948.0618042138985,1016.0916199651223,889.4709691239146
4,928.9603858824094,982.0083987711215,889.4709691239146
5,906.9951055252282,951.717405274783,856.4294393685288
6,893.5658830599648,937.8763147300137,850.496696621594
7,877.4964990610061,924.0205843735786,850.496696621594
8,866.6347395131634,893.5810392832591,850.496696621594
9,853.12490839879,889.4709691239146,792.3417261366645
10,842.6277675179446,876.1855034037536,792.3417261366645
11,824.0871155402841,864.8924229174736,753.3986354863202
12,798.0807995604322,850.496696621594,743.0327728437965
13,776.9804838396846,850.496696621594,743.0327728437965
14,763.554339313024,792.3417261366645,717.7520911211096
15,751.0107060122335,784.9648348582372,714.87367282555
16,739.9900229518621,779.8628004293855,714.87367282555
17,730.7443073146366,762.8310032871912,691.3613455313427
18,716.9008260281639,747.2537880732854,688.602020437183
19,703.5759367822014,736.4071194702982,681.9197284344287
20,690.7470431604601,736.4071194702982,659.2517506076192
21,679.5556577361726,721.9637107868263,654.5821227656552
22,671.1894818107626,696.1397013423227,654.3851698107128
23,658.8605235749862,686.964264379577,635.3163963062775
24,647.0506418499739,676.8546268637258,616.5148977610695
25,640.7722157879024,656.648532286942,615.6146639235203
26,629.9657720338806,649.845945077849,595.36369467782
27,613.9810626075297,640.1183753245334,581.9029404020856
28,605.5318814930528,633.335838007261,581.9029404020856
29,593.830392958215,622.8131443865478,570.6759659454093
30,584.1461809924732,611.8296304934925,565.1144450006094
31,573.5889920411684,594.6406092123149,522.541004248768
32,565.0358634584035,588.5650985838641,522.541004248768
33,555.4180128080673,586.3299489751925,519.7397245400456
34,546.7025003037401,569.4404748197961,508.86728739118143
35,537.2401906070909,565.1144450006094,497.3731574164194
36,520.7022804051766,553.920837257758,490.0245100735778
37,507.07846277959374,543.0498385742654,490.0245100735778
38,500.498023364456,516.4469732479089,474.16614686988135
39,493.0718401490802,508.86728739118143,466.90792059157474
40,485.114929154738,505.56465250913664,454.77970174183844
41,477.4722410408057,500.8130736459881,460.3993750308392
42,470.34065895658614,490.0245100735778,449.5625230402056
43,468.31115282695083,479.6030669932608,449.5625230402056
44,462.90042481262566,474.4723709235987,448.68804553522017
45,458.5370245788114,474.16614686988135,448.68804553522017
46,452.1694241437431,469.1092222749803,427.9935103270279
47,446.9277829417272,466.155203928426,427.9935103270279
48,439.2943391356967,462.538841621795,420.96602927758016
49,432.606162840967,449.9677210410977,404.60938839092455
50,425.30097643013704,442.40774742507415,407.35182664624836
51,419.08459407669716,437.06066713873145,400.35660041127517
52,412.869449175533,425.54232887039814,395.0905383357693
53,407.8184824507467,421.63902495533085,394.61244607858606
54,399.8123453381174,414.97254226476116,382.5788190317013
55,393.3066460784211,409.3065723967248,372.4959359736661
56,388.5909948658864,400.62019443860885,372.4959359736661
57,382.728037558791,405.3618264477139,360.0941004099452
58,377.51660142489885,388.96853455208304,355.9356084041116
59,372.6594418131234,385.5942307429039,355.9356084041116
60,367.72671645197124,381.5608740077517,350.9844597651757
61,362.1955140469144,378.1610539866954,350.1329528400284
62,357.0845075234818,370.1236214786383,345.27289641287337
63,353.7329380383785,369.6949224802411,339.3536993950735
64,351.0479547623227,365.6503527302365,337.93724499553105
65,346.09715178129517,361.82584057313966,337.43600295109644
66,338.5573825095954,358.3000343123585,324.65471116662513
67,335.48233603772445,346.45474518507456,324.65471116662513
68,330.47398967591187,341.4991760930963,322.48571254214806
69,328.60975192188306,338.3458942626441,318.8773921967184
70,324.6109526003745,335.58901912152,312.4022681721654
71,321.1978408057997,331.356870329387,306.3683375391437
72,317.5704959425938,326.34368023302966,306.3683375391437
73,315.0767460236483,322.48571254214806,306.3683375391437
74,312.60011456137164,322.3040744563854,306.3683375391437
75,309.3018349079676,314.1284977779018,301.68343662891334
76,306.05700872071804,312.4022681721654,291.5181951468942
77,304.01175951872455,312.13924085160636,291.5181951468942
78,301.62217561770973,309.9405745991973,289.9171072598191
79,299.55948743744676,305.6143526364985,289.9171072598191
80,297.5879775281207,303.94540709937314,289.9171072598191
81,295.31180497244867,303.94540709937314,287.4139709039936
82,292.19981467858355,300.2413290468859,287.1444950829932
83,290.75861078179895,297.87687446973246,283.6348591840726
84,289.2981103198734,295.6227778623072,285.13061228902035
85,286.58681980595844,293.1318060256852,277.34060270279736
86,285.2735300777291,290.33838702891444,277.34060270279736
87,284.2889709097085,288.47971856732204,277.34060270279736
88,281.9133091254252,287.46275372991295,276.20929197311847
89,279.34025117538727,286.20175521390485,275.6008572265414
90,277.45870406927844,283.637088284245,271.87992687088484
91,276.1078808282406,280.721786606924,271.2077137722708
92,275.0964643403566,278.22985058216085,271.2077137722708
93,273.6921616481524,277.34060270279736,268.18468027922415
94,272.44911859910263,277.14700756298896,266.907565991673
95,271.12768707249654,275.6008572265414,266.8433444754364
96,269.53414119503753,274.8762868363555,265.1384004901889
97,268.1648136147316,273.58664786113354,265.00475982188453
98,266.568839577928,270.1482609538455,262.3336835794008
99,266.15443088367056,272.4747200706943,262.3336835794008
100,264.7477925559519,269.57346550796484,257.59295355989303
101,263.57553976327375,267.82477266107276,257.59295355989303
102,261.5022821757318,270.91748975659533,257.59295355989303
103,260.46709388977274,265.4744973065888,257.59295355989303
104,259.56387928398834,262.3336835794008,256.0887633635942
105,258.9969943013607,261.8566186169866,256.0887633635942
106,258.41678885008974,264.70019230177394,254.74937987510566
107,257.8627521278942,260.9249834412958,254.74937987510566
108,257.10952791798405,259.3056739406829,254.74937987510566
109,256.49086165699174,257.59295355989303,254.74937987510566
110,255.98755820926596,257.59295355989303,254.42077889886045
111,255.34518539688074,257.59295355989303,253.00176478211395
112,254.4543450902387,257.59295355989303,249.66932224180337
113,253.49840738400837,257.59295355989303,249.66932224180337
114,252.54595637368467,260.26940121763664,246.47105418313768
115,250.72493388197208,256.7374526649441,246.47105418313768
116,249.2089452471491,254.74937987510566,246.47105418313768
117,249.11497056308752,254.74937987510566,246.47105418313768
118,248.659544668123,262.7514991823465,243.37144368857332
119,247.65596436661198,256.56285470111465,243.37144368857332
120,246.1808211312125,249.20066487332116,240.66038654219142
121,245.1586478707735,251.34683611105015,240.66038654219142
122,244.15911072950618,251.34683611105015,240.66038654219142
