Generation,Average_Fitness,Worst_Fit,Best_Fit
1,964.6209605409987,1014.9555543345522,878.6512819302183
2,936.3465686143428,974.8413758659696,877.218415238662
3,917.4200267430831,951.5681373826307,848.6256762496143
4,895.0764458207814,931.2367350650339,808.309605614236
5,876.1129986226624,913.3124322049663,768.9149201817519
6,849.2424456290427,897.0547136690681,736.378776128446
7,820.5945871062501,866.8921212381595,736.378776128446
8,797.358825752412,842.2509260284103,714.4327686382492
9,778.8424168802983,808.309605614236,714.4327686382492
10,763.8600165932861,792.9746904334976,691.7769261275233
11,748.5705533707193,775.4159853028725,676.7822691383208
12,732.8914856542372,762.2603538353223,662.7432307301231
13,714.9513992425759,748.3548699601814,638.1478659885688
14,696.2394432777297,730.3713073506742,638.1478659885688
15,682.5921116876726,708.102409410332,638.1478659885688
16,667.083415726352,693.3637981226747,602.3459984347548
17,653.8970454903954,676.7822691383208,594.8653027181759
18,641.5894170919094,662.5028810780902,594.8653027181759
19,630.6458401382952,651.9772607725699,588.5238387669043
20,614.621346162957,639.008315099951,574.6075583335072
21,605.9639365945345,627.0992691533345,574.6075583335072
22,590.8511567843822,618.759739068666,510.3743585321778
23,571.6642045043667,597.6567924120636,510.3743585321778
24,559.8078683926,589.6536095665931,510.3743585321778
25,545.9712920737817,574.2044056128856,495.7228257504005
26,533.8801610661001,554.7372496771893,495.7228257504005
27,524.2743286606392,542.9675769973387,495.7228257504005
28,513.6047904934074,531.3872428307226,466.9795860107905
29,499.83252738563436,521.2349695934702,460.92788940801114
30,488.5402357760914,509.6334067023938,458.4689907131339
31,475.64852382838035,496.3335508308499,421.24308974563223
32,460.1706227114843,484.3628183925032,415.4034477766689
33,444.00794386227193,469.75291891992293,393.92757283853416
34,430.4888877170278,455.72736787248425,392.10372026117744
35,418.1126035514299,440.2412628342392,383.8463266249049
36,407.6764677935659,423.83365409485975,383.8463266249049
37,400.56785309585183,415.4034477766689,376.1317133049218
38,393.09730663846153,407.9219624859172,362.80997269690215
39,383.40678789985077,397.44097786145835,355.6350692519893
40,374.94287046699145,391.8117991881175,350.99097487596714
41,366.7962384240776,379.9755555658711,349.43547937127215
42,359.6733945929874,373.92081127752544,330.48158841736375
43,352.241634323153,364.6700259024377,330.48158841736375
44,344.0773112682663,356.8014728213566,322.6321017359025
45,337.7530994442948,347.92906352003047,321.16552713106523
46,333.56046892480566,340.5910932310692,317.89253582899687
47,329.10907002251014,337.6782478662336,314.1088350959485
48,324.344890754516,333.38245391009855,309.1420366668264
49,319.8392582453253,328.21716249554913,305.67652520064297
50,314.87195418223536,323.8341374946878,298.8420127533398
51,312.4807283412887,319.05331856002994,298.8420127533398
52,309.1701241189146,316.35834345796746,298.8420127533398
53,307.20331581072196,312.69233996399146,298.8420127533398
54,304.58996246289473,310.55651578463846,291.6063686492669
55,302.128554333691,306.2718103683594,291.6063686492669
56,300.0225432372006,303.75337485056593,291.6063686492669
