Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.7,100,98
2,99.62,100,98
3,99.44,100,98
4,99.18,100,96
5,98.92,100,96
6,98.72,100,96
7,98.38,100,95
8,97.86,100,95
9,97.64,100,96
10,97.02,100,93
11,96.44,100,93
12,95.78,100,92
13,95.2,100,92
14,94.22,99,90
15,93.92,99,90
16,93.3,99,89
17,92.6,99,89
18,91.82,99,89
19,91.26,97,88
20,90.54,97,87
21,90.18,97,87
22,89.56,94,87
23,89.22,92,87
24,89.1,92,87
25,88.88,92,86
26,88.38,92,86
27,88.26,92,86
28,88.18,92,86
29,88.14,92,86
30,87.84,92,84
31,87.22,92,83
32,87.0,92,83
33,86.58,92,82
34,86.38,92,82
35,86.06,92,82
36,85.54,90,81
37,85.16,90,79
38,85.18,90,81
39,84.58,90,80
40,84.14,90,80
41,83.68,88,79
42,82.8,88,79
43,82.52,88,79
44,81.78,88,78
45,80.86,88,77
46,80.18,86,75
47,79.9,86,75
48,79.4,86,73
49,79.1,86,73
50,78.96,86,73
51,78.48,85,73
52,78.02,85,73
53,77.54,85,72
54,77.76,85,72
55,77.4,85,72
56,76.86,85,72
57,76.0,85,72
58,75.62,85,71
59,75.12,85,71
60,74.92,85,72
61,74.72,85,71
62,74.26,85,70
63,74.16,85,70
64,74.08,85,70
65,73.86,85,70
66,73.44,85,70
67,73.18,85,69
68,72.64,85,69
69,72.3,80,69
70,71.88,76,68
71,71.62,76,67
72,71.9,76,69
73,71.68,74,69
74,71.48,74,69
75,71.04,74,69
76,70.52,74,68
77,70.36,74,68
78,70.08,73,68
79,69.9,73,68
80,69.76,73,68
81,69.64,73,67
82,69.28,73,67
83,68.98,73,68
84,68.92,73,68
85,68.64,73,68
86,68.46,70,68
87,68.34,70,67
88,68.1,70,65
89,68.1,70,67
90,67.74,70,64
91,67.28,70,64
92,67.22,70,64
93,67.62,70,64
94,67.5,69,64
95,67.14,69,62
96,66.8,69,62
97,66.18,69,61
98,65.52,69,61
99,65.14,69,61
100,64.2,69,61
101,63.96,69,61
102,63.78,68,61
103,63.84,68,61
104,63.58,68,61
105,63.5,68,61
106,63.28,68,61
107,62.92,67,61
108,62.72,67,61
109,62.4,67,61
110,62.24,67,61
111,62.2,67,61
112,62.18,67,60
113,62.04,67,60
114,61.88,65,60
115,61.68,65,59
116,61.66,65,59
117,61.54,65,59
118,61.54,65,60
119,61.42,65,60
120,61.22,65,60
121,60.96,65,60
122,60.96,65,60
123,60.82,65,60
124,60.7,65,60
125,60.6,65,60
126,60.54,65,60
127,60.44,65,60
128,60.28,65,59
129,60.0,61,59
130,59.84,61,59
131,59.62,61,58
132,59.58,61,58
133,59.46,61,59
134,59.4,61,59
135,59.36,61,59
136,59.26,61,58
137,59.14,61,58
138,59.08,61,58
139,58.94,61,58
140,58.92,61,58
141,58.94,61,58
142,58.84,61,58
143,58.76,61,58
144,58.66,61,58
145,58.56,61,58
146,58.46,61,58
147,58.3,61,58
148,58.18,59,58
149,58.16,59,58
150,58.12,59,58
151,58.1,59,58
152,58.08,59,58
153,58.06,59,58
154,58.06,59,58
155,58.06,59,58
156,58.04,59,58
157,58.02,59,58
158,58.02,59,58
159,58.0,58,58
160,58.0,58,58
161,58.0,58,58
162,58.0,58,58
163,58.0,58,58
164,58.0,58,58
165,58.0,58,58
166,58.0,58,58
167,58.0,58,58
168,58.0,58,58
169,58.0,58,58
170,58.0,58,58
171,58.0,58,58
172,58.0,58,58
173,58.0,58,58
174,58.0,58,58
175,58.0,58,58
176,58.0,58,58
177,58.0,58,58
178,58.0,58,58
179,58.0,58,58
180,58.0,58,58
181,58.0,58,58
182,58.0,58,58
183,58.0,58,58
184,58.0,58,58
185,58.0,58,58
186,58.0,58,58
187,58.0,58,58
188,58.0,58,58
189,58.0,58,58
190,58.0,58,58
191,58.0,58,58
192,58.0,58,58
193,58.0,58,58
194,58.0,58,58
195,58.0,58,58
196,58.0,58,58
197,58.0,58,58
198,58.0,58,58
199,58.0,58,58
200,58.0,58,58
201,58.0,58,58
202,58.0,58,58
203,58.0,58,58
204,58.0,58,58
205,58.0,58,58
206,58.0,58,58
207,58.0,58,58
208,58.0,58,58
209,58.0,58,58
210,58.0,58,58
211,58.0,58,58
212,58.0,58,58
213,58.0,58,58
214,58.0,58,58
215,58.0,58,58
216,58.0,58,58
217,58.0,58,58
218,58.0,58,58
219,58.0,58,58
220,58.0,58,58
221,58.0,58,58
222,58.0,58,58
223,58.0,58,58
224,58.0,58,58
225,58.0,58,58
226,58.0,58,58
227,58.0,58,58
228,58.0,58,58
229,58.0,58,58
230,58.0,58,58
231,58.0,58,58
232,58.0,58,58
233,58.0,58,58
234,58.0,58,58
235,58.0,58,58
236,58.0,58,58
237,58.0,58,58
238,58.0,58,58
239,58.0,58,58
240,58.0,58,58
241,58.0,58,58
242,58.0,58,58
243,58.0,58,58
244,58.0,58,58
245,58.0,58,58
246,58.0,58,58
247,58.0,58,58
248,58.0,58,58
249,58.0,58,58
250,58.0,58,58
251,58.0,58,58
252,58.0,58,58
253,58.0,58,58
254,58.0,58,58
255,58.0,58,58
256,58.0,58,58
257,58.0,58,58
258,58.0,58,58
259,58.0,58,58
260,58.0,58,58
261,58.0,58,58
262,58.0,58,58
263,58.0,58,58
264,58.0,58,58
265,58.0,58,58
266,58.0,58,58
267,58.0,58,58
268,58.0,58,58
269,58.0,58,58
270,58.0,58,58
271,58.0,58,58
272,58.0,58,58
273,58.0,58,58
274,58.0,58,58
275,58.0,58,58
276,58.0,58,58
277,58.0,58,58
278,58.0,58,58
279,58.0,58,58
280,58.0,58,58
281,58.0,58,58
282,58.0,58,58
283,58.0,58,58
284,58.0,58,58
285,58.0,58,58
286,58.0,58,58
287,58.0,58,58
