Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.58,100,98
2,99.48,100,97
3,99.52,100,97
4,99.4,100,97
5,99.22,100,97
6,99.1,100,97
7,98.9,100,96
8,98.84,100,96
9,98.68,100,96
10,98.5,100,95
11,98.36,100,95
12,98.34,100,95
13,98.28,100,95
14,98.06,100,95
15,98.14,100,95
16,98.08,100,94
17,98.02,100,94
18,98.14,100,94
19,98.0,100,94
20,97.8,100,94
21,97.66,100,94
22,97.44,100,93
23,97.22,100,93
24,97.12,100,94
25,97.02,100,93
26,96.86,100,94
27,96.8,100,94
28,96.36,99,91
29,96.2,99,91
30,95.96,99,91
31,96.0,99,91
32,95.84,99,91
33,95.68,99,91
34,95.54,99,91
35,95.44,99,91
36,94.88,99,90
37,94.78,99,90
38,94.44,99,90
39,94.16,99,89
40,93.8,99,89
41,93.44,99,89
42,93.2,98,89
43,93.08,98,87
44,92.78,98,87
45,92.44,98,87
46,92.46,98,87
47,92.26,98,87
48,92.1,98,87
49,92.08,98,87
50,91.72,98,87
51,91.42,98,87
52,91.62,98,87
53,91.36,98,86
54,91.08,98,86
55,90.78,98,86
56,90.32,98,84
57,90.28,98,86
58,90.06,98,86
59,89.66,98,84
60,89.22,97,84
61,88.98,97,84
62,88.7,92,84
63,88.52,92,84
64,88.1,92,84
65,87.82,92,84
66,87.6,92,83
67,87.06,92,83
68,86.88,92,83
69,86.38,92,82
70,86.26,92,82
71,85.86,92,82
72,85.34,92,82
73,85.66,92,82
74,85.52,92,81
75,85.4,92,81
76,85.0,91,81
77,84.68,91,80
78,84.24,91,80
79,84.28,91,80
80,83.74,91,80
81,83.46,91,80
82,82.86,91,80
83,82.48,91,79
84,82.42,91,79
85,82.08,91,79
86,81.84,91,79
87,81.72,91,79
88,81.58,91,79
89,81.16,91,78
90,80.92,91,78
91,80.96,91,78
92,80.6,87,77
93,80.18,87,76
94,80.16,87,76
95,80.06,87,76
96,80.0,87,76
97,79.96,87,76
98,79.64,87,76
99,79.54,87,76
100,79.22,83,76
101,79.06,83,76
102,79.02,83,76
103,78.84,82,76
104,78.58,82,76
105,78.3,81,76
106,78.14,81,73
107,77.98,81,73
108,77.86,81,73
109,77.64,81,73
110,77.42,81,73
111,77.4,81,75
112,77.18,81,74
113,77.02,81,74
114,76.82,81,74
115,76.72,81,74
116,76.52,81,74
117,76.32,81,74
118,76.18,81,74
119,75.94,78,74
120,75.64,78,74
121,75.5,78,74
122,75.4,78,73
123,75.24,78,73
124,75.08,78,73
125,75.1,78,73
126,75.04,78,73
127,74.78,78,73
128,74.72,78,73
129,74.58,78,73
130,74.4,78,73
131,74.14,77,73
132,74.1,77,73
133,74.02,77,72
134,73.92,77,72
135,73.84,77,72
136,73.84,77,72
137,73.74,77,71
138,73.66,77,71
139,73.52,77,71
140,73.42,77,71
141,73.44,77,71
142,73.18,75,71
143,73.1,75,71
144,73.0,75,71
145,72.82,75,71
146,72.8,75,71
147,72.56,75,71
