Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.1,100,96
2,99.56,100,96
3,99.18,100,98
4,99.12,100,98
5,99.26,100,98
6,99.36,100,98
7,99.26,100,98
8,99.38,100,98
9,99.4,100,99
10,99.48,100,99
11,99.52,100,99
12,99.48,100,99
13,99.42,100,99
14,99.4,100,99
15,99.36,100,99
16,99.3,100,99
17,99.3,100,99
18,99.44,100,99
19,99.42,100,99
20,99.36,100,99
21,99.26,100,99
22,99.12,100,99
23,99.18,100,99
24,99.14,100,99
25,99.16,100,99
26,99.18,100,99
27,99.22,100,99
28,99.22,100,99
29,99.12,100,99
30,99.1,100,99
31,99.04,100,99
32,99.06,100,99
33,99.06,100,99
34,99.0,99,99
35,99.0,99,99
36,99.0,99,99
37,99.0,99,99
38,99.0,99,99
39,99.0,99,99
40,99.0,99,99
41,99.0,99,99
42,99.0,99,99
43,99.0,99,99
44,99.0,99,99
45,99.0,99,99
46,99.0,99,99
47,99.0,99,99
48,99.0,99,99
49,99.0,99,99
50,99.0,99,99
51,99.0,99,99
52,99.0,99,99
53,99.0,99,99
54,99.0,99,99
55,99.0,99,99
56,99.0,99,99
57,99.0,99,99
58,99.0,99,99
59,99.0,99,99
60,99.0,99,99
61,99.0,99,99
62,99.0,99,99
63,99.0,99,99
64,99.0,99,99
65,99.0,99,99
66,99.0,99,99
67,99.0,99,99
68,99.0,99,99
69,99.0,99,99
70,99.0,99,99
71,99.0,99,99
72,99.0,99,99
73,99.0,99,99
74,99.0,99,99
75,99.0,99,99
76,99.0,99,99
77,99.0,99,99
78,99.0,99,99
79,99.0,99,99
80,99.0,99,99
81,99.0,99,99
82,99.0,99,99
83,99.0,99,99
84,99.0,99,99
85,99.0,99,99
86,99.0,99,99
87,99.0,99,99
88,99.0,99,99
89,99.0,99,99
90,99.0,99,99
91,99.0,99,99
92,99.0,99,99
93,99.0,99,99
94,99.0,99,99
95,99.0,99,99
96,99.0,99,99
97,99.0,99,99
98,99.0,99,99
99,99.0,99,99
100,99.0,99,99
101,99.0,99,99
102,99.0,99,99
103,99.0,99,99
104,99.0,99,99
105,99.0,99,99
106,99.0,99,99
107,99.0,99,99
108,99.0,99,99
109,99.0,99,99
110,99.0,99,99
111,99.0,99,99
112,99.0,99,99
113,99.0,99,99
114,99.0,99,99
115,99.0,99,99
116,99.0,99,99
117,99.0,99,99
118,99.0,99,99
119,99.0,99,99
120,99.0,99,99
121,99.0,99,99
122,99.0,99,99
123,99.0,99,99
124,99.0,99,99
125,99.0,99,99
126,99.0,99,99
127,99.0,99,99
128,99.0,99,99
129,99.0,99,99
130,99.0,99,99
131,99.0,99,99
132,99.0,99,99
133,99.0,99,99
134,99.0,99,99
135,99.0,99,99
136,99.0,99,99
137,99.0,99,99
138,99.0,99,99
139,99.0,99,99
140,99.0,99,99
141,99.0,99,99
142,99.0,99,99
143,99.0,99,99
144,99.0,99,99
145,99.0,99,99
146,99.0,99,99
147,99.0,99,99
148,99.0,99,99
149,99.0,99,99
150,99.0,99,99
151,99.0,99,99
152,99.0,99,99
153,99.0,99,99
154,99.0,99,99
155,99.0,99,99
156,99.0,99,99
157,99.0,99,99
158,99.0,99,99
159,99.0,99,99
160,99.0,99,99
161,99.0,99,99
162,99.0,99,99
163,99.0,99,99
164,99.0,99,99
165,99.0,99,99
166,99.0,99,99
167,99.0,99,99
168,99.0,99,99
169,99.0,99,99
170,99.0,99,99
171,99.0,99,99
172,99.0,99,99
173,99.0,99,99
174,99.0,99,99
175,99.0,99,99
176,99.0,99,99
177,99.0,99,99
178,99.0,99,99
179,99.0,99,99
180,99.0,99,99
181,99.0,99,99
182,99.0,99,99
183,99.0,99,99
184,99.0,99,99
185,99.0,99,99
186,99.0,99,99
187,99.0,99,99
