Generation,Average_Fitness,Worst_Fit,Best_Fit
1,499.9972145807978,558.0964198032933,442.02131408072853
2,501.8752554062836,558.0964198032933,448.7936469741224
3,495.37655590858833,558.0964198032933,415.05849981137897
4,496.8313773864926,558.0964198032933,415.05849981137897
5,493.4768182486921,558.0964198032933,415.05849981137897
6,493.22217381887606,558.0964198032933,415.05849981137897
7,492.75477678626396,558.0964198032933,415.05849981137897
8,494.0220114762689,532.0510916480512,415.05849981137897
9,493.56956157338135,532.0510916480512,415.05849981137897
10,494.5548278719448,532.0510916480512,415.05849981137897
11,487.9274461329428,524.6770084586874,409.0820305955
12,487.7394076710446,524.6770084586874,409.0820305955
13,484.021591883739,524.6770084586874,409.0820305955
14,485.17156309522136,524.6770084586874,409.0820305955
15,481.83415008590106,524.6770084586874,409.0820305955
16,481.794864249,516.2515675772552,409.0820305955
17,481.17941043293854,518.7873960511768,399.9464062900872
18,477.2429627395168,518.7873960511768,409.0820305955
19,475.5371456609335,518.7873960511768,427.73003172097407
20,472.84379573532283,518.7873960511768,427.73003172097407
21,472.63744162232763,518.7873960511768,427.73003172097407
22,473.27802932327455,518.7873960511768,427.73003172097407
23,470.1278950805947,518.7873960511768,427.73003172097407
24,471.8762162999608,518.7873960511768,427.73003172097407
25,473.0627076636502,518.7873960511768,430.84090750660476
26,473.33157417623903,518.7873960511768,430.84090750660476
27,466.4790464635774,518.7873960511768,423.81939397533614
28,465.5723804185454,518.7873960511768,412.777633910631
29,468.368044781002,521.574530192084,412.777633910631
30,469.7987918147271,521.574530192084,412.777633910631
31,464.104663093354,521.574530192084,395.1379114750277
32,463.4545237288656,521.574530192084,387.74895777741284
33,466.6015092499505,521.574530192084,387.74895777741284
34,466.2647907749932,521.574530192084,387.74895777741284
35,467.66006771429596,521.574530192084,387.74895777741284
36,465.3300573063612,521.574530192084,387.74895777741284
37,466.0554502068735,521.574530192084,395.1379114750277
38,468.95068452791725,521.574530192084,395.1379114750277
39,467.98935326239985,521.574530192084,395.1379114750277
40,466.17097232905616,521.574530192084,395.1379114750277
41,463.1765574678305,513.446028762463,395.1379114750277
42,465.11129016708395,513.446028762463,430.84090750660476
43,464.4560885201717,500.91694308556566,430.84090750660476
44,465.4772615831379,500.91694308556566,430.84090750660476
45,465.2985911290369,500.91694308556566,426.26980438917326
46,466.40606411899734,523.6992422932946,419.71229001774344
47,465.06254695134123,523.6992422932946,419.71229001774344
48,466.62215612837895,523.7476259327971,415.0076438822976
49,465.96242213225355,523.7476259327971,419.71229001774344
50,469.47991145094915,523.7476259327971,426.412697059445
51,469.6042416995574,523.7476259327971,424.66195293242157
52,464.75016919409904,523.6992422932946,424.66195293242157
53,464.8975771657852,523.6992422932946,424.66195293242157
54,460.5010015187248,517.7806032961444,415.40374046368373
55,456.4364817291946,517.7806032961444,415.40374046368373
56,456.1369917008823,517.7806032961444,414.4886426206526
57,455.46944651135095,517.7806032961444,411.38713176014375
58,454.73874528633075,517.7806032961444,414.4886426206526
59,452.3718389606072,517.7806032961444,411.6214677499585
60,452.1951529155735,517.7806032961444,411.6214677499585
61,452.6397192313041,517.7806032961444,414.4886426206526
62,451.51623982608197,517.7806032961444,414.4886426206526
63,450.0477124339687,517.7806032961444,411.3778340562689
64,451.3865109933931,517.7806032961444,414.4886426206526
65,448.3287547313263,517.7806032961444,409.39410343998617
66,449.616432263717,517.7806032961444,409.39410343998617
67,448.03765610252043,514.6384422083086,387.0325952791212
68,446.59700286373044,514.6384422083086,387.0325952791212
69,450.54187365923485,514.6384422083086,409.39410343998617
