Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.24,100,97
2,98.88,100,95
3,98.76,100,95
4,98.62,100,94
5,98.52,100,94
6,98.46,100,94
7,98.42,100,94
8,98.26,100,94
9,98.3,100,92
10,98.4,100,92
11,98.38,100,93
12,98.16,100,93
13,98.14,100,93
14,98.08,100,93
15,98.28,100,93
16,98.32,100,93
17,98.26,100,94
18,98.3,100,94
19,98.36,100,94
20,98.14,100,94
21,98.26,100,94
22,98.28,100,94
23,98.04,100,94
24,97.98,100,94
25,97.7,100,94
26,97.38,100,92
27,97.62,100,94
28,97.46,100,94
29,97.66,100,94
30,97.48,100,94
31,97.22,100,92
32,97.36,100,94
33,97.22,100,92
34,97.48,100,94
35,97.12,100,94
36,96.88,100,93
37,96.9,100,93
38,96.88,100,92
39,97.1,100,93
40,96.84,100,93
41,96.7,100,93
42,96.5,100,92
43,96.56,100,92
44,96.7,100,93
45,96.42,100,93
46,96.4,99,93
47,96.42,100,93
48,96.34,100,92
49,96.0,100,91
50,96.12,100,91
51,95.94,99,91
52,95.32,99,91
53,95.38,99,91
54,95.46,99,91
55,95.28,99,86
56,95.28,99,86
57,94.94,99,86
58,94.8,99,86
59,95.44,100,89
60,94.98,99,91
61,94.76,99,91
62,94.24,99,90
63,93.64,99,89
64,93.66,99,90
65,93.64,97,90
66,94.12,97,90
67,94.14,97,90
68,93.72,97,90
69,93.46,97,90
70,93.12,97,90
71,93.18,97,89
72,93.32,97,89
73,93.34,97,87
74,93.62,97,88
75,93.86,97,88
76,93.54,97,85
77,93.2,97,85
78,93.12,97,85
79,93.28,97,85
80,93.0,97,85
81,92.44,97,85
82,91.8,97,85
83,91.36,97,85
84,91.48,97,85
85,91.2,96,85
86,91.3,96,87
87,91.28,96,87
88,91.14,96,87
89,90.52,96,85
90,89.82,96,81
91,89.44,96,81
92,90.36,95,81
93,90.64,95,84
94,90.88,95,85
95,90.76,95,84
96,90.56,95,84
97,90.5,96,84
98,90.6,96,84
99,90.9,96,84
100,90.9,96,86
101,90.46,96,86
102,90.86,96,86
103,90.7,96,86
104,90.92,96,86
105,91.42,96,87
106,90.88,96,85
107,90.76,96,85
108,90.94,95,85
109,90.72,95,85
110,90.28,95,85
111,90.38,95,84
112,89.88,95,84
113,90.08,95,84
114,89.82,95,85
115,89.6,95,85
116,89.5,95,85
117,89.84,95,85
118,90.16,95,86
119,90.12,95,86
120,89.74,95,87
121,90.0,95,87
122,89.78,93,87
123,89.74,93,86
124,89.7,93,86
125,89.82,93,84
126,89.86,93,84
127,89.7,93,84
128,89.92,93,86
129,89.96,93,85
130,89.68,93,85
131,89.3,93,80
132,89.14,93,82
133,88.98,93,82
134,89.16,93,81
135,89.58,95,84
136,89.88,95,86
137,90.62,95,86
138,90.2,95,86
139,90.3,95,85
140,90.84,95,83
141,91.2,95,86
142,91.14,95,86
143,90.62,94,85
144,90.0,94,84
145,90.02,96,84
146,90.42,96,83
147,89.76,96,83
