Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.1,100,97
2,99.0,100,97
3,99.1,100,97
4,98.98,100,97
5,98.8,100,97
6,98.42,100,97
7,98.38,100,97
8,98.28,100,97
9,98.3,100,97
10,98.64,100,97
11,98.94,100,97
12,98.84,100,97
13,99.26,100,97
14,99.08,100,97
15,99.24,100,98
16,99.08,100,98
17,98.76,100,98
18,98.8,100,98
19,98.92,100,98
20,98.72,100,98
21,98.6,100,98
22,98.6,100,98
23,98.44,100,98
24,98.52,100,98
25,98.64,100,98
26,98.72,100,98
27,98.36,100,98
28,98.48,100,98
29,98.52,100,98
30,98.4,100,98
31,98.32,100,98
32,98.28,100,98
33,98.56,100,98
34,98.68,100,98
35,98.56,100,98
36,98.44,100,98
37,98.4,100,98
38,98.12,100,98
39,98.12,100,98
40,98.24,100,98
41,98.12,100,98
42,98.08,100,98
43,98.08,100,98
44,98.0,98,98
45,98.0,98,98
46,98.0,98,98
47,98.0,98,98
48,98.0,98,98
49,98.0,98,98
50,98.0,98,98
51,98.0,98,98
52,98.0,98,98
53,98.0,98,98
54,98.0,98,98
55,98.0,98,98
56,98.0,98,98
57,98.0,98,98
58,98.0,98,98
59,98.0,98,98
60,98.0,98,98
61,98.0,98,98
62,98.0,98,98
63,98.0,98,98
64,98.0,98,98
65,98.0,98,98
66,98.0,98,98
67,98.0,98,98
68,98.0,98,98
69,98.0,98,98
70,98.0,98,98
71,98.0,98,98
72,98.0,98,98
73,98.0,98,98
74,98.0,98,98
75,98.0,98,98
76,98.0,98,98
77,98.0,98,98
78,98.0,98,98
79,98.0,98,98
80,98.0,98,98
81,98.0,98,98
82,98.0,98,98
83,98.0,98,98
84,98.0,98,98
85,98.0,98,98
86,98.0,98,98
87,98.0,98,98
88,98.0,98,98
89,98.0,98,98
90,98.0,98,98
91,98.0,98,98
92,98.0,98,98
93,98.0,98,98
94,98.0,98,98
95,98.0,98,98
96,98.0,98,98
97,98.0,98,98
98,98.0,98,98
99,98.0,98,98
100,98.0,98,98
101,98.0,98,98
102,98.0,98,98
103,98.0,98,98
104,98.0,98,98
105,98.0,98,98
106,98.0,98,98
107,98.0,98,98
108,98.0,98,98
109,98.0,98,98
110,98.0,98,98
111,98.0,98,98
112,98.0,98,98
113,98.0,98,98
114,98.0,98,98
115,98.0,98,98
116,98.0,98,98
117,98.0,98,98
118,98.0,98,98
119,98.0,98,98
120,98.0,98,98
121,98.0,98,98
122,98.0,98,98
123,98.0,98,98
124,98.0,98,98
125,98.0,98,98
126,98.0,98,98
127,98.0,98,98
128,98.0,98,98
129,98.0,98,98
130,98.0,98,98
131,98.0,98,98
132,98.0,98,98
133,98.0,98,98
134,98.0,98,98
135,98.0,98,98
136,98.0,98,98
137,98.0,98,98
138,98.0,98,98
139,98.0,98,98
140,98.0,98,98
141,98.0,98,98
142,98.0,98,98
143,98.0,98,98
144,98.0,98,98
145,98.0,98,98
146,98.0,98,98
147,98.0,98,98
148,98.0,98,98
149,98.0,98,98
150,98.0,98,98
151,98.0,98,98
152,98.0,98,98
153,98.0,98,98
154,98.0,98,98
155,98.0,98,98
156,98.0,98,98
157,98.0,98,98
158,98.0,98,98
159,98.0,98,98
160,98.0,98,98
161,98.0,98,98
162,98.0,98,98
163,98.0,98,98
164,98.0,98,98
165,98.0,98,98
166,98.0,98,98
167,98.0,98,98
168,98.0,98,98
169,98.0,98,98
170,98.0,98,98
171,98.0,98,98
172,98.0,98,98
173,98.0,98,98
174,98.0,98,98
175,98.0,98,98
176,98.0,98,98
177,98.0,98,98
178,98.0,98,98
179,98.0,98,98
180,98.0,98,98
181,98.0,98,98
182,98.0,98,98
183,98.0,98,98
184,98.0,98,98
185,98.0,98,98
186,98.0,98,98
187,98.0,98,98
188,98.0,98,98
189,98.0,98,98
190,98.0,98,98
191,98.0,98,98
192,98.0,98,98
193,98.0,98,98
194,98.0,98,98
195,98.0,98,98
196,98.0,98,98
197,98.0,98,98
198,98.0,98,98
199,98.0,98,98
200,98.0,98,98
201,98.0,98,98
202,98.0,98,98
203,98.0,98,98
204,98.0,98,98
205,98.0,98,98
206,98.0,98,98
207,98.0,98,98
208,98.0,98,98
209,98.0,98,98
210,98.0,98,98
