Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.98,100,95
2,98.7,100,95
3,98.5,100,95
4,98.7,100,95
5,98.6,100,95
6,98.6,100,95
7,98.58,100,96
8,98.58,100,96
9,98.54,100,96
10,98.58,100,96
11,98.56,100,96
12,98.54,100,96
13,98.56,100,96
14,98.46,100,95
15,98.38,100,95
16,98.4,100,95
17,98.34,100,95
18,98.22,100,95
19,97.94,100,95
20,98.1,100,95
21,98.06,100,95
22,97.84,100,95
23,97.58,100,95
24,97.42,100,94
25,97.46,100,92
26,97.36,100,92
27,97.36,100,92
28,96.82,100,92
29,96.58,100,92
30,96.68,100,92
31,96.48,100,92
32,96.42,100,92
33,96.5,100,92
34,96.4,100,92
35,96.1,100,92
36,96.3,100,92
37,96.48,100,92
38,96.24,100,92
39,96.02,99,92
40,96.04,99,92
41,96.04,99,92
42,96.14,99,92
43,95.96,99,92
44,95.58,99,91
45,95.76,99,91
46,95.62,99,91
47,95.6,99,91
48,95.6,99,91
49,95.64,99,91
50,95.32,99,91
51,95.54,99,91
52,95.64,99,91
53,95.66,99,91
54,95.7,99,91
55,95.74,99,91
56,95.66,99,91
57,95.66,99,91
58,95.74,99,91
59,95.72,99,91
60,95.68,99,91
61,95.7,99,91
62,95.66,99,91
63,95.8,99,91
64,95.68,99,91
65,95.54,99,90
66,95.5,98,91
67,95.44,99,91
68,95.22,99,91
69,95.34,99,91
70,95.24,99,91
71,95.28,99,91
72,95.36,99,91
73,95.1,99,91
74,94.78,99,91
75,94.82,99,91
76,94.78,99,91
77,94.96,99,91
78,94.56,97,91
79,94.52,97,91
80,94.6,97,91
81,94.42,97,91
82,94.36,97,90
83,94.54,98,90
84,94.28,98,86
85,94.3,98,86
86,94.26,98,86
87,94.18,98,86
88,94.12,98,86
89,94.12,98,86
90,94.28,98,86
91,94.1,98,86
92,94.16,98,86
93,94.22,98,86
94,94.36,98,91
95,94.38,98,91
96,94.24,99,89
97,94.58,99,89
98,94.54,99,87
99,94.38,99,87
100,94.64,99,89
101,94.64,99,89
102,94.6,99,89
103,94.62,99,87
104,94.7,99,87
105,94.78,99,87
106,94.62,99,87
107,94.52,99,87
108,94.62,99,87
109,94.96,99,90
110,95.1,98,90
111,95.02,98,90
112,94.86,98,90
113,95.02,99,91
114,94.92,99,91
115,95.04,99,91
116,95.1,99,91
117,95.12,99,91
118,95.0,99,91
119,95.16,99,91
120,95.2,99,91
121,95.04,99,91
122,95.12,99,91
123,95.08,98,91
124,95.18,99,91
125,95.08,99,91
126,94.82,98,91
127,94.66,98,91
128,94.58,98,91
129,94.54,98,91
130,94.3,98,89
131,94.12,98,88
132,94.1,98,89
133,94.14,98,89
134,94.04,98,87
135,94.16,98,87
136,94.12,98,87
137,94.54,98,87
138,94.08,98,87
139,93.9,98,88
140,93.9,98,88
141,94.0,98,88
142,94.18,98,88
143,93.96,98,87
144,93.88,98,88
145,93.54,98,88
146,93.76,98,88
147,93.46,98,88
148,93.36,98,88
149,92.96,98,88
150,92.92,98,86
151,93.06,98,86
152,93.18,98,86
153,92.94,98,86
154,92.6,98,86
155,92.52,98,86
156,92.14,98,86
157,92.12,98,86
158,91.6,98,84
159,91.5,98,84
160,91.38,98,83
161,91.88,98,84
162,92.02,98,84
163,91.76,98,83
164,91.8,98,83
165,91.88,98,83
166,92.14,98,83
167,91.74,98,83
168,91.92,98,83
169,91.32,98,82
170,91.62,98,83
171,91.52,97,84
172,91.18,97,86
173,90.94,97,86
174,91.16,98,86
175,91.7,98,86
176,91.28,98,84
177,91.36,98,84
178,91.18,98,82
179,91.42,98,82
180,91.38,98,82
181,91.12,97,84
182,90.92,97,84
183,91.06,97,80
184,90.74,97,84
185,90.56,96,84
186,90.74,96,85
187,90.66,96,85
188,90.32,95,84
189,90.22,95,84
190,90.06,95,84
191,90.02,95,84
192,89.84,95,84
193,89.9,95,84
194,89.66,95,84
195,89.6,95,84
196,89.44,94,84
197,89.5,94,84
198,89.42,94,83
199,89.64,94,84
200,89.7,94,83
201,89.72,94,83
202,89.7,94,83
203,89.64,94,82
204,89.7,94,82
205,89.94,94,82
206,89.98,94,82
207,89.64,94,81
208,89.9,94,81
209,89.7,94,81
210,89.92,94,81
211,89.82,94,81
212,89.74,94,81
213,89.3,93,81
214,89.22,93,84
215,88.84,94,82
216,88.58,93,82
217,88.8,93,83
218,89.14,93,83
219,89.28,93,83
220,89.0,93,83
221,88.54,93,83
222,88.5,93,83
223,88.4,93,83
224,88.34,93,83
225,88.14,93,80
226,88.08,93,80
227,88.82,93,83
