Generation,Average_Fitness,Worst_Fit,Best_Fit
1,482.7668073671059,536.0327122251273,441.4519936703331
2,473.4734103596511,501.59977469906755,441.4519936703331
3,464.0820329663363,493.3546043408423,432.94901421809374
4,454.047616444755,479.32648919945126,422.6044129270554
5,446.2572372376739,467.091188719961,419.3514221798996
6,437.475634208462,462.7969528947343,419.11796723661683
7,427.7266888516858,450.12867912108106,376.14257336959184
8,413.9261165570929,450.12867912108106,364.724891067562
9,402.9120768920734,438.8979232001824,364.724891067562
10,381.9518615370969,432.8087652104202,333.1760683470772
11,365.3945069302414,430.68209125101936,343.31473640435433
12,356.5607155229045,381.25969635261794,330.37790664108473
13,350.1048585450156,369.8339599446651,325.72271099613437
14,346.32756605561946,362.50513593535914,325.72271099613437
15,340.8032524019577,364.63217783941,325.72271099613437
16,331.1977983057731,353.48798502734905,312.56961737540195
17,324.16451503933536,343.31473640435433,312.56961737540195
18,314.72162611667244,340.7950546894012,296.55360907976944
19,304.3427645907048,326.43499496049265,291.37891049309223
20,298.43918825576014,314.6966503975498,285.7983838777757
21,291.2677983798452,303.88491253624943,276.09919585975916
22,282.41826962298876,298.240540257046,255.16452137411017
23,273.2284524109941,296.42717671349624,251.31400991059365
24,263.9497630424564,287.43578012555486,251.31400991059365
25,256.1119462572064,285.6992649332533,244.39335139665346
26,251.57860749110597,270.1478681149759,227.65305539546276
27,246.27550500593068,256.3544063771259,227.65305539546276
28,241.1151244410808,250.95298003083732,227.01614533227678
29,236.33294472116228,247.41090252346078,223.3144394029827
30,233.561627928891,244.39335139665346,223.08393158850478
31,229.34917436851592,242.77677151901386,223.09142790442303
32,226.58582492784922,237.3283886617655,218.74434794543984
33,223.4925294870217,230.51806938047127,215.16230963793475
34,220.0053378432705,227.65305539546276,207.87370001863715
35,216.7169764336148,227.65305539546276,207.87370001863715
36,213.92203099586806,224.5385278088352,205.89970007174136
37,211.52296281210423,221.6187767635235,200.05662176235717
38,206.78326227949557,219.3248226914089,190.62381089788374
39,202.51599758576384,214.66505185824585,190.62381089788374
40,198.53229275989452,211.2550494171233,189.55602002651239
41,193.69382627096886,203.7768418013355,169.61250455959043
42,191.1471627822318,200.05662176235717,169.61250455959043
43,188.98159537260372,200.01087119170307,169.61250455959043
44,180.6389493712555,193.92890016983924,165.16693992157474
45,173.79606905963527,193.72501669354665,156.57566487245504
46,167.73260589614375,189.55602002651239,151.3334544658837
