Generation,Average_Fitness,Worst_Fit,Best_Fit
1,963.372496973009,1015.3779330464542,862.9009860003736
2,922.6388234889284,987.750058899603,783.1144975073498
3,874.1325496366902,950.3688366728195,744.0846618177084
4,846.4082883684671,888.4538441757676,744.0846618177084
5,817.2769256681369,862.9009860003736,739.7679463853735
6,794.3417036401521,840.5417452198981,722.301409283308
7,769.0644907300868,808.9085354945976,694.3153247904897
8,745.2938191916302,783.1144975073498,693.5723297124491
9,723.9643379160875,755.4399057434503,670.7103697481916
10,706.8175319316292,731.4628448533488,655.6983897980738
11,689.5699707201411,713.5628875828285,640.2764397692551
12,674.8600712336552,698.6158776393977,624.8833199821457
13,656.0518594392564,681.0284742324874,605.8691118187174
14,639.593458355034,667.7019223357481,595.0468275059324
15,626.3572372778913,653.4438125636048,563.1787055179647
16,606.7507773988999,637.9735302973196,544.8297655258752
17,584.8771451754101,621.4027042646221,519.0649215220695
18,565.6796476688892,599.4423799587186,519.0649215220695
19,545.8851131531246,581.7747535290121,511.4516928214282
20,530.1941812102465,547.4960580394543,500.1762647269218
21,520.3161986092599,534.7569700092937,493.51776595797634
22,510.149277035496,525.0729361398363,462.89614361344485
23,500.49917748850805,517.2917318224402,462.89614361344485
24,492.29678037908656,507.68665763937145,454.55563675418347
25,482.7143962759702,499.6195973243722,454.55563675418347
26,473.24433622058774,490.9384739363039,437.5365529653051
27,461.29708856249954,478.20984106204213,431.1830297636374
28,453.01747086366123,466.4355950659664,428.74863413907326
29,445.8216921601213,458.5077510017012,428.74863413907326
30,439.42667875612415,449.82620396979274,412.4998864657682
31,433.2412216966322,443.3903862164788,411.72430152471975
32,424.86300462532586,437.58892158458394,393.12032295120497
33,416.6662376310479,429.78286768703276,389.2259250533679
34,406.3867423999937,422.96064999393906,384.4442407885799
35,398.13741178531,411.67975999247227,367.39122601408405
36,390.28468923861465,400.62849524612784,367.39122601408405
37,383.48083480969416,393.28641998526246,358.58446029369617
38,376.24655091486625,388.2319190579865,353.70714473108876
39,367.066942822481,382.35319583994834,338.2468089196705
40,358.2002880349473,372.8664876803669,338.2468089196705
41,352.0557210902791,360.9320391006191,330.32227033456417
42,347.0875822212708,357.01224467375545,330.32227033456417
43,341.10397605890995,353.44941925554167,323.57529386406975
44,334.1445108470624,343.4830364256373,316.60365586529275
45,331.1450718655085,338.2468089196705,316.60365586529275
46,325.88559901938174,332.6254406241284,308.9394590989459
47,321.71134702822036,329.42282139190627,305.364985040426
48,316.8223473218887,324.72143299364797,305.364985040426
49,312.60135193490703,319.43970501778017,300.256853629022
50,308.53796222257193,314.04417994387467,297.79507506438523
51,306.17037889693614,311.30249630593767,297.79507506438523
52,303.2321151640466,308.959669241968,293.2401725773441
53,300.640519573179,306.0972055769538,285.44293581895016
54,297.4731210501608,302.9487460850562,285.44293581895016
55,295.5007607329278,300.8912730046345,285.44293581895016
56,291.9496974803125,298.26306380331073,281.8356607201309
57,288.98418897324376,295.3654015306259,276.39089765189664
58,285.44250047268923,290.8163538944668,276.39089765189664
59,283.5833825062276,286.6175037007613,276.39089765189664
60,282.43033015097603,285.47329070068344,276.39089765189664
61,280.90327676396004,284.2058549009486,272.15122190679256
62,279.8044364661409,282.30390222215163,272.15122190679256
63,278.286534682561,281.7033327214068,267.24915282285275
64,276.53240150368293,280.7453074392304,261.52766999090494
65,272.22194187611507,279.29779655430985,256.72730479562654
66,270.0638207243042,276.8091433478827,256.72730479562654
67,267.31699446898057,273.9394317537127,256.72730479562654
68,264.7845347164552,269.7194998966648,256.72730479562654
69,262.6119611122114,267.24915282285275,253.9046085288281
70,260.7660947671295,264.74922690771734,251.92770107806186
71,259.0778586222899,262.51700133079567,251.92770107806186
72,257.34702461260576,261.2889544582918,250.75575558215616
73,255.46665842368893,259.53901504092937,245.07897997729245
74,253.63078854018696,257.8639589258892,244.6421750572549
75,252.51597529428523,256.70502839596656,244.6421750572549
76,251.18009534483681,254.49219965943777,244.6421750572549
77,250.14847697237718,252.53546636245045,244.6421750572549
78,249.43424834158446,252.00626805482864,244.6421750572549
79,248.47400021898494,251.14659694313593,242.914270380635
80,247.38953807068611,250.02445708666033,242.914270380635
81,246.46247735786633,249.1550353775105,238.57937945663082
82,245.66135667092303,248.21880003556183,238.57937945663082
83,244.98029608423144,247.05993983590315,238.28203962883356
84,244.19461982740143,246.58983604745276,238.28203962883356
85,243.70336213960078,245.9896460822804,238.28203962883356
86,242.69733707719405,245.13272648022397,236.16075433586192
87,241.53240327480887,244.3712800936943,236.16075433586192
88,240.40851355032504,243.24815373966302,233.88579254249535
89,239.5374534874923,242.78044876423058,233.88579254249535
90,238.73423909033465,241.71301139708135,233.88579254249535
91,238.05680956178597,240.58917836030636,233.88579254249535
92,237.56753488549396,239.6234731403986,233.88579254249535
93,237.08486422745366,238.28203962883356,233.88579254249535
94,236.8332374944787,238.28203962883356,233.13404950400428
95,236.23485985513213,237.97185629277953,230.86417140957806
96,235.84405441418951,237.48546189094304,230.86417140957806
97,235.4875776689851,237.09428261766345,230.86417140957806
98,234.98436441406227,236.57943457291256,230.86417140957806
99,234.602128293315,236.16075433586192,230.86417140957806
100,234.14201260642832,235.69689449941296,230.86417140957806
101,233.63548695849778,235.40901129737088,230.4831642232829
102,233.1277250501548,234.70996625140688,230.35580120837733
103,232.8302650561878,233.88579254249535,230.35580120837733
104,232.51181284369292,233.5065477361821,228.98852778752342
105,232.23684371184538,233.26124650029146,228.98852778752342
106,231.85335016357146,233.13404950400428,228.98852778752342
107,231.55656730198788,232.9522325209829,228.98852778752342
108,231.04405407658322,232.79567303093148,228.340608090203
109,230.57203176452214,232.0825571053475,228.340608090203
110,230.20544523313436,231.45419386775768,228.21522168500147
111,229.95917661668034,230.8657579122845,228.21522168500147
112,229.7322078763523,230.58166500986562,228.10537832976698
113,229.51740903181783,230.4831642232829,227.53099377344515
