Generation,Average_Fitness,Best_Fit,Worst_Fit
1,96.3,99,91
2,95.53333333333333,99,89
3,94.8,99,89
4,94.1,99,89
5,93.43333333333334,99,89
6,93.76666666666667,99,87
7,92.56666666666666,99,82
8,92.6,99,82
9,93.13333333333334,99,85
10,91.83333333333333,99,81
11,91.66666666666667,98,84
12,90.93333333333334,97,84
13,90.76666666666667,97,84
14,89.9,95,84
15,88.66666666666667,95,82
16,88.3,93,82
17,88.53333333333333,93,82
18,88.23333333333333,93,85
19,88.23333333333333,93,83
20,88.36666666666666,93,83
21,88.1,93,81
22,88.1,92,83
23,87.53333333333333,92,83
24,87.3,92,80
25,87.56666666666666,92,80
26,87.1,92,79
27,86.46666666666667,92,78
28,86.33333333333333,92,78
29,86.16666666666667,91,79
30,84.83333333333333,91,79
31,84.8,91,79
32,85.86666666666666,91,79
33,84.46666666666667,91,79
34,84.2,91,79
35,83.46666666666667,91,77
36,82.66666666666667,91,74
37,82.03333333333333,89,74
38,80.83333333333333,89,74
39,81.23333333333333,89,76
40,80.93333333333334,89,76
41,80.23333333333333,89,73
42,80.03333333333333,86,73
43,79.73333333333333,86,71
44,79.26666666666667,86,71
45,79.83333333333333,86,72
46,78.4,86,72
47,77.93333333333334,85,73
48,78.63333333333334,85,73
49,78.96666666666667,82,74
50,78.3,82,74
51,77.53333333333333,82,69
52,77.4,82,69
53,77.33333333333333,82,71
54,76.33333333333333,82,71
55,75.83333333333333,81,71
56,76.7,81,71
57,77.43333333333334,81,72
58,77.23333333333333,82,72
59,77.53333333333333,82,72
60,77.53333333333333,82,72
61,76.9,81,72
62,76.63333333333334,81,72
63,76.73333333333333,81,72
64,76.8,83,72
65,76.76666666666667,83,72
66,77.63333333333334,83,72
67,77.63333333333334,83,72
68,78.0,83,72
69,76.46666666666667,80,71
70,76.53333333333333,80,72
71,76.86666666666666,81,72
72,76.3,81,72
73,76.63333333333334,82,72
74,76.86666666666666,82,68
75,76.4,81,68
76,75.23333333333333,81,68
77,75.6,81,68
78,75.6,81,68
79,74.86666666666666,81,69
80,74.16666666666667,81,69
81,72.9,81,67
82,73.0,81,69
83,72.8,81,69
84,72.53333333333333,80,69
85,72.23333333333333,80,69
86,71.73333333333333,78,68
87,71.03333333333333,75,68
88,70.56666666666666,75,66
89,70.73333333333333,75,67
90,70.2,75,66
91,70.1,75,66
92,69.76666666666667,73,67
93,69.6,73,66
94,68.86666666666666,72,66
95,68.46666666666667,72,65
96,68.5,71,65
97,68.5,71,66
98,68.46666666666667,71,66
99,68.2,71,66
100,68.56666666666666,71,65
101,68.3,71,65
102,67.9,71,65
103,67.73333333333333,71,64
104,67.03333333333333,70,64
105,67.13333333333334,70,64
106,67.66666666666667,70,64
107,67.56666666666666,70,64
108,67.1,70,64
109,67.56666666666666,70,65
110,67.8,70,65
111,68.03333333333333,70,65
112,67.9,70,65
113,67.9,70,65
114,67.63333333333334,70,65
115,67.36666666666666,70,65
116,67.13333333333334,69,64
117,67.23333333333333,69,65
118,67.2,69,65
119,67.5,70,65
120,67.46666666666667,70,65
121,67.06666666666666,70,65
122,66.93333333333334,69,66
123,66.73333333333333,69,64
124,66.93333333333334,69,63
125,66.96666666666667,69,63
126,66.8,69,63
127,67.0,69,62
128,66.46666666666667,69,62
129,67.03333333333333,69,62
130,67.1,69,65
131,67.2,69,65
132,67.16666666666667,69,65
133,67.03333333333333,69,65
134,67.43333333333334,69,65
135,67.63333333333334,69,64
136,67.63333333333334,69,64
137,67.7,69,65
138,67.63333333333334,69,65
139,67.9,69,65
140,67.5,69,65
141,68.2,69,66
142,68.43333333333334,69,66
143,68.4,69,66
144,68.36666666666666,69,66
145,67.9,69,64
146,67.7,69,64
147,67.9,69,64
148,67.56666666666666,69,64
149,67.46666666666667,69,64
150,67.26666666666667,69,64
151,67.13333333333334,69,64
152,66.33333333333333,69,64
153,66.1,69,63
154,66.23333333333333,69,63
155,65.83333333333333,69,62
156,65.93333333333334,68,62
157,66.36666666666666,68,62
158,66.03333333333333,68,62
159,65.53333333333333,68,62
160,65.3,68,62
161,64.8,68,62
162,64.83333333333333,68,62
163,64.96666666666667,68,62
164,64.8,68,62
165,64.3,68,62
166,64.3,68,62
167,64.96666666666667,68,62
168,64.83333333333333,68,63
169,65.1,68,63
170,65.0,68,63
171,64.36666666666666,67,62
172,64.23333333333333,66,62
173,64.46666666666667,67,62
174,64.43333333333334,67,62
175,64.46666666666667,67,63
176,64.36666666666666,67,62
177,64.0,65,62
178,64.1,66,63
179,63.833333333333336,65,62
180,63.833333333333336,65,62
181,63.7,65,62
182,63.7,65,62
183,63.733333333333334,65,62
184,63.766666666666666,66,63
185,63.233333333333334,65,62
186,63.3,64,62
187,63.06666666666667,64,62
188,62.9,64,62
189,62.766666666666666,64,62
190,62.86666666666667,64,62
191,63.03333333333333,64,62
192,63.0,64,62
193,62.93333333333333,64,62
194,62.86666666666667,64,62
195,63.03333333333333,64,62
196,63.2,64,63
197,63.233333333333334,64,62
198,63.03333333333333,64,62
199,63.0,64,62
200,63.03333333333333,64,62
