Generation,Average_Fitness,Best_Fit,Worst_Fit
1,95.13333333333334,97,92
2,93.83333333333333,96,91
3,91.93333333333334,94,85
4,90.56666666666666,92,85
5,88.9,91,83
6,86.76666666666667,89,78
7,84.6,88,78
8,81.9,85,73
9,79.9,83,73
10,77.83333333333333,81,72
11,75.56666666666666,79,69
12,73.93333333333334,77,69
13,72.9,75,69
14,72.0,74,69
15,71.1,72,68
16,70.06666666666666,72,68
17,69.06666666666666,70,67
18,68.56666666666666,69,67
19,67.93333333333334,69,67
20,67.26666666666667,68,65
21,66.7,68,65
22,66.06666666666666,67,65
23,65.63333333333334,66,65
24,65.33333333333333,66,65
25,65.0,65,65
26,65.0,65,65
27,65.0,65,65
28,65.0,65,65
29,65.0,65,65
30,64.96666666666667,65,64
31,64.96666666666667,65,64
32,64.96666666666667,65,64
33,64.9,65,64
34,64.9,65,64
35,64.9,65,64
36,64.83333333333333,65,64
37,64.6,65,64
38,64.33333333333333,65,64
39,64.0,64,64
40,64.0,64,64
41,64.0,64,64
42,64.0,64,64
43,64.0,64,64
44,64.0,64,64
45,64.0,64,64
46,64.0,64,64
47,64.0,64,64
48,64.0,64,64
49,64.0,64,64
50,64.0,64,64
51,64.0,64,64
52,63.93333333333333,64,63
53,63.93333333333333,64,63
54,63.93333333333333,64,63
55,63.93333333333333,64,63
56,63.93333333333333,64,63
57,63.86666666666667,64,63
58,63.6,64,63
59,63.4,64,63
60,63.13333333333333,64,63
61,63.0,63,63
62,63.0,63,63
63,63.0,63,63
64,63.0,63,63
65,63.0,63,63
66,63.0,63,63
67,63.0,63,63
68,63.0,63,63
69,63.0,63,63
70,63.0,63,63
71,63.0,63,63
72,63.0,63,63
73,63.0,63,63
74,63.0,63,63
75,63.0,63,63
76,63.0,63,63
77,63.0,63,63
78,63.0,63,63
79,63.0,63,63
80,63.0,63,63
81,63.0,63,63
82,63.0,63,63
83,63.0,63,63
84,63.0,63,63
85,63.0,63,63
86,63.0,63,63
87,63.0,63,63
88,63.0,63,63
89,63.0,63,63
90,63.0,63,63
91,63.0,63,63
92,63.0,63,63
93,63.0,63,63
94,63.0,63,63
95,63.0,63,63
96,63.0,63,63
97,63.0,63,63
98,63.0,63,63
99,63.0,63,63
100,63.0,63,63
101,63.0,63,63
102,63.0,63,63
103,63.0,63,63
104,63.0,63,63
105,63.0,63,63
106,63.0,63,63
107,63.0,63,63
108,63.0,63,63
109,63.0,63,63
110,63.0,63,63
111,63.0,63,63
112,63.0,63,63
113,63.0,63,63
114,63.0,63,63
115,63.0,63,63
116,63.0,63,63
117,63.0,63,63
118,63.0,63,63
119,63.0,63,63
120,63.0,63,63
121,63.0,63,63
122,63.0,63,63
123,63.0,63,63
124,63.0,63,63
125,63.0,63,63
126,63.0,63,63
127,63.0,63,63
128,63.0,63,63
129,63.0,63,63
130,63.0,63,63
131,63.0,63,63
132,63.0,63,63
133,63.0,63,63
134,63.0,63,63
135,63.0,63,63
136,63.0,63,63
137,63.0,63,63
138,63.0,63,63
139,63.0,63,63
140,63.0,63,63
141,63.0,63,63
142,63.0,63,63
143,63.0,63,63
144,63.0,63,63
145,63.0,63,63
146,63.0,63,63
147,63.0,63,63
148,63.0,63,63
149,63.0,63,63
150,63.0,63,63
151,63.0,63,63
152,63.0,63,63
153,63.0,63,63
154,63.0,63,63
155,63.0,63,63
156,63.0,63,63
157,63.0,63,63
158,63.0,63,63
159,63.0,63,63
160,63.0,63,63
161,63.0,63,63
162,63.0,63,63
163,63.0,63,63
164,63.0,63,63
165,63.0,63,63
166,63.0,63,63
167,63.0,63,63
168,63.0,63,63
169,63.0,63,63
170,63.0,63,63
171,63.0,63,63
172,63.0,63,63
173,63.0,63,63
174,63.0,63,63
175,63.0,63,63
176,63.0,63,63
177,63.0,63,63
178,63.0,63,63
179,63.0,63,63
180,63.0,63,63
181,63.0,63,63
182,63.0,63,63
183,63.0,63,63
184,63.0,63,63
185,63.0,63,63
186,63.0,63,63
187,63.0,63,63
188,63.0,63,63
189,63.0,63,63
190,63.0,63,63
191,63.0,63,63
192,63.0,63,63
193,63.0,63,63
194,63.0,63,63
195,63.0,63,63
196,63.0,63,63
197,63.0,63,63
198,63.0,63,63
199,63.0,63,63
200,63.0,63,63
