Generation,Average_Fitness,Best_Fit,Worst_Fit
1,511.407706126326,577.9129639919371,389.4387300726067
2,500.7360178774465,577.9129639919371,389.4387300726067
3,488.36558137892223,577.9129639919371,360.2995735704939
4,485.55950113331556,556.7368463433736,369.85329008956205
5,472.2177001958825,556.7368463433736,354.4241714368188
6,468.5476771929695,556.7368463433736,351.0201535815094
7,463.49005943635893,556.7368463433736,305.29487267076905
8,456.23785370920933,556.7368463433736,305.29487267076905
9,430.88545858343133,516.6882071804586,255.1349130955206
10,427.4815491214797,543.2044766220112,255.1349130955206
11,435.11323881091084,543.2044766220112,336.30698031153645
12,434.7047650944947,543.2044766220112,336.30698031153645
13,437.5339381171856,543.2044766220112,327.15802142096084
14,429.45895747274346,534.2848834399163,331.7692517538349
15,418.5718259784812,513.224606386134,317.33689009094667
16,420.9043151712271,513.224606386134,317.33689009094667
17,413.78052543930374,519.2620678860937,317.33689009094667
18,407.76005150172494,519.2620678860937,298.08329483936643
19,384.7984707240805,503.43141662228874,298.08329483936643
20,376.91053359832256,458.08174934180346,296.60164279397424
21,372.42696455782345,462.59104464855596,300.2926226442897
22,360.14939478634614,456.68189319878184,285.5423718536282
23,353.1850821286024,456.68189319878184,273.0832368814028
24,345.59868126491864,456.68189319878184,259.6476607657652
25,345.3682983796412,456.68189319878184,269.7992212028704
26,330.58211850764604,433.10182022529204,213.30056037290558
27,333.75687331880937,433.10182022529204,213.30056037290558
28,316.18331394399746,419.1517820817087,204.634810240154
29,325.15653099353955,419.1517820817087,233.1857749986514
30,340.8409801764852,419.1517820817087,259.7007629423577
31,333.2473433382157,419.1517820817087,256.9749323378833
32,330.7272877964661,419.1517820817087,263.0544718534802
33,326.2337355799409,410.21715408637584,195.94423721869055
34,316.37397740722986,397.8919264821573,227.63513792428964
35,314.0100374586388,397.8919264821573,227.63513792428964
36,310.43109531429167,397.8919264821573,227.63513792428964
37,305.703198948756,361.61027613999386,225.76390073592518
38,310.6560967512808,343.51329247310804,262.4827032901623
39,306.00769471864317,345.407006097447,250.55632448737137
40,299.2287224034829,345.407006097447,240.38074387277751
41,295.20958909700585,347.76420653762176,241.5683245273679
