Generation,Average_Fitness,Worst_Fit,Best_Fit
1,95.96666666666667,98,90
2,95.9,99,90
3,95.16666666666667,99,89
4,94.5,99,88
5,93.83333333333333,99,88
6,94.0,99,88
7,92.96666666666667,98,87
8,92.03333333333333,98,84
9,91.46666666666667,98,84
10,91.7,98,84
11,92.46666666666667,98,84
12,91.6,97,84
13,91.8,98,86
14,91.06666666666666,98,84
15,89.93333333333334,97,82
16,90.1,97,82
17,90.13333333333334,97,83
18,89.2,96,83
19,89.26666666666667,96,82
20,89.0,95,82
21,90.03333333333333,95,82
22,89.5,95,82
23,89.63333333333334,94,82
24,89.86666666666666,94,82
25,89.96666666666667,94,82
26,89.73333333333333,94,84
27,89.33333333333333,94,82
28,89.13333333333334,94,82
29,88.46666666666667,93,82
30,88.0,93,81
31,87.3,93,79
32,86.9,93,81
33,85.9,93,76
34,87.0,93,82
35,86.36666666666666,93,82
36,86.33333333333333,93,81
37,85.63333333333334,93,81
38,85.3,93,81
39,84.96666666666667,93,81
40,84.6,93,81
41,83.96666666666667,93,80
42,83.8,93,80
43,83.96666666666667,93,80
44,84.2,93,80
45,84.03333333333333,93,79
46,82.93333333333334,93,76
47,81.96666666666667,87,76
48,81.66666666666667,87,77
49,81.66666666666667,87,77
50,81.43333333333334,87,75
51,80.66666666666667,86,73
52,80.36666666666666,84,74
53,80.33333333333333,85,74
54,79.53333333333333,84,74
55,80.0,84,74
56,80.06666666666666,84,76
57,79.5,82,74
58,79.5,82,74
59,79.36666666666666,84,74
60,78.9,84,74
61,78.7,84,74
62,78.06666666666666,81,74
63,77.96666666666667,81,74
64,78.0,81,74
65,77.36666666666666,81,72
66,77.5,81,72
67,77.53333333333333,81,72
68,78.0,81,72
69,77.93333333333334,81,72
70,78.63333333333334,81,76
71,78.7,81,75
72,78.63333333333334,81,75
73,78.46666666666667,82,75
74,78.13333333333334,82,74
75,78.46666666666667,83,72
76,78.76666666666667,83,72
77,78.56666666666666,83,75
78,78.7,83,75
79,78.56666666666666,83,74
80,78.46666666666667,83,73
81,78.26666666666667,81,75
82,77.66666666666667,81,75
83,77.26666666666667,81,74
84,77.13333333333334,81,72
85,77.1,81,72
86,77.26666666666667,81,74
87,78.1,81,74
88,77.43333333333334,81,73
89,77.1,80,72
90,76.83333333333333,80,72
91,76.7,80,72
92,77.06666666666666,81,73
93,76.9,80,73
94,77.23333333333333,80,73
95,77.7,80,74
96,77.13333333333334,80,74
97,76.9,80,74
98,76.4,80,73
99,76.2,80,72
100,75.53333333333333,78,71
101,75.2,78,71
102,74.93333333333334,78,71
103,74.7,78,70
104,74.36666666666666,78,71
105,74.36666666666666,78,71
106,74.06666666666666,78,71
107,74.06666666666666,78,71
108,73.73333333333333,78,70
109,73.36666666666666,78,70
110,72.9,77,70
111,72.53333333333333,77,70
112,72.2,77,69
113,72.2,76,69
114,72.16666666666667,76,69
115,71.86666666666666,76,68
116,71.76666666666667,76,68
117,71.9,76,67
118,71.93333333333334,76,69
119,71.66666666666667,75,69
120,71.5,74,69
121,71.3,74,69
122,71.0,73,67
123,71.56666666666666,74,68
124,71.3,74,68
125,71.3,74,68
126,70.9,74,68
127,70.2,74,68
128,70.4,74,67
129,71.06666666666666,74,67
130,70.76666666666667,74,67
131,70.73333333333333,73,67
132,70.16666666666667,73,66
133,70.06666666666666,73,66
134,69.36666666666666,73,66
135,68.63333333333334,73,66
136,68.5,72,65
137,68.46666666666667,72,65
138,68.0,72,65
139,67.9,72,65
140,67.2,72,65
141,67.06666666666666,72,65
142,66.73333333333333,70,65
143,67.06666666666666,70,65
144,66.76666666666667,70,63
145,67.13333333333334,70,63
146,67.0,70,63
147,66.76666666666667,70,63
148,66.16666666666667,70,63
149,66.26666666666667,70,63
150,66.33333333333333,70,63
151,66.6,70,63
152,66.66666666666667,70,63
153,66.26666666666667,70,63
154,66.56666666666666,70,65
155,67.06666666666666,70,65
156,66.96666666666667,70,65
157,66.66666666666667,69,65
158,66.83333333333333,69,65
159,66.73333333333333,69,65
160,66.53333333333333,69,65
161,66.66666666666667,69,65
162,66.66666666666667,69,66
163,66.56666666666666,69,66
164,66.5,70,65
165,66.9,69,65
166,67.16666666666667,69,66
167,66.93333333333334,69,65
168,66.56666666666666,69,65
169,66.5,69,64
170,66.3,69,64
171,66.36666666666666,69,64
172,66.8,69,64
173,67.1,69,64
174,67.1,70,63
175,67.4,71,63
176,67.6,71,63
177,67.8,71,63
178,67.43333333333334,71,63
179,67.4,71,63
180,67.7,71,63
181,67.03333333333333,70,63
182,66.76666666666667,70,63
183,67.46666666666667,70,63
184,68.13333333333334,70,63
185,68.1,70,63
186,68.3,71,64
187,68.53333333333333,71,67
188,68.66666666666667,70,67
189,68.8,70,68
190,68.63333333333334,70,68
191,68.43333333333334,70,66
192,68.16666666666667,70,65
193,68.13333333333334,70,65
194,68.0,70,65
195,67.9,71,65
196,68.2,71,65
197,68.43333333333334,71,66
198,68.3,71,66
199,68.26666666666667,71,66
200,68.36666666666666,71,66
