Generation,Average_Fitness,Best_Fit,Worst_Fit
1,96.83333333333333,100,92
2,96.56666666666666,100,92
3,95.93333333333334,100,88
4,95.46666666666667,100,88
5,94.96666666666667,98,88
6,94.73333333333333,98,87
7,94.13333333333334,98,87
8,94.7,98,88
9,94.36666666666666,98,86
10,94.53333333333333,98,86
11,94.6,98,89
12,93.96666666666667,98,89
13,94.03333333333333,98,89
14,93.8,98,89
15,93.26666666666667,98,88
16,92.73333333333333,97,89
17,92.46666666666667,97,88
18,92.36666666666666,97,88
19,91.53333333333333,97,85
20,91.33333333333333,97,84
21,91.83333333333333,97,85
22,91.13333333333334,97,82
23,90.9,97,82
24,90.93333333333334,96,83
25,90.76666666666667,96,83
26,90.33333333333333,96,83
27,90.4,96,83
28,89.63333333333334,95,83
29,90.23333333333333,95,83
30,90.7,95,83
31,90.7,95,84
32,90.13333333333334,95,83
33,90.13333333333334,95,83
34,90.26666666666667,95,84
35,89.76666666666667,95,84
36,89.6,95,84
37,89.1,94,84
38,89.06666666666666,94,84
39,88.43333333333334,94,82
40,87.7,93,81
41,88.3,93,82
42,87.2,93,82
43,87.1,91,82
44,86.76666666666667,91,80
45,86.73333333333333,91,80
46,86.43333333333334,91,80
47,85.56666666666666,91,80
48,86.03333333333333,91,82
49,86.3,90,82
50,85.86666666666666,90,82
51,85.36666666666666,90,82
52,84.23333333333333,88,80
53,84.6,88,82
54,84.26666666666667,88,82
55,84.13333333333334,88,79
56,83.93333333333334,88,78
57,83.8,88,79
58,83.7,88,79
59,83.83333333333333,88,79
60,83.23333333333333,88,77
61,82.8,88,78
62,82.8,88,77
63,83.2,88,78
64,83.26666666666667,87,78
65,83.26666666666667,87,78
66,82.73333333333333,87,78
67,82.26666666666667,87,78
68,82.6,87,78
69,82.5,87,78
70,82.16666666666667,87,77
71,82.16666666666667,87,78
72,82.0,87,76
73,81.5,87,75
74,82.1,87,75
75,82.1,87,75
76,82.03333333333333,87,75
77,82.1,87,75
78,81.93333333333334,87,75
79,81.73333333333333,87,76
80,81.63333333333334,87,76
81,81.46666666666667,87,76
82,81.26666666666667,87,76
83,81.0,87,75
84,81.1,87,76
85,80.66666666666667,87,75
86,80.43333333333334,86,75
87,80.66666666666667,86,75
88,80.46666666666667,86,76
89,80.1,86,75
90,80.23333333333333,86,75
91,80.1,85,75
92,79.6,85,74
93,79.66666666666667,85,75
94,78.76666666666667,84,75
95,78.8,84,75
96,78.96666666666667,84,75
97,78.86666666666666,84,75
98,78.83333333333333,84,74
99,79.0,84,72
100,78.5,84,72
101,78.5,86,72
102,78.56666666666666,86,72
103,78.33333333333333,82,72
104,78.1,82,72
105,77.93333333333334,82,72
106,77.13333333333334,82,72
107,76.86666666666666,82,72
108,76.76666666666667,82,72
109,76.36666666666666,81,72
110,76.53333333333333,81,72
111,76.16666666666667,81,72
112,76.13333333333334,81,72
113,75.76666666666667,81,72
114,75.9,82,72
115,75.93333333333334,82,72
116,75.43333333333334,79,71
117,75.13333333333334,79,71
118,75.26666666666667,79,71
119,75.06666666666666,79,71
120,75.06666666666666,78,71
121,74.56666666666666,78,70
122,75.5,78,71
123,75.63333333333334,78,71
124,75.7,78,71
125,75.6,78,71
126,75.1,78,71
127,74.7,78,70
128,74.63333333333334,78,71
129,74.5,78,71
130,74.63333333333334,78,71
131,74.73333333333333,78,71
132,74.83333333333333,78,71
133,74.7,78,71
134,74.36666666666666,78,71
135,74.3,77,71
136,74.2,77,70
137,74.13333333333334,77,70
138,74.46666666666667,76,70
139,74.2,76,70
140,74.03333333333333,76,70
141,73.93333333333334,77,70
142,73.6,76,70
143,73.2,76,70
144,73.23333333333333,76,70
145,73.06666666666666,76,70
146,72.53333333333333,76,68
147,72.76666666666667,76,69
148,72.66666666666667,76,69
149,72.9,76,69
150,73.06666666666666,76,69
151,73.03333333333333,76,69
152,72.96666666666667,76,69
153,73.0,76,70
154,72.96666666666667,76,70
155,72.56666666666666,75,70
156,72.4,75,70
157,72.6,75,70
158,72.9,75,71
159,72.9,75,71
160,72.96666666666667,76,70
161,72.93333333333334,76,70
162,72.93333333333334,76,70
163,72.7,76,69
164,72.86666666666666,77,69
165,73.03333333333333,77,70
166,72.86666666666666,77,70
167,72.73333333333333,78,70
168,72.86666666666666,77,70
169,72.5,75,70
170,72.16666666666667,75,69
171,72.33333333333333,74,69
172,72.5,75,69
173,72.6,75,70
174,72.33333333333333,75,68
175,72.46666666666667,75,68
176,72.46666666666667,75,68
177,72.8,75,71
178,73.03333333333333,75,71
179,73.23333333333333,77,71
180,73.1,77,68
181,72.83333333333333,75,68
182,72.9,75,68
183,72.76666666666667,75,68
184,72.73333333333333,75,66
185,72.43333333333334,75,66
186,72.16666666666667,75,66
187,72.13333333333334,74,66
188,72.16666666666667,74,66
189,72.0,74,66
190,72.06666666666666,74,66
191,72.03333333333333,74,66
192,72.0,74,69
193,72.13333333333334,74,69
194,72.23333333333333,74,69
195,72.2,74,69
196,72.0,74,67
197,71.8,74,67
198,71.46666666666667,74,67
199,71.66666666666667,74,68
200,71.73333333333333,74,68
