Generation,Average_Fitness,Best_Fit,Worst_Fit
1,497.40121807073064,572.1819978203489,355.200059822232
2,475.09057567448934,572.1819978203489,352.90383220111744
3,455.87811244100544,553.4216209272396,308.995021434735
4,440.33327184793546,553.4216209272396,308.995021434735
5,437.7264134002779,553.4216209272396,283.1528726288123
6,421.06386203538085,553.4216209272396,244.51373229431408
7,400.39224324300505,553.4216209272396,227.51908543997712
8,380.822039827752,545.4153969702645,225.6458014705052
9,369.38227688412456,545.4153969702645,248.68060697658584
10,356.2807556013869,545.4153969702645,242.55583776255054
11,327.0756584043878,545.4153969702645,206.61419388238411
12,299.66018510972987,542.234361427859,214.45068812771217
13,292.9724266502333,542.234361427859,203.84910761180862
14,288.71447734899556,542.234361427859,203.84910761180862
15,275.2782481863305,542.234361427859,201.45745310532223
16,259.46586808245434,542.234361427859,186.20804336313458
17,256.2129747656982,542.234361427859,179.40021235887883
18,242.85586125579454,542.234361427859,173.72364720127064
19,229.47837753514852,542.234361427859,144.41831204014872
20,218.98832995764144,542.234361427859,148.26445350474074
21,206.77562549209262,315.68993671297164,144.46459788444153
22,212.7982509067316,315.68993671297164,149.61075299878905
23,204.08418663930655,315.68993671297164,149.61075299878905
24,189.91394643589007,270.74213855482765,138.2945054205233
25,187.64946726324743,270.74213855482765,136.14193771228534
26,178.78857418131759,270.74213855482765,136.14193771228534
27,177.30030562404417,270.74213855482765,136.14193771228534
28,172.53184195975388,270.74213855482765,136.14193771228534
29,165.01136872412448,209.1709791147616,136.93295004406338
30,162.67255503658134,209.1709791147616,136.93295004406338
31,162.7745807361226,209.1709791147616,136.93295004406338
32,160.72222067825052,209.1709791147616,136.93295004406338
33,154.1637969010286,204.8175627407482,135.11002824592657
34,154.62586282301464,204.8175627407482,136.51832152296944
35,153.95542471451216,204.8175627407482,136.51832152296944
36,151.07664410653277,204.8175627407482,136.51832152296944
37,146.4493610483754,167.3911272406154,135.11002824592657
38,143.62863436102307,163.45828153593345,129.12438104694078
39,141.93822172352355,163.45828153593345,129.12438104694078
40,139.72812437848395,153.85788058281412,128.64276735416186
41,138.82740626783874,164.14284130418767,125.79247151585245
42,139.64588881167558,158.6427673541619,129.43226739127002
43,138.87323172157357,158.6427673541619,129.43226739127002
44,139.8566520723765,158.6427673541619,127.52531445344157
45,138.89618211614828,158.6427673541619,127.52531445344157
46,139.9921206878954,158.6427673541619,131.8639079677334
47,140.95296930669483,158.6427673541619,131.8639079677334
