Generation,Average_Fitness,Best_Fit,Worst_Fit
1,97.06666666666666,99,91
2,96.93333333333334,99,91
3,97.96666666666667,99,96
4,97.63333333333334,99,96
5,97.2,99,96
6,97.26666666666667,99,96
7,97.2,99,96
8,97.36666666666666,99,96
9,97.26666666666667,99,96
10,97.4,99,96
11,97.16666666666667,99,96
12,96.4,99,96
13,96.8,99,96
14,97.0,99,96
15,96.5,99,96
16,96.6,99,96
17,96.5,99,96
18,96.5,99,96
19,96.3,99,96
20,96.0,96,96
21,96.0,96,96
22,96.0,96,96
23,96.0,96,96
24,96.0,96,96
25,96.0,96,96
26,96.0,96,96
27,96.0,96,96
28,96.0,96,96
29,96.0,96,96
30,96.0,96,96
31,96.0,96,96
32,96.0,96,96
33,96.0,96,96
34,96.0,96,96
35,96.0,96,96
36,96.0,96,96
37,96.0,96,96
38,96.0,96,96
39,96.0,96,96
40,96.0,96,96
41,96.0,96,96
42,96.0,96,96
43,96.0,96,96
44,96.0,96,96
45,96.0,96,96
46,96.0,96,96
47,96.0,96,96
48,96.0,96,96
49,96.0,96,96
50,96.0,96,96
51,96.0,96,96
52,96.0,96,96
53,96.0,96,96
54,96.0,96,96
55,96.0,96,96
56,96.0,96,96
57,96.0,96,96
58,96.0,96,96
59,96.0,96,96
60,96.0,96,96
61,96.0,96,96
62,96.0,96,96
63,96.0,96,96
64,96.0,96,96
65,96.0,96,96
66,96.0,96,96
67,96.0,96,96
68,96.0,96,96
69,96.0,96,96
70,96.0,96,96
71,96.0,96,96
72,96.0,96,96
73,96.0,96,96
74,96.0,96,96
75,96.0,96,96
76,96.0,96,96
77,96.0,96,96
78,96.0,96,96
79,96.0,96,96
80,96.0,96,96
81,96.0,96,96
82,96.0,96,96
83,96.0,96,96
84,96.0,96,96
85,96.0,96,96
86,96.0,96,96
87,96.0,96,96
88,96.0,96,96
89,96.0,96,96
90,96.0,96,96
91,96.0,96,96
92,96.0,96,96
93,96.0,96,96
94,96.0,96,96
95,96.0,96,96
96,96.0,96,96
97,96.0,96,96
98,96.0,96,96
99,96.0,96,96
100,96.0,96,96
101,96.0,96,96
102,96.0,96,96
103,96.0,96,96
104,96.0,96,96
105,96.0,96,96
106,96.0,96,96
107,96.0,96,96
108,96.0,96,96
109,96.0,96,96
110,96.0,96,96
111,96.0,96,96
112,96.0,96,96
113,96.0,96,96
114,96.0,96,96
115,96.0,96,96
116,96.0,96,96
117,96.0,96,96
118,96.0,96,96
119,96.0,96,96
120,96.0,96,96
121,96.0,96,96
122,96.0,96,96
123,96.0,96,96
124,96.0,96,96
125,96.0,96,96
126,96.0,96,96
127,96.0,96,96
128,96.0,96,96
129,96.0,96,96
130,96.0,96,96
131,96.0,96,96
132,96.0,96,96
133,96.0,96,96
134,96.0,96,96
135,96.0,96,96
136,96.0,96,96
137,96.0,96,96
138,96.0,96,96
139,96.0,96,96
140,96.0,96,96
141,96.0,96,96
142,96.0,96,96
143,96.0,96,96
144,96.0,96,96
145,96.0,96,96
146,96.0,96,96
147,96.0,96,96
148,96.0,96,96
149,96.0,96,96
150,96.0,96,96
151,96.0,96,96
152,96.0,96,96
153,96.0,96,96
154,96.0,96,96
155,96.0,96,96
156,96.0,96,96
157,96.0,96,96
158,96.0,96,96
159,96.0,96,96
160,96.0,96,96
161,96.0,96,96
162,96.0,96,96
163,96.0,96,96
164,96.0,96,96
165,96.0,96,96
166,96.0,96,96
167,96.0,96,96
168,96.0,96,96
169,96.0,96,96
170,96.0,96,96
171,96.0,96,96
172,96.0,96,96
173,96.0,96,96
174,96.0,96,96
175,96.0,96,96
176,96.0,96,96
177,96.0,96,96
178,96.0,96,96
179,96.0,96,96
180,96.0,96,96
181,96.0,96,96
182,96.0,96,96
183,96.0,96,96
184,96.0,96,96
185,96.0,96,96
186,96.0,96,96
187,96.0,96,96
188,96.0,96,96
189,96.0,96,96
190,96.0,96,96
191,96.0,96,96
192,96.0,96,96
193,96.0,96,96
194,96.0,96,96
195,96.0,96,96
196,96.0,96,96
197,96.0,96,96
198,96.0,96,96
199,96.0,96,96
200,96.0,96,96
