Generation,Average_Fitness,Best_Fit,Worst_Fit
1,922.4458775206338,1084.95360748244,435.40266777516905
2,778.2176969425467,1084.95360748244,315.64020965620847
3,707.255214079896,1059.308781436278,305.1766512628948
4,584.7808056195415,1052.3255223262495,293.25929013753625
5,534.5270840474549,1014.1341045215405,293.25929013753625
6,430.21580481027524,1014.1341045215405,288.2272669026786
7,404.5131938880772,1011.2703784479589,288.2272669026786
8,367.0368953319559,1011.2703784479589,283.08908451635847
9,366.35534298549527,1011.2703784479589,283.08908451635847
10,364.9957769309561,1011.2703784479589,283.08908451635847
11,361.9892983000837,1011.2703784479589,283.08908451635847
12,334.8567119778337,1011.2703784479589,283.08908451635847
13,310.4127294339031,954.5491788459094,283.08908451635847
14,309.93362951587915,954.5491788459094,283.08908451635847
15,309.93362951587915,954.5491788459094,283.08908451635847
16,306.79947403298985,954.5491788459094,283.08908451635847
17,306.79947403298985,954.5491788459094,283.08908451635847
18,284.4174708886716,297.46208205707615,283.08908451635847
19,284.0784640346323,297.46208205707615,283.08908451635847
20,284.0784640346323,297.46208205707615,283.08908451635847
21,283.42809137039774,293.25929013753625,283.08908451635847
22,282.88033018645297,293.25929013753625,278.98087563677296
23,281.44580096452427,283.08908451635847,278.98087563677296
24,281.1719203725519,283.08908451635847,278.98087563677296
25,280.7610994845934,283.08908451635847,278.98087563677296
26,280.3502785966348,283.08908451635847,278.98087563677296
27,280.2133383006486,283.08908451635847,278.98087563677296
28,279.93945770867623,283.08908451635847,278.98087563677296
29,279.93945770867623,283.08908451635847,278.98087563677296
30,279.80251741269,283.08908451635847,278.98087563677296
31,279.6655771167039,283.08908451635847,278.98087563677296
32,279.6655771167039,283.08908451635847,278.98087563677296
33,279.3916965247315,283.08908451635847,278.98087563677296
34,278.98087563677296,278.98087563677296,278.98087563677296
35,278.98087563677296,278.98087563677296,278.98087563677296
36,278.98087563677296,278.98087563677296,278.98087563677296
37,278.98087563677296,278.98087563677296,278.98087563677296
38,278.98087563677296,278.98087563677296,278.98087563677296
39,278.98087563677296,278.98087563677296,278.98087563677296
40,278.98087563677296,278.98087563677296,278.98087563677296
41,278.98087563677296,278.98087563677296,278.98087563677296
42,278.98087563677296,278.98087563677296,278.98087563677296
43,278.98087563677296,278.98087563677296,278.98087563677296
44,278.98087563677296,278.98087563677296,278.98087563677296
45,278.98087563677296,278.98087563677296,278.98087563677296
46,278.98087563677296,278.98087563677296,278.98087563677296
47,278.98087563677296,278.98087563677296,278.98087563677296
48,278.98087563677296,278.98087563677296,278.98087563677296
49,278.98087563677296,278.98087563677296,278.98087563677296
50,278.98087563677296,278.98087563677296,278.98087563677296
51,278.98087563677296,278.98087563677296,278.98087563677296
52,278.98087563677296,278.98087563677296,278.98087563677296
53,278.98087563677296,278.98087563677296,278.98087563677296
54,278.98087563677296,278.98087563677296,278.98087563677296
55,278.98087563677296,278.98087563677296,278.98087563677296
56,278.98087563677296,278.98087563677296,278.98087563677296
57,278.98087563677296,278.98087563677296,278.98087563677296
58,278.98087563677296,278.98087563677296,278.98087563677296
59,278.98087563677296,278.98087563677296,278.98087563677296
60,278.98087563677296,278.98087563677296,278.98087563677296
61,278.98087563677296,278.98087563677296,278.98087563677296
62,278.98087563677296,278.98087563677296,278.98087563677296
63,278.98087563677296,278.98087563677296,278.98087563677296
64,278.98087563677296,278.98087563677296,278.98087563677296
65,278.98087563677296,278.98087563677296,278.98087563677296
66,278.98087563677296,278.98087563677296,278.98087563677296
67,278.98087563677296,278.98087563677296,278.98087563677296
68,278.98087563677296,278.98087563677296,278.98087563677296
69,278.98087563677296,278.98087563677296,278.98087563677296
70,278.98087563677296,278.98087563677296,278.98087563677296
71,278.98087563677296,278.98087563677296,278.98087563677296
72,278.98087563677296,278.98087563677296,278.98087563677296
73,278.98087563677296,278.98087563677296,278.98087563677296
74,278.98087563677296,278.98087563677296,278.98087563677296
75,278.98087563677296,278.98087563677296,278.98087563677296
76,278.98087563677296,278.98087563677296,278.98087563677296
77,278.98087563677296,278.98087563677296,278.98087563677296
78,278.98087563677296,278.98087563677296,278.98087563677296
79,278.98087563677296,278.98087563677296,278.98087563677296
80,278.98087563677296,278.98087563677296,278.98087563677296
81,278.98087563677296,278.98087563677296,278.98087563677296
82,278.98087563677296,278.98087563677296,278.98087563677296
83,278.98087563677296,278.98087563677296,278.98087563677296
84,278.98087563677296,278.98087563677296,278.98087563677296
85,278.98087563677296,278.98087563677296,278.98087563677296
86,278.98087563677296,278.98087563677296,278.98087563677296
87,278.98087563677296,278.98087563677296,278.98087563677296
88,278.98087563677296,278.98087563677296,278.98087563677296
89,278.98087563677296,278.98087563677296,278.98087563677296
90,278.98087563677296,278.98087563677296,278.98087563677296
91,278.98087563677296,278.98087563677296,278.98087563677296
92,278.98087563677296,278.98087563677296,278.98087563677296
93,278.98087563677296,278.98087563677296,278.98087563677296
94,278.98087563677296,278.98087563677296,278.98087563677296
95,278.98087563677296,278.98087563677296,278.98087563677296
96,278.98087563677296,278.98087563677296,278.98087563677296
97,278.98087563677296,278.98087563677296,278.98087563677296
98,278.98087563677296,278.98087563677296,278.98087563677296
99,278.98087563677296,278.98087563677296,278.98087563677296
