Generation,Average_Fitness,Worst_Fit,Best_Fit
1,991.4445369223904,1057.9463039497564,890.0357694316452
2,982.4150462540711,1057.9463039497564,890.0357694316452
3,986.2728387893922,1081.3859638674778,868.7696911366037
4,993.1832181035388,1081.3859638674778,900.0384229578918
5,987.0925597580643,1081.3859638674778,900.0384229578918
6,985.3263278557914,1081.3859638674778,886.2783223327738
7,984.252743140571,1066.5578774260123,886.2783223327738
8,979.3441977103688,1066.5578774260123,892.0390927786988
9,981.3449865124453,1066.5578774260123,914.7968139923194
10,981.4290907887125,1066.5578774260123,905.294419920424
11,982.4190305490202,1067.4295618546241,893.2809335271347
12,987.1016880954435,1067.4295618546241,897.7831283310098
13,994.5931896441522,1067.4295618546241,897.7831283310098
14,987.1086497249904,1067.4295618546241,868.8468754610134
15,970.0099087952409,1087.22901073232,868.8468754610134
16,965.11461584169,1087.22901073232,827.3218132469652
17,958.8058117448167,1087.22901073232,827.3218132469652
18,962.3659809248768,1087.22901073232,827.3218132469652
19,966.8169257648516,1087.22901073232,827.3218132469652
20,958.9556781219753,1087.22901073232,827.3218132469652
21,954.6067835435678,1064.3048088414657,827.3218132469652
22,954.4369476682318,1064.3048088414657,851.8758633231911
23,961.2404637050115,1087.927407359771,873.1698797721028
24,970.347161237982,1087.927407359771,884.2168915196876
25,967.3843338982281,1087.927407359771,871.7112540021005
26,958.1029260518164,1087.927407359771,871.7112540021005
27,958.8234591696563,1087.927407359771,871.7112540021005
28,954.966187469859,1087.927407359771,871.7112540021005
29,944.8706975770723,1066.2976010053485,849.8756861334095
30,948.464017572806,1032.4689943589485,859.8259647577764
31,950.0628934778549,1032.4689943589485,863.5325370775483
32,943.136496628741,1013.1074182408831,848.5927193585566
33,946.9173197278926,1017.0050764765165,839.7017010964236
34,941.1164039104742,1013.1074182408831,839.7017010964236
35,939.6269970576336,1007.4862029801792,839.7017010964236
36,940.7431855634933,1018.6615378479564,827.5468812353471
37,936.6066982213351,1018.6615378479564,819.4264250881789
38,936.8644234020117,1018.6615378479564,827.5468812353471
39,940.5402900464095,1033.3572360286093,827.5468812353471
40,930.6687904664307,1018.6615378479564,816.4824073401057
41,925.4108810812878,1018.6615378479564,832.0581157315981
42,922.9255750085498,1018.6615378479564,832.0581157315981
43,916.723682791844,1018.6615378479564,832.0581157315981
44,924.1488394669572,1018.6615378479564,842.7270235540196
45,927.0363968188278,1018.6615378479564,834.2190031690112
46,918.3324091466042,1052.7333063791675,834.2190031690112
47,915.9801653132895,1052.7333063791675,834.2190031690112
48,919.5194513547258,1052.7333063791675,834.2190031690112
49,915.7698560929193,1052.7333063791675,834.2190031690112
50,919.293235828431,1052.7333063791675,814.2972280319726
51,923.7094772328064,1052.7333063791675,814.2972280319726
52,923.5723011375941,1052.7333063791675,836.0201588770173
53,914.4767812474405,1052.7333063791675,835.8024896431839
54,922.8122158944248,1052.7333063791675,835.8024896431839
55,926.7155604030346,1052.7333063791675,835.8024896431839
56,920.2742993230371,1052.7333063791675,835.8024896431839
57,919.4907811958483,1052.7333063791675,835.8024896431839
