Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.48,100,96
2,99.38,100,96
3,99.46,100,96
4,99.46,100,96
5,99.2,100,96
6,99.18,100,96
7,99.22,100,96
8,99.26,100,96
9,99.3,100,96
10,99.16,100,96
11,98.98,100,96
12,99.08,100,96
13,99.1,100,97
14,99.16,100,97
15,99.08,100,97
16,99.12,100,97
17,99.24,100,97
18,99.28,100,97
19,99.3,100,97
20,99.28,100,97
21,99.22,100,97
22,99.08,100,97
23,99.16,100,97
24,99.2,100,97
25,99.18,100,97
26,99.22,100,97
27,99.24,100,97
28,99.14,100,97
29,99.18,100,97
30,99.28,100,97
31,99.2,100,96
32,99.24,100,96
33,99.3,100,96
34,99.2,100,96
35,99.22,100,96
36,99.24,100,96
37,99.2,100,96
38,99.14,100,96
39,99.18,100,97
40,99.1,100,97
41,99.12,100,97
42,99.18,100,97
43,99.22,100,97
44,99.4,100,98
45,99.34,100,98
46,99.3,100,98
47,99.32,100,98
48,99.32,100,98
49,99.22,100,97
50,99.2,100,97
51,99.18,100,97
52,99.24,100,97
53,99.24,100,97
54,99.28,100,97
55,99.22,100,97
56,99.18,100,97
57,99.16,100,97
58,99.26,100,97
59,99.2,100,97
60,98.92,100,94
61,98.86,100,94
62,98.74,100,94
63,98.72,100,94
64,98.7,100,94
65,98.68,100,94
66,98.64,100,94
67,98.78,100,94
68,98.88,100,96
69,98.84,100,96
70,98.86,100,96
71,98.86,100,96
72,98.98,100,97
73,99.0,100,97
74,98.9,100,96
75,98.84,100,95
76,98.76,100,93
77,98.8,100,93
78,98.56,100,93
79,98.7,100,93
80,98.52,100,93
81,98.62,100,93
82,98.76,100,93
83,98.42,100,93
84,98.6,100,94
85,98.54,100,94
86,98.56,100,94
87,98.52,100,94
88,98.58,100,94
89,98.24,100,94
90,97.94,100,94
91,97.82,100,94
92,97.9,100,94
93,98.08,100,94
94,97.98,100,94
95,98.0,100,94
96,97.8,100,94
97,97.64,100,93
98,97.74,100,93
99,97.56,100,92
100,97.52,100,92
101,97.68,100,92
102,97.8,100,92
103,97.92,100,92
104,98.0,100,92
105,98.0,100,93
106,97.94,100,93
107,98.06,100,93
108,97.5,100,91
109,97.54,100,91
110,97.48,100,91
111,97.34,100,91
112,97.48,100,91
113,97.3,100,91
114,97.48,100,91
115,97.44,100,91
116,97.38,100,91
117,97.28,100,91
118,97.16,100,92
119,97.38,100,92
120,97.44,100,92
121,97.46,100,92
122,97.3,100,92
123,97.28,100,92
124,96.84,100,91
125,96.54,100,90
126,96.16,100,90
127,96.48,100,90
128,96.4,100,90
129,96.64,100,90
130,96.58,100,90
131,96.5,100,90
132,96.54,100,90
133,96.6,100,90
134,97.04,100,90
135,97.02,100,90
136,97.34,100,91
137,97.54,100,91
138,97.78,100,91
139,97.82,100,91
140,97.9,100,91
141,97.62,100,91
142,97.86,100,92
143,97.68,100,94
144,97.66,100,94
145,97.76,100,94
146,97.72,100,94
147,97.22,100,94
148,97.3,100,94
149,97.36,100,94
150,97.4,100,94
151,97.5,100,94
152,97.44,100,94
153,97.4,100,94
154,97.44,100,94
155,97.38,100,94
156,97.38,100,94
157,97.66,100,94
158,97.68,100,94
159,97.64,100,94
160,97.42,100,94
161,97.62,100,94
162,97.62,100,94
163,97.7,100,94
164,97.46,100,94
165,97.44,100,94
166,97.44,100,94
167,97.32,100,94
168,97.4,100,94
169,97.34,100,93
170,97.1,100,90
171,97.04,100,90
172,97.1,100,90
173,97.2,100,90
174,97.08,100,90
175,96.9,100,90
176,97.18,100,92
177,97.18,100,92
178,97.14,100,92
179,97.06,100,92
180,96.8,100,92
181,96.66,100,92
182,96.72,100,92
183,97.02,100,92
184,97.08,100,92
185,97.06,100,92
186,96.78,100,92
187,96.88,100,92
188,96.9,100,92
189,97.14,100,92
190,96.96,100,92
191,96.86,100,92
192,97.1,100,92
193,97.26,100,92
194,97.16,100,92
195,97.3,100,92
196,97.5,100,92
197,97.52,100,92
198,97.52,100,92
199,97.5,100,92
200,97.34,100,92
201,97.52,100,92
202,97.7,100,92
203,97.58,100,92
204,97.38,100,92
205,97.32,100,92
206,97.14,100,93
207,97.08,100,93
208,97.06,100,93
209,96.86,100,93
210,96.94,100,93
211,97.1,100,93
212,96.96,100,93
213,97.06,100,93
214,97.0,100,93
215,96.86,100,93
216,96.8,100,93
217,96.74,100,93
218,96.64,100,93
219,96.2,100,93
220,96.2,100,93
221,96.26,100,93
222,96.24,100,93
223,95.92,100,93
224,95.86,100,91
225,95.88,100,91
226,96.04,100,91
227,96.24,100,92
228,96.08,100,92
229,96.04,99,92
230,96.14,99,92
231,95.84,99,92
232,95.88,99,92
233,96.1,99,92
234,96.0,99,92
235,95.86,99,92
236,96.02,99,92
237,96.28,99,92
238,96.5,99,92
239,96.84,99,93
240,97.34,99,93
241,97.5,99,93
242,97.28,99,93
243,97.4,99,94
244,97.6,99,94
245,97.56,99,94
246,97.64,99,94
247,97.68,99,94
248,97.62,99,94
249,97.52,99,94
250,97.56,99,94
251,97.74,99,94
252,97.6,99,94
253,97.6,99,94
254,97.68,99,94
255,97.72,99,93
256,97.3,99,93
257,97.28,99,93
258,97.3,99,93
259,97.06,99,91
260,97.3,99,91
261,97.32,99,91
262,97.46,99,93
263,97.8,99,93
264,97.74,99,93
265,97.62,99,93
266,97.68,99,93
267,97.7,99,93
268,97.32,99,93
269,97.4,99,93
270,97.2,99,93
271,97.2,99,93
272,97.28,99,93
273,97.24,99,93
274,97.12,99,93
275,97.2,99,93
276,97.2,99,93
277,97.18,99,94
278,96.98,99,94
279,97.06,99,92
280,97.04,99,92
281,96.92,99,92
282,96.9,99,94
283,97.16,99,94
284,97.1,99,94
285,97.04,99,94
286,97.1,99,94
287,96.98,99,93
288,96.86,99,93
289,96.72,99,93
290,96.72,99,93
291,96.8,99,93
292,96.88,99,94
293,96.86,99,94
294,96.76,99,93
295,96.74,99,93
296,96.88,99,93
297,96.98,99,91
298,97.02,99,91
299,97.0,99,91
300,96.76,99,91
301,96.74,99,91
302,96.88,99,91
303,97.0,99,93
304,97.0,99,94
305,96.72,99,94
306,96.7,99,94
307,96.68,99,94
308,96.5,99,94
309,96.6,99,94
310,96.6,99,94
311,96.56,99,94
312,96.54,99,94
313,96.68,99,94
314,96.72,99,94
315,96.86,99,94
316,96.86,99,94
317,96.58,99,94
318,96.72,99,92
319,96.62,99,94
320,96.88,99,94
321,96.86,99,91
322,96.72,99,91
323,96.78,99,91
324,96.74,99,91
325,96.64,99,91
326,96.28,99,91
327,96.26,99,91
328,96.1,99,91
329,96.28,99,91
330,96.06,99,91
331,96.08,99,91
332,95.94,99,91
333,95.94,99,91
334,95.88,99,91
335,95.7,99,91
336,95.86,99,91
337,95.64,98,91
338,95.5,98,91
339,95.42,98,91
340,95.4,98,91
341,95.22,98,91
342,95.18,98,91
343,95.44,98,91
344,95.56,98,91
345,95.5,98,91
346,95.52,98,91
347,95.64,98,91
348,95.6,98,91
349,95.46,98,91
350,95.36,98,91
351,95.12,98,91
352,95.32,98,91
353,95.18,98,91
354,95.38,98,91
355,95.22,99,91
356,95.4,99,91
357,95.42,99,91
358,95.26,99,91
359,95.28,98,91
360,94.98,98,91
361,94.86,98,90
362,94.64,98,90
363,94.54,98,90
364,94.5,98,91
365,94.5,98,91
366,94.56,98,91
367,94.64,98,91
368,94.66,98,91
369,94.74,98,91
370,94.84,98,91
371,95.02,98,91
372,94.8,98,91
373,94.74,98,89
374,94.84,98,91
375,94.7,98,91
376,94.64,98,91
377,94.5,98,90
378,94.72,99,91
379,94.92,99,91
380,94.82,98,91
381,95.04,98,91
382,94.84,98,91
383,94.94,98,91
384,94.94,98,91
385,94.66,98,89
386,94.62,98,89
387,94.56,98,89
388,94.74,98,89
389,94.64,98,89
390,94.88,98,89
391,94.64,98,91
392,94.54,98,91
393,94.36,98,91
394,94.32,98,91
395,94.28,98,91
396,93.9,98,88
397,93.98,98,91
398,94.04,98,91
399,94.06,98,90
400,94.14,98,90
401,94.22,97,90
402,94.06,97,90
403,93.9,97,90
404,93.78,98,90
405,93.42,98,89
406,93.62,98,90
407,93.42,98,88
408,93.3,98,88
409,93.38,98,88
410,93.38,98,88
411,93.44,98,88
412,93.32,98,90
413,93.28,98,90
414,93.0,97,90
415,93.14,97,90
416,93.08,97,90
417,93.44,97,90
418,93.48,97,90
419,93.5,97,90
420,93.46,97,90
421,93.5,97,90
422,93.34,97,90
423,93.16,97,90
424,93.06,97,90
425,93.22,97,91
426,93.16,97,90
427,93.26,97,90
428,93.26,97,90
429,93.12,97,90
430,92.9,97,90
431,92.96,97,90
432,92.62,96,90
433,92.48,96,90
434,92.2,95,90
435,92.14,95,90
436,92.08,95,90
437,92.1,95,90
438,92.14,95,88
439,92.06,95,88
440,92.04,95,87
441,91.8,95,87
442,91.96,95,87
443,92.2,95,87
444,92.08,95,87
445,92.0,95,87
446,91.88,95,87
447,92.08,95,87
448,92.02,95,87
449,91.64,95,87
450,91.44,95,87
451,91.08,95,87
452,91.42,95,87
453,91.58,95,87
454,91.28,95,86
455,91.66,95,86
456,91.46,95,86
457,91.16,95,86
458,91.32,95,86
459,90.74,95,86
460,90.82,95,86
461,90.76,94,86
462,90.56,94,86
463,90.36,94,86
464,90.28,94,86
465,90.38,94,86
466,90.56,94,86
467,90.7,94,86
468,90.88,94,86
469,91.08,94,86
470,91.28,95,86
471,91.44,95,86
472,91.38,95,86
473,91.04,95,84
474,90.78,95,84
475,90.96,95,86
476,90.98,95,86
477,91.18,95,87
478,91.2,95,86
479,91.44,95,87
480,91.48,95,87
481,91.38,95,87
482,91.68,96,87
483,91.68,96,87
484,91.7,96,87
485,91.14,95,87
486,91.32,95,87
487,91.14,95,87
488,91.24,95,87
489,91.32,95,87
490,91.38,95,87
491,91.28,95,87
492,91.42,95,87
493,91.36,95,87
494,91.32,95,86
495,91.22,95,86
496,91.16,95,86
497,91.18,94,86
498,91.24,94,86
499,90.98,94,86
500,91.1,94,86
