Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.74,100,98
2,99.78,100,98
3,99.84,100,98
4,99.8,100,98
5,99.74,100,98
6,99.72,100,98
7,99.74,100,98
8,99.74,100,98
9,99.78,100,98
10,99.78,100,98
11,99.74,100,98
12,99.7,100,98
13,99.7,100,98
14,99.6,100,98
15,99.54,100,98
16,99.58,100,98
17,99.6,100,98
18,99.6,100,98
19,99.56,100,97
20,99.54,100,97
21,99.58,100,98
22,99.58,100,98
23,99.52,100,97
24,99.54,100,98
25,99.46,100,98
26,99.44,100,98
27,99.36,100,97
28,99.4,100,98
29,99.46,100,98
30,99.38,100,98
31,99.36,100,98
32,99.28,100,97
33,99.28,100,97
34,99.26,100,97
35,99.18,100,97
36,99.28,100,97
37,99.22,100,97
38,99.24,100,97
39,99.14,100,97
40,99.14,100,97
41,99.18,100,97
42,99.18,100,97
43,99.38,100,97
44,99.24,100,97
45,99.16,100,97
46,99.06,100,97
47,99.04,100,97
48,98.94,100,97
49,98.96,100,97
50,98.96,100,97
51,98.98,100,97
52,98.9,100,97
53,98.68,100,96
54,98.74,100,96
55,98.76,100,96
56,98.74,100,96
57,98.8,100,96
58,98.72,100,96
59,98.62,100,96
60,98.42,100,96
61,98.3,100,96
62,98.18,100,96
63,98.22,100,96
64,98.04,100,96
65,97.88,100,96
66,97.84,100,96
67,97.64,100,95
68,97.62,100,94
69,97.56,100,94
70,97.54,100,94
71,97.62,100,95
72,97.62,100,95
73,97.52,100,94
74,97.58,100,94
75,97.5,100,94
76,97.28,100,94
77,96.96,100,94
78,96.88,100,94
79,96.8,100,94
80,96.8,99,94
81,96.86,99,94
82,97.02,99,94
83,96.92,99,94
84,96.78,99,94
85,96.62,99,92
86,96.66,99,92
87,96.66,99,92
88,96.48,99,92
89,96.34,99,92
90,96.36,99,92
91,96.32,99,92
92,96.4,99,92
93,96.32,99,92
94,96.46,99,92
95,96.48,99,92
96,96.58,99,92
97,96.74,99,93
98,96.62,98,93
99,96.38,98,93
100,96.36,98,93
101,96.24,98,93
102,96.0,98,92
103,95.9,98,93
104,95.94,98,93
105,96.04,98,93
106,95.9,98,93
107,95.94,98,93
108,95.82,98,93
109,95.72,98,93
110,95.8,98,93
111,95.78,98,93
112,95.84,98,93
113,95.78,98,93
114,95.72,98,93
115,95.66,98,93
116,95.76,98,93
117,95.74,98,94
118,95.74,98,94
119,95.82,98,94
120,95.64,98,92
121,95.62,98,92
122,95.74,98,92
123,95.58,98,92
124,95.64,99,92
125,95.74,99,92
126,95.54,99,92
127,95.56,99,92
128,95.56,99,92
129,95.58,98,92
130,95.52,98,93
131,95.68,98,93
132,95.76,98,93
133,95.84,99,93
134,95.78,99,93
135,95.9,99,93
136,95.86,99,93
137,95.64,98,93
138,95.64,98,93
139,95.62,98,93
140,95.62,98,93
141,95.54,98,93
142,95.64,98,93
143,95.62,98,94
144,95.64,98,94
145,95.48,98,92
146,95.36,98,92
147,95.42,98,92
148,95.6,98,92
149,95.72,98,92
150,95.52,98,92
151,95.56,98,92
152,95.58,98,92
153,95.54,98,92
154,95.66,99,92
155,95.7,99,92
156,95.5,98,92
157,95.54,98,92
158,95.48,98,92
159,95.38,98,92
160,95.54,98,92
161,95.52,98,92
162,95.54,98,91
163,95.56,98,91
164,95.36,98,91
165,95.3,98,91
166,95.44,98,91
167,95.46,98,91
168,95.26,98,91
169,95.3,98,91
170,95.2,98,91
171,95.16,98,91
172,94.98,98,91
173,95.14,98,92
174,95.14,98,93
175,95.04,98,92
176,95.28,98,92
177,95.3,98,92
178,95.1,98,92
179,95.14,98,92
180,95.14,98,92
181,95.26,99,92
182,95.04,98,93
183,95.0,98,93
184,95.06,98,93
185,95.04,98,93
186,95.04,98,93
187,95.06,98,93
188,95.1,98,93
189,95.1,98,93
190,95.14,98,93
191,95.26,98,93
192,95.44,98,93
193,95.48,98,91
194,95.74,98,92
195,95.7,98,92
196,95.8,98,92
197,95.96,98,93
198,95.82,98,93
199,95.78,98,93
200,95.42,98,92
201,95.34,98,92
202,95.42,98,92
203,95.4,98,92
204,95.2,98,92
205,94.72,98,92
206,94.68,98,92
207,94.68,98,92
208,94.82,98,92
209,94.9,98,91
210,94.22,98,91
211,94.12,98,91
212,93.9,97,91
213,93.92,97,91
214,93.8,97,91
215,93.74,97,91
216,93.56,97,91
217,93.62,97,90
218,93.5,97,90
219,93.24,97,90
220,93.22,97,90
221,93.22,97,90
222,93.14,97,90
223,93.16,97,90
224,93.16,97,90
225,93.18,97,90
226,93.34,97,90
227,93.46,97,90
228,93.46,97,90
229,93.64,97,91
230,93.58,97,91
231,93.44,97,90
232,93.38,97,90
233,93.42,97,91
234,93.5,97,91
235,93.46,96,91
236,93.66,96,91
237,93.72,96,91
238,93.56,96,91
239,93.66,96,91
240,93.6,96,91
