Generation,Average_Fitness,Worst_Fit,Best_Fit
1,472.27094908811085,540.2337566347431,443.17316541915085
2,459.199443343671,508.96304534584823,411.04309134319317
3,442.6571192952359,484.99637972003006,394.8754097441824
4,429.4745475451102,457.6601877017744,394.8754097441824
5,423.7878474731112,457.1489585869541,394.8754097441824
6,413.0508221762128,439.6338880067491,385.11764987527744
7,405.03480247570997,423.1443510203507,385.11764987527744
8,394.4660460792319,414.7443392627654,342.16924398525373
9,376.66457728495936,401.1752333304379,314.49533911139196
10,367.4047052350151,400.8663686301822,312.6290974911419
11,340.97951792221977,394.8754097441824,292.42802869997564
12,326.03606133668467,351.3151048599154,292.42802869997564
13,315.8616573981961,339.35809321000454,292.42802869997564
14,308.74084686477784,335.91273674164546,273.6136531387017
15,297.324084575111,338.76651624034537,262.4784658959583
16,286.2123985142456,324.5985318353635,262.4784658959583
17,278.7185883965885,294.59311082815907,262.4784658959583
18,271.2325812205453,292.42802869997564,235.4788891465016
19,266.84620274089815,284.0571199318097,235.4788891465016
20,256.6744933909181,274.6144910070559,229.66007780836924
21,244.53862792319515,263.11718096207153,228.0592446853706
22,234.85087813693622,251.3076942158798,222.60808781784996
23,229.83750059039616,241.6233473113627,219.1832818449292
24,224.98535975649912,232.04288020536345,208.21286097019558
25,221.85725888514548,230.97218872285433,208.21286097019558
26,216.0590719176684,229.66007780836924,197.45974172553463
27,209.31541051468875,224.39853500928905,191.64762197828682
28,202.27913053550202,221.84184623642466,183.76111105055418
29,194.5254332850909,210.21372132391684,183.76111105055418
30,189.70736633562564,204.915803275207,174.7688513654313
31,185.5252070479576,194.34086480965803,172.03928990262025
32,183.01406776034656,191.64762197828682,173.04219324599896
33,180.08291026651764,191.26658380768265,173.04219324599896
34,177.38706668685393,185.6926207961331,168.52134970766787
35,174.19277022059407,181.0786420979067,165.66072689777408
36,170.31613891928149,180.2384663329434,159.15420207601412
37,166.58042328114206,177.02880271285028,150.72186209946327
38,162.09869623859575,172.09142749448503,146.73893969720515
39,158.80562175585754,169.2267803927305,146.73893969720515
40,153.86579464073105,167.75125097718364,138.46704697073213
41,150.24741255709995,163.36827851034425,130.26410431135676
42,144.62731169468174,161.35626315279185,130.26410431135676
43,138.83102918777385,149.6469364777434,122.5614104662268
44,134.39101134050756,149.421067199999,122.5614104662268
45,129.0863297385781,143.32923977846002,108.42190881254088
46,123.9861587445494,143.32923977846002,108.42190881254088
47,119.17067089629018,130.17825093592245,106.68735806254656
48,116.09044422572613,130.17825093592245,108.42190881254088
49,113.34413736916103,127.09373070805319,103.03153101866666
50,110.17834339771417,121.0994578558028,103.03153101866666
51,106.90526392469528,114.6443296063443,100.5714865118666
52,104.39756941063347,111.45574918468161,96.93981453583832
53,102.65728553188463,108.42190881254088,94.85512355224196
54,100.60776551723232,106.98541808489459,94.02926991048902
55,99.04630547252482,105.1868026032608,94.02926991048902
56,97.48246330366369,101.74660134532168,94.02926991048902
57,96.27359838353537,98.89549496114594,91.89335515694894
58,95.12100875405817,98.5677474262969,81.99982641278763
59,94.06751205004731,98.5677474262969,81.99982641278763
60,93.26494211080416,97.85153540523936,81.99982641278763
61,91.75456683533456,96.65068870788193,81.99982641278763
62,89.84720039334452,93.58004509407907,80.75552945036866
63,87.69001829872838,91.94861891167844,80.49167039414336
64,85.58199398624124,91.20967458468792,76.19202173700519
65,82.54180784549558,90.94581552846257,70.88361278337189
66,79.56244799218402,85.46213494931973,70.88361278337189
67,76.12223122255936,83.69217874644602,70.88361278337189
68,73.67463020637692,81.93977390640356,67.64291861457576
69,72.79510490560605,77.42784597841461,65.85769011473147
70,72.03556264672302,76.03239497132688,65.85769011473147
71,70.92205957407214,75.96243215127726,65.20177456041519
72,68.46780770886093,73.17682481653962,61.992781964603374
73,67.36544662437669,70.864002043486,61.992781964603374
74,66.33992423889512,69.99274007338464,61.992781964603374
75,64.84888729298866,68.59818268799835,61.992781964603374
76,63.76797051481694,66.6867761690145,59.75908596518163
77,62.434181081011765,65.98008520466391,55.637382187743576
78,61.139481639537514,65.33877152519005,55.637382187743576
79,59.32335185796498,64.60045329673811,55.265844255731295
80,58.13224612338605,62.913147760715205,55.265844255731295
81,56.66820672068394,61.496457406692464,54.39700329082803
82,56.202671158820046,60.08283626285415,51.17165512332679
83,55.126088848735016,59.145646699206395,50.36525488166394
84,53.978649631154106,62.84227507065378,49.90469916559433
85,52.804785004718624,55.265844255731295,49.90469916559433
86,51.86973173116518,55.90371785338948,49.90469916559433
87,50.64845702700365,55.41430715096471,47.36855653887698
88,50.035563811180985,52.192597854099745,47.36855653887698
89,49.621534477397425,51.380133793583546,47.36354492697089
90,49.121228019058826,50.80545378322941,47.36855653887698
91,48.66626490433712,50.164206226343985,47.21498519431509
92,48.42320020193018,50.853344581811406,46.77982043223235
93,48.25759013827306,49.75623627036093,47.090683038623844
94,48.07243184833591,51.13188051858771,47.090683038623844
95,47.66648118123606,48.46538565777294,45.54074501943543
96,47.4409055359812,49.99641440050617,44.939146535726024
97,47.25017268747871,54.847776498366336,44.939146535726024
98,46.29943398966354,49.36281007467954,39.54885263797807
99,45.49788991218803,50.33728201626442,39.54885263797807
100,44.0765715261317,48.01778066057196,39.54885263797807
101,43.478349091310186,49.310951279741815,39.54885263797807
102,41.97017804211415,46.04079370300397,39.04880395440954
103,41.05805424545718,45.37586337075136,39.04880395440954
104,39.91201380844765,45.37586337075136,38.37615143857349
105,39.39017387526645,42.04636975463586,37.5067991092553
106,39.23338195366621,42.04636975463586,37.09282143384925
107,39.027473728932975,39.54885263797807,37.09282143384925
108,38.73822772241745,42.84165903705307,34.38301979562617
109,38.062751452822795,40.11285207486444,34.045038368539814
110,37.96247404644074,44.14647096970128,34.045038368539814
111,37.28970007143296,41.30507275680585,33.59502720685004
112,36.37407916548039,39.57241324356659,33.59502720685004
113,35.76146407157394,38.37615143857349,33.13256397252456
114,35.435786881423994,41.23262833967104,33.13256397252456
115,34.81334397495249,41.23262833967104,33.13256397252456
116,34.33613738747565,37.50449502774291,33.13256397252456
117,34.040458781451264,37.14728981296716,33.13256397252456
118,33.66848257763405,35.019447116158275,32.778155707562725
119,33.353620513963726,34.766237376236724,32.15333246766711
120,33.219274035369516,34.71220122990584,32.15333246766711
121,33.04739506142917,34.47087318317088,31.998151570973832
122,32.85217191529674,33.13256397252456,31.998151570973832
123,32.99743209381623,41.064442609969646,32.15333246766711
124,32.643879257737524,33.92744737687172,30.832963112399575
125,32.53695976596701,40.554180995924774,30.832963112399575
126,32.15303004017796,35.8512300589968,30.478053647964195
127,31.908891297116362,37.72822032758819,30.42264978084466
128,31.456388251367436,33.13256397252456,30.256278522564525
129,30.985012672767404,32.86539806458433,29.200979249437733
130,30.620326214928895,33.270998951443765,28.890762874800302
131,30.544456965584427,34.22949408377219,28.890762874800302
132,30.102577071315412,31.44175420319918,27.057020540980297
133,29.50347748352174,32.92643279287791,27.057020540980297
134,28.869772362005214,30.5233424933472,27.057020540980297
135,28.516338476105684,34.56978012725353,26.92004260451187
136,27.96744410571221,31.768569397706564,26.609092176419708
137,27.75399964215727,30.42082304165236,26.36530866783529
138,27.73814292896694,35.620904000384925,24.77657578865273
139,27.187055033973156,30.300192518863494,24.77657578865273
140,27.179040160623398,35.827130688763624,24.77657578865273
141,26.744998863601467,31.763128503805365,24.77657578865273
142,25.9871828650107,28.8425006549628,24.240245314950375
143,25.704011970626066,26.92004260451187,24.77657578865273
144,25.295008295879562,27.18123588230597,24.40999539263368
145,25.370294598324648,36.01206082498388,24.256115146972594
146,25.04824040697201,29.1094000764849,24.256115146972594
147,24.618017462582934,26.36530866783529,23.187423207882603
148,24.547681451245396,32.201067655132825,23.187423207882603
149,24.27908976186296,24.928952739194624,22.966367084231617
150,24.465541323320245,30.689792209130946,22.966367084231617
151,24.045217516549684,28.66233490157569,22.966367084231617
152,23.7803678368909,28.821883586555845,22.295249250170656
153,23.360420832878503,24.256115146972594,22.295249250170656
154,23.69423963200867,32.53015536013854,22.295249250170656
155,23.10436271618071,28.063704691140927,21.915627127964985
156,22.866568179666174,24.35556938970779,21.915627127964985
157,23.142602106595294,34.6412730884575,21.915627127964985
158,22.624951997384734,26.418160999519635,21.915627127964985
159,22.545483397687207,28.544083128284438,21.915627127964985
160,22.39149034438378,23.78247087842679,21.915627127964985
161,22.355841096520972,23.78247087842679,21.915627127964985
162,22.248931168752364,24.42831202442882,21.915627127964985
163,22.15616018929667,22.966367084231617,21.915627127964985
164,22.124862507731976,24.02015987743413,21.915627127964985
165,22.060933267708748,22.174355544184085,21.915627127964985
166,22.23985902148573,27.039751688242028,21.915627127964985
167,22.546017471037555,31.465131775344393,21.915627127964985
168,22.86529988393147,31.030380893819682,21.915627127964985
169,22.790526479315254,28.682338389433863,21.915627127964985
170,22.2073650966109,28.140768580236738,21.915627127964985
171,22.193758002684753,26.04051178385467,21.915627127964985
172,22.127064288303657,25.05250876589349,21.811251188117073
173,22.121920998532993,25.850159055405815,21.811251188117073
174,22.08096704981815,26.116136549783153,21.811251188117073
175,21.88323862381218,22.1541629714422,21.763538521028458
176,22.053141193024075,29.096486046893517,21.763538521028458
177,21.895016370978407,25.945806697158854,21.763538521028458
178,21.80015817224264,21.915627127964985,21.763538521028458
179,21.8784670302012,26.2694346353614,21.763538521028458
180,21.777852321155045,21.811251188117073,21.763538521028458
181,21.845924948449568,25.45344588828689,21.763538521028458
182,21.939087987260518,30.397873831366127,21.763538521028458
183,21.859325485370555,26.505174071045587,21.763538521028458
184,22.013427884791852,28.68583384179372,21.763538521028458
185,21.980293294746353,27.07681700660727,21.763538521028458
186,21.914160597171243,25.529090424598557,21.763538521028458
187,21.76353852102844,21.763538521028458,21.763538521028458
188,21.76353852102844,21.763538521028458,21.763538521028458
189,21.76353852102844,21.763538521028458,21.763538521028458
190,21.84499991231745,24.475780859462333,21.313066816889332
191,21.866732517375723,26.913826224793116,21.313066816889332
192,21.878850891218498,26.2356060024511,21.313066816889332
193,21.927341646248088,28.97047769155998,20.737641557944148
194,21.71893563631946,24.398911844302628,20.737641557944148
195,21.714287067282676,26.994267172104003,20.737641557944148
196,21.626551196080115,26.994267172104003,20.737641557944148
197,21.45599949849195,24.083764283474327,20.737641557944148
198,21.326598638866813,24.083764283474327,20.737641557944148
199,21.30579583619531,24.143148545738686,20.737641557944148
200,21.509398640154327,27.091264528683112,20.737641557944148
201,21.415902165440087,24.320261147991538,20.737641557944148
202,21.233121344104067,27.673447838639706,20.737641557944148
203,21.002337177058926,21.313066816889332,20.737641557944148
204,21.139341627659377,28.190729635571717,20.737641557944148
