Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.36,100,97
2,98.84,100,96
3,98.34,99,96
4,97.72,99,96
5,97.36,98,96
6,96.8,98,93
7,96.18,97,93
8,95.74,97,93
9,95.16,96,91
10,94.48,96,91
11,93.74,95,91
12,93.1,95,91
13,92.52,94,88
14,91.86,93,88
15,91.06,93,85
16,89.98,92,84
17,88.56,91,84
18,87.28,89,84
19,86.2,88,84
20,85.24,87,84
21,84.52,85,82
22,83.96,85,81
23,83.48,84,81
24,83.14,84,81
25,82.7,84,80
26,82.18,83,80
27,81.54,83,80
28,80.88,82,79
29,80.28,81,79
30,79.84,81,78
31,79.24,80,77
32,78.66,80,77
33,78.28,79,77
34,77.92,78,77
35,77.7,78,76
36,77.4,78,75
37,77.04,78,75
38,76.54,77,75
39,76.2,77,74
40,75.62,77,73
41,75.16,76,72
42,74.7,75,72
43,74.44,75,72
44,74.0,75,72
45,73.62,74,72
46,73.22,74,72
47,72.7,74,70
48,72.44,73,70
49,72.04,73,70
50,71.4,72,70
51,70.96,72,69
52,70.38,72,69
53,69.9,71,69
54,69.7,70,68
55,69.54,70,68
56,69.18,70,68
57,68.68,70,66
58,68.48,69,66
59,68.02,69,66
60,67.6,68,66
61,67.2,68,65
62,66.66,68,65
63,66.14,67,65
64,65.78,66,64
65,65.52,66,62
66,65.24,66,62
67,64.86,66,62
68,64.32,65,62
69,63.92,65,62
70,62.92,65,62
71,62.1,63,62
72,62.0,62,62
73,62.0,62,62
74,62.0,62,62
75,62.0,62,62
76,61.96,62,60
77,61.88,62,60
78,61.88,62,60
79,61.84,62,60
80,61.68,62,60
81,61.44,62,60
82,61.12,62,60
83,60.64,62,60
84,60.0,60,60
85,60.0,60,60
86,60.0,60,60
87,60.0,60,60
88,60.0,60,60
89,60.0,60,60
90,60.0,60,60
91,60.0,60,60
92,60.0,60,60
93,60.0,60,60
94,60.0,60,60
95,60.0,60,60
96,60.0,60,60
97,60.0,60,60
98,60.0,60,60
99,60.0,60,60
100,60.0,60,60
101,60.0,60,60
102,60.0,60,60
103,60.0,60,60
104,60.0,60,60
105,60.0,60,60
106,60.0,60,60
107,60.0,60,60
108,60.0,60,60
109,60.0,60,60
110,60.0,60,60
111,60.0,60,60
112,60.0,60,60
113,60.0,60,60
114,60.0,60,60
115,60.0,60,60
116,60.0,60,60
117,60.0,60,60
118,60.0,60,60
119,60.0,60,60
120,60.0,60,60
121,60.0,60,60
122,60.0,60,60
123,60.0,60,60
124,60.0,60,60
125,60.0,60,60
126,60.0,60,60
127,60.0,60,60
128,60.0,60,60
129,60.0,60,60
130,60.0,60,60
131,60.0,60,60
132,60.0,60,60
133,60.0,60,60
134,60.0,60,60
135,60.0,60,60
136,60.0,60,60
137,60.0,60,60
138,60.0,60,60
139,60.0,60,60
140,60.0,60,60
141,60.0,60,60
142,60.0,60,60
143,60.0,60,60
144,60.0,60,60
145,60.0,60,60
146,60.0,60,60
147,60.0,60,60
148,60.0,60,60
149,60.0,60,60
150,60.0,60,60
151,60.0,60,60
152,60.0,60,60
153,60.0,60,60
154,60.0,60,60
155,60.0,60,60
156,60.0,60,60
157,60.0,60,60
158,60.0,60,60
159,60.0,60,60
160,60.0,60,60
161,60.0,60,60
162,60.0,60,60
163,60.0,60,60
164,60.0,60,60
165,60.0,60,60
166,60.0,60,60
167,60.0,60,60
168,60.0,60,60
169,60.0,60,60
170,60.0,60,60
171,60.0,60,60
172,60.0,60,60
173,60.0,60,60
174,60.0,60,60
175,60.0,60,60
176,60.0,60,60
177,60.0,60,60
178,60.0,60,60
179,60.0,60,60
180,60.0,60,60
181,60.0,60,60
182,60.0,60,60
183,60.0,60,60
184,60.0,60,60
185,60.0,60,60
186,60.0,60,60
187,60.0,60,60
188,60.0,60,60
189,60.0,60,60
190,60.0,60,60
191,60.0,60,60
192,60.0,60,60
193,60.0,60,60
194,60.0,60,60
195,60.0,60,60
196,60.0,60,60
197,60.0,60,60
198,60.0,60,60
199,60.0,60,60
200,60.0,60,60
201,60.0,60,60
202,60.0,60,60
203,60.0,60,60
204,60.0,60,60
205,60.0,60,60
206,60.0,60,60
207,60.0,60,60
208,60.0,60,60
209,60.0,60,60
210,60.0,60,60
211,60.0,60,60
212,60.0,60,60
213,60.0,60,60
214,60.0,60,60
215,60.0,60,60
216,60.0,60,60
217,60.0,60,60
218,60.0,60,60
219,60.0,60,60
220,60.0,60,60
221,60.0,60,60
222,60.0,60,60
223,60.0,60,60
224,60.0,60,60
225,60.0,60,60
226,60.0,60,60
227,60.0,60,60
228,60.0,60,60
229,60.0,60,60
230,60.0,60,60
231,60.0,60,60
232,60.0,60,60
233,60.0,60,60
234,60.0,60,60
235,60.0,60,60
236,60.0,60,60
237,60.0,60,60
238,60.0,60,60
239,60.0,60,60
240,60.0,60,60
241,60.0,60,60
242,60.0,60,60
243,60.0,60,60
244,60.0,60,60
245,60.0,60,60
246,60.0,60,60
247,60.0,60,60
248,60.0,60,60
249,60.0,60,60
250,60.0,60,60
251,60.0,60,60
252,60.0,60,60
253,60.0,60,60
254,60.0,60,60
255,60.0,60,60
256,60.0,60,60
257,60.0,60,60
258,60.0,60,60
259,60.0,60,60
260,60.0,60,60
261,60.0,60,60
262,60.0,60,60
263,60.0,60,60
264,60.0,60,60
265,60.0,60,60
266,60.0,60,60
267,60.0,60,60
268,60.0,60,60
269,60.0,60,60
270,60.0,60,60
