Generation,Average_Fitness,Worst_Fit,Best_Fit
1,500.6314693670567,560.6669737091551,442.151281205613
2,500.0064041908022,556.7328488518232,425.80432419332305
3,495.0017356231815,553.9673269478245,425.80432419332305
4,500.3930289414154,553.9673269478245,425.80432419332305
5,502.4666275500968,553.9673269478245,451.00071000412873
6,496.5834704527671,544.242755358979,437.46646049243907
7,496.68383466908307,553.7444528517503,434.8363699909317
8,501.29885236859724,556.2767326254873,434.8363699909317
9,500.70031137856313,556.2767326254873,434.8363699909317
10,499.76997234574475,556.2767326254873,433.22917540814046
11,496.41117279695936,553.7444528517503,433.22917540814046
12,493.81022059570785,553.7444528517503,439.9218452616896
13,497.06674328237443,553.7444528517503,439.9218452616896
14,494.78439777971295,553.7444528517503,439.2008846329503
15,495.953112845599,553.7444528517503,439.9218452616896
16,498.3549696723486,553.7444528517503,458.3946172113229
17,497.711426006178,553.7444528517503,452.2316052687272
18,499.26244796173296,558.2037595976348,432.68579502304874
19,501.1320722345995,562.4745467461224,409.0276158071441
20,501.3263795552323,562.4745467461224,409.0276158071441
21,503.6200722406905,558.2037595976348,442.6197326036973
22,499.04907326295347,558.2037595976348,436.6645151778048
23,494.8837410223308,558.2037595976348,436.6645151778048
24,498.64039087248057,558.2037595976348,433.4795236753857
25,501.8265260487096,558.2037595976348,433.4795236753857
26,497.27382573507583,558.2037595976348,433.4795236753857
27,498.91489897323146,558.2037595976348,434.22939413553627
28,501.0213342309263,551.2475550206111,434.22939413553627
29,499.5176345992923,551.2475550206111,434.22939413553627
30,501.3542511281786,557.1198224815414,440.55255263709563
31,503.18192904752084,557.1198224815414,400.08646814362913
32,507.50491275261135,554.3017138627783,455.59272302269136
33,514.5897912101298,560.5697750488586,455.59272302269136
34,512.1151160132986,559.1147993883123,450.7017738792772
35,510.7412482741708,565.9946877896265,450.2031165181285
36,509.7581583383004,565.9946877896265,450.2031165181285
37,505.94546440628903,565.9946877896265,440.46532495028475
38,508.9935513140145,565.9946877896265,440.46532495028475
39,508.7938819145786,567.6815366614262,433.8499318433726
40,509.22151691480985,567.6815366614262,450.5172315079326
41,507.0870089814894,565.9946877896265,465.8891809161336
42,511.99432378362116,565.9946877896265,471.4054891059566
43,511.0919945552561,565.9946877896265,469.41422047590464
44,511.230390593915,565.9946877896265,463.776618826444
45,508.1156019248381,565.9946877896265,452.1976934979401
46,496.0092156747552,565.9946877896265,424.02784050428414
47,498.68463761073167,565.9946877896265,424.02784050428414
48,489.9361712000529,565.9946877896265,425.6627805446873
49,491.08439656910565,565.9946877896265,425.6627805446873
50,490.3030321473757,565.9946877896265,425.6627805446873
51,493.9717025193373,565.9946877896265,425.6627805446873
52,488.9718615120752,550.5083395383087,415.732849299172
53,483.2229663159618,550.5083395383087,425.6627805446873
54,485.2584727661076,550.5083395383087,423.05465204692274
55,489.4743683060498,545.0601009161013,423.05465204692274
56,488.61820022605775,545.0601009161013,423.05465204692274
57,487.5641162738908,545.0601009161013,423.05465204692274
58,488.12554869050706,545.0601009161013,429.9953790783147
59,492.0749101545564,545.0601009161013,434.3566451482296
