Generation,Average_Fitness,Worst_Fit,Best_Fit
1,1001.6374649945985,1102.051422430989,936.13715036325
2,1008.2684681964964,1108.0394775424297,936.13715036325
3,1009.0864696715184,1102.051422430989,920.0775257868133
4,1007.9231692634744,1102.051422430989,904.016893210964
5,1007.4804596990776,1102.051422430989,917.3849207727117
6,1007.3835095229609,1086.6872238318942,889.9304551168492
7,1005.0312546203185,1076.1837616463815,917.0187945599042
8,1011.6616462149334,1076.1837616463815,917.3849207727117
9,1007.2655069901319,1071.588421351071,902.2344016811717
10,1004.2972634502579,1067.4634084698623,902.2344016811717
11,1002.5740750309013,1067.4634084698623,902.2344016811717
12,996.6316923096322,1067.531755903506,854.7104209740894
13,1002.336839401555,1067.4634084698623,854.7104209740894
14,1005.5917465289043,1067.4634084698623,920.9302953873121
15,1003.6873326166503,1061.8011613854942,930.4143807093704
16,1009.0668267999241,1060.9061417519786,930.4143807093704
17,1002.4709429634854,1060.9061417519786,930.4143807093704
18,1000.3797301417254,1060.9061417519786,930.4143807093704
19,999.995603478129,1042.9027046742087,930.2301038431673
20,997.0689737952534,1042.0970690318502,929.1210970718233
21,995.3272064785675,1042.0970690318502,929.1210970718233
22,991.1714447764798,1042.0970690318502,895.6421846633832
23,985.1077524665503,1042.0970690318502,896.0534845496995
24,982.7354745885584,1032.0074505493333,896.0534845496995
25,971.7898328486144,1028.133100442324,918.5252780967135
26,974.3518678341757,1028.133100442324,918.5252780967135
27,982.5839854634469,1028.4839323074443,930.9928015882526
28,980.5958939072016,1028.133100442324,898.8190103906776
29,976.4921830492458,1025.9818272444984,898.8190103906776
30,975.8544533492266,1025.9818272444984,898.8190103906776
31,970.1508136181307,1022.4926715618437,884.6653538270912
32,960.0993926700322,1022.4926715618437,883.3067027748533
33,965.3473060928038,1022.4926715618437,884.6653538270912
34,959.7148843811209,1015.9137773952006,871.852057111451
35,961.7081323499243,1015.9137773952006,871.852057111451
36,951.7414491902747,1015.9137773952006,871.852057111451
37,950.3325879085406,1010.7708322772887,877.3760568367411
38,949.9558692281482,1010.7708322772887,860.0788216384115
39,958.6114017846434,1010.7708322772887,860.0788216384115
40,963.9888157583019,1008.6019172092047,860.0788216384115
41,960.2005068684379,1008.6019172092047,860.0788216384115
42,961.445036690048,1008.6019172092047,871.9805534708371
43,959.4001703924617,1010.0515863866784,849.6384872965239
44,959.4572768114147,1010.0515863866784,890.7838452950373
45,957.0013139886124,1010.0515863866784,820.1982634871615
46,961.9885432708512,1010.0515863866784,846.7313834084965
47,951.4371161013478,1008.6019172092047,821.9185997242009
48,943.664771021359,1008.6019172092047,843.4273843223311
49,934.2936689826255,1008.6019172092047,843.4273843223311
50,935.6131139401557,1008.6019172092047,847.5687800527588
51,934.7874767100168,1008.6019172092047,847.5687800527588
52,933.5169341011492,1008.6019172092047,856.8072937523169
53,927.4354060894667,1011.859203179069,856.8072937523169
54,919.8598670432889,1011.859203179069,828.8432879424441
55,921.9148581240343,1008.6019172092047,828.8432879424441
56,927.8846363201933,1008.6019172092047,828.8432879424441
57,931.695521551215,1008.6019172092047,865.6410874919694
58,931.3096853552992,1008.6019172092047,865.6410874919694
59,924.4416802108221,1008.6019172092047,851.7957224324873
60,926.8443844649279,1008.6019172092047,864.4289371713361
61,919.5267956524079,1001.2520497935895,842.2784708058854
62,923.4069672977452,1001.2520497935895,842.2784708058854
63,919.65295937538,1001.2520497935895,811.8222329054237
64,914.485734691817,1001.2520497935895,811.8222329054237
65,926.7632653143379,1006.3769027642674,811.8222329054237
66,924.6192694675298,1013.0536365840825,788.9939932786633
67,931.527741652216,1013.0536365840825,788.9939932786633
68,933.9856249124449,1013.0536365840825,883.1425147973591
69,926.3846640014481,1013.0536365840825,853.8124870732989
70,919.1209486035569,1013.0536365840825,831.9715009812151
71,911.60556551134,1001.2520497935895,831.9715009812151
72,915.2035871565886,984.1386102636314,831.9715009812151
73,907.3161765488786,984.1386102636314,831.9715009812151
74,902.707141987033,984.1386102636314,831.9715009812151
75,905.2191923644391,984.1386102636314,831.9715009812151
76,902.0314876955853,984.1386102636314,828.0543480279812
77,904.1226801758447,984.0384376931523,853.6403260983807
78,905.066470040859,985.3434991436259,853.6403260983807
79,903.3958652751685,985.3434991436259,853.6403260983807
80,889.3178797237858,985.3434991436259,792.0851579701169
81,888.0716991306869,973.2714573495009,818.458557699861
82,887.6336393908947,973.2714573495009,817.9613717317641
83,888.951581244393,973.2714573495009,823.5583301476989
84,890.2652396544083,973.2714573495009,825.9053773506369
85,892.4491372670409,973.2714573495009,825.9053773506369
86,889.6293084806398,971.8689692921606,821.5631700239319
87,892.9398660855418,979.8722150314327,821.5631700239319
88,886.5270905618,979.8722150314327,804.261677759915
89,886.4061083543816,994.9737199962141,804.261677759915
90,886.8531046888037,979.8722150314327,804.261677759915
91,876.302088416337,951.7825071625529,758.6305094764632
92,874.9483116524511,950.850868641747,758.6305094764632
93,883.1106978235001,956.5710062250703,804.261677759915
94,891.2150527571293,956.5710062250703,804.261677759915
95,902.9565821867925,956.5710062250703,804.261677759915
96,902.0739152256369,956.5710062250703,804.261677759915
97,897.1819471063422,956.5710062250703,811.684137792342
98,896.2744475972497,950.850868641747,811.684137792342
99,883.1740274015402,941.1418052936244,811.684137792342
100,880.3518897123955,941.1418052936244,808.8846421364821
101,876.8596616795445,941.1418052936244,774.9530451873987
102,871.6191971963983,929.1277870307995,808.7456534000396
103,870.8346296528835,929.1277870307995,806.5396653852382
104,872.0573058719982,914.2610995662063,803.2388486026888
105,862.8515434016069,914.2610995662063,803.2388486026888
106,865.7645250518951,914.2610995662063,800.3390908317919
107,863.2590525675295,913.4037090294943,803.2388486026888
108,856.6400664174963,913.4037090294943,803.2388486026888
109,852.950293333282,913.4037090294943,770.5440278344004
110,856.2590514105915,913.4037090294943,770.5440278344004
111,851.2734258850531,913.4037090294943,763.0867238755106
112,852.0837507168649,913.4037090294943,770.5440278344004
113,849.8480360844634,913.4037090294943,770.5440278344004
114,844.7737085549475,913.4037090294943,770.5440278344004
115,837.5432286813426,913.4037090294943,754.3244297163393
116,832.2062307893799,913.4037090294943,754.3244297163393
117,823.2268153739506,891.763745773438,727.3007297415975
118,815.6992036427825,891.763745773438,720.8314486649477
119,818.4534138723865,891.763745773438,720.8314486649477
120,818.5403572047763,891.763745773438,720.8314486649477
121,810.0723237797617,876.5169310366615,720.8314486649477
122,805.5086046965807,876.5169310366615,720.8314486649477
123,809.4568950519506,876.5169310366615,744.3238943595137
124,810.9170705331784,876.5169310366615,744.3238943595137
125,806.0107531985275,876.5169310366615,739.8028319052605
126,802.793716440837,875.8226078696142,739.8028319052605
127,800.4047039080963,875.8226078696142,739.8028319052605
128,801.3778859036664,875.8226078696142,725.8327893622185
129,799.3969241358782,875.8226078696142,725.8327893622185
130,798.5441514988095,875.8226078696142,733.1084047977852
131,801.6868270631232,869.5673158971326,733.1084047977852
132,798.2851570304525,869.5673158971326,738.6859520892903
133,796.6100403094384,869.5673158971326,738.6859520892903
134,793.2379170820338,869.5673158971326,738.6859520892903
135,791.1173696967973,876.4319351439763,722.6657935145453
136,792.690934323029,866.1408414181333,727.2515915088869
137,794.644221795229,866.1408414181333,727.2515915088869
138,793.4648205140765,866.1408414181333,716.8798158339073
139,795.5677112780583,866.1408414181333,716.8798158339073
140,797.2171347464966,866.1408414181333,716.8798158339073
141,793.9198699206281,848.7529794620159,716.8798158339073
142,787.5685868892635,855.9891855823234,716.8798158339073
143,791.053233615272,855.9891855823234,706.0689174238992
144,782.5488656533457,846.1952358231977,706.0689174238992
145,777.3529205244739,836.98070809629,706.0689174238992
146,774.2090770469028,836.98070809629,706.0689174238992
147,771.2327524088985,836.98070809629,678.4793348701525
148,775.3445980800035,836.98070809629,699.274801248778
149,780.9613041963216,845.8315867844954,681.3423590756677
150,780.513627534381,844.249663581109,710.7872717600717
151,782.1388270291903,844.249663581109,712.8788788713123
152,779.4050326151446,844.249663581109,712.8788788713123
153,773.1270450597227,836.98070809629,702.5972930653303
154,766.9742959583782,836.98070809629,702.5972930653303
155,755.1240277571886,836.98070809629,657.3040713991775
156,749.3653537746255,836.98070809629,657.3040713991775
157,753.3148722765694,836.98070809629,682.8296862447663
158,745.0045185550433,836.98070809629,650.4408876837325
159,747.5856307401746,836.98070809629,654.1310892956543
160,739.5045452415532,823.5787016179193,627.168740175943
161,743.430988039333,825.4583941993736,672.8315450173052
162,742.3765488878262,825.4583941993736,672.8315450173052
163,741.6447748899045,825.4583941993736,672.8315450173052
164,740.9167114619663,825.4583941993736,672.8315450173052
165,733.9211460687197,825.4583941993736,672.8315450173052
166,732.1857906580066,825.4583941993736,672.8315450173052
167,737.5890096671086,825.4583941993736,675.1457824911155
168,741.9345459272362,825.4583941993736,675.1457824911155
169,739.9673308770383,825.4583941993736,675.1457824911155
170,734.8904435189355,817.9044859335056,678.4238560305449
171,729.1531282677308,817.9044859335056,660.7739094052957
172,729.6576127512683,811.7587310189501,657.530188706481
173,725.3972702794252,811.7587310189501,657.530188706481
174,726.2482230653046,811.7587310189501,643.0814403883825
175,724.5616283991434,811.7587310189501,643.0814403883825
176,719.7898376356886,811.7587310189501,635.8637822153972
177,718.7432093282151,812.7689935089206,634.3984066443185
178,718.7335936239413,811.7587310189501,634.3984066443185
179,713.2643732439086,800.5452282914155,616.6179956449052
180,712.1569157111179,800.5452282914155,616.6179956449052
181,709.800811003179,800.5452282914155,616.6179956449052
182,710.1058896911031,800.5452282914155,604.1409296682598
183,706.3708343806826,800.5452282914155,578.8160143609231
184,706.8674793536342,800.5452282914155,624.0961645125168
185,716.1807434447178,800.5452282914155,624.0961645125168
186,717.5808775501117,800.5452282914155,622.9827779962551
187,713.5190424002808,800.5452282914155,580.4789198404717
188,707.9467369873677,785.4505941129089,580.4789198404717
189,708.6916016691779,785.4505941129089,580.4789198404717
190,708.081067897684,785.4505941129089,580.4789198404717
191,716.8208808964546,785.4505941129089,580.4789198404717
192,717.0578534425364,776.8861300037402,580.4789198404717
193,716.0439460994315,776.8861300037402,580.4789198404717
194,713.3494297914934,776.8861300037402,580.4789198404717
195,714.7298713800819,776.8861300037402,580.4789198404717
196,715.8668741582578,776.8861300037402,580.4789198404717
197,714.2191102780687,776.8861300037402,580.4789198404717
198,715.0248938821976,773.2198168625914,580.4789198404717
199,715.0916820988963,773.2198168625914,580.4789198404717
200,720.0364952259599,773.2198168625914,638.1016997011976
201,718.8016547227322,773.2198168625914,638.1016997011976
202,713.8716143973905,758.1372258412517,638.1016997011976
203,708.7472401347034,758.1372258412517,611.2966999843574
204,696.8445470414149,755.8750626876325,611.2966999843574
205,698.2655638291887,755.8750626876325,611.2966999843574
206,699.7855891040057,755.8750626876325,611.2966999843574
207,696.7437218087346,755.8750626876325,611.2966999843574
208,694.2702142449992,755.8750626876325,598.7077848258209
209,690.6152749218413,743.8853929568955,598.7077848258209
210,688.6059136391249,743.8853929568955,598.7077848258209
211,687.606040246349,743.8853929568955,598.7077848258209
212,690.3280431986138,743.0902975138019,598.7077848258209
213,688.8696000307701,738.9641883238393,598.7077848258209
214,686.0641452119672,738.9641883238393,581.3367689408365
215,678.9208449823504,738.9641883238393,581.3367689408365
216,675.2251455653594,738.9641883238393,556.1163359095142
217,669.4591427990282,738.9641883238393,564.1882115204916
218,672.6259675432448,738.9641883238393,578.3147841680633
219,672.1185494393972,733.9938548257292,578.3147841680633
220,669.242742965301,733.9938548257292,581.3367689408365
221,676.1673446217071,733.9938548257292,596.4803830951931
222,676.4924737225814,733.6688338282509,604.4710790892631
223,674.6338594612956,733.6688338282509,604.4710790892631
224,670.3884964616816,723.985790012256,604.4710790892631
225,666.8905679323501,723.3799405667368,604.0214798525758
226,665.6776513527423,723.3799405667368,604.0214798525758
227,661.002304611391,710.1369917879565,591.3148254490084
228,662.3781454105607,710.1369917879565,604.4710790892631
229,660.4274645907019,710.1369917879565,583.6642772441743
230,658.6768461095016,710.1369917879565,583.6642772441743
231,653.647014496575,710.1369917879565,583.6642772441743
232,653.9645114142139,710.1369917879565,598.6107099220476
233,654.1837233549929,710.1369917879565,594.9705728696896
234,655.3466570882927,706.2788592617186,594.9705728696896
235,659.2622153744967,706.2788592617186,598.1637393684878
236,655.3437955087867,706.2788592617186,577.435660423641
237,653.5277169667966,706.2788592617186,577.435660423641
238,653.0731188923863,706.2788592617186,596.1375076478155
239,653.1611730304497,706.2788592617186,596.1375076478155
240,651.3841928917682,706.2788592617186,602.3471196278953
241,647.5056144134126,706.2788592617186,588.3372709419361
242,647.679362905459,706.2788592617186,588.3372709419361
243,648.7545441799778,706.2355351629598,602.8599175084832
244,646.9901012090962,706.2355351629598,602.8599175084832
245,641.2565899951778,706.2355351629598,581.8601426791745
246,647.0983151952777,706.2355351629598,587.5995777318667
247,642.5461160146702,701.9477987584678,582.0948610662825
248,639.3053271525357,701.9477987584678,582.0948610662825
249,633.8596678563351,701.9477987584678,564.7133873086411
250,634.6989624935563,701.9477987584678,559.6606929679295
251,630.5706912391006,701.9477987584678,564.7133873086411
252,626.1300198297323,686.1852046203747,564.7133873086411
253,629.6211369188727,686.7801802926014,564.7133873086411
254,625.3505080526589,686.7801802926014,573.0825386016634
255,627.5885136771459,686.7801802926014,566.7872040779685
256,631.4432899179725,686.7801802926014,566.7872040779685
257,623.0183681681815,684.1650737943071,558.789812227724
258,622.813094719011,680.8480345887068,558.789812227724
259,621.9151785627768,684.2680419627914,535.7450406023652
260,617.8076576741843,684.2680419627914,536.7261670137506
261,614.2855312421668,684.2680419627914,536.7261670137506
262,615.6179735077491,678.8021221622629,536.7261670137506
263,613.8857682062473,676.1106051385602,536.7261670137506
264,615.1378229824189,676.1106051385602,550.8535938293466
265,617.0713675476322,676.1106051385602,556.7368804815991
266,619.9414107672283,676.1106051385602,573.784761124838
267,614.850567152454,676.1106051385602,562.4723975353958
268,615.0628178442971,676.1106051385602,562.4723975353958
269,615.5529606639368,676.1106051385602,566.7518528401307
270,609.6738158356508,676.1106051385602,538.4031228975508
271,604.3401303348309,676.1106051385602,538.4031228975508
272,605.7044155234739,676.1106051385602,538.4031228975508
273,606.9464068887041,676.1106051385602,538.4031228975508
274,605.917645213081,676.1106051385602,549.8890002552635
275,609.714439230933,654.9269589403433,554.8948880905125
276,606.9163751440811,654.9269589403433,544.4296531436546
277,607.2800400805885,654.9269589403433,544.4296531436546
278,604.0510127804964,654.9269589403433,544.4296531436546
279,597.7355596649832,654.9269589403433,535.0648114866058
280,596.9181754393953,654.9269589403433,529.3297452793668
281,592.1451105817937,654.9269589403433,522.8400504465261
282,589.4309896010546,651.1995372455349,522.8400504465261
283,583.1233607529717,651.1995372455349,514.3671431888173
284,586.7476704446182,651.1995372455349,500.41474490607004
285,591.1141805587935,651.1995372455349,500.41474490607004
286,585.2580517720771,651.1995372455349,500.41474490607004
287,578.3555259559795,651.1995372455349,500.41474490607004
288,575.4057460456172,651.1995372455349,500.41474490607004
289,570.646632174508,651.1995372455349,508.532895849423
290,568.6609621140676,651.1995372455349,486.628489589496
291,569.3513430473979,651.1995372455349,486.628489589496
292,567.5570319690125,651.1995372455349,486.628489589496
293,577.4755121340351,651.1995372455349,500.76781590008727
294,577.9712124727486,651.1995372455349,500.76781590008727
295,575.1057572927027,647.0130310526582,500.76781590008727
296,571.0388980689115,647.0130310526582,500.76781590008727
297,564.2659412528096,647.0130310526582,493.7721916422653
298,556.8634735757221,647.0130310526582,493.7721916422653
299,558.3740541748291,647.0130310526582,497.5780559366002
300,553.8198143892103,647.0130310526582,500.76781590008727
301,553.6212561622044,647.0130310526582,483.1394018809687
302,555.4256016424553,647.0130310526582,473.4829007545668
303,559.1042576537395,637.5122949864397,473.4829007545668
304,550.8333104326902,637.5122949864397,473.4829007545668
305,549.8570955539525,637.5122949864397,477.9217356140543
306,555.7332935857894,637.5122949864397,477.9217356140543
307,553.6205376209767,637.5122949864397,492.0331584981146
308,552.9038384210268,637.5122949864397,463.82593241670645
309,549.2740005369349,623.9419481367917,475.05271450738803
310,552.4520559967858,623.9419481367917,482.83290641793616
311,558.5968072679083,621.9950509176356,483.4131241849969
312,558.0931023285724,621.9950509176356,483.4131241849969
313,565.0492450841843,615.0908229403951,483.4131241849969
314,565.4254409527721,615.0908229403951,489.887918019941
315,561.6582003701706,615.0908229403951,489.887918019941
316,555.9155033726655,613.9649878026752,489.887918019941
317,553.6085802127367,613.9649878026752,475.82264945151263
318,556.7608867914838,613.9649878026752,475.82264945151263
319,557.1568242897999,613.9649878026752,475.82264945151263
320,550.9540787143351,613.9649878026752,480.95691298177667
321,548.6591641287657,613.9649878026752,480.95691298177667
322,546.2340092124925,595.0735997296217,480.8898331126064
323,545.0387198553143,587.6761371720575,480.8898331126064
324,541.7106173254022,587.6761371720575,472.97660481758476
325,537.533396666693,587.6761371720575,472.97660481758476
326,533.228940162675,587.6761371720575,480.8898331126064
327,528.8774477612067,587.6761371720575,477.3874995453562
328,531.8686088645073,587.6761371720575,486.59741450182474
329,526.426817931657,587.6761371720575,471.6501948505555
330,524.8703673003538,587.6761371720575,471.6501948505555
331,518.7772823658978,580.2944294943549,471.6501948505555
332,513.5017403786993,580.2944294943549,464.74449375867215
333,510.95245745183007,580.2944294943549,468.7736791895881
334,513.1469082658189,580.2944294943549,468.7736791895881
335,514.041970331565,557.5838627685278,472.6105352802397
336,510.82585901009656,557.5838627685278,459.4758429200919
337,506.33894512708457,547.2634616003737,459.4758429200919
338,505.8965803216821,547.2634616003737,459.4758429200919
339,502.0810797467087,545.6043600001204,451.4297891477327
340,497.7500163213156,545.6043600001204,451.4297891477327
341,494.87940193783203,539.7963288243151,457.8493775655317
342,490.5863189528479,539.2750510777023,434.6775142696041
343,488.1202414307468,533.3327759195294,434.6775142696041
344,492.8440134057908,534.2100773788198,448.97968391724555
345,491.9454241770267,536.3836962693132,445.87647365933304
346,493.8947809847809,533.8939574616398,445.87647365933304
347,487.71121357942707,533.3327759195294,453.37234808912876
348,484.94674889876694,533.3327759195294,443.4567335851428
349,486.8164452253986,533.3327759195294,443.4567335851428
350,486.54514484466085,533.3327759195294,443.4567335851428
351,481.3610274720448,533.3327759195294,426.34834069559844
352,479.4702330019205,533.3327759195294,411.4858317834346
353,481.67086776337806,538.2392715718955,417.96903881972025
354,487.5930523187486,538.2392715718955,417.96903881972025
355,487.77855549812244,533.3327759195294,417.96903881972025
356,484.6588600662211,533.3327759195294,417.96903881972025
357,484.4279525310426,533.3327759195294,438.8174056599549
358,481.2447758602274,533.3327759195294,442.78582068501373
359,479.2302582252619,536.3831215466772,442.78582068501373
360,478.4494925464971,536.3831215466772,442.78582068501373
361,478.8676603469654,529.5042040074413,439.47994797014394
362,476.71235514905203,529.5042040074413,413.87493751739424
363,470.6207872222782,529.5042040074413,406.40773566904375
364,475.6688752035679,529.5042040074413,425.1339058663102
365,474.81886936141217,529.5042040074413,435.6055314393056
366,474.5181495791163,529.5042040074413,438.8952113179232
367,471.9332743277716,529.5042040074413,427.7048222663546
368,468.06195208237614,513.8931425513327,425.904270384346
369,467.8350669509168,513.8931425513327,425.904270384346
370,470.39075334721286,513.8931425513327,425.904270384346
371,474.90761176554696,517.9060242384173,414.24571733540694
372,480.70861812572133,519.6702414590183,414.24571733540694
373,476.7924899992975,519.6702414590183,414.24571733540694
374,470.2969198588273,519.6702414590183,414.24571733540694
375,472.4774290810458,519.6702414590183,414.24571733540694
376,467.8367067235831,508.88425167991534,414.24571733540694
377,465.11569768790304,508.67155284431254,414.24571733540694
378,461.48811497945275,508.67155284431254,414.24571733540694
379,460.02741639914615,508.67155284431254,414.24571733540694
380,460.6550236814985,508.67155284431254,419.3323359906628
381,464.2349369917972,507.23168938685,419.3323359906628
382,459.3977755089085,507.23168938685,413.737822390406
383,458.1985048071723,507.23168938685,404.04171768443746
384,453.71881737372394,507.23168938685,394.2237296909572
385,454.8611857191616,507.23168938685,404.04171768443746
386,447.1826008881667,506.90760495613165,404.04171768443746
387,447.88359867571324,510.6204780787343,404.04171768443746
388,446.55724840947545,510.6204780787343,404.04171768443746
389,447.85925979297247,510.8763626241604,390.6667334575198
390,448.59105829486134,510.6204780787343,390.6667334575198
391,449.12683775310126,511.7218183076798,390.6667334575198
392,446.8963481995255,511.7218183076798,390.6667334575198
393,442.9191232541097,476.923511108643,390.6667334575198
394,444.2013976553257,476.923511108643,390.6667334575198
395,442.23614399374134,474.0833201143354,390.6667334575198
396,442.0378216112799,474.0833201143354,390.6667334575198
397,438.0989288031399,474.0833201143354,390.6667334575198
398,435.98502206023113,475.8413892361733,390.6667334575198
399,432.9428851189623,475.8413892361733,373.9747527265201
400,434.14070642779484,475.8413892361733,373.9747527265201
401,431.3031363102408,470.35508891019117,373.9747527265201
402,434.106449481084,486.05860702271866,373.9747527265201
403,434.2013662123516,486.05860702271866,373.9747527265201
404,437.1828475146514,473.6632614203419,385.6174146565526
405,433.4776469334252,473.6632614203419,385.6174146565526
406,432.3517831820329,473.6632614203419,378.850309057342
407,429.737133794886,473.6632614203419,368.75645887203666
408,433.29642140632336,473.6632614203419,378.850309057342
409,430.82822361534346,480.4111561610174,378.850309057342
410,430.6305236022025,480.4111561610174,378.850309057342
411,433.70178388960477,480.4111561610174,378.850309057342
412,431.36510776446715,480.4111561610174,378.850309057342
413,426.89824602560117,480.4111561610174,382.01039959502725
414,426.06385647239784,480.4111561610174,382.01039959502725
415,419.6063361458161,472.73595423609777,382.01039959502725
416,419.9836615816749,472.73595423609777,382.01039959502725
417,418.93963746476237,472.73595423609777,382.01039959502725
418,417.7195631772969,472.73595423609777,382.01039959502725
419,418.13211464310734,472.73595423609777,382.01039959502725
420,415.4737933463499,472.73595423609777,382.01039959502725
421,416.1479613464501,472.73595423609777,382.01039959502725
422,412.5639083266989,472.73595423609777,372.21081928047636
423,406.6993665031278,472.73595423609777,372.21081928047636
424,405.3566511725077,472.73595423609777,374.8613425185073
425,407.03731887161285,472.73595423609777,374.8613425185073
426,405.8593934759326,472.73595423609777,374.8613425185073
427,405.59114708884624,447.1154857600294,374.8613425185073
428,407.5577923120125,442.52082874456124,374.7907749787172
429,402.02704520086445,442.52082874456124,373.86170738039505
430,400.940722355276,441.4670077723614,369.2823277082172
431,397.65511504104035,433.28181263531155,369.2823277082172
432,396.6723322275712,433.28181263531155,369.2823277082172
433,397.7212657583969,433.28181263531155,369.2823277082172
434,397.10339670647403,433.28181263531155,369.2823277082172
435,401.0403715147437,434.0050887222012,369.2823277082172
436,398.5865506770487,434.0050887222012,357.1629608966846
437,399.75462989553785,434.0050887222012,357.1629608966846
438,399.94046267691454,433.28181263531155,357.1629608966846
439,397.70187703201043,435.95851933725856,357.1629608966846
440,400.3724961467461,435.95851933725856,358.9997512596893
441,398.09162310468446,435.95851933725856,358.9997512596893
442,398.6809153818677,435.95851933725856,355.8718264241644
443,397.6528413899006,435.95851933725856,355.8718264241644
444,398.50293221219164,435.95851933725856,355.8718264241644
445,395.8644483983213,434.92131069356674,355.8718264241644
446,396.6878991177841,434.92131069356674,355.8718264241644
447,397.39686870278956,434.92131069356674,355.8718264241644
448,395.9494646941477,434.92131069356674,359.35473878255794
449,396.30164630431625,434.92131069356674,355.94777488076363
450,392.83978468063526,424.0065825292636,359.35473878255794
451,391.02847180017096,424.0065825292636,359.35473878255794
452,388.8375114173013,424.0065825292636,347.59604221363094
453,392.1849982071227,424.0065825292636,347.59604221363094
454,394.02009189619946,424.0065825292636,361.2523891919445
455,391.91121235294946,419.2652964262997,348.7712983526552
456,392.52533444120564,424.9511789874824,364.3928838021079
457,390.03254056399527,420.58469898841196,354.2659177437119
458,392.4480921343706,425.59030799738605,354.2659177437119
459,394.8052478976622,420.58469898841196,354.2659177437119
460,397.1337587111595,423.15632692563884,352.9266485522157
461,397.17161801210545,422.62371970082773,352.9266485522157
462,395.4147225684488,420.58469898841196,352.9266485522157
463,393.0292414865509,420.58469898841196,352.9266485522157
464,393.7190704052228,420.58469898841196,369.6454253203764
