Generation,Average_Fitness,Worst_Fit,Best_Fit
1,479.8823781183661,530.2093661368535,444.6620976310712
2,456.358485946407,520.4969985843788,416.53165878010947
3,441.60755317943955,483.61091359988893,416.53165878010947
4,431.8134596865403,473.0744173331681,416.53165878010947
5,422.75262990808767,473.0744173331681,395.8056817473205
6,414.3247428117257,438.2894785221469,383.747363622458
7,406.51391258320757,423.7029573986807,383.747363622458
8,398.43655432663434,416.53165878010947,368.07741300599565
9,386.19181028574604,412.22628761300507,359.657724022283
10,375.9026553402883,406.54753286417883,358.2480428226967
11,368.7138235459512,388.94305253761297,348.0310780167677
12,360.2693994855726,371.449177593295,335.4646330003255
13,351.8106595453579,370.413048404537,329.20583384301415
14,341.5049467392644,367.8614028718567,306.54524722807844
15,328.432527753793,352.36433157377934,304.9995447441283
16,322.4700350935746,347.1842698664109,296.8857548649733
17,316.448356568186,347.1842698664109,296.8857548649733
18,309.22787656734846,331.6321574654958,295.3892036950629
19,301.12930914245914,314.3456112067278,282.7789477770943
20,296.04805692588815,306.54524722807844,282.7789477770943
21,289.4968810540614,300.60728660150716,273.656553550946
22,283.5671378455759,295.29425149162046,268.29013136464107
23,278.3824621890957,295.29425149162046,263.3586214070658
24,273.5010014707213,290.28652305145,259.89508063732825
25,266.87682966469174,279.58500939100804,254.1717761445532
26,261.39025492511416,273.656553550946,241.71191366172138
27,256.688046879393,267.57124680549344,241.71191366172138
28,249.98851714721837,259.89508063732825,233.02516444849573
29,245.13511468274072,257.2219316479781,228.64818565156227
30,239.61222658379896,252.62308680217328,228.64818565156227
31,234.04683558320926,242.46416710884242,215.0883871924566
32,229.03287641081243,242.36068273437724,215.02243469215662
33,224.07787378355965,236.43170381707952,202.93656977217142
34,217.99416532619017,232.86154999413867,202.93656977217142
35,212.04040395152032,226.75064041307053,202.30646536390032
36,205.6459514686326,221.0620777614433,188.60983034345188
37,199.36267891851926,215.02243469215662,178.06293533711045
38,195.53546434697142,209.37507281954902,178.06293533711045
39,190.30378083485087,203.8664837357642,178.06293533711045
40,184.62980203193803,195.3670740706734,173.11640098517657
41,180.06149248440158,195.32823821765672,165.17268862725905
42,177.32473430179027,185.50221140152564,165.17268862725905
43,172.98166697257602,181.68394165560153,163.78100686201134
44,170.76848749450045,178.6162321686588,153.88696368941874
45,166.17560089887584,177.0935512242512,153.88696368941874
46,162.88711289612928,171.43533066936655,151.18517549321808
47,160.84406906947328,167.03399083387362,151.57401751018807
48,155.85501576673548,165.17268862725905,142.6430910712258
49,151.60024745616715,161.55218634016364,142.6430910712258
50,149.064409149495,161.20880295357918,142.15694188407744
51,146.65486037755198,154.93017123349603,136.9072041016898
52,141.79330394305808,149.68105392191634,133.9417394204141
53,139.38588001865574,149.41747483301393,131.97091801083118
54,136.05069686678596,142.6430910712258,128.18305639995492
55,132.77388002560198,140.50033581671124,127.69435756967307
56,131.46447914329607,140.50033581671124,126.37868053937548
57,130.5950611151865,139.3753349448082,126.37868053937548
58,129.63003658684175,135.2532230785475,124.88428780646598
59,128.71076771412723,133.859093794418,126.30140162764444
60,127.57783100787148,132.13826141546105,125.82698257086768
61,126.58282746145747,130.8270783671478,123.11893498214809
62,125.52173241409766,130.04130783930364,120.70275527350174
63,123.59789475003899,129.21869329731499,114.60450062825427
64,122.9548168243732,127.99310768097818,114.60450062825427
65,121.94907274999427,128.57655956819556,114.60450062825427
66,120.91597650367922,126.72105811315515,114.60450062825427
67,119.80708545861717,123.34539990421611,114.60450062825427
68,118.80849914950561,123.11893498214809,113.08713135443352
69,118.07596364479222,121.76616699271264,113.08713135443352
70,116.40242865062993,120.4717800366447,112.3593696233826
71,115.73057806761106,126.09433076251864,112.3593696233826
72,114.93355436879543,119.25191294575946,112.3593696233826
73,114.0131946841879,117.98771634338148,112.3593696233826
74,113.4716362330626,120.53750191755742,107.70742522718658
75,112.26564207058044,117.74361815329398,107.70742522718658
76,110.59613013111922,117.01328792031605,102.34855839878605
