Generation,Average_Fitness,Worst_Fit,Best_Fit
1,956.5022877021838,1039.1463811298618,892.7066935689537
2,926.8273740027777,1014.6250241250118,865.8967332481568
3,909.5363676295387,953.6993039314588,865.8967332481568
4,889.6272447174575,937.1211640399639,851.7187667026151
5,872.2934746451214,913.7785401914309,818.1625930304682
6,851.4150541435422,892.7066935689537,812.439959806833
7,828.7400927047661,883.4712269459496,789.1691451301201
8,806.8868190489516,859.6592858346734,763.1407671923424
9,793.7428388744755,818.1625930304682,761.0854120497427
10,780.0903226316005,809.1448532710463,744.8631942813189
11,767.7915743579948,806.6441440387123,740.2646695019681
12,759.9032822339627,780.2572863877476,740.2646695019681
13,745.4908844064275,779.8434109828964,716.4276539838577
14,729.4701919514972,772.3039525895045,699.756598112117
15,716.8272080969859,751.56716395354,692.4693991542824
16,700.5136623186139,728.8087475179539,654.2223946228571
17,690.7393161364137,720.4611044672317,654.2223946228571
18,674.3927581272297,703.0180018189639,605.7968581325536
19,656.8471919963899,693.9646801913927,605.7968581325536
20,641.7475909093907,686.0855481379674,597.4458503138784
21,630.1750540147866,665.9539378436313,601.2682836119182
22,617.9074874837718,645.4948704441259,588.4832343334156
23,607.1217429078359,626.3354072326424,588.4832343334156
24,597.2987071642125,617.030106321685,565.1862847213145
25,585.1010251754258,606.8725306954035,554.659297398138
26,576.080840871346,592.082247690297,554.659297398138
27,568.5033147006435,589.6944770557947,533.7170058799509
28,555.24807704722,585.5517198355105,533.7170058799509
29,545.7790894119055,567.546403175012,503.42622472194546
30,536.2000416059476,562.2909912916103,503.42622472194546
31,529.6189091140719,554.5109904406743,503.42622472194546
32,521.8285926056716,536.0859379502114,502.5540214425152
33,512.62023801053,530.4192255082993,499.6959601186177
34,504.64330798160813,518.7291911366839,490.2728455492182
35,498.15130404778944,511.48415414966274,484.84757521134134
36,490.43667994375755,502.5540214425152,469.41276351290537
37,479.30497106578235,499.99265695489964,452.62818497487854
38,472.98159986873804,487.77170105774064,452.62818497487854
39,465.7914516468169,480.08876670650864,441.83044421957305
40,457.3437579313697,477.6199181458427,437.0868797814175
41,449.7239919668224,468.84714699941907,414.45906723257576
42,439.2265547320184,465.1909734226028,405.68232747245537
43,435.60758882665004,449.1982884985354,405.68232747245537
44,429.809896213188,441.83044421957305,397.4679522605365
45,421.0834808334078,441.61081180117014,394.1789066192338
46,410.4950887763119,437.48787342891495,392.77995447079275
47,402.90365907497556,425.897062534998,384.17878617207845
48,397.75957117991834,420.6686700324933,384.17878617207845
49,393.5192661907785,415.70616816069276,384.17878617207845
50,389.8528269450425,398.5745179143746,373.96054394890473
51,384.11196030406353,397.37828249773634,357.8730038135979
52,379.2788909105277,392.21054235849545,357.8730038135979
53,373.59563841859944,385.64027220315467,357.8730038135979
54,368.8173931130109,383.8227045731068,357.8730038135979
55,362.87708890846335,375.9493213086504,341.36803771558766
56,359.4463467250496,373.96054394890473,341.36803771558766
57,354.2284674538365,367.694863415458,342.19007786773193
58,348.7404986898189,357.8730038135979,318.75836200244663
59,343.759353707986,355.20434633841603,318.75836200244663
60,338.13775424994043,351.54580842512627,318.75836200244663
61,332.74149033733795,348.64287062356914,318.75836200244663
62,327.8935288537757,342.58622594550644,317.6050739477767
63,323.6447144000777,335.4522477664578,305.0133879490337
64,321.4193303094993,334.30162581401146,305.0133879490337
65,318.89433583779277,327.97415200963496,305.0133879490337
66,316.6926473060554,324.4590212970274,305.0133879490337
67,313.3805155631637,324.02916476421416,304.19865958410486
68,309.41357578374334,324.02916476421416,300.0216339282615
69,305.9932979516983,315.54635255718483,296.07615112374305
70,304.16515672445274,312.68253676164977,296.07615112374305
71,299.9625675805748,308.9058603556486,284.80823831718084
72,297.01651074795956,305.07853623748747,284.80823831718084
73,292.5602451760773,305.89906083781284,284.80823831718084
74,287.93516492619784,300.0216339282615,269.28412104461995
75,284.0683474604047,293.7514363802945,269.28412104461995
76,280.995518847026,288.1924299243221,267.7162297589894
77,279.22130651806737,288.3527198466688,267.7162297589894
78,277.02844467871864,286.2701595642943,267.7162297589894
79,274.2486135120691,285.888335393846,267.7162297589894
80,272.65156322656554,280.002559309289,267.7162297589894
81,271.4491130507838,279.18001941635566,264.47027278967056
82,270.264824838303,279.73479823286914,260.9897138484029
83,267.74491244102336,272.6853486685812,260.9897138484029
84,266.51826557598093,272.6853486685812,260.9897138484029
85,264.53909430654863,271.36252167722967,260.9877763849407
86,263.0064454049127,267.7162297589894,258.37517107005135
87,262.4136113564507,270.55485848277607,258.37517107005135
88,261.47650297982847,269.20192361846614,258.37517107005135
89,260.4075511824362,276.78898899007913,254.19515374997053
90,259.12221850337323,262.7883583301964,252.47167554285028
91,257.6550056560196,262.9797988651138,250.35064932618116
92,256.95982611025886,264.22182818217317,250.35064932618116
93,255.73071558433264,268.1105801120722,250.35064932618116
94,255.13481504612034,261.8783441022241,250.35064932618116
95,253.40709220783282,257.57302864654537,250.35064932618116
96,252.30840630598027,262.88406309269897,248.8637112808564
