Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.62,100,95
2,98.42,100,95
3,98.02,100,94
4,97.66,100,94
5,97.26,100,94
6,96.86,100,94
7,96.38,100,91
8,96.26,100,91
9,96.6,100,91
10,96.4,100,91
11,96.82,100,91
12,96.72,99,92
13,97.12,99,93
14,97.12,99,93
15,96.98,99,92
16,96.54,99,92
17,96.2,99,89
18,96.08,99,89
19,95.74,99,89
20,95.74,99,89
21,95.78,99,91
22,95.9,99,91
23,96.0,99,91
24,95.8,99,91
25,96.06,99,90
26,95.94,99,90
27,95.96,99,90
28,95.8,99,89
29,95.7,99,91
30,95.34,99,91
31,95.22,100,91
32,95.48,100,91
33,95.52,100,91
34,95.2,100,91
35,95.08,100,92
36,94.6,99,92
37,94.48,99,90
38,94.32,99,90
39,94.16,99,90
40,94.2,99,92
41,94.2,99,91
42,93.74,97,89
43,93.74,96,90
44,93.38,96,89
45,93.44,97,89
46,93.4,97,89
47,92.96,97,87
48,93.06,97,89
49,93.18,96,88
50,93.18,96,89
51,93.1,96,89
52,92.84,96,87
53,92.86,96,87
54,92.76,96,85
55,93.12,96,85
56,93.18,97,85
57,93.38,97,87
58,92.94,97,87
59,92.9,97,87
60,92.9,97,87
61,92.58,97,87
62,92.42,97,87
63,92.44,97,87
64,92.38,97,87
65,92.78,97,87
66,92.48,97,87
67,92.42,97,87
68,92.36,97,87
69,92.48,97,87
70,92.04,97,87
71,92.0,96,86
72,91.96,95,86
73,92.1,95,88
74,92.12,95,88
75,91.92,95,88
76,91.72,95,88
77,91.86,95,89
78,91.62,95,87
79,91.42,95,86
80,91.42,95,86
81,91.08,96,86
82,90.84,95,86
83,90.8,95,86
84,90.86,95,86
85,90.66,95,84
86,90.78,95,84
87,90.9,95,84
88,90.94,95,85
89,91.02,95,86
90,90.86,95,86
91,90.54,95,86
92,90.6,95,86
93,90.28,95,86
94,89.72,95,85
95,89.54,95,84
96,89.38,95,84
97,89.38,95,84
98,89.24,93,83
99,89.2,93,83
100,89.08,93,83
101,88.88,93,84
102,88.72,93,82
103,88.0,93,80
104,87.22,93,80
105,87.0,93,80
106,86.6,93,80
107,86.16,93,79
108,86.6,93,79
109,86.68,93,80
110,86.44,93,80
111,85.66,93,79
112,84.9,93,79
113,84.52,93,78
114,85.02,93,78
115,85.78,93,79
116,85.22,93,79
117,85.84,93,80
118,85.88,92,80
119,86.52,93,81
120,86.78,93,80
121,86.68,93,80
122,86.76,93,80
123,87.12,93,82
124,87.06,93,82
125,87.5,93,82
126,87.0,93,79
127,86.64,93,82
128,86.62,92,80
129,86.82,92,81
130,86.18,92,78
131,85.42,92,78
132,85.92,92,78
133,85.52,92,78
134,84.96,92,78
135,84.74,92,79
136,84.56,92,81
137,85.08,92,81
138,85.12,91,81
139,84.38,91,80
140,83.92,91,80
141,83.9,89,80
142,83.84,89,79
143,83.58,89,79
144,83.24,89,79
145,82.96,89,78
146,83.08,89,79
147,82.68,88,76
148,82.7,88,78
149,82.86,88,78
150,82.9,88,77
151,82.56,88,79
152,82.46,88,77
153,82.86,88,77
154,82.94,88,77
155,83.24,88,77
156,83.5,87,77
157,83.74,89,77
158,83.56,89,77
159,83.28,89,79
160,82.92,89,78
161,83.08,89,75
162,83.1,89,75
163,83.24,89,75
164,83.34,89,78
165,83.36,89,77
166,83.32,89,78
167,83.28,89,77
168,83.44,89,78
169,83.36,89,79
170,83.32,89,79
171,83.14,89,79
172,83.06,89,78
173,82.9,89,78
174,82.9,89,78
175,82.58,89,78
176,82.8,89,78
177,82.76,89,76
178,83.16,89,78
179,82.78,89,78
180,82.82,89,77
181,82.94,91,76
182,82.56,91,77
183,82.14,91,77
184,82.2,91,77
185,81.96,91,75
186,82.12,91,75
187,82.36,91,72
188,81.74,91,72
189,81.6,91,72
190,80.86,87,72
191,81.08,87,72
192,80.94,87,72
193,81.14,87,72
194,80.56,87,72
195,80.74,89,72
196,80.66,87,72
197,81.22,87,73
198,81.74,87,73
199,81.36,87,73
200,81.66,87,73
201,81.56,87,76
202,81.66,87,76
203,81.94,87,75
204,81.48,87,76
205,81.1,87,74
206,80.78,87,74
207,80.68,87,73
208,81.22,88,73
209,81.72,88,73
210,81.96,88,73
211,82.18,88,73
212,82.28,88,73
213,81.84,88,75
214,80.46,88,74
215,80.7,89,74
216,80.12,89,74
217,79.82,89,73
218,79.6,89,73
219,79.02,89,74
220,79.2,89,69
221,79.46,89,69
222,79.18,89,71
223,79.36,89,70
224,79.1,89,70
225,78.88,89,74
226,79.06,89,75
227,79.08,89,75
228,78.8,89,75
229,78.88,89,73
230,78.74,89,73
231,78.26,89,73
232,77.84,86,73
233,77.34,86,72
234,77.74,86,72
235,77.62,86,70
236,77.98,86,72
237,78.32,86,71
238,78.16,86,71
239,78.94,86,71
240,78.48,86,71
241,78.96,86,71
242,78.38,86,71
243,78.32,86,71
244,78.24,86,72
245,78.48,86,73
246,78.08,86,69
247,77.6,86,69
248,77.52,86,69
249,77.44,86,69
250,77.88,86,73
251,77.68,86,73
252,77.76,85,73
253,77.72,85,73
254,78.42,83,73
255,78.76,83,73
256,78.82,83,72
257,78.54,83,72
258,78.96,83,72
259,78.16,83,72
260,78.66,83,72
261,78.84,83,72
262,78.52,83,71
263,79.08,83,71
264,79.18,83,71
265,79.4,83,72
266,79.52,83,72
267,79.38,83,72
268,78.36,83,69
269,78.9,83,72
270,78.84,83,72
271,79.0,83,72
272,79.2,83,72
273,79.76,83,72
274,80.26,83,73
275,80.04,83,73
276,79.48,83,73
277,78.72,83,73
278,78.54,83,73
279,78.18,83,72
280,77.98,83,71
281,77.8,83,71
282,77.54,83,72
283,77.62,82,72
284,77.58,82,72
285,78.1,83,72
286,77.94,83,72
287,77.94,83,74
288,77.76,83,74
289,77.52,83,71
290,77.04,83,71
291,77.04,82,73
292,76.74,82,74
293,76.54,82,74
294,76.48,82,73
295,76.28,80,73
296,76.14,80,72
297,75.98,80,72
298,76.1,80,72
299,75.98,80,72
300,76.08,80,73
301,76.02,80,73
302,75.76,79,71
303,75.74,80,69
304,75.32,80,69
305,75.42,80,71
306,75.36,79,71
307,75.38,79,71
308,75.38,79,71
309,75.36,79,71
310,75.44,79,71
311,75.2,79,71
312,75.18,79,71
313,74.76,77,72
314,74.42,77,72
315,74.12,77,72
316,74.0,77,71
317,73.88,77,71
318,73.98,77,71
319,73.82,77,71
320,73.64,77,71
321,73.46,77,71
322,73.46,77,71
323,73.28,77,68
324,73.28,77,68
325,73.4,76,68
326,73.18,76,68
327,72.9,75,68
328,72.66,75,68
329,72.32,75,68
330,72.28,75,68
331,72.08,77,68
332,71.7,75,68
333,71.92,75,68
334,72.14,75,68
335,72.66,75,68
336,72.5,75,68
337,72.3,75,68
338,72.46,75,68
339,72.6,75,68
340,72.3,75,68
341,72.2,75,68
342,72.3,75,69
343,72.12,76,68
344,72.02,75,69
345,71.9,75,69
346,72.04,75,68
347,72.0,75,68
348,71.96,75,68
349,72.06,77,68
350,72.18,77,66
351,71.72,77,66
352,72.44,77,68
353,71.96,77,65
354,71.9,77,67
355,72.14,77,66
356,71.5,77,66
357,71.38,77,66
358,71.84,77,66
359,72.08,77,66
360,72.1,77,67
361,72.48,77,67
362,72.52,77,66
363,72.72,77,66
364,72.5,77,66
365,72.28,77,66
366,71.98,77,66
367,72.0,77,66
368,72.04,77,64
369,71.84,77,64
370,71.86,77,64
371,71.44,77,64
372,70.6,77,64
373,70.5,77,64
374,71.0,77,65
375,71.88,77,64
376,71.88,77,64
377,71.98,77,66
378,71.5,77,66
379,71.84,77,66
380,71.4,77,66
381,72.04,77,66
382,72.0,77,66
383,71.76,77,64
384,71.48,77,64
385,72.1,77,65
386,72.32,77,65
387,72.66,77,65
388,72.96,77,65
389,73.12,77,65
390,73.5,77,68
391,73.64,77,68
392,73.9,77,68
393,73.6,77,68
394,73.82,77,68
395,73.62,77,68
396,73.68,77,68
397,73.3,77,68
398,73.68,78,68
399,72.92,78,68
400,72.32,78,68
401,72.6,78,67
402,72.4,78,67
403,72.42,78,67
404,72.7,78,68
405,73.3,78,68
406,72.8,78,67
407,73.74,78,67
408,73.8,78,67
409,73.82,78,69
410,73.26,78,68
411,73.32,77,68
412,72.58,77,68
413,72.32,77,68
414,72.7,77,69
415,73.0,77,70
416,72.8,77,69
417,73.0,77,69
418,73.26,77,68
419,73.32,77,68
420,73.52,76,69
421,73.16,76,69
422,72.88,76,69
423,72.48,76,69
424,72.26,76,69
425,72.44,76,69
426,72.46,76,69
427,72.58,76,68
428,72.62,76,68
429,72.84,76,67
430,72.88,76,67
431,72.84,76,67
432,72.7,76,67
433,72.76,76,67
434,72.72,76,67
435,72.14,76,66
436,72.2,76,66
437,72.02,76,66
438,71.96,76,66
439,71.56,76,66
440,72.04,76,66
441,71.88,76,66
442,71.94,76,66
443,71.64,76,68
444,71.8,76,68
445,71.56,76,67
446,72.06,76,67
447,72.58,76,67
448,72.36,76,67
449,72.44,76,67
450,72.14,76,67
451,71.66,76,66
452,71.08,76,66
453,70.92,76,66
454,71.18,76,66
455,71.58,76,66
456,71.0,76,66
457,71.22,76,66
458,71.08,76,66
459,70.78,76,66
460,70.46,76,66
461,70.28,76,66
462,70.48,76,66
463,70.86,76,66
464,70.8,76,66
465,71.04,76,66
466,71.3,76,66
467,71.14,76,66
468,71.5,76,66
469,71.68,76,66
470,71.96,76,66
471,72.48,76,66
472,72.64,76,67
473,72.82,76,67
474,72.64,76,67
475,72.88,76,67
476,72.9,76,67
477,72.58,76,67
478,72.26,76,67
479,72.72,76,67
480,72.68,76,68
481,72.68,76,68
482,72.36,76,67
483,71.98,76,67
484,72.26,76,69
485,71.98,76,67
486,72.24,76,67
487,72.14,76,66
488,71.38,76,66
489,71.04,76,66
490,70.94,76,66
491,71.06,75,66
492,71.24,74,66
493,71.38,74,65
494,71.2,75,65
495,71.34,75,65
496,71.56,75,68
497,71.76,75,68
498,71.94,75,68
499,72.04,75,68
500,72.1,75,68
