Generation,Average_Fitness,Worst_Fit,Best_Fit
1,996.2943794673785,1073.0933898504356,919.8917438564129
2,998.579504926806,1073.0933898504356,919.8917438564129
3,991.037073670254,1061.975570489999,915.7610227730323
4,989.7710196546308,1061.975570489999,915.7610227730323
5,986.5483596619861,1061.975570489999,903.0242971723085
6,982.9460797279689,1079.6970688910853,905.1325752442818
7,976.552539602632,1079.6970688910853,897.85732936562
8,976.7425665301806,1079.6970688910853,849.4598696421783
9,971.4633775641299,1079.6970688910853,849.4598696421783
10,960.1962465141128,1079.6970688910853,849.4598696421783
11,959.872462933597,1079.6970688910853,849.4598696421783
12,961.6282043343006,1079.6970688910853,849.4598696421783
13,958.2138506054074,1058.2149231568565,849.4598696421783
14,951.896736974581,1045.1993682506175,849.4598696421783
15,948.5070455958604,1045.1993682506175,821.0366440565708
16,950.1390474507348,1045.1993682506175,821.0366440565708
17,946.6406051227635,1045.1993682506175,821.0366440565708
18,951.9681121640158,1045.1993682506175,847.4720457144664
19,948.2031811058717,1045.1993682506175,847.4720457144664
20,949.2889192518268,1045.1993682506175,847.4720457144664
21,937.6848691983365,1033.7184316750938,812.3803143334416
22,932.3883465199351,1033.7184316750938,812.3803143334416
23,932.0594926078987,1033.7184316750938,812.3803143334416
24,935.0441933080332,1021.0796104843555,843.2649859777268
25,933.2882024285224,1021.0796104843555,843.2649859777268
26,930.3411075799893,1014.6581053635988,831.9171259706955
27,928.7558945358095,1000.8594664506109,831.9171259706955
28,923.834972360412,1000.8594664506109,831.9171259706955
29,923.860286543386,1000.8594664506109,827.1055781869136
30,928.67872852659,1000.8594664506109,847.4720457144664
31,928.7241525193517,1000.8594664506109,847.4720457144664
32,926.524228871829,1000.8594664506109,847.4720457144664
33,922.3991740326103,1000.8594664506109,847.4720457144664
34,919.0688768041141,995.6809194077955,847.4720457144664
35,914.4354454986013,995.6809194077955,843.9200571473355
36,916.7961406362649,995.6809194077955,843.9200571473355
37,914.1260719816664,995.6809194077955,842.0972903883655
38,910.0500520200083,995.6809194077955,828.0708780532008
39,910.4792271410157,995.6809194077955,828.0708780532008
40,910.8271875560241,995.6809194077955,828.0708780532008
41,907.7628014962161,995.6809194077955,814.2182977063936
42,909.4106661901893,995.6809194077955,828.0708780532008
43,903.5295622725171,995.6809194077955,824.2292493521555
44,896.5826453941277,970.9707861636573,824.2292493521555
45,895.6390663986851,985.3489573026585,812.1591392536817
46,891.3988262868436,970.9707861636573,801.2966842714286
47,886.4977816910654,970.9707861636573,784.6957353576271
48,887.8843325686221,970.9707861636573,784.6957353576271
49,887.1286448627989,970.9707861636573,784.6957353576271
50,885.4206760018164,970.9707861636573,784.6957353576271
51,882.5797061749552,970.9707861636573,784.6957353576271
52,881.8342076766373,970.9707861636573,784.6957353576271
53,881.0203266270015,970.9707861636573,784.6957353576271
54,884.6762592210507,970.9707861636573,808.5910224347166
55,880.250091613133,970.9707861636573,752.0989381428484
56,877.88234635973,970.9707861636573,752.0989381428484
57,876.6995048120283,972.7045437995515,752.0989381428484
58,876.3770244394337,972.7045437995515,752.0989381428484
59,871.6458132050867,949.9689482379049,752.0989381428484
60,865.3723814969011,943.2331361070956,752.0989381428484
61,864.8156789484523,943.2331361070956,752.0989381428484
62,866.5261552707072,943.2331361070956,752.0989381428484
63,866.3680092062109,943.2331361070956,752.0989381428484
64,863.0647871164499,943.2331361070956,752.0989381428484
65,855.8947761736166,942.3723882635868,752.0989381428484
66,853.4049313433623,933.3635775400079,752.0989381428484
67,851.1932968628814,933.3635775400079,752.0989381428484
68,846.1293991738438,933.3635775400079,748.6795358589637
69,846.7451466225046,933.5270090814026,748.6795358589637
70,849.0041750053912,933.5270090814026,748.6795358589637
71,843.1562684113122,933.3635775400079,741.0116919309605
72,842.0712239317786,933.3635775400079,741.0116919309605
73,836.9959818222239,933.3635775400079,734.8115037635371
74,839.7680511408756,933.3635775400079,739.857044004186
75,843.6554729367418,933.3635775400079,739.857044004186
76,830.6444726267518,933.3635775400079,732.9351354076352
77,830.621965136423,933.3635775400079,732.9351354076352
78,835.8540423818937,933.3635775400079,732.9351354076352
79,837.0557859550153,935.5044425524169,732.9351354076352
80,829.3159447571336,935.5044425524169,732.9351354076352
81,826.5094315406043,935.5044425524169,732.9351354076352
82,830.577429753291,935.5044425524169,732.9351354076352
83,831.431216380956,935.5044425524169,732.9351354076352
84,829.0229316433044,935.5044425524169,732.9351354076352
85,826.8873465071633,898.9892946972947,732.2964496529181
86,825.7844340994681,898.9892946972947,744.4494592921438
87,826.1209994095651,895.8221469999903,695.7725462008278
88,822.6758980574641,895.8221469999903,695.7725462008278
89,821.106424254639,895.8221469999903,695.7725462008278
90,813.4836482054284,895.8221469999903,695.7725462008278
91,818.1339642813566,895.8221469999903,746.4575354771893
92,814.8009015244413,895.8221469999903,746.4575354771893
93,807.6366602799025,895.8221469999903,735.0000634209512
94,807.3965674008496,895.8221469999903,735.0000634209512
95,804.4629991188289,895.8221469999903,727.0355807518633
96,800.6231728790881,895.8221469999903,698.9342077240168
97,801.1075983282155,901.6158498648105,698.9342077240168
98,801.0096067676221,901.6158498648105,698.9342077240168
99,802.9065340538972,901.6158498648105,698.9342077240168
100,810.5790701166885,901.6158498648105,698.9342077240168
101,810.9168266813329,901.6158498648105,711.3153745811528
102,811.9403654900248,901.6158498648105,711.3153745811528
103,810.101208330187,899.5279602708829,711.3153745811528
104,806.8310157398096,899.5279602708829,711.3153745811528
105,804.3270805363017,899.5279602708829,711.2351578829431
106,798.9143735997109,899.5279602708829,711.2351578829431
107,792.8830021968088,899.5279602708829,711.2351578829431
108,784.9192257056084,899.5279602708829,691.0584818877371
109,786.9350523391856,899.5279602708829,691.0584818877371
110,783.8826788939957,899.5279602708829,671.4664730347076
111,782.4651630523621,899.5279602708829,671.4664730347076
112,783.4801273797269,899.5279602708829,671.4664730347076
113,783.8343381822821,899.5279602708829,671.4664730347076
114,770.7560017033067,899.5279602708829,671.4664730347076
115,770.6582133620504,899.5279602708829,671.4664730347076
116,765.0066891524627,899.5279602708829,671.4664730347076
117,763.3086833215988,861.8724699402813,671.4664730347076
118,762.4689244854709,861.8724699402813,671.4664730347076
119,754.8332691736179,861.8724699402813,671.4664730347076
120,748.3571002314213,861.8724699402813,659.6122774680549
121,742.3059992496565,861.8724699402813,656.1460660707037
122,746.8008963127006,861.8724699402813,656.1460660707037
123,749.0834450879504,861.8724699402813,656.1460660707037
124,741.1427579032852,861.6757024107424,658.2180834638285
125,739.9637242626308,861.6757024107424,658.2180834638285
126,736.4178000692085,861.6757024107424,658.2180834638285
127,730.168385173582,861.6757024107424,658.2180834638285
128,734.1967193641847,861.6757024107424,651.1701335789736
129,732.0606280160574,861.6757024107424,654.9096626251736
130,733.8288947289059,861.6757024107424,654.9096626251736
131,730.9088221820409,861.6757024107424,654.9096626251736
132,731.6408746374011,861.6757024107424,654.9096626251736
133,730.6220222176496,861.6757024107424,654.8204722915938
134,729.3605287625157,822.4881954495044,643.9208358318538
135,724.7049754879638,820.0847410161053,590.3321512220543
136,728.8848204094479,820.0847410161053,590.3321512220543
137,725.7223907850854,820.0847410161053,590.3321512220543
138,725.255350725652,820.0847410161053,590.3321512220543
139,725.8746535734566,820.0847410161053,590.3321512220543
140,718.0891842172152,820.0847410161053,570.221234870574
141,722.9241402079778,820.0847410161053,570.221234870574
142,722.8834164303685,811.7180352253646,570.221234870574
143,722.2326052519969,811.7180352253646,570.221234870574
144,724.1458029677348,818.544199383021,570.221234870574
145,725.8327786551646,818.544199383021,554.1079574237544
146,732.2708241171784,818.544199383021,554.1079574237544
147,725.9228145699416,818.544199383021,554.1079574237544
148,728.8862126781798,818.544199383021,570.221234870574
149,725.4927249310132,818.544199383021,570.221234870574
150,724.7062310668847,821.6711372665691,570.221234870574
151,727.6497594168993,826.5472831348709,570.221234870574
152,715.4069362927503,826.5472831348709,570.221234870574
153,717.2712925437195,826.5472831348709,570.221234870574
154,713.8410779094149,826.5472831348709,570.221234870574
155,706.6546230670315,826.5472831348709,570.221234870574
156,708.239373487491,826.5472831348709,570.221234870574
157,714.4929170263317,826.5472831348709,586.708414884285
158,713.9628445667418,826.5472831348709,586.708414884285
159,709.1268111922665,826.5472831348709,586.708414884285
160,709.4041093285277,826.5472831348709,586.708414884285
161,713.2934385481618,826.5472831348709,586.708414884285
162,719.1761537410337,826.5472831348709,586.708414884285
163,710.9155101974522,826.5472831348709,567.1481102232638
164,720.6798506099311,826.5472831348709,567.1481102232638
165,720.7851097412985,826.5472831348709,567.1481102232638
166,720.8591066775468,826.5472831348709,567.1481102232638
167,716.3392743522076,826.5472831348709,567.1481102232638
168,720.3295902654702,826.5472831348709,567.1481102232638
169,717.2438686461993,826.5472831348709,567.1481102232638
170,722.2699235651489,826.5472831348709,567.1481102232638
171,730.0771597762432,826.5472831348709,567.1481102232638
172,727.2793602949383,826.5472831348709,567.1481102232638
173,725.912666352019,826.5472831348709,567.1481102232638
174,735.2689126662464,826.5472831348709,567.1481102232638
175,732.3695103839043,826.5472831348709,567.1481102232638
176,731.981827373343,826.5472831348709,567.1481102232638
177,743.8026431983095,826.5472831348709,567.1481102232638
