Generation,Average_Fitness,Worst_Fit,Best_Fit
1,994.2947528469466,1037.2697834727894,880.4492439044382
2,978.0057157608744,1011.2341992587711,880.4492439044382
3,960.1702363798847,993.8412845832357,880.4492439044382
4,945.5200087699633,978.9670248427898,877.4841741799456
5,927.923253994988,958.7121402682587,850.0813101566619
6,910.3832253948359,942.7964764223321,850.0813101566619
7,897.6769744479064,927.4002038829486,850.0813101566619
8,882.6855728048457,908.4546706412725,825.649550893713
9,868.6965293538882,896.6187982296,821.1098678882031
10,853.1651896638447,879.1777988561876,794.7265199863173
11,842.2484797720612,864.7555018686569,794.7265199863173
12,829.6017105895614,854.7967051864423,788.7165391352551
13,821.2341869562998,845.2047888329074,770.0142025045396
14,805.8362101291909,829.9653236456809,759.3058077794474
15,796.1120073581505,818.3683704407089,741.6281356629487
16,784.8420820261433,802.1745246694228,741.6281356629487
17,773.9053113696916,793.7983157970342,737.6605459060229
18,763.3696764696974,783.9206356986799,728.0018283061988
19,750.4348929909075,772.9049592401735,705.4631758682066
20,741.9164376730064,763.066198909895,689.0927519687712
21,728.674744209477,751.7962970562096,665.0977090066525
22,714.6454759243367,741.6281356629487,661.2406664932129
23,700.0400161254801,724.9144805505691,661.2406664932129
24,687.0501500714536,713.9727695326828,607.6522956743574
25,670.5070471738416,699.8624261393086,588.4201793050956
26,658.3145345642832,684.9372390408289,588.4201793050956
27,650.0392034185355,670.9276604727423,588.4201793050956
28,637.1468082891492,661.886443533302,587.6230990439121
29,627.294799912784,649.0491464100976,587.6230990439121
30,617.7126445594826,635.4505665663049,577.4254876049507
31,607.8487601359967,627.0571792455103,561.7863596181005
32,596.770034989224,616.801580664951,524.840881573278
33,589.0892702030084,608.1121580408941,524.840881573278
34,576.2987139842438,597.1053087687058,505.5703830354586
35,566.0103285724033,587.8844141946281,504.31683757800744
36,556.7418985395643,578.2360716005297,504.31683757800744
37,547.9529738155437,570.5173975394696,504.31683757800744
38,538.8036765234882,558.0109538614205,504.31683757800744
39,530.036804992608,547.6157911551412,504.31683757800744
40,522.5367307041115,536.0653284673991,504.31683757800744
41,513.8398428971127,529.0198509798903,474.9743323284851
42,506.4922958588258,519.2818059519041,468.51767545978817
43,499.0432142072641,513.468375909143,463.57280999359676
44,491.7344078475028,507.39577500271434,442.7937504154814
45,485.8845345087759,500.0498296063007,442.7937504154814
46,477.52066284641603,494.7164624437387,442.7937504154814
47,469.86057776275214,483.96413295667907,439.26824651460635
48,461.6597963623598,476.63699242934166,435.40524695597503
49,453.1428397487942,468.41827662036854,412.4767205415569
50,445.180796343564,461.55099950713696,412.4767205415569
51,439.89386041122833,453.84328457788797,412.4767205415569
52,431.8431837508612,446.4442468677773,412.4767205415569
53,424.0390515050509,438.54484790626015,386.7796978649666
54,416.25597179102607,431.197865979885,386.7796978649666
55,410.5100968285053,423.23181069135944,380.98131758010123
56,403.21752137852957,416.7344950023726,373.19162487613715
57,396.8145173408543,410.5378617177722,373.19162487613715
58,388.2890043114681,404.43746849528804,351.4512865981701
59,380.9161335238805,396.4207900146639,351.4512865981701
60,374.86343116231996,386.80594305435153,351.4512865981701
61,371.31492637774346,381.2155290522384,351.4512865981701
62,365.2797091189456,375.6669627650621,344.62657053685354
63,359.5463830630405,370.5299307080732,344.2118737531396
64,354.1678297012223,364.55119703243685,336.0379848325928
65,346.973167288976,358.6837704119828,323.81334371765155
66,342.6715522755656,352.4249488444514,323.81334371765155
67,338.75911511051794,346.5178189856121,323.81334371765155
68,336.72196021470796,342.73885229612927,323.81334371765155
69,334.14999878604425,341.6098382748438,318.14947672529246
70,331.2865455333303,337.9069280181277,318.14947672529246
71,328.91898846614714,334.4315772860554,316.47639277553793
72,325.70970990517753,332.4508587453976,310.06028217388155
73,323.0954861926297,329.0550084490171,310.06028217388155
74,320.86490134152723,326.4052855608959,310.06028217388155
75,318.6284949534514,324.0387927494988,310.06028217388155
76,315.5464194154775,321.3391952243369,302.16216023417985
77,313.1184457047965,318.69498705975644,297.95536728913197
78,310.87372608011026,316.3465867448575,297.95536728913197
79,308.6277918070493,314.22366896093735,295.01775245322926
80,306.5052953659719,311.9614861831905,295.01775245322926
81,304.4186807208247,309.34456373467094,295.01775245322926
82,301.45505174422146,307.0189630207055,289.39550331182176
83,299.01664735506887,303.9199561111577,289.39550331182176
84,296.9708960148145,302.16216023417985,288.47515006794526
85,295.1841624337356,299.47893009807865,284.7928542419175
86,293.2431609405551,297.5080111547683,282.97159005509945
87,291.8051115430603,296.1032453811308,282.97159005509945
88,289.9288875070168,294.16112034665633,279.11849521652687
89,287.83327185356706,292.23856427172916,274.3630742995121
90,286.42825432031583,290.9122618966125,274.3630742995121
91,284.33560866185377,289.0242318847183,271.14590379133557
92,282.72520554915883,287.6870728841594,271.14590379133557
93,281.04399855929717,285.83941553392975,271.14590379133557
94,279.4253668156756,283.8975251867126,271.14590379133557
95,278.1921487715792,281.1939329574278,271.14590379133557
96,276.95632734650053,279.6779534060689,270.09673626987126
97,276.0199943908541,278.9801364414195,270.09673626987126
98,274.83355625804313,278.51730182800264,264.35268001545995
99,273.25480325700477,277.04438721169606,264.35268001545995
100,272.2099592239801,276.13586899863935,264.35268001545995
101,270.7817356981905,274.2161965274642,262.0295519842415
102,269.6320755224792,273.1261348260773,260.77482849333046
103,268.1171330398418,271.6128681518353,255.42335623510593
104,267.2934152840337,271.10791741894,255.42335623510593
105,265.4681561835551,269.7390563378599,251.85377089442568
106,264.15499305394997,268.47485136977656,251.85377089442568
107,263.1410487567857,267.09627098517177,251.85377089442568
108,261.8334909416507,266.2358292653579,251.85377089442568
109,260.46628334897434,264.486435001796,251.85377089442568
110,259.1358922927237,263.0122321255707,248.25185803552912
111,257.5175800905885,261.61723131576895,248.25185803552912
112,255.96352007020116,260.3861636856306,243.60261417247443
113,255.16621757120149,258.1538121627191,243.60261417247443
114,254.14870446003272,257.08707379331526,243.60261417247443
115,252.6940396746837,256.1791299002394,243.60261417247443
116,251.42507768784176,255.3877821409254,243.60261417247443
117,250.49832522664693,254.51033115204189,243.60261417247443
118,249.14504970758665,253.44557737321105,240.18201894068736
119,248.32569240567648,252.07261646301194,240.18201894068736
120,247.47710216443866,251.69298113754326,240.18201894068736
121,246.22251506997523,249.74035847096084,240.18201894068736
122,245.1678988836288,248.54399823138226,240.18201894068736
123,244.36270639317297,246.99450827383816,240.18201894068736
124,243.71472744968662,246.1381831002035,240.18201894068736
125,243.04238898208376,245.46287583803237,237.47383195697657
126,242.54741079453726,244.8531480507719,237.47383195697657
127,242.09680853806051,243.97007058804195,237.47383195697657
128,241.72549688277167,243.73328645123075,237.47383195697657
129,241.3531498118804,243.0337528039569,237.47383195697657
130,240.96845946777037,242.36721870056581,237.47383195697657
131,240.63655529217274,241.9574773297991,234.84986000289499
132,240.25838998156408,241.7998635522491,234.84986000289499
