Generation,Average_Fitness,Worst_Fit,Best_Fit
1,960.2229175700653,1013.1980849605375,870.5916114241885
2,940.4834766052247,984.7800685306856,862.6993972489155
3,916.0637048875798,957.387803623538,850.4180918769248
4,894.253665898083,925.7129673418202,836.5268638486765
5,878.4611321704139,909.377340928674,788.5535457519892
6,855.3966270061495,890.9867776848535,786.0907527519613
7,837.1822479427323,871.4328253837933,763.6463073312664
8,815.3100040230676,852.232188544194,747.4860927825013
9,796.1742054928087,826.7819564728313,746.4885340242705
10,781.7021167128798,805.5957244125855,744.5920928948856
11,765.5078680712888,791.2816807611948,705.6702829899067
12,749.0485496765122,774.375698934556,697.3799617432719
13,734.5778426075283,762.3495927170466,672.6333691909072
14,717.0023709972376,746.4354354806579,672.6333691909072
15,700.1477908708506,729.4773778886904,636.9780770045644
16,685.2603690608173,710.3783228761187,636.9780770045644
17,668.2762831641351,696.3063972581796,598.5806799719949
18,649.2576449600751,675.8742044699711,595.3105524711125
19,635.627521700589,663.3926348671946,585.1140273788549
20,618.8514607318575,642.4847040721381,574.5551906459727
21,602.6104086625121,629.0973414032092,562.2690340272242
22,589.1232601268355,611.8797295395711,552.9739636317827
23,574.9870366251059,595.3577195632305,543.1128088295148
24,563.1795043403146,580.023976826161,537.8005853113216
25,553.0163210151771,570.8111906233132,517.6316881540235
26,544.1561763382161,560.2658629833792,517.6316881540235
27,535.7823637459293,551.4832684445379,495.026433513031
28,525.7650745095377,540.7901504042252,490.63019245759574
29,515.5916422103161,531.5338471374376,487.20370510033393
30,507.59033741324515,522.4433238831313,487.20370510033393
31,500.39843731234686,511.94194563521546,470.88659357272985
32,491.298314922991,504.8428077483607,462.6257171187787
33,480.57723414588327,497.5686280343066,443.19595126025337
34,465.5345980135032,487.20370510033393,407.901354536467
35,458.48547511340445,471.62003919360814,407.901354536467
36,445.999937146305,464.3913391914229,392.5285575935801
37,437.6923896032117,453.988505314031,392.5285575935801
38,425.64928939314916,444.66700865582186,392.5285575935801
39,415.9894502907229,436.3622201466205,390.8118874243536
40,403.97320274743504,424.71539374767957,373.92055114059235
41,396.21483506321385,407.901354536467,373.92055114059235
42,389.5075863104974,398.8854566704013,373.92055114059235
43,382.95808218485485,392.5285575935801,359.2801099371408
44,377.9815747863802,386.77006251164784,359.2801099371408
45,371.71994880205057,381.62207825131134,349.5607269770492
46,365.04086898937203,374.9951336488763,336.0997086712056
47,359.9631984472246,369.07675588711663,336.0997086712056
48,353.46693639460534,364.18988406368953,325.78068600610305
49,347.16070103737553,357.65669356823344,325.78068600610305
50,341.9860978461943,351.73476636354945,314.771238261043
51,338.52180937699296,346.9264305546126,314.771238261043
52,333.40855577751137,343.5769508413452,314.771238261043
53,328.92906267245104,337.7345646908443,310.99079650649026
54,325.0721360200894,333.1501014701248,310.83492494692854
55,321.15100221175123,329.3010862290656,305.5183982361769
56,316.90042077029347,325.67184564879807,301.2315306352651
57,312.71673593695976,321.09780517375043,296.91816072026586
58,308.1212373082076,316.30109671299624,282.4495042387546
59,304.39142010155496,311.24651974787463,282.4495042387546
60,300.2601324487145,307.78338028774965,282.4495042387546
61,296.7103337415363,303.2615545558207,282.4495042387546
62,293.3614112229925,299.9926629672508,282.4495042387546
63,290.45405133761057,297.0800018709703,278.69672099691616
64,287.1107593985193,292.9637324323764,275.5958441383891
65,284.0453001555382,290.1726412787243,271.2652109125719
66,280.9141378698833,286.7689582786236,271.0210283110404
67,278.34438830393543,283.82131626964855,266.5881523304028
68,276.4490684857449,281.8637448991841,265.99537513161766
69,273.94772407251935,279.53762481693497,263.4325304064044
70,272.1085344564003,277.0130940011284,263.4325304064044
71,270.0770426495236,274.8673084381399,262.4573557721563
72,268.1566390429206,271.943532879625,256.3463886108913
73,266.7181595164329,270.2168873373627,256.3463886108913
74,265.5699914344743,268.7473259500488,256.3463886108913
75,263.71014068143705,267.63083210681134,251.20047102527803
76,261.4194929714597,266.1272041046489,251.20047102527803
77,259.573094128762,264.27201685350923,251.11172367908352
78,258.02464902792616,263.0630970646894,250.42945629161233
79,255.81100060157323,260.0665307022906,248.80209543676642
80,254.5736879448017,258.2977280510469,247.11185886898852
81,253.1388875174051,256.5188297611095,247.07917490725282
82,252.1217744217834,255.3325276641431,245.43676899782577
83,251.2219258268801,254.20593143968736,244.8095678414441
84,249.9445974629678,253.42250657659392,243.79291617909644
85,248.65213275441863,251.80488410859093,242.28158586677756
86,247.69900461335476,250.70260798171455,242.28158586677756
87,246.93005138987974,249.78504057806444,241.40646170516445
88,246.0239548229098,248.72302772598212,241.40646170516445
89,245.19024589229767,247.4209432083472,241.40646170516445
90,244.6261046051419,246.70185229142442,240.75335492319172
91,244.07675681665845,245.97681608236692,240.75335492319172
92,243.72977783949813,245.53399831267933,240.75335492319172
93,243.1616283911101,244.9463727390335,238.55513391206395
94,242.6896983679197,244.22861683181577,238.55513391206395
95,242.23788140958214,243.7507927915192,238.55513391206395
96,241.83452347891944,243.12465064076764,238.16332658339132
97,241.55362270644585,242.9187261202311,238.16332658339132
98,241.08097106268121,242.5681182153237,233.76735933571933
99,240.74749097522133,242.34967163186099,233.76735933571933
100,240.24232029471972,241.84661235492592,233.76735933571933
101,239.59420709344056,241.28128673336343,233.76735933571933
102,238.93646982954021,240.99250611791416,231.89444456565383
103,238.37277121755113,240.58073013335925,231.89444456565383
104,237.83406182763025,239.86711397715337,231.89444456565383
105,237.36521476734077,239.1067422109879,231.89444456565383
106,236.88139732215433,238.7431280964819,231.89444456565383
107,236.15375484149462,238.55513391206395,231.89444456565383
108,235.63484372378335,238.16332658339132,231.89444456565383
109,235.04763166871834,237.12043461846926,231.4217729878754
110,234.67124855621907,236.58567689931417,231.4217729878754
111,234.10915779335076,235.87035517468038,231.4217729878754
112,233.75374186569766,235.46444998859005,230.97949591571836
113,233.3680630590917,234.94244364311456,229.57459703945082
114,232.8479137359187,234.62799912317493,229.51541306126333
115,232.39482985171998,233.99463736786493,229.51541306126333
116,232.1257355289602,233.76735933571933,229.51541306126333
117,231.70913672076273,233.32705259811942,228.90153704206946
118,231.20251507267452,232.8622582702359,228.1259671222098
119,230.74004452965215,232.27360859565528,227.99400366904
120,230.39848586423625,231.89199996120578,227.99400366904
121,230.02838247712145,231.3057948910732,227.99400366904
122,229.57223422479737,230.91525597344986,227.99400366904
123,229.1816093406913,230.5260114259043,227.27320306840448
124,228.7865951700357,229.89154388738424,226.71100916004968
125,228.51246742053846,229.59143810142973,226.58898667687495
126,228.22131588275101,229.32646786636312,226.36062202681484
127,228.02101565115836,229.04871440122028,226.36062202681484
128,227.77935703971104,228.67969563222204,225.98910695510554
129,227.5970367091294,228.17981061035425,225.98910695510554
130,227.36213766487452,228.1259671222098,225.86818607623937
131,227.1069164250495,228.05673466202947,225.86818607623937
132,226.912171487232,227.99400366904,225.86818607623937
133,226.68953032392284,227.65335367282705,225.26085879879813
134,226.46230427327154,227.27320306840448,225.26085879879813
135,226.28807112791074,226.71100916004968,225.26085879879813
136,226.23616570423582,226.59465540043809,225.26085879879813
137,226.1738134495768,226.58898667687495,225.26085879879813
138,225.99118100971157,226.58898667687495,223.87707195483603
139,225.8057579893456,226.4373158574683,223.87707195483603
140,225.6255123870906,226.36062202681484,223.87707195483603
141,225.42961030429592,226.04388520474456,223.87707195483603
142,225.2834355651356,225.86818607623937,223.87707195483603
143,225.11915545238688,225.62960600047987,223.87707195483603
144,224.88269608403039,225.55888868650803,223.41012722901647
145,224.714345589149,225.40124135041978,223.41012722901647
146,224.54464402713955,225.26085879879813,223.41012722901647
147,224.40275454538315,224.67299319411237,223.41012722901647
148,224.34012441694134,224.67299319411237,223.41012722901647
149,224.22414998699085,224.67299319411237,223.41012722901647
150,224.0707886745434,224.67299319411237,223.41012722901647
151,223.95250605874938,224.4936208356796,222.8604719918351
152,223.88346512185058,224.44063018093803,222.8604719918351
153,223.8047264694395,224.07399825605478,222.8604719918351
154,223.72481411587592,223.87707195483603,222.8604719918351
155,223.67231842997708,223.87707195483603,222.8604719918351
156,223.60666768799538,223.87707195483603,222.8604719918351
157,223.5301764511538,223.87707195483603,222.8604719918351
158,223.4453553207704,223.87707195483603,222.8604719918351
159,223.37944557630183,223.58701128899142,222.8604719918351
160,223.35637745734425,223.41012722901647,222.8604719918351
161,223.3453843526006,223.41012722901647,222.8604719918351
162,223.31252354092223,223.41012722901647,222.39352726601552
163,223.27998889900107,223.41012722901647,222.39352726601552
164,223.1971187424889,223.41012722901647,222.39352726601552
165,223.1138580548546,223.41012722901647,222.39352726601552
166,223.04032679285882,223.41012722901647,222.39352726601552
167,222.92711027928348,223.41012722901647,222.39352726601552
168,222.76539220640979,223.37157324221363,221.94181751094948
169,222.67427711183288,223.37157324221363,221.94181751094948
170,222.61008498202256,222.8604719918351,221.94181751094948
171,222.51282295122968,222.8604719918351,221.73292825874594
172,222.42489981495305,222.8604719918351,221.73292825874594
173,222.35855525819485,222.41783464459934,221.73292825874594
174,222.35806911062318,222.39352726601552,221.73292825874594
175,222.32651132468825,222.39352726601552,221.6045826176423
176,222.29495353875333,222.39352726601552,221.6045826176423
177,222.2369717925276,222.39352726601552,221.6045826176423
178,222.12908645457745,222.39352726601552,221.6045826176423
179,222.03675175954208,222.39352726601552,221.38428086280655
180,221.91282678648614,222.39352726601552,221.38428086280655
181,221.78150387596165,222.39352726601552,221.38428086280655
182,221.6488054499427,222.33585773669174,221.38428086280655
183,221.5731353163666,221.73292825874594,220.65300574375715
184,221.5470826469661,221.6045826176423,220.65300574375715
185,221.53176528775217,221.6045826176423,220.65300574375715
186,221.51200940135587,221.6045826176423,220.65300574375715
187,221.47420033290476,221.6045826176423,220.65300574375715
188,221.40994106670405,221.6045826176423,220.65300574375715
189,221.34456090200257,221.54691308831852,220.59533621443336
190,221.27886174662527,221.54691308831852,220.59533621443336
191,221.23523924598675,221.44195039213034,220.59533621443336
192,221.15362400210392,221.44195039213034,220.59533621443336
193,221.07456053213753,221.38590546708915,220.59533621443336
194,220.9627420159897,221.38428086280655,220.59533621443336
195,220.86388882087508,221.38428086280655,220.59533621443336
196,220.74055869432323,221.22327324157717,220.59533621443336
197,220.6297011043286,221.12510312585792,220.32063267848622
198,220.60214153021323,220.65300574375715,220.32063267848622
199,220.59060762434845,220.63361024612664,220.32063267848622
200,220.5898421437146,220.59533621443336,220.32063267848622
201,220.58434807299562,220.59533621443336,220.32063267848622
202,220.58434807299562,220.59533621443336,220.32063267848622
203,220.55762250400733,220.59533621443336,219.25905776501799
204,220.53089693501906,220.59533621443336,219.25905776501799
205,220.53089693501906,220.59533621443336,219.25905776501799
206,220.52540286430008,220.59533621443336,219.25905776501799
207,220.52540286430008,220.59533621443336,219.25905776501799
208,220.40751244690898,220.59533621443336,219.25905776501799
209,220.35017785983464,220.59533621443336,219.25905776501799
210,220.27630396941942,220.59533621443336,219.25905776501799
211,220.1724901368138,220.59533621443336,219.25905776501799
212,220.0341769669841,220.59533621443336,219.10497909965378
213,219.8463029783158,220.59533621443336,219.10497909965378
214,219.66151056295462,220.32063267848622,219.10497909965378
215,219.4538877751894,220.32063267848622,219.10497909965378
216,219.30924374896725,219.49366751144282,218.4768370157824
217,219.26393242130348,219.49366751144282,218.4768370157824
218,219.2372502034185,219.25905776501799,218.4768370157824
219,219.23108705680394,219.25905776501799,218.4768370157824
220,219.22800548349667,219.25905776501799,218.4768370157824
221,219.20103735765642,219.25905776501799,217.91065147300515
222,219.19795578434912,219.25905776501799,217.91065147300515
223,219.16790608520157,219.25905776501799,217.91065147300515
224,219.11397329715496,219.25905776501799,217.91065147300515
225,219.10164700392582,219.25905776501799,217.91065147300515
226,219.00243530301321,219.25905776501799,217.41887323985455
227,218.96005931063658,219.25905776501799,217.41887323985455
228,218.84063347523946,219.25905776501799,217.41887323985455
229,218.69210413655662,219.10497909965378,217.36128512488736
230,218.5124221141992,219.10497909965378,217.36128512488736
231,218.31536439334468,219.10497909965378,217.36128512488736
232,218.11341452116432,219.10497909965378,217.36128512488736
233,217.97376261010976,218.46618359729146,217.32761266198543
234,217.85449689674246,218.06473013836936,217.26479457449034
235,217.7961042806885,218.06473013836936,217.20720645952315
236,217.77682576990782,218.0361166165921,217.20720645952315
237,217.74837830246594,217.944856038723,217.20720645952315
238,217.73488167263184,217.91065147300515,217.20720645952315
239,217.6517167005146,217.91065147300515,217.20720645952315
240,217.56249318123346,217.91065147300515,217.20720645952315
241,217.4912721621612,217.91065147300515,217.17353399662122
242,217.373679648506,217.81939089513602,217.11594588165403
243,217.29876601826584,217.41887323985455,217.11594588165403
244,217.2740228950414,217.36128512488736,217.11594588165403
245,217.25503858331373,217.36128512488736,217.11594588165403
246,217.2314331597042,217.27002454701824,217.11594588165403
247,217.2199448304227,217.26479457449034,217.11594588165403
248,217.2060165872216,217.26479457449034,217.11594588165403
249,217.18697152203384,217.26479457449034,216.97528101225407
250,217.16725300758807,217.20720645952315,216.97528101225407
251,217.15773667736778,217.20720645952315,216.97528101225407
252,217.1552380165524,217.17353399662122,216.97528101225407
253,217.15040894148845,217.17353399662122,216.97528101225407
254,217.1453967849832,217.17353399662122,216.97528101225407
255,217.13808110387927,217.17353399662122,216.97528101225407
256,217.1247845854121,217.17353399662122,216.97528101225407
257,217.10347953161028,217.17353399662122,216.97528101225407
258,217.08187403598197,217.17353399662122,216.97528101225407
259,217.05517796788865,217.11594588165403,216.97528101225407
260,217.0429823470002,217.11594588165403,216.91769289728688
261,217.0238125926913,217.11594588165403,216.91769289728688
262,216.9998165458304,217.11594588165403,216.72873311058257
263,216.97814749057784,217.11071260758254,216.72873311058257
264,216.96985043371217,216.98051428632556,216.72873311058257
265,216.96665664421533,216.98051428632556,216.72873311058257
266,216.96346285471844,216.98051428632556,216.72873311058257
267,216.94729434737968,216.98051428632556,216.54382270996712
268,216.91685196648356,216.98051428632556,216.54382270996712
269,216.89234024286827,216.98051428632556,216.54382270996712
270,216.86962762533608,216.98051428632556,216.54382270996712
271,216.84327586485614,216.97528101225407,216.54382270996712
272,216.82061574636734,216.9320802434237,216.54382270996712
273,216.79484569858545,216.92292617135837,216.54382270996712
274,216.7551263339712,216.91769289728688,216.54382270996712
275,216.7081844549394,216.87449212845652,216.54382270996712
276,216.66248854263952,216.79560388571016,216.54382270996712
277,216.6396165214258,216.72873311058257,216.54382270996712
278,216.61603258993844,216.6802990676807,216.54382270996712
279,216.60171603049733,216.67114499561538,216.54382270996712
280,216.58735576702523,216.6227109527135,216.54382270996712
281,216.5780058536425,216.6227109527135,216.54382270996712
282,216.56751374758105,216.6014108249343,216.54382270996712
283,216.5582996491863,216.6014108249343,216.54382270996712
284,216.5476974333995,216.59225675286896,216.54382270996712
285,216.5438227099674,216.54382270996712,216.54382270996712
286,216.5438227099674,216.54382270996712,216.54382270996712
287,216.5438227099674,216.54382270996712,216.54382270996712
288,216.5409467747005,216.54382270996712,216.40002594662258
289,216.5409467747005,216.54382270996712,216.40002594662258
290,216.5380708394336,216.54382270996712,216.40002594662258
291,216.53231896889983,216.54382270996712,216.40002594662258
292,216.53231896889983,216.54382270996712,216.40002594662258
293,216.52656709836603,216.54382270996712,216.40002594662258
294,216.52081522783226,216.54382270996712,216.40002594662258
295,216.51218742203156,216.54382270996712,216.40002594662258
296,216.49493181043022,216.54382270996712,216.40002594662258
297,216.48342806936265,216.54382270996712,216.40002594662258
298,216.46617245776127,216.54382270996712,216.40002594662258
299,216.44316497562613,216.54382270996712,216.40002594662258
300,216.420157493491,216.54382270996712,216.40002594662258
301,216.40002594662275,216.40002594662258,216.40002594662258
302,216.40002594662275,216.40002594662258,216.40002594662258
303,216.40002594662275,216.40002594662258,216.40002594662258
304,216.40002594662275,216.40002594662258,216.40002594662258
305,216.40002594662275,216.40002594662258,216.40002594662258
306,216.40002594662275,216.40002594662258,216.40002594662258
307,216.40002594662275,216.40002594662258,216.40002594662258
308,216.40002594662275,216.40002594662258,216.40002594662258
309,216.40002594662275,216.40002594662258,216.40002594662258
310,216.40002594662275,216.40002594662258,216.40002594662258
311,216.40002594662275,216.40002594662258,216.40002594662258
312,216.40002594662275,216.40002594662258,216.40002594662258
313,216.40002594662275,216.40002594662258,216.40002594662258
314,216.40002594662275,216.40002594662258,216.40002594662258
315,216.40002594662275,216.40002594662258,216.40002594662258
316,216.40002594662275,216.40002594662258,216.40002594662258
317,216.40002594662275,216.40002594662258,216.40002594662258
318,216.40002594662275,216.40002594662258,216.40002594662258
319,216.40002594662275,216.40002594662258,216.40002594662258
320,216.40002594662275,216.40002594662258,216.40002594662258
321,216.40002594662275,216.40002594662258,216.40002594662258
322,216.40002594662275,216.40002594662258,216.40002594662258
323,216.40002594662275,216.40002594662258,216.40002594662258
324,216.40002594662275,216.40002594662258,216.40002594662258
325,216.40002594662275,216.40002594662258,216.40002594662258
326,216.40002594662275,216.40002594662258,216.40002594662258
327,216.40002594662275,216.40002594662258,216.40002594662258
328,216.40002594662275,216.40002594662258,216.40002594662258
329,216.40002594662275,216.40002594662258,216.40002594662258
330,216.40002594662275,216.40002594662258,216.40002594662258
331,216.40002594662275,216.40002594662258,216.40002594662258
332,216.40002594662275,216.40002594662258,216.40002594662258
333,216.40002594662275,216.40002594662258,216.40002594662258
334,216.40002594662275,216.40002594662258,216.40002594662258
335,216.40002594662275,216.40002594662258,216.40002594662258
336,216.40002594662275,216.40002594662258,216.40002594662258
337,216.40002594662275,216.40002594662258,216.40002594662258
338,216.40002594662275,216.40002594662258,216.40002594662258
339,216.40002594662275,216.40002594662258,216.40002594662258
340,216.40002594662275,216.40002594662258,216.40002594662258
341,216.40002594662275,216.40002594662258,216.40002594662258
342,216.40002594662275,216.40002594662258,216.40002594662258
343,216.40002594662275,216.40002594662258,216.40002594662258
344,216.40002594662275,216.40002594662258,216.40002594662258
345,216.40002594662275,216.40002594662258,216.40002594662258
346,216.40002594662275,216.40002594662258,216.40002594662258
347,216.40002594662275,216.40002594662258,216.40002594662258
348,216.40002594662275,216.40002594662258,216.40002594662258
349,216.40002594662275,216.40002594662258,216.40002594662258
350,216.40002594662275,216.40002594662258,216.40002594662258
351,216.40002594662275,216.40002594662258,216.40002594662258
352,216.40002594662275,216.40002594662258,216.40002594662258
353,216.40002594662275,216.40002594662258,216.40002594662258
354,216.40002594662275,216.40002594662258,216.40002594662258
355,216.40002594662275,216.40002594662258,216.40002594662258
356,216.40002594662275,216.40002594662258,216.40002594662258
357,216.40002594662275,216.40002594662258,216.40002594662258
358,216.40002594662275,216.40002594662258,216.40002594662258
359,216.40002594662275,216.40002594662258,216.40002594662258
360,216.40002594662275,216.40002594662258,216.40002594662258
361,216.40002594662275,216.40002594662258,216.40002594662258
362,216.40002594662275,216.40002594662258,216.40002594662258
363,216.40002594662275,216.40002594662258,216.40002594662258
364,216.40002594662275,216.40002594662258,216.40002594662258
365,216.40002594662275,216.40002594662258,216.40002594662258
366,216.40002594662275,216.40002594662258,216.40002594662258
367,216.40002594662275,216.40002594662258,216.40002594662258
368,216.40002594662275,216.40002594662258,216.40002594662258
369,216.40002594662275,216.40002594662258,216.40002594662258
370,216.40002594662275,216.40002594662258,216.40002594662258
371,216.40002594662275,216.40002594662258,216.40002594662258
372,216.40002594662275,216.40002594662258,216.40002594662258
373,216.40002594662275,216.40002594662258,216.40002594662258
374,216.40002594662275,216.40002594662258,216.40002594662258
375,216.40002594662275,216.40002594662258,216.40002594662258
376,216.40002594662275,216.40002594662258,216.40002594662258
377,216.40002594662275,216.40002594662258,216.40002594662258
378,216.40002594662275,216.40002594662258,216.40002594662258
379,216.40002594662275,216.40002594662258,216.40002594662258
380,216.40002594662275,216.40002594662258,216.40002594662258
381,216.40002594662275,216.40002594662258,216.40002594662258
382,216.40002594662275,216.40002594662258,216.40002594662258
383,216.40002594662275,216.40002594662258,216.40002594662258
384,216.40002594662275,216.40002594662258,216.40002594662258
385,216.40002594662275,216.40002594662258,216.40002594662258
386,216.40002594662275,216.40002594662258,216.40002594662258
387,216.40002594662275,216.40002594662258,216.40002594662258
388,216.40002594662275,216.40002594662258,216.40002594662258
389,216.40002594662275,216.40002594662258,216.40002594662258
390,216.40002594662275,216.40002594662258,216.40002594662258
391,216.40002594662275,216.40002594662258,216.40002594662258
392,216.40002594662275,216.40002594662258,216.40002594662258
393,216.40002594662275,216.40002594662258,216.40002594662258
394,216.40002594662275,216.40002594662258,216.40002594662258
395,216.40002594662275,216.40002594662258,216.40002594662258
396,216.40002594662275,216.40002594662258,216.40002594662258
397,216.40002594662275,216.40002594662258,216.40002594662258
398,216.39133126303378,216.40002594662258,215.96529176717357
399,216.39133126303378,216.40002594662258,215.96529176717357
400,216.39133126303378,216.40002594662258,215.96529176717357
401,216.3826365794448,216.40002594662258,215.96529176717357
402,216.3826365794448,216.40002594662258,215.96529176717357
403,216.3690037740844,216.40002594662258,215.96529176717357
404,216.36030909049543,216.40002594662258,215.96529176717357
405,216.3516144069065,216.40002594662258,215.96529176717357
406,216.34173816336366,216.40002594662258,215.96529176717357
407,216.3194106744143,216.40002594662258,215.96529176717357
408,216.29965818732867,216.40002594662258,215.96529176717357
409,216.27614913842544,216.40002594662258,215.96529176717357
410,216.2340691623904,216.40002594662258,215.96529176717357
411,216.19574574817295,216.40002594662258,215.96529176717357
412,216.15860389390946,216.40002594662258,215.96529176717357
413,216.1293390994389,216.21219785574374,215.96529176717357
414,216.12815753948507,216.1531198580524,215.96529176717357
415,216.1244009776675,216.1531198580524,215.96529176717357
416,216.12064441584988,216.1531198580524,215.96529176717357
417,216.1069517827353,216.1531198580524,215.96529176717357
418,216.08816897364744,216.1531198580524,215.96529176717357
419,216.065629602742,216.1531198580524,215.96529176717357
420,216.04442384599227,216.1531198580524,215.96529176717357
421,216.02188447508684,216.1531198580524,215.96529176717357
422,215.99558854236383,216.1531198580524,215.96529176717357
423,215.96795899548513,216.0319724749587,215.96529176717357
424,215.96529176717374,215.96529176717357,215.96529176717357
425,215.96529176717374,215.96529176717357,215.96529176717357
426,215.96529176717374,215.96529176717357,215.96529176717357
427,215.96529176717374,215.96529176717357,215.96529176717357
428,215.96529176717374,215.96529176717357,215.96529176717357
429,215.96529176717374,215.96529176717357,215.96529176717357
430,215.96529176717374,215.96529176717357,215.96529176717357
431,215.96529176717374,215.96529176717357,215.96529176717357
432,215.96529176717374,215.96529176717357,215.96529176717357
433,215.96529176717374,215.96529176717357,215.96529176717357
434,215.96529176717374,215.96529176717357,215.96529176717357
435,215.96529176717374,215.96529176717357,215.96529176717357
436,215.96529176717374,215.96529176717357,215.96529176717357
437,215.96529176717374,215.96529176717357,215.96529176717357
438,215.96529176717374,215.96529176717357,215.96529176717357
439,215.96529176717374,215.96529176717357,215.96529176717357
440,215.96529176717374,215.96529176717357,215.96529176717357
441,215.96529176717374,215.96529176717357,215.96529176717357
442,215.96529176717374,215.96529176717357,215.96529176717357
443,215.96529176717374,215.96529176717357,215.96529176717357
444,215.96529176717374,215.96529176717357,215.96529176717357
