Generation,Average_Fitness,Worst_Fit,Best_Fit
1,493.6822706455699,551.3352730187739,428.9347988298992
2,481.9828481459042,551.3352730187739,408.70921733673174
3,483.8725028704957,551.3352730187739,408.70921733673174
4,476.5088319417446,551.3352730187739,408.70921733673174
5,468.87603514350906,551.3352730187739,404.36426478252474
6,463.8215177094431,551.3352730187739,404.36426478252474
7,461.2156659724249,536.1645291019754,401.2864742365596
8,458.8833439027561,536.1645291019754,401.2864742365596
9,457.91897007173066,536.1645291019754,401.2864742365596
10,453.4034117633952,536.1645291019754,385.1754931420088
11,446.5542443873819,536.1645291019754,385.1754931420088
12,437.4716064978137,515.8502008136168,385.1754931420088
13,435.77715031556124,515.8502008136168,347.8662081340183
14,438.3073613745447,515.8502008136168,347.8662081340183
15,428.91903972394624,515.8502008136168,347.8662081340183
16,420.81830343375657,515.8502008136168,347.8662081340183
17,415.4848075633991,515.8502008136168,347.8662081340183
18,410.9033919897169,515.8502008136168,347.2647925254133
19,412.450511862266,515.8502008136168,347.8662081340183
20,407.0908826664956,515.8502008136168,347.8662081340183
21,403.32262386871463,515.8502008136168,347.8662081340183
22,396.152686042604,515.8502008136168,336.13573659735806
23,385.7010631391211,491.7186406481565,322.89069606844043
24,379.8317290524958,491.7186406481565,322.89069606844043
25,378.61329438811435,491.7186406481565,322.89069606844043
26,374.8846848634287,491.7186406481565,322.89069606844043
27,373.3680987683446,491.7186406481565,322.89069606844043
28,370.99091266352843,491.7186406481565,321.3769912925878
29,368.92236828097725,491.7186406481565,321.3769912925878
30,367.5998212891641,491.7186406481565,304.09729968756307
31,365.3486519404586,491.7186406481565,294.37133139442153
32,362.2101659310673,491.7186406481565,294.37133139442153
33,353.14468227942206,443.89914227643015,276.1644802433762
34,351.6975601667216,443.89914227643015,276.1644802433762
35,347.18166294489885,443.89914227643015,276.1644802433762
36,346.1892732506374,443.89914227643015,283.21542854608373
37,342.6580351398082,443.89914227643015,287.9295078361175
38,340.6580406447432,439.39931958555553,288.2536607523467
39,332.32765040626845,439.39931958555553,286.0665420623778
40,326.5338135340594,427.76751990066145,281.9586566418092
41,323.37621874133777,427.76751990066145,281.9586566418092
42,318.7947872796338,427.76751990066145,276.6947320230565
43,315.9369100493602,427.76751990066145,276.6947320230565
44,311.69680362031636,427.76751990066145,266.96085536663884
45,307.6672883294419,427.76751990066145,265.64284367459646
46,304.4833480225254,427.76751990066145,242.67211696008326
47,301.4688958063306,427.76751990066145,242.67211696008326
48,296.3316142447176,427.76751990066145,242.67211696008326
49,297.48650877152454,427.76751990066145,242.67211696008326
50,296.7482356453448,427.76751990066145,255.9584460429744
51,290.92943972178745,427.76751990066145,250.40669318036197
52,289.62873773278864,427.76751990066145,250.40669318036197
53,289.764610423089,427.76751990066145,234.29284119919316
54,289.0545641874936,427.76751990066145,249.48586369842218
55,283.5946015870064,382.94801366474127,237.40836298782318
56,280.50118422614486,382.94801366474127,233.4936003286169
57,276.08246034977395,382.94801366474127,228.4084846503066
58,273.39723506837873,382.94801366474127,228.4084846503066
59,270.4380233331131,354.6526933971027,228.4084846503066
60,269.1193895236995,354.6526933971027,228.4084846503066
61,266.4421104391651,350.18587650148106,226.9153480913665
62,261.34311140998136,332.7067297931352,213.68265651069984
63,261.90670704669594,332.7067297931352,213.68265651069984
64,259.4787836636102,332.7067297931352,213.68265651069984
65,258.50659152587775,332.7067297931352,213.68265651069984
66,257.1084819966473,332.7067297931352,213.68265651069984
67,253.97277345421332,332.7067297931352,214.40008235593194
68,250.81810754855928,287.3835983188296,214.40008235593194
69,249.7820453058378,287.3835983188296,214.40008235593194
70,246.286692356427,287.3835983188296,210.8481158936667
71,243.17361337092578,287.3835983188296,210.50103499520716
72,241.2389041529191,287.3835983188296,210.50103499520716
73,238.89780634655384,287.3835983188296,208.55416413928359
74,236.87894488875133,287.3835983188296,201.17527849709052
75,235.96163170687913,287.3835983188296,207.6518212767503
76,232.91140586707098,287.3835983188296,207.6518212767503
77,232.99262169893007,287.3835983188296,208.55416413928359
78,230.75095206943007,287.3835983188296,200.3575081195802
79,228.24300060901692,287.3835983188296,192.25789774154947
80,227.9029716608019,287.3835983188296,192.25789774154947
81,224.85383599737062,287.3835983188296,192.25789774154947
82,222.80273859231667,287.3835983188296,192.25789774154947
83,219.42742247568643,287.3835983188296,186.74865366005466
84,218.86929139989795,287.3835983188296,186.74865366005466
85,218.72376046210601,287.3835983188296,187.7832554630113
86,219.99793819320155,287.3835983188296,187.7832554630113
87,219.1854448647549,287.3835983188296,187.7832554630113
88,218.3127065636875,287.3835983188296,187.7832554630113
89,217.068798384446,287.3835983188296,184.4386551341245
90,215.57567274151745,287.3835983188296,180.9571055842516
91,213.96525971364608,287.3835983188296,171.20406434795055
92,212.04601160523765,287.3835983188296,171.20406434795055
93,209.87930611784915,287.3835983188296,161.21497883853684
94,209.38182958230766,287.3835983188296,161.21497883853684
95,207.02755886004255,287.3835983188296,161.21497883853684
96,207.03190912573237,287.3835983188296,169.70756353668912
97,207.3397255309215,287.3835983188296,169.70756353668912
98,204.36674953188452,281.39182109406465,169.70756353668912
99,202.24856634253695,281.39182109406465,169.70756353668912
100,200.5041680134614,281.39182109406465,169.70756353668912
101,201.01481343385709,281.39182109406465,175.48338043811793
102,198.44104845512663,281.39182109406465,159.51403632605448
103,197.0325545752759,281.39182109406465,153.51011403997518
104,193.03303748027082,230.31871567898693,153.51011403997518
105,193.52368931839726,230.31871567898693,153.51011403997518
106,191.27715932050378,230.31871567898693,153.51011403997518
107,190.60978979757067,230.31871567898693,153.51011403997518
108,189.8083587286657,230.31871567898693,168.65772994113544
109,188.1564423466685,230.31871567898693,158.3529796509485
110,184.83089377372494,230.31871567898693,158.3529796509485
111,184.89403579905004,230.31871567898693,158.3529796509485
112,183.29238363588843,230.31871567898693,158.3529796509485
113,180.51148421481255,209.58994958205602,158.3529796509485
114,179.82115025002716,209.58994958205602,158.3529796509485
115,179.06665988212544,209.58994958205602,158.3529796509485
116,178.36825239032862,209.58994958205602,158.3529796509485
117,176.24684060262655,209.58994958205602,157.8438453881137
118,176.1594184485968,209.58994958205602,147.92403670336685
119,174.99218983679697,209.58994958205602,147.92403670336685
120,172.7646028213577,209.58994958205602,147.92403670336685
121,173.21258823075047,209.58994958205602,147.92403670336685
122,172.42306410217498,209.58994958205602,147.92403670336685
123,171.86318651151944,209.58994958205602,138.4566358450981
124,168.6627375769482,209.58994958205602,138.4566358450981
125,166.96460043038,209.58994958205602,138.4566358450981
126,165.22836291023512,209.58994958205602,138.4566358450981
127,164.51156922567418,209.58994958205602,138.820544365912
128,162.78742633160908,209.58994958205602,138.820544365912
129,160.5297047733251,209.58994958205602,138.820544365912
130,160.46855069791192,209.58994958205602,132.94147413916158
131,158.80616962392398,193.56107639761993,132.94147413916158
132,157.29479540934193,193.56107639761993,132.94147413916158
133,156.81450958307164,193.56107639761993,132.94147413916158
134,157.27086264087646,193.56107639761993,132.94147413916158
135,156.47528921146346,193.56107639761993,132.94147413916158
136,157.44224951019112,193.56107639761993,132.94147413916158
137,156.4290496565121,193.56107639761993,132.94147413916158
138,153.98417800568558,193.56107639761993,132.28703176712486
139,153.4350230497882,193.56107639761993,132.94147413916158
140,153.67329399559253,193.56107639761993,133.1295208486178
141,151.97361110278425,192.19717616389013,133.1295208486178
142,147.16380860222017,192.19717616389013,121.37664176641275
143,145.61917648685144,192.19717616389013,121.37664176641275
144,144.05196169649116,192.19717616389013,121.37664176641275
145,143.51312666415026,192.19717616389013,121.37664176641275
146,141.91292612784952,192.19717616389013,121.37664176641275
147,141.481559223293,192.19717616389013,121.37664176641275
148,138.18580374755945,173.98690296376824,113.87066884295145
149,137.19141943984266,173.98690296376824,114.86663431636465
150,136.0447833849351,173.98690296376824,114.31801569320773
151,135.1048624902498,164.2512960481595,114.31801569320773
152,132.36018023887794,162.34441999819194,111.83458089401113
153,131.8136766350198,162.34441999819194,111.83458089401113
154,131.08483510441746,158.85287581064313,111.83458089401113
155,130.9693959846649,158.85287581064313,111.83458089401113
156,129.84697092858116,158.85287581064313,111.83458089401113
157,129.79695461957738,158.85287581064313,111.83458089401113
158,128.21817415391988,158.85287581064313,111.83458089401113
159,125.29256793653526,158.85287581064313,104.61184053237332
160,125.24884897387136,158.85287581064313,104.61184053237332
161,125.0246934072377,158.85287581064313,104.61184053237332
162,123.98788697612669,158.85287581064313,104.61184053237332
163,123.32939595658122,158.85287581064313,104.61184053237332
164,124.39998379727498,158.85287581064313,104.61184053237332
165,124.58822330231968,158.85287581064313,103.73371003070945
166,124.07813421022755,158.85287581064313,102.265196383549
167,122.42969689753772,158.85287581064313,102.265196383549
168,120.62069515386943,158.85287581064313,102.265196383549
169,120.21137956033195,158.85287581064313,102.20453504425278
170,120.22947067111056,158.85287581064313,102.20453504425278
171,119.75130915419824,158.85287581064313,99.71604606342954
172,118.31451644629163,158.85287581064313,102.20453504425278
173,118.3218247591109,158.85287581064313,102.20453504425278
174,117.65919916964036,158.85287581064313,102.20453504425278
175,116.41355696580291,158.85287581064313,98.2329860835727
176,114.73984858691709,158.85287581064313,97.67756339686734
177,113.72302344523831,158.85287581064313,95.32607702330725
178,111.9787414338968,158.85287581064313,95.32607702330725
179,111.92423211247429,158.85287581064313,95.32607702330725
180,111.48437747756661,158.85287581064313,95.32607702330725
181,111.6075486907908,158.85287581064313,95.32607702330725
182,110.9047587642454,158.85287581064313,95.32607702330725
183,109.14135544380619,137.1794598724476,95.32607702330725
184,109.17547615459796,137.1794598724476,91.59736043279457
185,109.46425527751995,137.1794598724476,91.59736043279457
186,108.07181070749616,137.1794598724476,91.59736043279457
187,106.75571071598812,126.81835588161616,91.59736043279457
188,105.96770115724765,126.81835588161616,91.59736043279457
189,105.47138021548791,128.87851395079136,91.59736043279457
190,105.4658280766845,128.87851395079136,91.59736043279457
191,104.61334930916252,128.87851395079136,91.59736043279457
192,104.29431541048217,128.87851395079136,91.59736043279457
193,103.14765190782794,128.87851395079136,88.5862412363125
194,101.91617761608603,122.14488882174923,88.5862412363125
195,101.38082463359665,122.14488882174923,88.5862412363125
196,101.24507315995913,122.14488882174923,88.5862412363125
197,101.1255562942817,122.14488882174923,88.5862412363125
198,100.61777961257218,117.36615243875505,88.5862412363125
199,100.16254772122846,117.36615243875505,88.5862412363125
200,100.01882613500518,117.36615243875505,89.92562582248603
201,100.05439400557974,117.36615243875505,89.92562582248603
202,100.01247200502563,117.36615243875505,89.92562582248603
203,99.80353388760093,117.36615243875505,89.92562582248603
204,99.41222589577065,117.36615243875505,86.59947930092476
205,99.09111625509377,117.36615243875505,86.59947930092476
206,99.04171417307745,117.36615243875505,86.59947930092476
207,98.16988075573371,115.22536718217474,88.95674238101836
208,98.43509414128316,115.22536718217474,88.95674238101836
209,98.56896523680808,115.22536718217474,88.95674238101836
210,98.23569725050741,115.22536718217474,88.95674238101836
211,97.48447288546244,111.9293534117147,88.33159562773987
212,96.55709267280383,111.56121091336101,86.80988653527463
213,96.54809738063022,111.56121091336101,83.32315627600188
214,96.72489425471036,111.56121091336101,83.88675459404176
215,96.7757496661438,111.56121091336101,83.88675459404176
216,96.36831039123334,111.56121091336101,76.26412696403409
217,95.66723622504396,111.56121091336101,76.26412696403409
218,95.84291911273385,111.56121091336101,84.23761145776957
219,96.57958965726611,111.56121091336101,84.23761145776957
220,95.61535695111087,111.56121091336101,84.23761145776957
221,95.15282836049055,111.56121091336101,84.23761145776957
222,95.5205851786357,111.56121091336101,84.23761145776957
223,95.80763828237612,111.56121091336101,84.23761145776957
224,94.97581733087641,110.15795661055463,82.6798112980115
225,94.82841087658431,110.15795661055463,82.6798112980115
226,94.38245464129498,108.71615066897886,82.6798112980115
227,94.30473027414746,105.7174623908804,81.91748410728026
228,93.92581537103426,105.7174623908804,81.91748410728026
229,94.72361063884124,109.7582315285717,82.62683031485192
230,94.82640985009475,111.06046531966804,81.9625128612579
231,94.54709434274314,111.06046531966804,81.9625128612579
232,94.62495160385365,111.06046531966804,81.9625128612579
233,94.1371700595284,111.06046531966804,81.9625128612579
234,93.01144603911479,114.38925821487709,80.06290476724764
235,93.43870963712126,114.38925821487709,81.8222576989166
236,92.93195907351132,114.38925821487709,81.8222576989166
237,91.4165385572324,106.35363215791041,80.81840085056035
238,91.31922238800863,106.35363215791041,80.81840085056035
239,91.86673321927817,107.3059065600383,80.81840085056035
240,91.71347092624418,107.3059065600383,80.81840085056035
241,91.82266589227414,110.314330619259,80.81840085056035
242,92.33514865760691,110.314330619259,81.44600477184797
243,92.36702263635352,110.314330619259,81.44600477184797
244,92.82246839439895,110.314330619259,81.44600477184797
245,92.65164338656864,112.64320991697663,81.44600477184797
246,91.79128215130389,112.64320991697663,78.89901792902357
247,92.8060191647472,112.64320991697663,81.44600477184797
248,92.94039476699425,114.93422868261871,80.3781331424913
249,92.87320413445475,114.93422868261871,81.44600477184797
250,91.797504917562,114.93422868261871,80.26886019664687
251,91.35478135577381,114.93422868261871,80.26886019664687
252,91.08474455352524,114.93422868261871,80.26886019664687
253,90.442117343769,114.93422868261871,80.26886019664687
254,89.81604521002359,114.93422868261871,80.26886019664687
255,90.65701651877114,114.93422868261871,80.26886019664687
256,90.20227166499654,114.93422868261871,80.26886019664687
257,90.7949790936953,114.93422868261871,80.26886019664687
258,90.2497332296982,117.1566515462585,80.26886019664687
259,89.4518569192782,117.1566515462585,80.03799626501663
260,89.17893471601772,117.1566515462585,80.03799626501663
261,89.17216624815616,117.1566515462585,80.03799626501663
262,88.75152414910204,117.1566515462585,80.03799626501663
263,89.50734824047294,117.1566515462585,80.03799626501663
264,88.73602765740678,117.1566515462585,75.01602799503499
265,88.5482884986668,117.1566515462585,73.30201522117957
266,88.28347948688659,117.1566515462585,73.30201522117957
267,88.0861812074654,117.1566515462585,73.30201522117957
268,87.56007187648954,114.93422868261871,73.30201522117957
269,87.04230763379023,114.93422868261871,73.30201522117957
270,87.27571001803534,114.93422868261871,73.30201522117957
271,87.40476235890819,114.93422868261871,73.30201522117957
272,87.83409015371357,114.93422868261871,73.32519378337135
273,87.85328989798901,114.93422868261871,73.32519378337135
274,87.48269554290593,114.93422868261871,73.32519378337135
275,86.25103251888427,114.93422868261871,73.5381788464337
276,85.86731334617785,114.93422868261871,73.5381788464337
277,85.69928566728993,114.93422868261871,73.5381788464337
278,85.20134798081642,114.93422868261871,73.5381788464337
279,84.39160789357265,108.31586535646483,71.79639070586738
280,84.19794946992748,108.31586535646483,71.79639070586738
281,83.68342140457534,108.31586535646483,66.07334634673987
282,83.59207001653381,108.31586535646483,66.07334634673987
283,83.31568623732828,108.31586535646483,66.07334634673987
284,83.03251247150824,108.31586535646483,66.07334634673987
