Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.68,100,96
2,98.82,100,96
3,98.72,100,96
4,98.52,100,97
5,98.16,100,93
6,97.84,100,93
7,97.82,100,93
8,97.8,100,93
9,97.7,100,93
10,97.64,100,93
11,97.26,100,92
12,97.06,100,92
13,96.68,100,91
14,96.8,100,91
15,97.16,100,91
16,97.0,100,92
17,96.62,100,92
18,96.88,100,92
19,97.0,100,92
20,96.68,100,91
21,96.56,100,91
22,96.46,100,91
23,96.82,100,91
24,96.92,100,91
25,96.46,100,90
26,96.16,100,88
27,95.96,100,88
28,96.48,100,89
29,96.58,100,90
30,96.54,100,90
31,96.44,100,90
32,95.98,100,85
33,95.76,99,85
34,95.52,99,85
35,95.8,99,87
36,95.42,99,87
37,95.46,99,87
38,95.24,99,89
39,95.18,100,89
40,95.44,100,89
41,95.5,100,89
42,95.6,100,89
43,95.66,100,89
44,95.3,100,89
45,95.48,100,89
46,95.38,100,91
47,95.4,100,91
48,95.66,99,92
49,95.5,99,91
50,95.24,99,91
51,95.76,99,91
52,95.7,99,92
53,95.22,99,90
54,95.18,99,90
55,95.28,99,90
56,94.86,99,90
57,94.84,98,90
58,94.36,98,90
59,94.34,100,90
60,93.96,100,88
61,93.86,100,88
62,94.3,98,88
63,94.32,99,88
64,94.04,99,87
65,94.22,99,87
66,94.3,99,90
67,94.08,99,88
68,94.3,98,88
69,93.78,98,85
70,94.08,98,85
71,93.5,98,85
72,93.52,98,84
73,93.84,98,87
74,93.52,98,87
75,93.2,98,87
76,93.48,98,87
77,93.74,98,87
78,93.22,98,87
79,93.4,98,88
80,92.98,100,87
81,92.9,99,87
82,92.6,100,86
83,93.24,100,86
84,93.18,100,86
85,93.42,100,87
86,92.88,97,84
87,92.46,97,84
88,92.9,97,84
89,93.12,99,84
90,92.42,97,84
91,92.04,97,83
92,91.12,97,82
93,91.26,97,82
94,91.96,97,83
95,91.8,97,83
96,92.1,97,85
97,92.42,97,85
98,92.7,97,85
99,92.58,97,86
100,92.92,97,86
101,92.86,97,86
102,92.32,97,86
103,92.38,97,86
104,92.54,96,87
105,92.46,96,87
106,92.42,96,87
107,92.48,96,87
108,91.94,96,87
109,92.04,96,87
110,92.26,96,85
111,92.3,96,85
112,92.66,96,88
113,92.68,96,88
114,92.44,96,88
115,92.44,96,88
116,92.04,95,88
117,91.92,95,85
118,91.78,95,85
119,91.56,95,85
120,91.72,95,85
121,91.66,97,85
122,91.72,97,85
123,91.8,97,85
124,91.26,97,85
125,90.56,97,83
126,90.84,97,83
127,90.82,97,83
128,90.42,97,83
129,90.32,97,83
130,89.66,97,83
131,89.96,97,83
132,90.18,97,84
133,89.94,97,83
134,89.1,95,83
135,88.58,95,82
136,88.96,94,82
137,88.18,94,81
138,88.3,94,81
139,88.34,94,81
140,88.56,94,81
141,88.3,94,80
142,88.52,94,80
143,88.86,96,80
144,88.68,96,80
145,88.18,96,80
146,87.98,93,81
147,88.32,96,82
148,88.2,95,82
149,87.96,95,82
150,87.44,92,81
151,88.04,92,82
152,87.72,92,81
153,87.4,92,82
154,87.28,92,84
155,86.74,92,78
156,86.94,93,78
157,86.62,93,78
158,87.04,93,82
159,86.76,93,81
160,86.84,93,81
161,86.94,93,82
162,86.32,93,82
163,86.38,90,82
164,86.24,92,81
165,85.46,92,80
166,85.2,92,80
167,85.04,92,80
168,84.74,92,80
169,84.66,92,80
170,84.7,92,80
171,85.04,92,80
172,85.24,92,81
173,85.64,91,82
174,85.74,91,82
175,85.3,91,82
176,85.94,91,82
177,85.72,91,82
178,85.8,91,81
179,85.84,91,81
180,85.92,91,81
181,85.98,91,80
182,85.58,91,80
183,85.54,90,79
184,85.8,90,80
185,85.98,90,80
186,85.52,90,80
187,84.98,89,80
188,85.02,89,80
189,84.52,89,80
190,84.58,89,80
191,84.42,89,80
192,84.7,89,78
193,84.42,89,78
194,84.52,89,78
195,84.56,89,78
196,84.14,89,78
197,83.86,89,78
198,83.68,89,78
199,83.68,89,79
200,83.38,88,79
