Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.66,100,95
2,98.46,100,95
3,98.56,100,95
4,98.72,100,95
5,98.2,100,95
6,97.66,100,95
7,97.8,100,95
8,97.72,100,95
9,97.66,100,95
10,97.48,100,95
11,96.8,100,95
12,97.12,100,95
13,97.76,100,95
14,98.4,100,95
15,98.9,100,95
16,98.9,100,95
17,98.7,100,95
18,98.6,100,95
19,98.6,100,95
20,98.9,100,95
21,98.6,100,95
22,98.5,100,95
23,99.2,100,95
24,99.7,100,95
25,100.0,100,100
26,100.0,100,100
27,100.0,100,100
28,100.0,100,100
29,100.0,100,100
30,100.0,100,100
31,100.0,100,100
32,100.0,100,100
33,100.0,100,100
34,100.0,100,100
35,100.0,100,100
36,100.0,100,100
37,100.0,100,100
38,100.0,100,100
39,100.0,100,100
40,100.0,100,100
41,100.0,100,100
42,100.0,100,100
43,100.0,100,100
44,100.0,100,100
45,100.0,100,100
46,100.0,100,100
47,100.0,100,100
48,100.0,100,100
49,100.0,100,100
50,100.0,100,100
51,100.0,100,100
52,100.0,100,100
53,100.0,100,100
54,100.0,100,100
55,100.0,100,100
56,100.0,100,100
57,100.0,100,100
58,100.0,100,100
59,100.0,100,100
60,100.0,100,100
61,100.0,100,100
62,100.0,100,100
63,100.0,100,100
64,100.0,100,100
65,100.0,100,100
66,100.0,100,100
67,100.0,100,100
68,100.0,100,100
69,100.0,100,100
70,100.0,100,100
71,100.0,100,100
72,100.0,100,100
73,100.0,100,100
74,100.0,100,100
75,100.0,100,100
76,100.0,100,100
77,100.0,100,100
78,100.0,100,100
79,100.0,100,100
80,100.0,100,100
81,100.0,100,100
82,100.0,100,100
83,100.0,100,100
84,100.0,100,100
85,100.0,100,100
86,100.0,100,100
87,100.0,100,100
88,100.0,100,100
89,100.0,100,100
90,100.0,100,100
91,100.0,100,100
92,100.0,100,100
93,100.0,100,100
94,100.0,100,100
95,100.0,100,100
96,100.0,100,100
97,100.0,100,100
98,100.0,100,100
99,100.0,100,100
100,100.0,100,100
101,100.0,100,100
102,100.0,100,100
103,100.0,100,100
104,100.0,100,100
105,100.0,100,100
106,100.0,100,100
107,100.0,100,100
108,100.0,100,100
109,100.0,100,100
110,100.0,100,100
111,100.0,100,100
112,100.0,100,100
113,100.0,100,100
114,100.0,100,100
115,100.0,100,100
116,100.0,100,100
117,100.0,100,100
118,100.0,100,100
119,100.0,100,100
120,100.0,100,100
121,100.0,100,100
122,100.0,100,100
123,100.0,100,100
124,100.0,100,100
125,100.0,100,100
126,100.0,100,100
127,100.0,100,100
128,100.0,100,100
129,100.0,100,100
130,100.0,100,100
131,100.0,100,100
132,100.0,100,100
133,100.0,100,100
134,100.0,100,100
135,100.0,100,100
136,100.0,100,100
137,100.0,100,100
138,100.0,100,100
139,100.0,100,100
140,100.0,100,100
141,100.0,100,100
142,100.0,100,100
143,100.0,100,100
144,100.0,100,100
145,100.0,100,100
146,100.0,100,100
147,100.0,100,100
148,100.0,100,100
149,100.0,100,100
150,100.0,100,100
151,100.0,100,100
152,100.0,100,100
153,100.0,100,100
154,100.0,100,100
155,100.0,100,100
156,100.0,100,100
157,100.0,100,100
158,100.0,100,100
159,100.0,100,100
160,100.0,100,100
161,100.0,100,100
162,100.0,100,100
163,100.0,100,100
164,100.0,100,100
165,100.0,100,100
166,100.0,100,100
167,100.0,100,100
168,100.0,100,100
169,100.0,100,100
170,100.0,100,100
171,100.0,100,100
172,100.0,100,100
173,100.0,100,100
174,100.0,100,100
175,100.0,100,100
176,100.0,100,100
177,100.0,100,100
178,100.0,100,100
179,100.0,100,100
180,100.0,100,100
181,100.0,100,100
182,100.0,100,100
183,100.0,100,100
184,100.0,100,100
185,100.0,100,100
186,100.0,100,100
187,100.0,100,100
188,100.0,100,100
189,100.0,100,100
190,100.0,100,100
191,100.0,100,100
192,100.0,100,100
193,100.0,100,100
194,100.0,100,100
195,100.0,100,100
196,100.0,100,100
197,100.0,100,100
198,100.0,100,100
199,100.0,100,100
200,100.0,100,100
