Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.06,100,96
2,98.92,100,96
3,98.98,100,96
4,98.76,100,96
5,98.78,100,96
6,98.64,100,96
7,98.54,100,95
8,98.18,100,92
9,97.82,100,92
10,97.96,100,92
11,97.7,100,92
12,97.64,100,92
13,97.74,100,92
14,97.92,100,92
15,98.18,100,92
16,98.16,100,92
17,98.12,100,92
18,98.28,100,94
19,98.12,100,91
20,98.22,100,91
21,98.3,100,91
22,98.44,100,93
23,98.32,100,93
24,98.44,100,93
25,98.44,100,95
26,98.24,100,95
27,98.08,100,95
28,98.04,100,95
29,97.96,100,95
30,97.64,100,92
31,97.74,100,92
32,97.78,100,92
33,97.9,100,92
34,97.76,100,92
35,97.54,100,92
36,97.52,100,92
37,97.46,100,91
38,97.24,100,90
39,97.16,100,90
40,97.14,100,90
41,97.02,100,90
42,96.94,100,90
43,97.04,100,90
44,97.14,100,90
45,97.1,100,90
46,97.1,100,90
47,97.16,100,94
48,96.94,100,94
49,96.78,100,94
50,96.86,100,93
51,96.6,100,91
52,96.48,100,91
53,96.56,100,93
54,96.42,100,93
55,96.4,100,93
56,96.32,100,93
57,96.3,100,92
58,96.18,100,92
59,96.22,100,92
60,96.24,100,92
61,95.6,100,89
62,95.66,100,89
63,96.2,100,92
64,96.12,100,92
65,95.9,100,92
66,95.64,100,91
67,95.58,100,92
68,95.36,100,90
69,95.54,100,90
70,95.14,99,90
71,95.34,99,90
72,95.1,99,90
73,95.12,99,90
74,94.98,99,90
75,94.66,99,90
76,94.7,99,91
77,94.4,99,87
78,94.32,99,87
79,94.3,99,87
80,94.48,99,87
81,94.68,99,90
82,94.48,99,90
83,94.3,99,90
84,94.12,99,88
85,94.14,99,89
86,94.2,99,89
87,94.42,99,89
88,94.26,99,89
89,94.44,99,89
90,94.42,99,89
91,94.4,99,89
92,94.34,99,89
93,94.14,99,89
94,93.84,98,89
95,93.66,98,89
96,93.62,98,89
97,93.54,98,89
98,93.96,98,89
99,94.0,98,90
100,93.82,98,88
101,93.94,99,88
102,94.06,99,88
103,94.14,99,88
104,93.5,98,88
105,93.66,98,88
106,94.02,98,88
107,93.76,98,88
108,93.72,98,88
109,93.46,98,88
110,93.28,98,88
111,93.26,98,88
112,93.56,98,88
113,93.34,98,88
114,93.5,98,88
115,93.46,98,88
116,93.4,98,88
117,93.42,97,88
118,93.54,97,88
119,93.52,97,88
120,93.64,97,88
121,93.48,96,88
122,93.24,96,88
123,93.1,96,88
124,92.9,96,88
125,92.98,96,88
126,92.8,96,87
127,92.92,96,87
128,93.12,96,87
129,92.84,96,87
130,92.46,96,87
131,92.56,96,88
132,92.74,96,88
133,92.42,96,86
134,92.18,96,86
135,92.08,96,86
136,92.22,96,87
137,92.1,96,87
138,91.94,96,87
139,92.0,96,87
140,92.34,96,88
141,92.3,96,88
142,92.34,96,88
143,91.78,96,88
144,91.82,96,88
145,91.66,96,88
146,91.52,96,87
147,91.8,96,87
148,91.78,96,87
149,91.86,97,87
150,91.82,97,86
151,91.32,97,86
152,91.72,97,86
153,91.52,97,85
154,90.98,97,86
155,90.24,95,86
156,90.06,95,86
157,90.22,95,86
158,90.16,95,86
159,90.1,95,86
160,90.18,95,85
161,90.28,94,87
162,90.04,94,87
163,90.1,94,87
164,89.98,94,86
165,90.24,94,86
166,90.2,94,86
167,90.18,94,86
168,89.98,95,86
169,89.8,95,86
170,89.7,95,86
171,89.48,95,85
172,89.44,94,85
173,89.32,94,85
174,89.48,97,84
175,89.42,97,84
176,89.22,97,84
177,89.54,97,84
178,89.56,97,84
179,89.42,97,84
180,88.9,97,84
181,88.72,93,84
182,88.68,93,84
183,88.82,93,84
184,88.6,93,84
185,88.68,93,84
186,88.66,93,84
187,88.66,93,85
188,88.36,93,82
189,88.44,93,82
190,88.46,93,82
191,88.62,93,82
192,88.3,93,82
193,88.3,93,82
194,88.38,92,82
195,88.3,92,82
196,88.62,92,82
197,88.3,92,82
198,88.6,92,82
199,88.64,92,82
200,88.88,92,82
