Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.42,100,96
2,97.94,100,96
3,97.58,99,96
4,96.7,98,95
5,95.94,98,91
6,95.3,98,91
7,94.28,96,91
8,93.6,95,91
9,92.66,95,91
10,91.62,95,88
11,91.12,92,87
12,90.6,92,87
13,89.94,92,87
14,88.76,91,84
15,87.58,90,84
16,86.46,90,84
17,85.28,89,82
18,84.2,88,82
19,83.32,85,81
20,82.62,84,81
21,82.2,84,80
22,81.88,84,80
23,81.38,83,80
24,80.58,82,77
25,79.58,82,76
26,78.7,81,75
27,77.84,80,75
28,76.98,80,74
29,76.54,78,74
30,76.22,78,74
31,75.1,77,71
32,73.86,76,71
33,73.22,76,71
34,72.06,74,71
35,71.14,74,68
36,70.42,73,68
37,69.8,72,68
38,69.3,71,68
39,69.0,71,68
40,68.48,70,67
41,68.2,69,67
42,67.9,69,67
43,67.62,69,67
44,67.2,69,66
45,66.86,68,66
46,66.48,68,66
47,66.02,67,64
48,65.46,66,64
49,65.24,66,64
50,64.9,66,63
51,64.46,65,64
52,64.18,65,64
53,64.0,64,64
54,63.96,64,63
55,63.88,64,63
56,63.68,64,62
57,63.44,64,62
58,63.06,64,62
59,62.9,64,62
60,62.54,63,62
61,62.48,63,62
62,62.4,63,62
63,62.12,63,62
64,62.04,63,62
65,62.0,62,62
66,62.0,62,62
67,62.0,62,62
68,62.0,62,62
69,62.0,62,62
70,62.0,62,62
71,62.0,62,62
72,62.0,62,62
73,62.0,62,62
74,62.0,62,62
75,62.0,62,62
76,62.0,62,62
77,62.0,62,62
78,62.0,62,62
79,62.0,62,62
80,62.0,62,62
81,62.0,62,62
82,62.0,62,62
83,62.0,62,62
84,62.0,62,62
85,62.0,62,62
86,62.0,62,62
87,62.0,62,62
88,62.0,62,62
89,62.0,62,62
90,62.0,62,62
91,62.0,62,62
92,62.0,62,62
93,62.0,62,62
94,62.0,62,62
95,62.0,62,62
96,62.0,62,62
97,62.0,62,62
98,62.0,62,62
99,62.0,62,62
100,62.0,62,62
101,62.0,62,62
102,62.0,62,62
103,62.0,62,62
104,62.0,62,62
105,62.0,62,62
106,62.0,62,62
107,62.0,62,62
108,62.0,62,62
109,62.0,62,62
110,62.0,62,62
111,62.0,62,62
112,62.0,62,62
113,62.0,62,62
114,62.0,62,62
115,62.0,62,62
116,62.0,62,62
117,62.0,62,62
118,62.0,62,62
119,62.0,62,62
120,62.0,62,62
121,62.0,62,62
122,62.0,62,62
123,62.0,62,62
124,62.0,62,62
125,62.0,62,62
126,62.0,62,62
127,62.0,62,62
128,62.0,62,62
129,62.0,62,62
130,62.0,62,62
131,62.0,62,62
132,62.0,62,62
133,62.0,62,62
134,62.0,62,62
135,62.0,62,62
136,62.0,62,62
137,62.0,62,62
138,62.0,62,62
139,62.0,62,62
140,62.0,62,62
141,62.0,62,62
142,62.0,62,62
143,62.0,62,62
144,62.0,62,62
145,62.0,62,62
146,62.0,62,62
147,62.0,62,62
148,62.0,62,62
149,62.0,62,62
150,62.0,62,62
151,62.0,62,62
152,62.0,62,62
153,62.0,62,62
154,62.0,62,62
155,62.0,62,62
156,62.0,62,62
157,62.0,62,62
158,62.0,62,62
159,62.0,62,62
160,62.0,62,62
161,62.0,62,62
162,62.0,62,62
163,62.0,62,62
164,62.0,62,62
165,62.0,62,62
166,62.0,62,62
167,62.0,62,62
168,62.0,62,62
169,62.0,62,62
170,62.0,62,62
171,62.0,62,62
172,62.0,62,62
173,62.0,62,62
174,62.0,62,62
175,62.0,62,62
176,62.0,62,62
177,62.0,62,62
178,62.0,62,62
179,62.0,62,62
180,62.0,62,62
181,62.0,62,62
182,62.0,62,62
183,62.0,62,62
184,62.0,62,62
185,62.0,62,62
186,62.0,62,62
187,62.0,62,62
188,62.0,62,62
189,62.0,62,62
190,62.0,62,62
191,62.0,62,62
192,62.0,62,62
193,62.0,62,62
194,62.0,62,62
195,62.0,62,62
196,62.0,62,62
197,62.0,62,62
198,62.0,62,62
199,62.0,62,62
200,62.0,62,62
