Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.76,100,98
2,99.68,100,98
3,99.52,100,97
4,99.48,100,97
5,99.28,100,97
6,98.8,100,97
7,98.34,99,97
8,97.94,99,96
9,97.76,98,96
10,97.34,98,95
11,97.04,98,95
12,96.52,98,95
13,96.26,97,95
14,95.9,97,95
15,95.66,96,95
16,95.42,96,94
17,95.2,96,93
18,94.86,96,93
19,94.68,95,93
20,94.28,95,90
21,93.88,95,90
22,93.56,95,90
23,92.98,94,90
24,92.7,94,90
25,92.06,93,89
26,91.86,93,89
27,91.28,92,89
28,90.86,92,89
29,90.58,91,89
30,90.16,91,87
31,89.7,91,87
32,89.06,90,86
33,88.44,90,86
34,87.8,89,84
35,86.82,89,83
36,86.3,88,83
37,85.54,87,82
38,85.1,87,82
39,84.44,86,81
40,84.18,85,81
41,83.74,85,81
42,83.12,84,81
43,82.78,84,80
44,82.22,83,80
45,81.74,83,78
46,81.34,82,78
47,80.98,82,78
48,80.58,82,78
49,79.96,81,77
50,79.3,80,77
51,78.82,80,77
52,78.08,79,75
53,77.6,79,75
54,77.24,78,75
55,77.0,78,75
56,76.76,77,75
57,76.56,77,75
58,76.26,77,74
59,75.88,77,74
60,75.62,76,74
61,75.38,76,72
62,74.88,76,72
63,74.48,75,72
64,74.18,75,72
65,73.84,75,72
66,73.44,74,72
67,73.1,74,70
68,72.64,74,70
69,72.34,73,70
70,71.86,73,70
71,71.48,72,70
72,71.12,72,69
73,70.56,72,69
74,70.24,71,69
75,70.0,71,69
76,69.8,70,69
77,69.58,70,67
78,69.32,70,67
79,69.14,70,67
80,68.76,69,67
81,68.4,69,66
82,68.04,69,66
83,67.36,69,66
84,66.92,68,65
85,66.42,67,65
86,66.04,67,64
87,65.48,67,64
88,65.1,66,64
89,64.76,66,64
90,64.52,65,63
91,64.3,65,63
92,64.06,65,63
93,63.9,64,63
94,63.84,64,63
95,63.84,64,63
96,63.74,64,62
97,63.58,64,62
98,63.3,64,61
99,63.04,64,61
100,62.72,63,61
101,62.64,63,61
102,62.56,63,61
103,62.34,63,61
104,62.18,63,61
105,61.78,63,60
106,61.46,62,60
107,61.18,62,60
108,60.86,61,60
109,60.84,61,60
110,60.64,61,59
111,60.48,61,59
112,60.4,61,59
113,59.96,61,58
114,59.64,60,58
115,59.28,60,58
116,58.96,60,58
117,58.48,59,58
118,58.36,59,58
119,58.24,59,58
120,58.0,58,58
121,58.0,58,58
122,58.0,58,58
123,58.0,58,58
124,58.0,58,58
125,58.0,58,58
126,58.0,58,58
127,58.0,58,58
128,58.0,58,58
129,58.0,58,58
130,58.0,58,58
131,58.0,58,58
132,58.0,58,58
133,58.0,58,58
134,58.0,58,58
135,58.0,58,58
136,58.0,58,58
137,58.0,58,58
138,58.0,58,58
139,58.0,58,58
140,58.0,58,58
141,58.0,58,58
142,58.0,58,58
143,58.0,58,58
144,58.0,58,58
145,58.0,58,58
146,58.0,58,58
147,58.0,58,58
148,58.0,58,58
149,58.0,58,58
150,58.0,58,58
151,58.0,58,58
152,58.0,58,58
153,58.0,58,58
154,58.0,58,58
155,58.0,58,58
156,58.0,58,58
157,58.0,58,58
158,58.0,58,58
159,58.0,58,58
160,58.0,58,58
161,58.0,58,58
162,58.0,58,58
163,58.0,58,58
164,58.0,58,58
165,58.0,58,58
166,58.0,58,58
167,58.0,58,58
168,58.0,58,58
169,58.0,58,58
170,58.0,58,58
171,58.0,58,58
172,58.0,58,58
173,58.0,58,58
174,58.0,58,58
175,58.0,58,58
176,58.0,58,58
177,58.0,58,58
178,58.0,58,58
179,58.0,58,58
180,58.0,58,58
181,58.0,58,58
182,58.0,58,58
183,58.0,58,58
184,58.0,58,58
185,58.0,58,58
186,58.0,58,58
187,58.0,58,58
188,58.0,58,58
189,58.0,58,58
190,58.0,58,58
191,58.0,58,58
192,58.0,58,58
193,58.0,58,58
194,58.0,58,58
195,58.0,58,58
196,58.0,58,58
197,58.0,58,58
198,58.0,58,58
199,58.0,58,58
200,58.0,58,58
