Generation,Average_Fitness,Worst_Fit,Best_Fit
1,957.1083429899459,1015.9783349227703,752.2087598790429
2,905.1385778814366,996.0819770570448,666.2053733687002
3,854.7850231916841,962.570056409378,666.2053733687002
4,798.6581701288974,899.5767295267758,664.2424624170186
5,756.0107480883553,837.684212394133,623.9966303611349
6,717.2215475193257,793.8467676155001,579.9929890232812
7,681.0119001399553,748.7092091675412,565.3272388454777
8,646.5348062558073,705.3585170094034,547.5371703203288
9,608.506137585412,671.7271390435129,507.35937600674595
10,572.1284792839954,629.2092229284929,454.92157778543753
11,541.5221540473935,600.3936970437888,441.05455884722613
12,515.9664856100509,559.3767217240113,432.53823825495425
13,491.647466806501,532.2460524808884,413.17699869106855
14,469.9461054204336,513.3067399818628,399.33374955582445
15,441.8865315595951,489.4271778408062,370.45028072314796
16,424.25482069059234,459.2579206375702,370.45028072314796
17,400.0463108368803,437.5688638291729,343.13055054805255
18,384.72062238955783,416.8048865932253,343.13055054805255
19,371.27422024285755,393.4359586775938,333.87047274684
20,356.10040823097154,379.27201482390706,317.85891240296894
21,346.6386439191602,369.9740028801825,317.85891240296894
22,338.06553615437633,352.1915069424208,317.85891240296894
23,331.1227881931182,343.8362123649442,306.93062744484826
24,324.8751776440963,336.14706160887516,306.93062744484826
25,319.57497741327944,329.67451895235615,304.478322743357
26,315.5563391789034,322.58170006742523,299.326730367031
27,312.17218879686135,319.6634914577019,294.7453710430774
28,308.5546503617768,317.26394717753425,291.4492691485902
29,304.14627849568797,311.67201408109656,290.32566003551165
30,300.0641708897535,307.41694695056214,286.2245914574435
31,298.07754550220943,303.7253920014615,286.2245914574435
32,296.0566412294377,300.53537593024294,286.2245914574435
33,294.32744386144975,298.02498288740344,286.2245914574435
34,292.87254862360203,296.9416541071895,284.8709396610059
35,291.3601419007358,294.31106847754967,284.8709396610059
36,290.0062411946836,292.24417679847716,284.8709396610059
37,289.4533157372042,291.328742940295,284.8709396610059
38,288.42076026239744,290.97415461797533,281.2273968877375
39,287.91058708739115,290.2732926803212,281.2273968877375
40,286.92961399499154,289.71554573901545,281.2273968877375
41,285.7918486815024,288.4841468135932,281.2273968877375
42,284.6383714158239,286.39333094073976,279.9838480810826
43,283.99349879715345,285.5930536340063,279.9838480810826
44,283.4580156488461,285.1563770910619,279.57484051874616
45,282.92504748080614,284.8400777418048,279.57484051874616
46,282.31029410812266,283.6082249390919,279.3722828435756
47,281.851028698531,283.4633953009154,276.3404698692167
48,281.164325821269,282.4974724314298,276.3404698692167
49,280.4248030973961,282.41516934797784,276.3404698692167
50,279.6632995305285,281.478566606001,276.3404698692167
51,278.7441606227641,280.6957481818195,272.99344384471704
52,278.0982378230153,279.7291238375529,272.99344384471704
53,277.16051997503547,279.4066228467267,272.6280713980937
54,276.4402164201924,278.16698835416133,272.6280713980937
55,275.84719598135376,276.66297086004283,272.6280713980937
56,275.69357115328427,276.3404698692167,272.6280713980937
57,275.32043350598747,276.3404698692167,272.6280713980937
58,275.07544803556436,276.18618655040996,272.6280713980937
59,274.32728416330383,276.0159983617818,270.8795142798424
60,273.51785758193944,275.961827414845,270.8795142798424
61,272.4704220559042,273.92043552054645,270.8795142798424
62,272.3846332192115,272.6280713980937,270.8795142798424
63,272.37565885378893,272.6280713980937,270.8795142798424
64,272.21472509587414,272.6280713980937,269.656143898256
65,272.0157081370108,272.6280713980937,269.656143898256
66,271.79529459837863,272.6280713980937,269.656143898256
67,271.60250250581123,272.35745731129356,269.656143898256
68,271.3392220591763,272.1270495814293,269.656143898256
69,271.0763165103845,271.5220114686108,269.656143898256
70,270.7869871010047,271.467840521674,269.656143898256
71,270.38064041559585,271.24348138610907,269.656143898256
72,269.9180554873103,270.8795142798424,269.17940886092435
73,269.6135414470893,269.656143898256,269.06781765642444
74,269.59000839741606,269.656143898256,269.06781765642444
75,269.59000839741606,269.656143898256,269.06781765642444
76,269.59000839741606,269.656143898256,269.06781765642444
77,269.57093899592275,269.656143898256,269.06781765642444
78,269.53280019293624,269.656143898256,269.06781765642444
79,269.509267143263,269.656143898256,269.06781765642444
80,269.4195985927498,269.656143898256,269.06781765642444
81,269.24472513990366,269.656143898256,269.06781765642444
82,269.1124541382242,269.17940886092435,269.06781765642444
83,269.08567224914447,269.17940886092435,269.06781765642444
84,269.06781765642467,269.06781765642444,269.06781765642444
85,269.06781765642467,269.06781765642444,269.06781765642444
86,269.06781765642467,269.06781765642444,269.06781765642444
87,269.06781765642467,269.06781765642444,269.06781765642444
88,269.06781765642467,269.06781765642444,269.06781765642444
89,269.06781765642467,269.06781765642444,269.06781765642444
90,269.06781765642467,269.06781765642444,269.06781765642444
91,269.06781765642467,269.06781765642444,269.06781765642444
92,269.06781765642467,269.06781765642444,269.06781765642444
93,269.06781765642467,269.06781765642444,269.06781765642444
94,269.06781765642467,269.06781765642444,269.06781765642444
95,269.06781765642467,269.06781765642444,269.06781765642444
96,269.06781765642467,269.06781765642444,269.06781765642444
97,269.06781765642467,269.06781765642444,269.06781765642444
98,269.06781765642467,269.06781765642444,269.06781765642444
99,269.06781765642467,269.06781765642444,269.06781765642444
100,269.06781765642467,269.06781765642444,269.06781765642444
101,269.06781765642467,269.06781765642444,269.06781765642444
