Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.58,100,98
2,99.54,100,97
3,99.6,100,97
4,99.62,100,97
5,99.54,100,97
6,99.48,100,95
7,99.48,100,95
8,99.46,100,95
9,99.52,100,95
10,99.34,100,95
11,99.38,100,97
12,99.24,100,97
13,99.08,100,96
14,99.14,100,96
15,99.0,100,96
16,98.92,100,95
17,99.0,100,95
18,99.08,100,95
19,99.16,100,97
20,99.18,100,96
21,99.1,100,96
22,98.9,100,97
23,98.98,100,97
24,99.0,100,97
25,98.96,100,97
26,99.0,100,97
27,99.02,100,97
28,99.14,100,97
29,99.0,100,97
30,99.0,100,96
31,98.98,100,96
32,98.86,100,96
33,98.74,100,94
34,98.28,100,94
35,98.6,100,94
36,98.58,100,94
37,98.28,100,93
38,98.4,100,93
39,98.44,100,93
40,98.56,100,94
41,98.62,100,95
42,98.82,100,95
43,98.84,100,95
44,98.78,100,95
45,98.66,100,95
46,98.9,100,95
47,98.7,100,95
48,98.58,100,95
49,98.5,100,95
50,98.6,100,95
51,98.34,100,94
52,98.5,100,94
53,98.4,100,97
54,98.4,100,97
55,98.42,100,96
56,98.42,100,97
57,98.34,100,97
58,98.3,100,97
59,98.32,100,97
60,98.22,100,96
61,98.2,100,96
62,98.04,100,95
63,98.08,100,96
64,98.08,100,96
65,98.18,100,97
66,98.06,100,97
67,97.96,100,97
68,97.88,100,97
69,97.8,100,95
70,97.88,100,96
71,97.84,100,95
72,97.9,100,95
73,97.84,100,96
74,97.86,99,96
75,97.8,99,95
76,97.72,99,95
77,97.88,99,95
78,97.92,99,95
79,97.8,99,95
80,97.76,99,95
81,97.76,99,95
82,97.64,99,95
83,97.4,99,95
84,97.44,99,95
85,97.4,99,95
86,97.02,99,94
87,96.9,99,95
88,96.9,99,95
89,96.68,99,92
90,96.6,99,92
91,96.36,99,92
92,96.48,99,92
93,96.5,99,92
94,96.36,99,92
95,96.02,99,92
96,95.88,99,92
97,95.8,99,92
98,95.7,99,93
99,95.68,99,93
100,95.74,99,93
101,95.64,99,92
102,95.42,99,92
103,95.12,98,92
104,95.3,98,92
105,95.18,98,92
106,95.14,98,92
107,95.38,98,92
108,95.08,98,92
109,94.96,98,92
110,95.04,98,92
111,95.42,98,93
112,95.66,98,93
113,95.54,98,92
114,95.38,98,92
115,95.52,98,92
116,95.42,98,92
117,95.16,98,92
118,95.18,98,92
119,95.06,98,90
120,94.92,98,90
121,95.04,98,90
122,94.86,98,90
123,94.98,98,91
124,94.98,97,91
125,95.2,97,91
126,94.8,97,91
127,94.82,97,91
128,94.94,97,91
129,94.88,97,90
130,94.56,97,90
131,94.42,97,90
132,94.32,97,90
133,94.4,97,90
134,94.58,97,90
135,94.46,96,90
136,94.42,96,90
137,94.3,96,90
138,94.28,96,90
139,94.22,96,90
140,93.9,96,89
141,93.8,96,89
142,93.96,96,90
143,94.02,96,90
144,94.16,96,90
145,94.24,96,90
146,93.88,96,90
147,94.08,96,90
148,93.94,96,90
149,93.9,98,90
150,93.62,98,90
151,93.62,98,90
152,93.82,98,90
153,93.62,98,90
154,93.36,96,90
155,93.44,96,89
156,93.44,96,89
157,93.48,96,88
158,93.26,96,88
159,93.42,96,88
160,93.38,96,88
161,92.88,96,88
162,92.74,96,88
163,92.26,96,87
164,92.62,96,87
165,92.44,96,87
166,92.8,97,88
167,92.96,96,89
168,93.18,97,89
169,93.64,97,89
170,94.04,97,89
171,93.94,97,89
172,94.26,97,91
173,94.08,97,91
174,94.08,97,91
175,94.2,97,91
176,94.28,96,91
177,94.38,96,91
178,94.54,96,91
179,94.56,97,91
180,94.58,97,91
181,94.7,96,91
182,94.78,96,91
183,94.92,97,91
184,95.02,96,91
185,95.04,96,91
186,94.94,96,90
187,94.86,96,90
188,94.8,96,90
189,94.6,96,91
190,94.7,96,91
191,94.96,97,91
192,94.62,97,88
193,94.58,97,88
194,94.76,97,88
195,94.7,97,88
196,94.88,97,88
197,94.86,97,88
198,94.88,97,91
199,95.0,97,92
200,94.98,97,92
