Generation,Average_Fitness,Worst_Fit,Best_Fit
1,500.5612924615085,546.0636041051764,418.4382922466662
2,492.7429518383949,546.912611461145,335.5884075752259
3,481.6865065501809,546.0636041051764,335.5884075752259
4,482.9187809506501,546.0636041051764,375.3965922088168
5,482.95966423278117,558.8756603286172,375.3965922088168
6,474.1288316663969,558.8756603286172,363.3619902656438
7,465.435556302981,558.8756603286172,347.1298608980321
8,466.0706101527439,558.8756603286172,347.1298608980321
9,458.9699007472556,558.8756603286172,325.3987268835607
10,452.7042875640101,572.366227955165,325.3987268835607
11,448.8142929092394,572.366227955165,325.3987268835607
12,445.2290275397832,558.8756603286172,325.3987268835607
13,443.936089735347,558.8756603286172,341.4564699236876
14,427.0905012299698,558.8756603286172,298.67475977023815
15,420.95359247686554,558.8756603286172,283.62366564487115
16,410.4539657774504,558.8756603286172,283.62366564487115
17,407.783530974379,558.8756603286172,265.61412636786844
18,398.05907396167584,553.6782942602466,265.61412636786844
19,395.3364429481553,553.6782942602466,265.61412636786844
20,388.1824689026757,553.6782942602466,265.61412636786844
21,381.0384309619839,553.6782942602466,249.78915879769545
22,387.26824300468303,553.6782942602466,249.78915879769545
23,388.73940218961565,553.6782942602466,249.78915879769545
24,383.96215531311003,541.5457027684045,249.78915879769545
25,382.83972743366706,541.5457027684045,249.78915879769545
26,387.8559199403626,541.5457027684045,265.61412636786844
27,377.7727649328338,504.3024572460851,265.61412636786844
28,381.6210734414147,504.3024572460851,270.4742336270397
29,373.5263162605944,504.3024572460851,270.4742336270397
30,363.9810594841932,504.3024572460851,255.41218847801073
31,357.38270734283435,504.3024572460851,255.41218847801073
32,352.280510105793,504.3024572460851,209.9185733698867
33,346.23574369995674,487.6803132780848,209.9185733698867
34,350.8749093127831,487.6803132780848,209.9185733698867
35,344.5082514253061,487.6803132780848,209.9185733698867
36,343.92483245978104,487.6803132780848,209.9185733698867
37,341.7094996515804,487.6803132780848,209.9185733698867
38,332.82114806835455,487.6803132780848,206.04650778582834
39,323.9018036494567,487.6803132780848,206.04650778582834
40,315.14677140683216,474.7830530060003,206.04650778582834
41,303.22805441772397,465.8854857547806,206.04650778582834
42,298.09090345289576,431.065403703856,206.04650778582834
43,287.25565177440893,431.065403703856,206.04650778582834
44,291.34188610513394,431.065403703856,201.04163447766695
45,288.5837918302426,431.065403703856,201.04163447766695
46,279.75446227400494,428.6091145805298,186.9445215009579
47,276.6234710808222,428.6091145805298,186.9445215009579
48,273.21808426132384,428.6091145805298,186.9445215009579
49,273.8597968661038,428.6091145805298,201.2684486927213
50,270.6333802369472,407.2338958499829,184.55912844947713
51,267.04654842476566,366.3819599279835,184.55912844947713
52,264.5703043578058,366.3819599279835,184.55912844947713
53,265.2304771064721,366.3819599279835,184.55912844947713
54,264.6321749228336,366.3819599279835,177.52660652451283
55,263.6382686129437,366.3819599279835,168.21667848893307
56,259.9640101520265,366.3819599279835,160.08984036555984
57,259.1071323587188,366.3819599279835,160.08984036555984
58,252.7704234451704,366.3819599279835,137.2554086939475
59,249.44147476299673,366.3819599279835,137.2554086939475
60,238.984584043045,366.3819599279835,133.1252512918634
61,237.95745870939416,366.3819599279835,133.1252512918634
62,230.40383538835914,366.3819599279835,133.1252512918634
63,227.6190671727937,366.3819599279835,133.1252512918634
64,222.84293066669304,366.3819599279835,160.08984036555984
65,216.36910429744975,366.3819599279835,155.31835348049665
66,213.40170938993106,366.3819599279835,155.31835348049665
67,208.22088205223193,366.3819599279835,155.31835348049665
68,206.579074287679,366.3819599279835,154.34961986594578
69,204.57286581761554,285.1054451053702,149.73060291386864
70,199.77841480245203,285.1054451053702,149.73060291386864
71,201.91980606721768,285.1054451053702,154.34961986594578
72,201.8776149466763,285.1054451053702,154.34961986594578
73,197.44709497998517,285.1054451053702,136.40036890505993
74,191.83329116581103,282.2660060388067,128.96870312204666
75,189.0726114008732,282.2660060388067,128.96870312204666
76,192.05533489077607,282.2660060388067,128.96870312204666
77,185.77407556513273,282.2660060388067,126.09409654321233
78,187.37183501488016,282.2660060388067,126.09409654321233
79,187.80602260866254,282.2660060388067,126.09409654321233
80,182.84993127112452,282.2660060388067,128.46127986533867
81,181.5233696820761,282.2660060388067,128.46127986533867
82,183.33406057493238,282.2660060388067,128.46127986533867
83,183.5374654540062,282.2660060388067,128.46127986533867
84,184.0005654251045,282.2660060388067,128.46127986533867
85,177.3960925747648,282.2660060388067,122.84864833645365
86,175.50680745092413,282.2660060388067,129.79425689594675
87,175.55769359367446,282.2660060388067,129.79425689594675
88,185.85292152432083,282.2660060388067,129.79425689594675
89,185.96361506865728,281.4554799732191,129.79425689594675
90,179.72279885435998,281.4554799732191,122.66397541231069
91,177.84704010542958,281.4554799732191,119.77758300715993
92,175.0317443309888,233.09753975452244,122.66397541231069
93,173.60122317237202,233.09753975452244,122.66397541231069
94,174.0417366732004,233.09753975452244,122.66397541231069
95,177.71821885037664,233.09753975452244,122.66397541231069
96,178.50326185011693,230.55384234139964,122.66397541231069
97,178.7666200245738,230.55384234139964,122.66397541231069
98,179.0250571773582,230.55384234139964,122.66397541231069
99,179.627536611624,230.55384234139964,123.05970413713479
100,179.41464185823264,230.55384234139964,125.83318361595694
101,178.45984340499322,230.55384234139964,120.60890995117794
102,179.72125085402925,230.55384234139964,121.41543228542439
103,178.21565824948695,230.55384234139964,113.79255819621804
104,178.50667995612872,230.55384234139964,113.79255819621804
105,175.59712092415512,230.55384234139964,119.64385998896141
106,174.30445606989213,230.55384234139964,119.64385998896141
107,171.72008055624127,230.55384234139964,121.41543228542439
108,171.83018935008477,230.55384234139964,121.41543228542439
109,170.45465284441255,230.55384234139964,121.41543228542439
110,169.97079575394542,230.55384234139964,121.41543228542439
111,164.68537028166537,230.55384234139964,120.25905129611687
112,161.81881200092218,230.55384234139964,99.49361955867633
113,162.36136308828964,230.55384234139964,99.49361955867633
114,160.95983000808977,230.55384234139964,97.46611118777496
115,150.39200456278542,230.55384234139964,97.46611118777496
116,149.02529987903105,230.55384234139964,97.46611118777496
117,152.58690534765148,230.55384234139964,87.99607588832873
118,153.83032282757028,230.55384234139964,87.99607588832873
119,151.6106893990184,230.55384234139964,87.99607588832873
120,149.20795758377767,230.55384234139964,87.99607588832873
121,147.6214038761959,230.55384234139964,87.99607588832873
122,146.4219560958405,230.55384234139964,87.99607588832873
123,145.18024791069357,230.55384234139964,81.5598513548085
124,142.98222458941734,230.55384234139964,81.5598513548085
125,139.88964380704437,230.55384234139964,81.5598513548085
126,141.0080260593576,230.55384234139964,81.5598513548085
127,139.9149355778423,230.55384234139964,81.5598513548085
128,140.92628754890495,230.55384234139964,81.5598513548085
129,144.66429011769907,231.98734643199734,81.5598513548085
130,144.28154848309433,231.98734643199734,81.5598513548085
131,145.14628641195742,231.98734643199734,81.5598513548085
132,142.49928200028415,231.98734643199734,81.5598513548085
133,141.49514218150466,231.98734643199734,81.5598513548085
134,137.37798069314516,230.55384234139964,81.5598513548085
135,136.76530326575795,230.55384234139964,81.5598513548085
136,135.0227121932959,230.55384234139964,81.5598513548085
137,134.37918560147173,230.55384234139964,81.5598513548085
138,129.88305546704288,230.55384234139964,81.5598513548085
139,131.05395104401805,230.55384234139964,81.5598513548085
140,127.34202391862718,230.55384234139964,81.5598513548085
141,129.75404917735446,230.55384234139964,81.5598513548085
142,127.81514934509858,191.82792177601712,81.5598513548085
143,127.30014199326324,191.82792177601712,81.5598513548085
144,127.2521029473919,191.82792177601712,81.5598513548085
145,126.78097342050383,191.82792177601712,95.56931452052439
146,128.92484042662173,191.82792177601712,96.35221405818311
147,128.00131135238593,191.82792177601712,96.35221405818311
148,124.9237362425636,191.82792177601712,96.35221405818311
149,126.44880335768721,191.82792177601712,97.78831297855
150,125.54282133638044,171.85841486168522,94.34632439637468
151,126.92479422345234,171.85841486168522,94.34632439637468
152,126.82398697921263,171.85841486168522,94.34632439637468
153,126.49219088870433,171.85841486168522,94.34632439637468
154,124.94315911943698,171.85841486168522,94.34632439637468
155,125.60409647051958,171.85841486168522,94.34632439637468
156,125.38047456036139,171.85841486168522,94.34632439637468
157,126.90909410181466,171.85841486168522,94.34632439637468
158,126.93406383144658,171.85841486168522,94.34632439637468
159,129.17353100367222,171.85841486168522,94.34632439637468
160,128.00132889576756,171.85841486168522,94.34632439637468
161,128.56906646327377,171.85841486168522,94.34632439637468
162,127.96854728745235,171.85841486168522,94.34632439637468
163,128.5879310004513,171.85841486168522,97.78831297855
164,128.76852720496126,171.85841486168522,97.78831297855
165,127.52321656053445,159.5402685020497,97.78831297855
166,126.11361362631541,159.5402685020497,97.78831297855
167,125.519294554911,159.5402685020497,97.78831297855
168,126.09914137797685,159.5402685020497,97.78831297855
169,126.21162148853807,159.5402685020497,97.78831297855
170,125.20664337835328,159.5402685020497,97.78831297855
171,125.93811827186668,159.5402685020497,90.80267847921836
172,125.49575091339057,159.5402685020497,90.80267847921836
173,128.92300713817463,165.5767212220579,90.80267847921836
174,127.53870546493471,165.5767212220579,90.80267847921836
175,124.82745451652453,165.5767212220579,90.80267847921836
176,125.71222763377617,165.5767212220579,90.80267847921836
177,123.8812019976258,165.5767212220579,90.80267847921836
178,122.59985302005784,165.5767212220579,90.80267847921836
179,123.01814450669515,165.5767212220579,90.80267847921836
180,122.2968931622735,165.5767212220579,90.80267847921836
181,120.39335470839886,165.5767212220579,90.80267847921836
182,120.8333700986381,158.21603343876143,90.80267847921836
183,120.21512667476277,158.21603343876143,90.80267847921836
184,119.58632528166028,158.21603343876143,90.80267847921836
185,120.59757099733228,158.21603343876143,90.80267847921836
186,121.91309982582516,158.23897613363928,95.79152570866967
187,123.35998579513938,158.23897613363928,95.79152570866967
188,121.3695295232028,158.23897613363928,85.1915343270995
189,121.5468877590671,169.04662639901034,85.1915343270995
190,123.68211713181921,169.04662639901034,85.1915343270995
191,124.05989538584416,168.53561510283882,85.1915343270995
192,125.14043627805155,164.27658504041258,85.1915343270995
193,124.74978883590275,164.27658504041258,81.08709190827689
194,127.17926656755547,168.36871678476683,85.1915343270995
195,125.59655881597942,168.36871678476683,84.08657794845858
196,123.99557618872012,166.5956726813365,84.08657794845858
197,123.40776396423891,166.5956726813365,85.1915343270995
198,122.64939410480343,166.5956726813365,85.1915343270995
199,125.22865496495552,170.16216859073882,85.1915343270995
200,125.98264787452827,171.7137465560119,85.1915343270995
