Generation,Average_Fitness,Best_Fit,Worst_Fit
1,99.7,100,98
2,99.68,100,98
3,99.66,100,98
4,99.72,100,98
5,99.74,100,99
6,99.74,100,99
7,99.7,100,98
8,99.66,100,98
9,99.56,100,98
10,99.52,100,98
11,99.44,100,97
12,99.54,100,98
13,99.56,100,98
14,99.46,100,96
15,99.44,100,96
16,99.5,100,97
17,99.4,100,97
18,99.44,100,98
19,99.46,100,98
20,99.46,100,98
21,99.32,100,96
22,99.28,100,97
23,99.3,100,97
24,99.2,100,97
25,99.22,100,97
26,99.26,100,97
27,99.26,100,97
28,99.26,100,97
29,99.16,100,97
30,99.18,100,97
31,99.18,100,97
32,99.16,100,97
33,99.14,100,97
34,99.12,100,97
35,99.08,100,97
36,99.14,100,97
37,99.1,100,97
38,99.02,100,97
39,98.98,100,97
40,99.0,100,97
41,98.94,100,97
42,99.02,100,97
43,99.1,100,97
44,99.04,100,97
45,98.94,100,97
46,98.9,100,97
47,99.06,100,97
48,99.16,100,97
49,99.06,100,97
50,99.06,100,97
51,99.06,100,97
52,99.12,100,97
53,99.08,100,97
54,99.04,100,97
55,99.08,100,97
56,99.12,100,97
57,99.0,100,97
58,99.02,100,97
59,99.08,100,97
60,99.02,100,97
61,99.02,100,97
62,99.14,100,97
63,99.08,100,97
64,99.08,100,97
65,99.02,100,97
66,99.06,100,97
67,98.98,100,97
68,98.86,100,97
69,98.84,100,97
70,98.92,100,97
71,98.82,100,97
72,98.72,100,97
73,98.76,100,97
74,98.8,100,97
75,98.52,100,93
76,98.56,100,96
77,98.56,100,96
78,98.48,100,96
79,98.56,100,96
80,98.6,100,96
81,98.64,100,97
82,98.72,100,97
83,98.82,100,97
84,98.88,100,97
85,98.88,100,97
86,98.88,100,97
87,98.78,100,96
88,98.7,100,96
89,98.6,100,96
90,98.7,100,96
91,98.74,100,96
92,98.64,100,96
93,98.66,100,97
94,98.66,100,97
95,98.56,100,95
96,98.62,100,95
97,98.62,100,95
98,98.64,100,95
99,98.58,100,95
100,98.58,100,95
101,98.64,100,95
102,98.48,100,95
103,98.48,100,95
104,98.52,100,96
105,98.48,100,96
106,98.54,100,96
107,98.7,100,97
108,98.66,100,96
109,98.72,100,96
110,98.6,100,96
111,98.62,100,96
112,98.54,100,96
113,98.42,100,96
114,98.46,100,96
115,98.5,100,96
116,98.34,100,96
117,98.34,100,96
118,98.24,100,96
119,98.22,100,96
120,98.14,100,96
121,98.22,100,96
122,98.16,100,96
123,98.3,100,96
124,98.2,100,95
125,98.1,100,95
126,98.18,100,95
127,98.14,100,95
128,98.04,100,95
129,97.98,100,95
130,98.0,100,95
131,97.88,100,95
132,97.7,100,94
133,97.76,100,94
134,97.78,100,94
135,97.72,100,94
136,97.82,100,94
137,97.7,100,94
138,97.58,100,94
139,97.48,100,94
140,97.46,100,94
141,97.4,100,94
142,97.2,100,93
143,97.34,100,94
144,97.26,100,94
145,97.38,100,94
146,97.38,100,94
147,97.56,100,94
148,97.6,100,94
149,97.78,100,94
150,97.68,100,94
151,97.72,100,94
152,97.68,100,93
153,97.72,100,93
154,97.4,100,93
155,97.32,100,93
156,97.22,100,93
157,97.16,100,93
158,97.06,100,92
159,96.92,100,92
160,97.02,100,94
161,97.04,100,94
162,97.22,100,94
163,97.28,100,94
164,97.12,100,94
165,97.22,100,94
166,97.28,100,94
167,97.34,100,94
168,97.38,100,94
169,97.24,100,94
170,96.84,100,93
171,96.86,100,93
172,96.94,100,93
173,96.92,100,93
174,96.98,100,93
175,97.0,100,93
176,96.96,100,92
177,96.94,100,92
178,96.58,100,92
179,96.68,100,92
180,96.86,100,93
181,96.7,100,92
182,96.4,100,92
183,96.62,100,92
184,96.88,100,92
185,96.84,100,92
186,96.78,100,92
187,96.74,99,93
188,96.66,99,93
189,96.42,99,93
190,96.3,100,93
191,96.3,100,93
192,96.14,100,93
193,96.08,100,93
194,96.1,100,93
195,95.84,100,93
196,95.8,100,93
197,95.58,99,92
198,95.58,98,92
199,95.58,98,92
200,95.46,98,92
