Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.6,100,97
2,99.34,100,96
3,99.06,100,96
4,98.82,100,96
5,98.32,99,94
6,97.92,99,94
7,97.46,99,94
8,96.86,98,94
9,96.06,98,93
10,95.58,97,92
11,95.14,96,92
12,94.66,96,92
13,94.22,95,90
14,93.86,95,90
15,93.18,94,89
16,92.74,94,89
17,92.12,94,89
18,91.38,93,88
19,90.84,92,88
20,90.28,91,88
21,89.86,91,85
22,89.42,90,85
23,89.22,90,85
24,88.7,90,85
25,88.2,90,85
26,87.7,89,84
27,87.2,89,84
28,86.84,88,83
29,86.36,88,83
30,85.7,87,83
31,85.08,86,83
32,84.64,86,83
33,84.22,85,83
34,83.9,85,82
35,83.5,84,82
36,83.18,84,81
37,82.88,84,81
38,82.7,83,81
39,82.5,83,80
40,82.04,83,79
41,81.38,83,79
42,80.94,82,79
43,80.46,82,79
44,79.98,81,78
45,79.6,80,78
46,79.32,80,78
47,79.04,80,78
48,78.78,79,77
49,78.48,79,76
50,78.28,79,76
51,77.94,79,76
52,77.54,78,76
53,77.0,78,70
54,76.54,78,70
55,76.24,77,70
56,75.86,77,70
57,75.28,76,70
58,75.04,76,70
59,74.54,76,70
60,74.28,75,70
61,73.94,75,70
62,73.38,75,70
63,73.0,74,70
64,72.72,74,70
65,72.54,73,70
66,72.24,73,70
67,71.94,73,70
68,71.52,72,70
69,71.1,72,67
70,70.9,72,67
71,70.2,71,67
72,69.58,71,66
73,69.04,70,66
74,68.62,70,65
75,67.98,69,65
76,67.62,69,65
77,67.14,68,65
78,66.62,68,64
79,66.24,67,64
80,65.86,67,62
81,65.28,66,62
82,64.88,66,61
83,64.4,65,61
84,64.2,65,61
85,63.78,65,61
86,63.36,64,61
87,63.18,64,61
88,62.7,64,61
89,62.1,64,61
90,61.68,63,61
91,61.4,62,60
92,61.14,62,60
93,60.9,61,60
94,60.82,61,59
95,60.8,61,59
96,60.72,61,59
97,60.68,61,59
98,60.5,61,59
99,60.2,61,59
100,59.84,60,59
101,59.78,60,58
102,59.54,60,58
103,59.42,60,58
104,59.1,60,58
105,58.8,59,57
106,58.72,59,57
107,58.56,59,57
108,58.16,59,57
109,57.78,58,57
110,57.72,58,57
111,57.58,58,57
112,57.42,58,57
113,57.1,58,55
114,56.92,57,55
115,56.8,57,55
116,56.72,57,55
117,56.56,57,55
118,56.48,57,55
119,56.32,57,55
120,56.0,57,55
121,55.44,57,55
122,55.0,55,55
123,55.0,55,55
124,55.0,55,55
125,55.0,55,55
126,55.0,55,55
127,55.0,55,55
128,55.0,55,55
129,55.0,55,55
130,55.0,55,55
131,55.0,55,55
132,55.0,55,55
133,55.0,55,55
134,55.0,55,55
135,55.0,55,55
136,55.0,55,55
137,55.0,55,55
138,55.0,55,55
139,55.0,55,55
140,55.0,55,55
141,55.0,55,55
142,55.0,55,55
143,55.0,55,55
144,55.0,55,55
145,55.0,55,55
146,55.0,55,55
147,55.0,55,55
148,55.0,55,55
149,55.0,55,55
150,55.0,55,55
151,55.0,55,55
152,55.0,55,55
153,55.0,55,55
154,55.0,55,55
155,55.0,55,55
156,55.0,55,55
157,55.0,55,55
158,55.0,55,55
159,55.0,55,55
160,55.0,55,55
161,55.0,55,55
162,55.0,55,55
163,55.0,55,55
164,55.0,55,55
165,55.0,55,55
166,55.0,55,55
167,55.0,55,55
168,55.0,55,55
169,55.0,55,55
170,55.0,55,55
171,55.0,55,55
172,55.0,55,55
173,55.0,55,55
174,55.0,55,55
175,55.0,55,55
176,55.0,55,55
177,55.0,55,55
178,55.0,55,55
179,55.0,55,55
180,55.0,55,55
181,55.0,55,55
182,55.0,55,55
183,55.0,55,55
184,55.0,55,55
185,55.0,55,55
186,55.0,55,55
187,55.0,55,55
188,55.0,55,55
189,55.0,55,55
190,55.0,55,55
191,55.0,55,55
192,55.0,55,55
193,55.0,55,55
194,55.0,55,55
195,55.0,55,55
196,55.0,55,55
197,55.0,55,55
198,55.0,55,55
199,55.0,55,55
200,55.0,55,55
