Generation,Average_Fitness,Worst_Fit,Best_Fit
1,946.6194795620275,1011.9657414497632,743.5147570515935
2,898.3984398596384,983.9946651032767,739.175453807984
3,848.8195378266132,945.2654238683592,719.470540943896
4,787.2119751015334,884.9324792913241,670.4495006519811
5,741.5084418495353,809.2503816744564,608.6267207682687
6,697.1541123492369,772.738594843082,555.0272225065801
7,655.1799629736771,724.8912010207171,536.3717171100371
8,617.6414182309568,685.3032655238555,478.9312029870072
9,580.8628929007814,642.3964935648219,468.82108119144004
10,548.7976326748242,608.1727153621018,432.9304550001614
11,520.3294176377467,577.7069363746541,417.9626582765362
12,490.38864304703316,550.6763359051931,399.94032618020526
13,473.47782984218765,521.4150553463674,399.94032618020526
14,449.57383925280743,489.0754373357779,374.94959890738556
15,425.5783915984493,465.58143840575366,362.74942809129016
16,409.09231827273624,437.13647283394744,354.100782494678
17,395.98092955950864,426.74059885633125,353.4863652391482
18,382.9989357472557,404.5145336240215,350.14015451451314
19,368.9842673626433,390.66277431198114,333.0775308819754
20,357.28144452130596,378.88877177664665,328.5668888541719
21,349.7042022819693,365.4047448514887,319.6301451740171
22,341.3401114007345,358.65912490754107,315.7774009956289
23,333.2074952761327,348.73868405827676,306.4909435608908
24,326.4916150012651,337.64369240171334,305.74706686709743
25,321.03253934289944,332.66042968926337,305.0771156343012
26,317.2041313113758,324.66250824065156,305.0771156343012
27,314.3238823810443,322.5245644928358,301.12290217014606
28,311.152533966271,318.1613628133535,296.7186721830649
29,308.1505795213774,315.861980192878,296.7186721830649
30,306.1356599227384,311.101694084871,296.7186721830649
31,303.48929732616756,307.45890764808024,293.98834937188224
32,302.07713134530565,306.0277130716976,293.98834937188224
33,299.8778272053063,304.56950760626177,285.6690583658632
34,297.8868338653635,302.57862654745384,285.6690583658632
35,295.1502440348411,299.8134849910579,283.6768841092583
36,293.42494099231806,298.20048274109064,283.6768841092583
37,291.19816236363613,296.4716860335155,283.6768841092583
38,289.66086559051035,293.98834937188224,283.6768841092583
39,287.7393359823785,292.35921078599677,280.7419103678229
40,286.3115587772772,290.5276872995494,280.7419103678229
41,285.3431454401439,287.6015547760139,280.61584460058566
42,284.4831701969947,286.38702802905516,280.61584460058566
43,283.7388617443918,285.6690583658632,276.5666918751259
44,283.1066925264647,285.2234521356825,276.5666918751259
45,282.2269259917633,284.8918555105985,276.5666918751259
46,281.0853573338293,283.4093985720279,276.42458570983564
47,280.2433811592136,282.07279960889133,274.32921517945306
48,279.7282483295622,281.59699411921787,274.32921517945306
49,279.067763734152,280.8537098062166,274.32921517945306
50,278.0920430247672,280.6068433325268,270.8830546509258
51,277.18368786164325,279.787882858817,270.8830546509258
52,276.36532046704855,278.9765015379932,270.8830546509258
53,275.421480988077,277.3344514921513,270.8830546509258
54,274.63638146787366,276.6050593826201,270.8830546509258
55,274.09308215701697,276.17394629849207,270.8830546509258
56,273.17854965274955,275.08750028755196,269.9361532635294
57,272.16988409516966,274.2060363550004,269.9361532635294
58,271.22613827645813,273.26373755410873,267.6984109273357
59,270.744467329886,272.16374085307183,267.6984109273357
60,270.2388399214722,271.6010243141178,267.2491818115402
61,269.67741528113044,271.6010243141178,266.8191605727176
62,268.92808151676314,270.8830546509258,266.8191605727176
63,268.55104716738765,269.9361532635294,266.8191605727176
64,268.04149541266867,269.36328197792415,265.90073863087855
65,267.52224559149744,269.1505796232739,264.1482352816692
66,267.06926137893134,268.31824164051,264.1482352816692
67,266.69509204570227,267.6984109273357,264.1482352816692
68,266.36665135443866,266.91283728708027,264.1482352816692
69,266.2696475238419,266.8191605727176,264.1482352816692
70,265.92300021838435,266.8191605727176,263.50672715613644
71,265.51089724872554,266.8191605727176,263.50672715613644
72,264.8480684624285,265.90073863087855,263.50672715613644
73,264.5668567778494,265.22292636205674,263.50672715613644
74,264.3401583908855,264.581418236524,263.50672715613644
75,264.20220114987194,264.581418236524,263.50672715613644
76,263.99559594062146,264.581418236524,263.50672715613644
77,263.7889907313709,264.1482352816692,263.50672715613644
78,263.6606891062644,264.1482352816692,263.50672715613644
79,263.5067271561365,263.50672715613644,263.50672715613644
80,263.5067271561365,263.50672715613644,263.50672715613644
81,263.5067271561365,263.50672715613644,263.50672715613644
82,263.5067271561365,263.50672715613644,263.50672715613644
83,263.5067271561365,263.50672715613644,263.50672715613644
84,263.5067271561365,263.50672715613644,263.50672715613644
85,263.5067271561365,263.50672715613644,263.50672715613644
86,263.5067271561365,263.50672715613644,263.50672715613644
87,263.5067271561365,263.50672715613644,263.50672715613644
88,263.5067271561365,263.50672715613644,263.50672715613644
89,263.5067271561365,263.50672715613644,263.50672715613644
90,263.5067271561365,263.50672715613644,263.50672715613644
91,263.5067271561365,263.50672715613644,263.50672715613644
92,263.5067271561365,263.50672715613644,263.50672715613644
93,263.5067271561365,263.50672715613644,263.50672715613644
94,263.5067271561365,263.50672715613644,263.50672715613644
95,263.5067271561365,263.50672715613644,263.50672715613644
96,263.5067271561365,263.50672715613644,263.50672715613644
97,263.5067271561365,263.50672715613644,263.50672715613644
98,263.5067271561365,263.50672715613644,263.50672715613644
99,263.5067271561365,263.50672715613644,263.50672715613644
100,263.5067271561365,263.50672715613644,263.50672715613644
101,263.5067271561365,263.50672715613644,263.50672715613644
102,263.5067271561365,263.50672715613644,263.50672715613644
103,263.5067271561365,263.50672715613644,263.50672715613644
104,263.5067271561365,263.50672715613644,263.50672715613644
105,263.5067271561365,263.50672715613644,263.50672715613644
106,263.5067271561365,263.50672715613644,263.50672715613644
107,263.5067271561365,263.50672715613644,263.50672715613644
108,263.5067271561365,263.50672715613644,263.50672715613644
109,263.5067271561365,263.50672715613644,263.50672715613644
110,263.5067271561365,263.50672715613644,263.50672715613644
111,263.5067271561365,263.50672715613644,263.50672715613644
112,263.5067271561365,263.50672715613644,263.50672715613644
113,263.5067271561365,263.50672715613644,263.50672715613644
114,263.5067271561365,263.50672715613644,263.50672715613644
115,263.5067271561365,263.50672715613644,263.50672715613644
116,263.5067271561365,263.50672715613644,263.50672715613644
117,263.5067271561365,263.50672715613644,263.50672715613644
118,263.5067271561365,263.50672715613644,263.50672715613644
119,263.5067271561365,263.50672715613644,263.50672715613644
120,263.5067271561365,263.50672715613644,263.50672715613644
121,263.5067271561365,263.50672715613644,263.50672715613644
122,263.5067271561365,263.50672715613644,263.50672715613644
123,263.5067271561365,263.50672715613644,263.50672715613644
124,263.5067271561365,263.50672715613644,263.50672715613644
125,263.5067271561365,263.50672715613644,263.50672715613644
126,263.5067271561365,263.50672715613644,263.50672715613644
127,263.5067271561365,263.50672715613644,263.50672715613644
128,263.5067271561365,263.50672715613644,263.50672715613644
129,263.5067271561365,263.50672715613644,263.50672715613644
130,263.5067271561365,263.50672715613644,263.50672715613644
131,263.5067271561365,263.50672715613644,263.50672715613644
