Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.66,100,97
2,99.64,100,97
3,99.48,100,97
4,99.52,100,97
5,99.48,100,97
6,99.44,100,97
7,99.4,100,97
8,99.58,100,97
9,99.7,100,97
10,99.62,100,97
11,99.58,100,97
12,99.66,100,97
13,99.66,100,96
14,99.56,100,96
15,99.56,100,96
16,99.5,100,96
17,99.4,100,96
18,99.32,100,97
19,99.16,100,97
20,99.2,100,97
21,99.18,100,97
22,99.1,100,97
23,98.94,100,97
24,98.88,100,97
25,98.76,100,96
26,98.9,100,96
27,98.96,100,97
28,98.96,100,97
29,98.84,100,97
30,98.98,100,97
31,98.92,100,96
32,98.68,100,96
33,98.5,100,94
34,98.48,100,95
35,98.26,100,95
36,98.28,100,95
37,98.28,100,95
38,98.1,100,95
39,98.24,100,95
40,98.5,100,95
41,98.3,100,95
42,98.64,100,95
43,98.7,100,95
44,98.58,100,95
45,98.62,100,95
46,98.54,100,95
47,98.44,100,95
48,98.68,100,96
49,98.6,100,96
50,98.44,100,96
51,98.4,100,94
52,98.74,100,96
53,98.78,100,96
54,98.62,100,96
55,98.86,100,96
56,98.9,100,96
57,98.76,100,96
58,99.0,100,96
59,98.88,100,96
60,98.66,100,95
61,98.16,100,94
62,98.34,100,94
63,98.18,100,94
64,98.08,100,94
65,98.36,100,94
66,98.14,100,94
67,98.12,100,94
68,98.22,100,94
69,97.92,100,94
70,97.6,100,94
71,97.66,100,94
72,97.98,100,94
73,98.02,100,94
74,97.96,100,95
75,98.0,100,94
76,97.86,100,94
77,98.06,100,94
78,97.8,100,93
79,97.94,100,93
80,98.18,100,94
81,98.48,100,94
82,98.5,100,94
83,98.48,100,94
84,98.94,100,94
85,98.78,100,94
86,98.36,100,93
87,98.26,100,93
88,97.84,100,93
89,97.7,100,92
90,97.66,100,93
91,98.0,100,93
92,98.1,100,93
93,98.26,100,93
94,98.14,100,93
95,97.44,100,93
96,97.48,100,92
97,97.26,100,92
98,97.34,100,92
99,96.74,100,92
100,96.98,100,92
101,97.14,100,92
102,97.32,100,92
103,97.3,100,92
104,97.26,100,91
105,96.84,100,91
106,97.26,100,91
107,97.1,100,91
108,96.72,100,90
109,96.4,100,90
110,96.18,100,90
111,96.18,100,90
112,96.94,100,91
113,96.66,100,91
114,96.86,100,91
115,96.46,100,89
116,96.58,100,89
117,96.66,100,89
118,96.68,100,89
119,96.94,100,89
120,97.22,100,89
121,96.86,100,89
122,96.84,100,92
123,97.0,100,92
124,96.8,100,92
125,96.78,100,93
126,96.98,100,93
127,96.48,100,91
128,96.62,100,91
129,96.52,100,91
130,96.66,100,91
131,96.62,100,91
132,97.12,100,91
133,97.3,100,91
134,97.12,100,91
135,96.84,100,91
136,96.36,100,91
137,96.44,100,91
138,96.24,100,91
139,96.38,100,91
140,96.04,100,91
141,95.9,100,91
142,95.72,100,93
143,95.56,100,93
144,95.64,100,93
145,95.66,100,93
146,95.24,99,93
147,95.26,99,92
148,94.94,99,92
149,95.14,99,92
150,94.9,99,92
151,94.84,99,89
152,94.12,98,90
153,94.0,98,90
154,93.98,98,90
155,94.0,98,90
156,93.9,98,90
157,93.92,98,90
158,94.12,98,90
159,94.16,98,90
160,93.88,98,92
161,93.84,98,91
162,93.22,97,90
163,93.06,96,90
164,92.86,96,88
165,92.9,96,88
166,92.82,96,88
167,92.9,95,88
168,93.02,95,88
169,93.32,95,91
170,93.14,95,90
171,92.98,95,90
172,92.78,95,90
173,92.56,95,89
174,92.6,95,89
175,92.64,95,89
176,92.68,95,88
177,92.68,95,89
178,93.02,95,90
179,93.12,95,90
180,93.38,95,91
181,93.44,95,91
182,93.68,95,91
183,93.38,96,89
184,93.24,95,89
185,93.38,95,89
186,93.56,96,89
187,93.58,96,90
188,93.52,96,90
189,93.54,95,90
190,93.48,95,90
191,93.48,95,90
192,93.22,95,90
193,93.24,95,90
194,93.18,95,90
195,92.86,95,90
196,93.04,96,90
197,92.94,96,90
198,92.94,96,90
199,92.7,96,90
200,92.8,96,90
