Generation,Average_Fitness,Worst_Fit,Best_Fit
1,983.2332785549884,1071.882352867412,808.2351774079624
2,972.5510663093787,1071.882352867412,795.4256768089051
3,953.539355884063,1073.8757632335057,672.4962950594005
4,958.1775387190881,1073.8757632335057,672.4962950594005
5,948.5557039565809,1073.8757632335057,636.1765761877712
6,923.0329577920763,1081.3999798586633,619.054391095169
7,923.7430040834868,1081.3999798586633,636.1765761877712
8,934.4988074562257,1081.3999798586633,650.6022045896526
9,923.035832942229,1081.3999798586633,643.9461810201537
10,922.4648273555742,1081.3999798586633,615.0766205547071
11,888.5313813386014,1081.3999798586633,573.4799013462564
12,883.7492289804163,1081.3999798586633,573.4799013462564
13,872.7314418101527,1081.3999798586633,573.4799013462564
14,864.5852486860828,1081.3999798586633,573.4799013462564
15,871.414251689971,1081.3999798586633,658.9077976023736
16,882.0890065210012,1081.3999798586633,665.701325149285
17,856.5257893585277,1066.3026561495733,619.5386289316401
18,845.7379967642847,1045.853620128529,565.8196132072385
19,830.1101330185542,1050.7420574070375,565.8196132072385
20,822.3608872510564,1050.7420574070375,542.665123133892
21,816.0423407683901,1050.7420574070375,542.665123133892
22,804.3638935535283,1050.7420574070375,542.665123133892
23,789.6410444982253,1050.7420574070375,543.7293044906197
24,779.8169103072095,1050.7420574070375,543.7293044906197
25,784.2209878467247,1050.7420574070375,543.7293044906197
26,777.9762263182184,1016.1976861700381,534.626858493727
27,770.8227198392735,1013.9142733745094,491.38715383429934
28,818.7008289884121,1035.2694502957722,491.38715383429934
29,808.1865418485266,1035.2694502957722,491.38715383429934
30,801.5270801790598,1035.2694502957722,491.38715383429934
31,815.4314644894383,1099.159642011021,491.38144342659564
32,799.6541846612694,1099.159642011021,491.38144342659564
33,784.0521866037545,1099.159642011021,491.38715383429934
34,761.5357928564397,1062.529565276753,509.80449163419735
35,752.1675873533982,1035.2694502957722,509.80449163419735
36,759.3282637440316,1035.2694502957722,509.80449163419735
37,780.4643217525771,1035.2694502957722,509.80449163419735
38,797.6567603112738,1035.2694502957722,566.9045055915483
39,796.5675354563926,1035.2694502957722,497.9648907261629
40,788.4764921207227,1035.2694502957722,486.893273306511
41,786.2628873280113,1035.2694502957722,486.893273306511
42,771.7695307289472,1010.5438300471333,486.893273306511
43,760.6181239738187,1010.5438300471333,462.0087774650984
44,758.1877179432004,1010.5438300471333,462.0087774650984
45,747.2603199618148,1010.5438300471333,462.0087774650984
