Generation,Average_Fitness,Worst_Fit,Best_Fit
1,498.2594433058603,555.1808467820591,360.5318817040688
2,495.047681072973,555.1808467820591,360.5318817040688
3,483.3419486061073,550.2220402685942,360.5318817040688
4,475.53195828452465,550.2220402685942,290.56113114424875
5,463.53433447961646,550.0915133952863,290.56113114424875
6,458.38267166995286,569.9737509254256,290.56113114424875
7,445.74310487546245,541.203863499648,290.56113114424875
8,439.6528972896213,541.203863499648,290.56113114424875
9,433.16144177491543,541.203863499648,290.56113114424875
10,422.37895637137956,541.203863499648,230.703805149545
11,424.88407452321684,541.203863499648,230.703805149545
12,410.79759470460175,541.203863499648,207.70045461880977
13,405.9897070827724,541.203863499648,207.70045461880977
14,392.00621981884046,541.203863499648,207.70045461880977
15,382.46974189114985,518.8398654685774,207.70045461880977
16,375.8487310198872,518.8398654685774,207.70045461880977
17,367.90199355405247,518.8398654685774,207.70045461880977
18,370.580450863389,518.8398654685774,219.22752776351635
19,375.22014798365325,518.8398654685774,239.36298270436873
20,371.9279435036044,518.8398654685774,233.71173142350438
21,368.3944555915079,518.8398654685774,233.71173142350438
22,360.32247843017467,518.8398654685774,175.137755180901
23,369.480071854377,518.8398654685774,175.137755180901
24,369.66507703770725,514.7640890990554,233.71173142350438
25,357.9386596300192,514.7640890990554,220.03313876432918
26,355.50617317047215,505.3711442376296,218.08832875876817
27,347.5195528021332,505.3711442376296,209.54674960614966
28,351.79596899432363,505.3711442376296,209.54674960614966
29,339.2842817575786,505.3711442376296,209.54674960614966
30,338.15056520417255,505.3711442376296,193.36450012418968
31,331.75690631843645,505.3711442376296,193.36450012418968
32,329.66522579423787,505.3711442376296,193.36450012418968
33,321.94902857155034,505.3711442376296,177.15823368133263
34,320.5003894446535,505.3711442376296,177.15823368133263
35,319.21289650067877,505.3711442376296,177.15823368133263
36,317.94682471859863,505.3711442376296,198.66799023022983
37,309.03075204641203,431.7019785117784,194.69890220941517
38,311.03585115053124,431.7019785117784,194.69890220941517
39,306.41115445906036,431.7019785117784,194.69890220941517
40,302.837315769008,431.7019785117784,171.19024129393634
41,298.0680656917906,431.7019785117784,164.44426042753125
42,301.55631773960255,431.7019785117784,171.19024129393634
43,296.37813299801326,431.7019785117784,161.73616969351298
44,297.973037769372,431.7019785117784,170.32641670885764
45,298.0910844978318,431.7019785117784,170.32641670885764
46,296.4782616112711,431.7019785117784,157.11135887972034
47,286.9721425151581,431.7019785117784,157.11135887972034
48,286.7135522545693,431.7019785117784,193.05544495049313
49,280.9887931941091,431.7019785117784,193.05544495049313
50,281.77472148242043,431.7019785117784,193.05544495049313
51,276.44571457726454,431.7019785117784,176.39288685049326
52,270.059563733847,431.7019785117784,176.39288685049326
53,267.38079614801154,431.7019785117784,172.03973021730056
54,271.15494097727884,431.7019785117784,172.03973021730056
55,273.91222589499574,431.7019785117784,182.50627361673722
56,267.91822635334256,411.1181692645817,182.45772300992314
57,263.96952978019806,411.1181692645817,182.45772300992314
58,258.0646005054084,411.1181692645817,162.004844206527
59,253.9007439281782,411.1181692645817,162.004844206527
60,242.9757358919238,372.5954090724059,162.004844206527
61,243.1326997001332,372.5954090724059,162.004844206527
62,233.09663158671458,372.5954090724059,161.28905831369985
63,228.84341637466073,363.3003479204009,146.88191214609202
64,224.53158226514552,363.3003479204009,146.88191214609202
65,225.67981202476088,363.3003479204009,146.88191214609202
66,220.42942153700145,363.3003479204009,146.88191214609202
67,215.85926839304506,363.3003479204009,142.37216118006174
68,210.83033304888556,363.3003479204009,142.37216118006174
69,205.89480394867317,363.3003479204009,142.37216118006174
70,199.27561856679074,363.3003479204009,137.46936853738345
71,194.829984381488,363.3003479204009,129.803284656746
72,197.21829184228426,363.3003479204009,117.65984438330821
73,205.40410558320346,363.3003479204009,117.65984438330821
74,212.06427122530403,363.3003479204009,117.65984438330821
75,205.50065644776333,363.3003479204009,117.65984438330821
76,200.57478574826658,363.3003479204009,117.65984438330821
77,206.5031767002333,363.3003479204009,117.65984438330821
78,203.39544623390117,295.6421463287838,117.65984438330821
79,202.71817173220305,295.6421463287838,117.65984438330821
80,207.12068014665851,310.49106447825517,117.65984438330821
81,207.27496522942454,310.49106447825517,117.65984438330821
82,207.7684315545328,310.49106447825517,117.65984438330821
83,208.54473398319325,310.49106447825517,117.65984438330821
84,204.20361139046483,310.49106447825517,117.65984438330821
85,203.19466170954004,310.49106447825517,117.65984438330821
86,205.66904139226997,310.49106447825517,117.65984438330821
87,207.67109100163103,310.49106447825517,151.98249643205844
88,207.67766125039114,310.49106447825517,141.66370536788952
89,205.99403889953143,310.49106447825517,141.66370536788952
90,208.84364107738193,310.49106447825517,141.66370536788952
91,206.14821479066492,310.49106447825517,126.11928481279996
92,204.59623834166024,310.49106447825517,126.11928481279996
93,202.8629839743602,310.49106447825517,126.11928481279996
94,197.50496061891394,310.49106447825517,126.11928481279996
95,197.01134905456925,310.49106447825517,127.57128161540443
96,196.99647437011973,310.49106447825517,127.57128161540443
97,191.36486485026765,310.49106447825517,127.57128161540443
98,187.33856592425624,310.49106447825517,127.57128161540443
99,187.06441555938207,310.49106447825517,127.57128161540443
100,187.1224210462502,310.49106447825517,135.7536696837222
101,183.9907574676676,310.49106447825517,135.7536696837222
102,182.3811534353425,310.49106447825517,113.56063515553082
103,182.64990683195788,310.49106447825517,113.56063515553082
104,180.68875767498386,310.49106447825517,113.56063515553082
105,178.06045198470417,246.0294470618392,113.56063515553082
106,176.9669758488182,246.0294470618392,113.56063515553082
107,175.33458176486513,246.0294470618392,113.56063515553082
108,175.26111989083017,237.19463070664025,113.56063515553082
109,174.1052193723478,237.19463070664025,108.94915347924334
110,175.20990541232936,237.19463070664025,108.94915347924334
111,176.69883503061865,237.19463070664025,124.16859603405075
112,175.1003326646714,237.19463070664025,124.16859603405075
113,174.67145364397663,237.19463070664025,124.16859603405075
114,172.61761227306502,237.19463070664025,106.55843429648147
115,176.23351485243023,237.19463070664025,106.55843429648147
116,178.37804691025744,237.19463070664025,125.41167594436791
117,176.89171324587457,237.19463070664025,125.41167594436791
118,175.39514140129464,237.19463070664025,125.41167594436791
119,175.80311489899998,237.19463070664025,125.41167594436791
120,175.73756086778826,237.19463070664025,125.41167594436791
121,173.26115314958628,237.19463070664025,125.41167594436791
122,172.72246470197868,237.19463070664025,125.41167594436791
123,173.31442072958842,237.19463070664025,125.41167594436791
124,169.68521480017063,223.21169335007292,125.41167594436791
125,165.21004662047085,223.21169335007292,125.41167594436791
126,166.1066556341079,223.21169335007292,125.41167594436791
127,165.051969612837,223.21169335007292,119.29921783372893
128,162.9896682914674,223.21169335007292,121.33683673081231
129,161.940312306838,223.21169335007292,121.33683673081231
130,160.30364197473546,212.8709442488061,124.15133939047648
131,159.51704559848434,212.8709442488061,124.15133939047648
132,159.56597603093815,212.8709442488061,116.00197135067647
133,158.75405955258904,212.8709442488061,107.24744893100251
134,156.37949074238097,212.8709442488061,107.24744893100251
135,155.50782934820174,200.9184829828017,107.24744893100251
136,153.9964705023091,200.9184829828017,107.24744893100251
137,155.39602582399323,200.9184829828017,115.53233288492154
138,154.0896048222884,200.9184829828017,106.16131895742858
139,155.681304170584,200.9184829828017,106.16131895742858
140,155.40422041080402,200.9184829828017,106.16131895742858
141,155.98923723056478,200.9184829828017,106.16131895742858
142,151.95187315392877,200.9184829828017,106.16131895742858
143,153.4914071720503,200.9184829828017,106.16131895742858
144,151.47584589975497,200.9184829828017,106.16131895742858
145,149.65847560363872,200.9184829828017,106.16131895742858
146,146.11651527189952,200.9184829828017,112.9022715045474
147,143.12315576329826,200.9184829828017,112.9022715045474
148,139.4355795387775,186.7140238153038,109.77621908566896
149,139.80886101246438,186.7140238153038,109.77621908566896
150,138.07933054746738,186.7140238153038,109.77621908566896
151,138.15164243836148,186.7140238153038,99.35525560099993
152,137.93947574326012,186.7140238153038,99.35525560099993
153,140.32737589167888,186.7140238153038,99.35525560099993
154,139.4698804908823,183.70972368673074,99.35525560099993
155,140.64025173289397,183.70972368673074,99.35525560099993
156,141.72477454689607,183.70972368673074,99.35525560099993
157,141.32187274500194,183.70972368673074,99.35525560099993
158,143.40355299250115,183.70972368673074,108.29748835567383
159,141.7011418849128,172.5874405412328,100.56533051076066
160,140.72538168625795,172.5874405412328,100.56533051076066
161,140.7680332670171,172.5874405412328,104.14087407775497
162,139.91984740127052,172.5874405412328,104.14087407775497
163,139.67985100711553,172.5874405412328,104.14087407775497
164,138.23108097432777,172.5874405412328,104.14087407775497
165,136.95124871551624,172.5874405412328,104.14087407775497
166,139.89242863543961,172.5874405412328,113.74165645158463
167,140.1267956429872,172.5874405412328,113.74165645158463
168,138.63327241009875,172.5874405412328,102.0311548975056
169,138.83898640991168,172.5874405412328,113.74165645158463
170,139.6085500199012,177.67365126677143,110.41879044294845
171,137.9608196129355,177.67365126677143,110.41879044294845
172,137.72555555057912,177.67365126677143,110.41879044294845
173,137.72937491391974,177.67365126677143,110.41879044294845
174,135.12989459216263,177.67365126677143,110.41879044294845
175,132.94061502306138,177.67365126677143,109.52784174197429
176,131.24562557986965,177.67365126677143,103.82309891213812
177,127.15387908292851,169.26258865152735,92.70518189303816
178,126.93692048733509,169.26258865152735,92.70518189303816
179,126.15391984981197,169.26258865152735,92.70518189303816
180,127.24605251710764,169.26258865152735,107.46413442568189
181,126.77159047238631,169.26258865152735,110.41879044294845
182,125.76043897603988,169.26258865152735,110.41879044294845
183,125.23000363238297,169.26258865152735,110.41879044294845
184,124.3060030280372,169.26258865152735,102.61995619317219
185,124.7748016334451,145.12089532565307,102.61995619317219
186,125.94868751319056,154.49184483563587,102.61995619317219
187,126.53718320103988,154.49184483563587,102.61995619317219
188,126.3688180448039,149.49184483563587,102.61995619317219
189,125.85176438477534,149.49184483563587,102.61995619317219
190,125.04633241151177,149.49184483563587,105.16124971662886
191,123.6553620997325,140.19375902759478,105.16124971662886
192,123.0596538591934,140.19375902759478,89.75663825862831
193,123.10119481725141,144.2752571186211,89.75663825862831
194,124.37879450602699,155.94085317021046,82.59713992772883
195,123.54840100618074,155.94085317021046,82.59713992772883
196,123.50943402614786,155.94085317021046,82.59713992772883
197,125.92689726203315,155.94085317021046,95.15874158221412
198,126.24665757729309,155.94085317021046,95.15874158221412
199,128.1352954791148,182.15626613552422,95.15874158221412
200,126.60009448669695,182.15626613552422,95.15874158221412
