Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.96,100,96
2,99.0,100,96
3,98.78,100,95
4,98.72,100,96
5,98.74,100,96
6,98.84,100,96
7,98.96,100,96
8,98.76,100,94
9,98.58,100,94
10,98.56,100,94
11,98.54,100,94
12,98.42,100,94
13,98.4,100,94
14,98.2,100,94
15,98.18,100,94
16,98.08,100,94
17,98.18,100,94
18,98.12,100,94
19,98.14,100,94
20,97.86,100,94
21,97.58,100,92
22,97.62,100,92
23,97.56,100,92
24,97.56,100,92
25,97.3,100,92
26,97.46,100,92
27,97.58,100,92
28,97.64,100,92
29,97.62,100,92
30,97.58,100,92
31,97.42,100,92
32,97.12,100,92
33,96.58,100,92
34,96.5,100,92
35,96.88,100,92
36,96.86,100,92
37,96.88,100,92
38,96.78,100,91
39,96.92,100,92
40,96.96,100,92
41,97.02,100,92
42,97.02,100,91
43,96.84,100,91
44,96.88,100,91
45,96.9,100,91
46,96.82,100,91
47,96.98,100,91
48,96.78,100,91
49,96.62,100,90
50,96.42,100,90
51,96.46,100,90
52,96.26,100,90
53,96.4,100,90
54,96.14,100,90
55,95.92,100,90
56,95.4,100,85
57,95.64,100,85
58,95.64,100,90
59,95.88,100,91
60,95.96,100,91
61,96.08,100,91
62,96.44,100,91
63,96.26,100,91
64,96.32,100,91
65,96.44,100,91
66,96.12,100,89
67,96.48,100,89
68,96.5,100,89
69,96.86,100,89
70,96.92,100,93
71,96.86,100,93
72,97.28,100,93
73,96.88,100,91
74,96.56,100,91
75,96.62,100,91
76,96.82,100,91
77,96.76,100,91
78,96.78,100,90
79,96.68,100,90
80,96.6,100,90
81,96.9,100,93
82,96.82,100,93
83,96.42,100,90
84,96.22,100,90
85,96.46,100,90
86,96.04,100,90
87,95.94,100,90
88,96.14,100,90
89,96.12,99,90
90,96.34,99,90
91,96.24,99,90
92,96.46,99,90
93,96.56,99,90
94,96.44,99,90
95,96.3,99,92
96,96.44,99,92
97,96.42,99,92
98,96.24,99,90
99,96.16,99,90
100,96.18,99,90
101,96.12,99,90
102,96.04,99,90
103,95.96,100,90
104,95.54,100,90
105,95.82,100,90
106,95.72,100,90
107,94.86,100,89
108,94.8,100,89
109,94.94,100,89
110,95.2,100,89
111,95.4,100,89
112,95.2,100,89
113,95.06,100,88
114,94.7,100,88
115,95.0,100,88
116,95.18,100,88
117,94.92,100,88
118,94.6,100,82
119,94.34,100,82
120,94.26,100,82
121,94.2,100,82
122,94.12,100,82
123,93.34,100,78
124,93.26,100,78
125,92.88,100,78
126,93.12,100,80
127,93.14,100,80
128,93.54,100,88
129,93.4,100,88
130,92.76,100,86
131,92.54,100,86
132,92.32,99,86
133,92.26,97,86
134,92.08,97,86
135,91.88,96,86
136,92.18,96,86
137,92.54,96,87
138,92.2,96,87
139,92.16,98,86
140,92.16,98,86
141,92.32,98,86
142,92.24,98,86
143,92.2,98,86
144,92.14,98,86
145,92.16,97,86
146,92.1,97,86
147,91.94,97,86
148,92.04,97,86
149,91.74,96,86
150,91.9,98,86
151,91.82,98,86
152,91.44,96,84
153,91.56,96,86
154,91.38,96,83
155,91.26,96,83
156,91.22,96,83
157,91.06,95,83
158,90.88,95,83
159,90.54,95,85
160,90.76,97,85
161,90.96,95,85
162,90.98,95,85
163,90.42,95,85
164,90.22,95,85
165,90.2,94,85
166,89.84,94,85
167,90.08,96,85
168,89.82,96,83
169,90.06,96,85
170,90.34,96,85
171,90.48,96,85
172,90.42,96,85
173,90.34,96,83
174,90.52,96,83
175,90.58,96,81
176,90.56,96,81
177,90.52,96,81
178,90.56,95,83
179,90.58,97,84
180,90.32,95,85
181,90.14,95,86
182,90.42,95,86
183,90.48,95,86
184,90.16,95,84
185,89.9,94,84
186,89.54,94,82
187,89.46,94,82
188,89.4,94,82
189,89.22,94,82
190,89.0,94,82
191,88.66,94,82
192,88.96,94,82
193,88.66,94,80
194,88.74,94,80
195,88.7,94,80
196,88.38,94,80
197,88.14,94,80
198,88.3,94,81
199,88.16,94,81
200,87.96,94,81
