Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.34,100,94
2,97.38,100,94
3,96.42,99,94
4,95.36,98,92
5,94.42,97,90
6,93.72,97,90
7,93.06,97,90
8,92.04,95,91
9,91.06,93,88
10,90.5,93,86
11,90.02,92,86
12,89.3,91,86
13,87.58,91,85
14,86.58,90,82
15,85.5,89,80
16,84.12,87,80
17,83.38,87,79
18,81.68,85,78
19,80.96,85,78
20,80.3,83,78
21,79.18,81,77
22,78.1,80,74
23,77.42,79,74
24,76.6,78,73
25,75.7,78,73
26,75.36,77,73
27,74.56,77,72
28,73.9,77,72
29,73.24,75,71
30,72.52,74,70
31,71.9,74,69
32,71.0,75,68
33,69.78,72,67
34,69.06,71,66
35,67.96,70,65
36,67.08,70,65
37,66.5,70,63
38,65.2,67,63
39,63.98,66,62
40,63.46,66,62
41,62.92,65,62
42,62.56,63,60
43,62.2,63,60
44,61.86,63,60
45,61.7,63,60
46,61.46,62,60
47,60.9,62,60
48,60.16,61,58
49,59.62,61,58
50,59.26,61,58
51,58.9,60,58
52,58.58,59,58
53,58.26,59,58
54,58.04,59,58
55,58.0,58,58
56,57.96,58,57
57,57.94,58,57
58,57.92,58,57
59,57.82,58,57
60,57.54,58,57
61,57.18,58,57
62,57.04,58,57
63,57.02,58,57
64,57.0,57,57
65,57.0,57,57
66,57.0,57,57
67,57.0,57,57
68,57.0,57,57
69,57.0,57,57
70,57.0,57,57
71,57.0,57,57
72,57.0,57,57
73,57.0,57,57
74,57.0,57,57
75,57.0,57,57
76,57.0,57,57
77,57.0,57,57
78,57.0,57,57
79,57.0,57,57
80,57.0,57,57
81,57.0,57,57
82,57.0,57,57
83,57.0,57,57
84,57.0,57,57
85,57.0,57,57
86,57.0,57,57
87,57.0,57,57
88,57.0,57,57
89,57.0,57,57
90,57.0,57,57
91,57.0,57,57
92,57.0,57,57
93,57.0,57,57
94,57.0,57,57
95,57.0,57,57
96,57.0,57,57
97,57.0,57,57
98,57.0,57,57
99,57.0,57,57
100,57.0,57,57
101,57.0,57,57
102,57.0,57,57
103,57.0,57,57
104,57.0,57,57
105,57.0,57,57
106,57.0,57,57
107,57.0,57,57
108,57.0,57,57
109,57.0,57,57
110,57.0,57,57
111,57.0,57,57
112,57.0,57,57
113,57.0,57,57
114,57.0,57,57
115,57.0,57,57
116,57.0,57,57
117,57.0,57,57
118,57.0,57,57
119,57.0,57,57
120,57.0,57,57
121,57.0,57,57
122,57.0,57,57
123,57.0,57,57
124,57.0,57,57
125,57.0,57,57
126,57.0,57,57
127,57.0,57,57
128,57.0,57,57
129,57.0,57,57
130,57.0,57,57
131,57.0,57,57
132,57.0,57,57
133,57.0,57,57
134,57.0,57,57
135,57.0,57,57
136,57.0,57,57
137,57.0,57,57
138,57.0,57,57
139,57.0,57,57
140,57.0,57,57
141,57.0,57,57
142,57.0,57,57
143,57.0,57,57
144,57.0,57,57
145,57.0,57,57
146,57.0,57,57
147,57.0,57,57
148,57.0,57,57
149,57.0,57,57
150,57.0,57,57
151,57.0,57,57
152,57.0,57,57
153,57.0,57,57
154,57.0,57,57
155,57.0,57,57
156,57.0,57,57
157,57.0,57,57
158,57.0,57,57
159,57.0,57,57
160,57.0,57,57
161,57.0,57,57
162,57.0,57,57
163,57.0,57,57
164,57.0,57,57
165,57.0,57,57
166,57.0,57,57
167,57.0,57,57
168,57.0,57,57
169,57.0,57,57
170,57.0,57,57
171,57.0,57,57
172,57.0,57,57
173,57.0,57,57
174,57.0,57,57
175,57.0,57,57
176,57.0,57,57
177,57.0,57,57
178,57.0,57,57
179,57.0,57,57
180,57.0,57,57
181,57.0,57,57
182,57.0,57,57
183,57.0,57,57
184,57.0,57,57
185,57.0,57,57
186,57.0,57,57
187,57.0,57,57
188,57.0,57,57
189,57.0,57,57
190,57.0,57,57
191,57.0,57,57
192,57.0,57,57
193,57.0,57,57
194,57.0,57,57
195,57.0,57,57
196,57.0,57,57
197,57.0,57,57
198,57.0,57,57
199,57.0,57,57
200,57.0,57,57
