Generation,Average_Fitness,Worst_Fit,Best_Fit
1,957.3183695187857,1057.6431937830898,830.5856178829496
2,895.2419754695719,1019.8471519751425,754.750177874889
3,829.6303638463288,1001.0698102091196,657.3079170838769
4,759.8186292326005,922.4965922654088,611.8702168391069
5,709.3235710787253,812.8229791797914,565.6097924636467
6,655.0514786607555,767.7254684709642,520.3572651919063
7,604.5571914459008,712.8994198420176,493.64758815813985
8,549.4405435694327,676.391426686942,456.18122891316546
9,496.90100277305055,632.678774126318,407.7442530171432
10,444.49796935240795,593.5611309863776,362.94817410160556
11,406.21530879612374,493.19221920700875,350.11943081738883
12,385.2405769739698,443.59819742887015,346.6280111895066
13,365.87540055144194,439.0394097013974,330.5136009126126
14,346.97390641829514,390.4545146197804,319.96406568261864
15,336.78782012690846,364.4974466242861,319.7981878248205
16,329.6767768215912,353.7270533696333,308.35786605796125
17,321.6534637899133,340.3399462584244,305.3786750716959
18,315.8955941865987,334.77126563164694,295.5351568104116
19,307.99002276934164,330.5136009126126,294.49504058516425
20,301.4140146224488,313.4816705109249,291.2958886307716
21,297.12700687822326,310.92160453936395,283.1883877317285
22,293.1922153995987,305.3786750716959,283.1883877317285
23,290.90448954971157,303.1480485074532,283.1883877317285
24,287.909577573992,295.5351568104116,278.6684005915544
25,285.1511228941409,292.01715216500713,278.6684005915544
26,281.65867850939446,291.9549377638808,278.6684005915544
27,279.1735469509974,287.44818657785214,270.36028693681504
28,277.79913749462753,282.2488178700857,270.36028693681504
29,275.50168820584133,279.7275856441047,270.36028693681504
30,273.04058534552047,278.8621526122566,270.36028693681504
31,271.1358556594013,275.65512555427426,269.29306470488143
32,270.1254980457897,270.36028693681504,269.29306470488143
33,269.93339804404167,270.36028693681504,269.29306470488143
34,269.82667582084827,270.36028693681504,269.29306470488143
35,269.6665442443084,270.36028693681504,269.02505310315183
36,269.31967289805505,270.36028693681504,269.02505310315183
37,269.2716237767432,269.29306470488143,269.02505310315183
38,269.2716237767431,269.29306470488143,269.02505310315183
39,269.2394623845356,269.29306470488143,269.02505310315183
40,269.21802145639725,269.29306470488143,269.02505310315183
41,269.1644191360513,269.29306470488143,269.02505310315183
42,269.142978207913,269.29306470488143,269.02505310315183
43,269.08401565553254,269.29306470488143,269.02505310315183
44,269.04649403129037,269.29306470488143,269.02505310315183
45,269.0357735672212,269.29306470488143,269.02505310315183
46,269.025053103152,269.02505310315183,269.02505310315183
47,269.025053103152,269.02505310315183,269.02505310315183
48,269.025053103152,269.02505310315183,269.02505310315183
49,269.025053103152,269.02505310315183,269.02505310315183
50,269.025053103152,269.02505310315183,269.02505310315183
51,269.025053103152,269.02505310315183,269.02505310315183
52,269.025053103152,269.02505310315183,269.02505310315183
53,269.025053103152,269.02505310315183,269.02505310315183
54,269.025053103152,269.02505310315183,269.02505310315183
55,269.025053103152,269.02505310315183,269.02505310315183
56,269.025053103152,269.02505310315183,269.02505310315183
57,269.025053103152,269.02505310315183,269.02505310315183
58,269.025053103152,269.02505310315183,269.02505310315183
59,269.025053103152,269.02505310315183,269.02505310315183
60,269.025053103152,269.02505310315183,269.02505310315183
61,269.025053103152,269.02505310315183,269.02505310315183
62,269.025053103152,269.02505310315183,269.02505310315183
63,269.025053103152,269.02505310315183,269.02505310315183
64,269.025053103152,269.02505310315183,269.02505310315183
65,269.025053103152,269.02505310315183,269.02505310315183
66,269.025053103152,269.02505310315183,269.02505310315183
67,269.025053103152,269.02505310315183,269.02505310315183
68,269.025053103152,269.02505310315183,269.02505310315183
69,269.025053103152,269.02505310315183,269.02505310315183
70,269.025053103152,269.02505310315183,269.02505310315183
71,269.025053103152,269.02505310315183,269.02505310315183
72,269.025053103152,269.02505310315183,269.02505310315183
73,269.025053103152,269.02505310315183,269.02505310315183
74,269.025053103152,269.02505310315183,269.02505310315183
75,269.025053103152,269.02505310315183,269.02505310315183
76,269.025053103152,269.02505310315183,269.02505310315183
77,269.025053103152,269.02505310315183,269.02505310315183
78,269.025053103152,269.02505310315183,269.02505310315183
79,269.025053103152,269.02505310315183,269.02505310315183
80,269.025053103152,269.02505310315183,269.02505310315183
81,269.025053103152,269.02505310315183,269.02505310315183
82,269.025053103152,269.02505310315183,269.02505310315183
83,269.025053103152,269.02505310315183,269.02505310315183
84,269.025053103152,269.02505310315183,269.02505310315183
85,269.025053103152,269.02505310315183,269.02505310315183
