Generation,Average_Fitness,Worst_Fit,Best_Fit
1,958.7463625177575,1019.5793185356912,815.562110153704
2,911.1280287382486,995.329849918368,701.7599117392815
3,839.6505858968054,960.225892062653,683.8234042270828
4,778.7770307877101,868.4842513328574,624.6850179095966
5,730.3892979105298,825.0029433289687,601.5329951534975
6,670.3067211032221,750.99922895161,540.5890148373558
7,628.5785065925586,702.8346003972658,516.2311181766385
8,574.122980849879,647.1279248923217,474.58964781884185
9,533.862923524138,595.8942338765544,451.421125417271
10,502.7223734665638,556.0070788927321,404.65953070243273
11,469.16484575584036,516.2311181766385,394.06272561908406
12,443.9231776669924,489.01509828921877,386.34099253059037
13,415.57929396995047,458.9777891520823,343.2720710681024
14,393.83453453275166,425.62131372476017,332.1156494724433
15,376.6249656419539,405.0938201582077,331.3816466769174
16,362.6172417448348,387.8811252716458,330.2092555085124
17,351.5650375291714,369.6834543295384,322.8429768137212
18,340.2651804247833,357.4522228598794,318.9234827589298
19,330.25201489807216,344.6977263129782,309.1955554887953
20,322.0733040317922,333.4162275374033,304.2356048083039
21,315.144880492854,326.1900933906978,284.1619052311392
22,307.9117410194326,320.49347599340524,279.7323003417868
23,301.8294043942699,311.738293063472,279.7323003417868
24,295.62795559660736,305.4526903556961,275.4407946426172
25,290.1068208338245,298.6779301995473,273.2040530977803
26,284.66783314222806,294.46826055577475,271.27518467852354
27,279.53069446988223,286.5070604979357,269.3715153184963
28,276.48364038508737,284.1619052311392,269.3715153184963
29,274.4067475322045,279.81762792523114,269.3715153184963
30,272.97801215353365,275.4407946426172,266.9138696037135
31,270.8403522188811,275.4407946426172,265.07968644381145
32,268.9394916720592,271.27518467852354,265.01020024368626
33,267.63011760776385,269.98000164825845,264.90816663998834
34,267.1420318132575,269.3715153184963,264.87189344366976
35,265.9009211713256,267.05217640372996,264.66630377532
36,265.08705598639057,266.63879373523855,264.5968175751948
37,264.91938703487756,265.07968644381145,264.5968175751948
38,264.8644624857236,265.01020024368626,264.5968175751948
39,264.7987828193246,265.01020024368626,264.5968175751948
40,264.75928696106706,264.87189344366976,264.5968175751948
41,264.69786551618387,264.83868043986314,264.5968175751948
42,264.64278489572456,264.7404654518509,264.5968175751948
43,264.6247990743014,264.6709792517257,264.5968175751948
44,264.60515591921006,264.66630377532,264.5968175751948
45,264.59681757519496,264.5968175751948,264.5968175751948
46,264.59681757519496,264.5968175751948,264.5968175751948
47,264.59681757519496,264.5968175751948,264.5968175751948
48,264.59681757519496,264.5968175751948,264.5968175751948
49,264.59681757519496,264.5968175751948,264.5968175751948
50,264.59681757519496,264.5968175751948,264.5968175751948
51,264.59681757519496,264.5968175751948,264.5968175751948
52,264.59681757519496,264.5968175751948,264.5968175751948
53,264.51293126618197,264.5968175751948,260.4025021245431
54,263.9317061937957,264.5968175751948,260.4025021245431
55,263.4323744001875,264.5968175751948,260.4025021245431
56,262.76526998855314,264.5968175751948,260.4025021245431
57,261.9264068984228,264.5968175751948,260.4025021245431
58,260.9237572507364,264.5968175751948,260.4025021245431
59,260.40449515477826,260.5021536362932,260.4025021245431
60,260.4025021245433,260.4025021245431,260.4025021245431
61,260.4025021245433,260.4025021245431,260.4025021245431
62,260.4025021245433,260.4025021245431,260.4025021245431
63,260.4025021245433,260.4025021245431,260.4025021245431
64,260.4025021245433,260.4025021245431,260.4025021245431
65,260.4025021245433,260.4025021245431,260.4025021245431
66,260.4025021245433,260.4025021245431,260.4025021245431
67,260.4025021245433,260.4025021245431,260.4025021245431
68,260.4025021245433,260.4025021245431,260.4025021245431
69,260.4025021245433,260.4025021245431,260.4025021245431
70,260.4025021245433,260.4025021245431,260.4025021245431
71,260.4025021245433,260.4025021245431,260.4025021245431
72,260.4025021245433,260.4025021245431,260.4025021245431
73,260.4025021245433,260.4025021245431,260.4025021245431
74,260.4025021245433,260.4025021245431,260.4025021245431
75,260.4025021245433,260.4025021245431,260.4025021245431
76,260.4025021245433,260.4025021245431,260.4025021245431
77,260.4025021245433,260.4025021245431,260.4025021245431
78,260.4025021245433,260.4025021245431,260.4025021245431
79,260.4025021245433,260.4025021245431,260.4025021245431
80,260.4025021245433,260.4025021245431,260.4025021245431
81,260.4025021245433,260.4025021245431,260.4025021245431
