Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.0,100,97
2,98.7,100,95
3,98.7,100,95
4,98.36,100,95
5,98.3,100,95
6,98.14,100,95
7,97.72,100,94
8,97.64,100,95
9,97.36,100,93
10,97.18,100,93
11,97.02,100,93
12,96.72,100,89
13,96.44,100,89
14,96.18,100,89
15,95.8,100,89
16,95.8,100,89
17,95.66,100,89
18,95.58,100,89
19,95.34,100,89
20,94.84,100,87
21,94.76,100,87
22,94.32,100,86
23,93.28,100,86
24,92.84,100,86
25,92.36,100,86
26,91.96,100,84
27,92.16,100,82
28,91.88,100,82
29,91.62,100,82
30,90.92,98,82
31,90.3,98,82
32,90.0,98,82
33,89.46,98,81
34,89.12,98,81
35,88.88,98,81
36,88.74,98,81
37,88.32,96,80
38,88.06,96,80
39,88.18,96,81
40,87.54,96,80
41,86.82,96,78
42,86.22,96,78
43,86.22,96,78
44,86.02,96,78
45,85.26,96,77
46,85.22,96,78
47,85.22,96,78
48,84.78,96,76
49,84.28,96,78
50,83.98,96,78
51,83.72,96,78
52,83.52,96,78
53,83.28,96,78
54,83.04,96,78
55,82.22,96,75
56,81.98,96,78
57,81.84,96,77
58,81.2,96,77
59,80.34,94,77
60,80.1,89,77
61,80.0,89,77
62,79.96,89,75
63,80.02,89,75
64,79.76,89,75
65,79.78,89,75
66,79.68,85,75
67,79.7,82,76
68,79.58,82,76
69,79.46,82,75
70,79.2,82,75
71,78.88,82,75
72,78.68,82,72
73,78.5,82,74
74,78.18,82,72
75,77.92,82,72
76,77.9,82,72
77,77.82,82,72
78,77.46,82,72
79,77.26,82,72
80,77.02,82,72
81,77.08,82,72
82,76.76,82,72
83,76.24,82,70
84,75.96,82,71
85,75.74,82,72
86,75.44,82,71
87,75.0,82,70
88,75.08,82,70
89,74.82,82,70
90,74.36,82,70
91,74.06,82,70
92,73.92,82,70
93,73.68,82,69
94,73.28,82,68
95,73.1,82,68
96,72.96,82,69
97,72.8,82,69
98,72.52,79,68
99,72.2,79,68
100,71.82,77,70
101,71.6,77,69
102,71.48,77,69
103,70.98,77,68
104,70.9,77,68
105,70.78,77,68
106,70.76,77,68
107,70.54,75,68
108,70.28,75,66
109,70.26,75,66
110,70.14,75,66
111,70.0,72,66
112,69.94,72,66
113,69.88,72,66
114,69.76,72,66
115,69.56,72,66
116,69.4,72,66
117,69.34,72,66
118,69.18,72,65
119,68.8,72,65
120,68.48,72,65
121,68.36,72,65
122,68.04,72,64
123,67.62,72,61
124,67.42,72,61
125,67.24,72,61
126,67.36,72,61
127,66.66,72,60
128,66.52,72,60
129,66.34,72,60
130,66.18,72,60
131,66.04,72,60
132,65.4,71,60
133,65.36,71,62
134,65.08,70,62
135,64.9,70,62
136,64.78,70,60
137,64.78,70,60
138,64.28,70,59
139,63.94,70,59
140,63.38,70,58
141,63.16,70,58
142,62.46,70,58
143,62.16,69,58
144,62.06,69,57
145,61.74,69,57
146,61.54,69,57
147,61.1,69,55
148,61.18,69,55
149,60.88,69,55
150,60.72,69,55
151,60.56,69,55
152,60.2,69,55
153,59.72,69,55
154,59.72,69,55
155,59.32,69,55
156,59.04,69,55
157,58.86,69,55
158,58.66,69,55
159,58.22,69,55
160,58.42,69,55
161,58.38,69,55
162,58.72,69,55
163,58.46,69,55
164,58.32,69,55
165,57.92,69,55
166,57.72,69,55
167,57.84,69,55
168,57.7,69,55
169,57.62,69,55
170,57.28,69,55
171,56.92,68,55
172,56.9,68,55
173,56.78,68,55
174,56.5,68,55
175,56.4,68,55
176,56.24,68,55
177,56.74,68,55
178,56.54,68,55
179,56.24,68,55
180,55.94,68,55
181,55.9,68,55
182,55.86,68,55
183,55.78,68,55
184,55.74,68,55
185,55.56,68,55
186,55.52,68,55
187,55.52,68,55
188,55.46,68,55
189,55.2,59,55
190,55.16,59,55
191,55.16,59,55
192,55.16,59,55
193,55.16,59,55
194,55.16,59,55
195,55.16,59,55
196,55.16,59,55
197,55.16,59,55
198,55.16,59,55
199,55.08,58,55
200,55.08,58,55
