Generation,Average_Fitness,Best_Fit,Worst_Fit
1,993.2609990718024,1089.9122465738062,793.9514785629717
2,981.9167800027357,1089.9122465738062,775.8299204501485
3,964.9383890956385,1062.1908199755685,775.8299204501485
4,949.3928649335535,1062.1908199755685,732.7986189678633
5,913.2581007782766,1062.1908199755685,605.6610044961636
6,887.0106037040208,1062.1908199755685,597.2903382516047
7,852.6873980151312,1062.1908199755685,597.2903382516047
8,834.5392505457114,1062.1908199755685,568.0952331633428
9,796.0188121161202,1062.1908199755685,551.3279342973782
10,775.8881543357472,1062.1908199755685,551.3279342973782
11,762.6796871092035,1062.1908199755685,525.4742734522249
12,728.643251577791,1029.0200647715321,525.4742734522249
13,724.8183704057129,1029.0200647715321,520.8314018803276
14,694.7543081842555,1029.0200647715321,446.31215240181757
15,657.5519988248251,1029.0200647715321,397.7338974143898
16,652.5333207435565,1029.0200647715321,438.07216334788217
17,639.5544821436879,1029.0200647715321,438.07216334788217
18,625.4083681373359,1029.0200647715321,438.07216334788217
19,605.6542875572635,996.2417075521971,439.95213038501237
20,574.3174533313363,964.1905264758306,413.39229630618337
21,549.6240640780438,964.1905264758306,375.7136899996554
22,538.6770561189267,964.1905264758306,375.7136899996554
23,522.60843645752,964.1905264758306,364.70869196247946
24,507.996472199443,964.1905264758306,364.70869196247946
25,497.7873056383229,964.1905264758306,361.34286818178174
26,489.7910288242087,964.1905264758306,361.34286818178174
27,476.3790231173321,964.1905264758306,337.3534449038608
28,473.46641695573913,964.1905264758306,337.3248965662337
29,461.30986981306137,964.1905264758306,337.3248965662337
30,448.1140927729033,964.1905264758306,324.61859553210604
31,436.332642787783,964.1905264758306,321.8213598977743
32,428.7895182622353,964.1905264758306,311.2350268268222
33,440.0410463334962,964.1905264758306,311.2350268268222
34,448.5012670480352,964.1905264758306,311.2350268268222
35,409.5581469420951,923.0811347516025,311.2350268268222
36,400.01060681161135,923.0811347516025,304.91230796190655
37,397.4203882998391,923.0811347516025,302.85606755349977
38,380.6977243151809,839.1380067209656,289.6044109725471
39,378.16154886217805,839.1380067209656,289.6044109725471
40,364.3130433210067,701.4845123619195,289.6044109725471
41,359.3506915724998,623.0423159471195,289.6044109725471
42,355.45562701225384,623.0423159471195,292.51641956693567
43,351.3669183979135,623.0423159471195,292.4694067409533
44,349.21639026440766,623.0423159471195,292.51641956693567
45,339.4373622983087,623.0423159471195,292.51641956693567
46,340.28480073763313,623.0423159471195,290.143529921038
47,337.78919106582407,623.0423159471195,290.143529921038
48,335.41549955860324,623.0423159471195,290.143529921038
49,333.94806753572453,623.0423159471195,290.143529921038
50,331.92428376623246,623.0423159471195,290.143529921038
51,325.11264790360633,458.46511876294204,288.12132460008525
52,322.81163827165767,458.46511876294204,282.4591165213949
53,319.47076819426775,458.46511876294204,290.143529921038
54,319.63055433973915,458.46511876294204,287.54631816572925
55,319.6497963899989,458.46511876294204,287.54631816572925
56,317.78068709098176,458.46511876294204,287.54631816572925
57,315.6355451598292,458.46511876294204,287.54631816572925
58,309.6949878494286,458.46511876294204,287.54631816572925
59,306.29097310322123,458.46511876294204,285.6560467180108
60,309.8600295189245,458.46511876294204,285.6560467180108
61,308.4600829298219,458.46511876294204,284.73933413985776
62,307.43497011653346,458.46511876294204,284.73933413985776
63,303.46339542218357,389.75673607631103,277.839364437944
64,298.95386601760134,382.8584015211804,277.839364437944
65,296.74031469662873,352.61382128140053,278.32875690645744
66,295.72831057868524,352.61382128140053,278.32875690645744
67,293.4661158803043,352.61382128140053,278.32875690645744
68,293.208216356809,352.61382128140053,278.32875690645744
69,293.1115525088407,352.61382128140053,280.38503748260973
70,292.03414485229786,352.61382128140053,280.38503748260973
71,291.7678973440999,352.61382128140053,280.38503748260973
72,290.6885856711919,329.45908088117056,280.17266260255354
73,290.47160030277445,329.45908088117056,280.0165431791823
74,289.5431557944266,329.45908088117056,279.60097959174715
75,289.28325012079745,329.45908088117056,279.60097959174715
76,288.2764429236358,329.45908088117056,279.02738174593236
77,288.25348497642347,329.45908088117056,279.60097959174715
78,287.418347097058,329.45908088117056,279.0131339078345
79,288.0325739577879,329.45908088117056,279.0131339078345
80,287.43968085775754,329.45908088117056,279.60097959174715
81,286.3990783241533,329.45908088117056,279.41153543507573
82,285.95668556055864,329.45908088117056,279.41153543507573
83,286.16150418444226,329.45908088117056,279.41153543507573
84,286.0449527806338,329.45908088117056,279.41153543507573
85,286.00611506677365,329.45908088117056,279.41153543507573
86,286.0273220552353,329.45908088117056,279.41153543507573
87,285.5480629152319,329.45908088117056,279.41153543507573
88,285.8085675918464,329.45908088117056,279.60097959174715
89,285.4304818936607,329.45908088117056,279.166081202724
90,285.1750846911807,329.45908088117056,279.166081202724
91,284.63205475378595,329.45908088117056,279.166081202724
92,284.5361679694581,329.45908088117056,278.7919915233401
93,284.0099032596956,329.45908088117056,278.7919915233401
94,284.01654837747884,329.45908088117056,278.25531694672895
95,282.79624615070384,329.45908088117056,278.25531694672895
96,282.65912533590296,329.45908088117056,278.25531694672895
97,281.50862154472395,290.5151752285421,278.25531694672895
98,281.2616332304492,290.5151752285421,276.32381482040614
99,281.18564202129767,288.45708242172424,276.32381482040614
100,280.78721990464715,288.45708242172424,275.8344223518927
101,280.3244522475294,288.45708242172424,275.47864370663984
102,280.2232596156791,288.45708242172424,275.47864370663984
103,279.6545545618685,288.45708242172424,275.3120049282708
104,279.5045741102469,284.184684064355,275.3120049282708
105,279.37536369062616,284.184684064355,275.3120049282708
106,279.16687753296065,284.184684064355,275.3120049282708
107,279.0654449251343,284.184684064355,275.0698440226647
108,278.84160627469026,284.04111264493514,275.0698440226647
109,278.5450276858773,284.04111264493514,274.8574691426086
110,278.48901856258004,284.04111264493514,274.8574691426086
111,277.8045437020153,284.04111264493514,267.3450283279214
112,277.73183517698004,284.04111264493514,267.3450283279214
113,277.861391677372,284.04111264493514,270.3388433989083
114,278.0640615457505,284.04111264493514,270.3388433989083
115,277.81195442920995,284.04111264493514,270.3388433989083
116,277.87083426406514,284.04111264493514,270.3388433989083
117,277.68766000760553,284.04111264493514,270.3388433989083
118,277.2084669146253,282.9010792963402,270.3388433989083
119,276.81873788563337,282.9010792963402,269.8494509303949
120,276.6516091476592,282.9010792963402,269.8494509303949
121,276.73060921440015,282.9010792963402,269.8494509303949
122,276.6911926389917,282.9010792963402,269.8494509303949
123,276.1096212703985,282.9010792963402,266.1838398582216
124,275.46949351394045,282.9010792963402,266.1838398582216
125,275.03164980124563,281.45910716061593,269.8494509303949
126,275.1613062357228,281.45910716061593,269.8494509303949
127,274.8911917135586,281.45910716061593,269.8494509303949
128,274.81526102334,281.45910716061593,269.8494509303949
129,274.8695875640009,281.45910716061593,270.12646851885216
130,274.13885762375287,281.45910716061593,270.12646851885216
131,274.03240388420227,281.45910716061593,270.12646851885216
132,273.9515274003781,281.45910716061593,270.12646851885216
133,273.5442019510693,281.45910716061593,270.12646851885216
134,273.2426914944668,281.45910716061593,270.12646851885216
135,272.9268258068143,281.45910716061593,270.12646851885216
136,272.631027219292,276.7334389948376,270.12646851885216
137,272.3529628214198,276.7334389948376,270.12646851885216
138,271.82031499611037,276.7334389948376,270.12646851885216
139,271.6094496404904,276.7334389948376,270.12646851885216
140,271.60654222098674,276.7334389948376,270.12646851885216
