Generation,Average_Fitness,Best_Fit,Worst_Fit
1,99.46,100,97
2,99.02,100,97
3,98.78,100,97
4,98.0,100,95
5,96.84,99,95
6,95.92,98,92
7,94.78,97,92
8,93.74,96,92
9,92.78,95,91
10,92.26,94,90
11,91.44,93,90
12,91.08,92,90
13,90.6,92,89
14,90.12,91,88
15,89.66,91,88
16,89.12,90,87
17,88.66,90,87
18,88.12,89,86
19,87.32,89,85
20,86.46,89,83
21,85.5,87,83
22,84.18,87,81
23,82.96,85,81
24,82.08,85,81
25,81.76,83,81
26,81.2,82,80
27,80.68,82,79
28,80.18,81,79
29,79.68,81,77
30,79.04,80,77
31,77.84,80,76
32,77.2,79,75
33,76.6,78,75
34,75.98,77,75
35,75.6,77,74
36,75.02,77,71
37,74.2,76,71
38,72.74,75,71
39,71.98,75,71
40,71.62,72,70
41,71.16,72,70
42,70.74,72,70
43,70.28,71,69
44,69.86,71,68
45,69.1,70,68
46,68.66,70,68
47,68.16,69,68
48,67.88,69,67
49,67.68,68,67
50,67.36,68,66
51,66.96,68,65
52,66.52,67,64
53,66.26,67,64
54,65.32,67,62
55,64.3,66,62
56,63.54,65,62
57,62.74,65,60
58,62.02,64,60
59,61.66,64,60
60,61.02,62,60
61,60.26,62,58
62,59.66,62,58
63,58.72,60,58
64,58.2,60,58
65,58.0,58,58
66,57.96,58,56
67,57.72,58,56
68,57.32,58,56
69,56.68,58,56
70,56.16,58,56
71,56.0,56,56
72,56.0,56,56
73,56.0,56,56
74,56.0,56,56
75,56.0,56,56
76,56.0,56,56
77,56.0,56,56
78,56.0,56,56
79,56.0,56,56
80,56.0,56,56
81,56.0,56,56
82,56.0,56,56
83,56.0,56,56
84,56.0,56,56
85,56.0,56,56
86,56.0,56,56
87,56.0,56,56
88,56.0,56,56
89,56.0,56,56
90,56.0,56,56
91,56.0,56,56
92,56.0,56,56
93,56.0,56,56
94,56.0,56,56
95,56.0,56,56
96,56.0,56,56
97,56.0,56,56
98,56.0,56,56
99,56.0,56,56
100,56.0,56,56
101,56.0,56,56
102,56.0,56,56
103,56.0,56,56
104,56.0,56,56
105,56.0,56,56
106,56.0,56,56
107,56.0,56,56
108,56.0,56,56
109,56.0,56,56
110,56.0,56,56
111,56.0,56,56
112,56.0,56,56
113,56.0,56,56
114,56.0,56,56
115,56.0,56,56
116,56.0,56,56
117,56.0,56,56
118,56.0,56,56
119,56.0,56,56
120,56.0,56,56
121,56.0,56,56
122,56.0,56,56
123,56.0,56,56
124,56.0,56,56
125,56.0,56,56
126,56.0,56,56
127,56.0,56,56
128,56.0,56,56
129,56.0,56,56
130,56.0,56,56
131,56.0,56,56
132,56.0,56,56
133,56.0,56,56
134,56.0,56,56
135,56.0,56,56
136,56.0,56,56
137,56.0,56,56
138,56.0,56,56
139,56.0,56,56
140,56.0,56,56
141,56.0,56,56
142,56.0,56,56
143,56.0,56,56
144,56.0,56,56
145,56.0,56,56
146,56.0,56,56
147,56.0,56,56
148,56.0,56,56
149,56.0,56,56
150,56.0,56,56
151,56.0,56,56
152,56.0,56,56
153,56.0,56,56
154,56.0,56,56
155,56.0,56,56
156,56.0,56,56
157,56.0,56,56
158,56.0,56,56
159,56.0,56,56
160,56.0,56,56
161,56.0,56,56
162,56.0,56,56
163,56.0,56,56
164,56.0,56,56
165,56.0,56,56
166,56.0,56,56
167,56.0,56,56
168,56.0,56,56
169,56.0,56,56
170,56.0,56,56
171,56.0,56,56
172,56.0,56,56
173,56.0,56,56
174,56.0,56,56
175,56.0,56,56
176,56.0,56,56
177,56.0,56,56
178,56.0,56,56
179,56.0,56,56
180,56.0,56,56
181,56.0,56,56
182,56.0,56,56
183,56.0,56,56
184,56.0,56,56
185,56.0,56,56
186,56.0,56,56
187,56.0,56,56
188,56.0,56,56
189,56.0,56,56
190,56.0,56,56
191,56.0,56,56
192,56.0,56,56
193,56.0,56,56
194,56.0,56,56
195,56.0,56,56
196,56.0,56,56
197,56.0,56,56
198,56.0,56,56
199,56.0,56,56
200,56.0,56,56
