Generation,Average_Fitness,Best_Fit,Worst_Fit
1,97.58,100,93
2,93.62,100,90
3,89.96,99,87
4,86.64,91,84
5,83.8,90,80
6,80.22,88,74
7,75.48,83,70
8,71.18,76,68
9,68.52,73,67
10,67.52,68,66
11,65.88,68,63
12,63.64,67,62
13,61.94,66,60
14,60.14,63,58
15,59.08,62,57
16,57.52,60,57
17,56.84,58,55
18,55.84,57,55
19,55.2,57,55
20,54.84,55,53
21,54.0,55,53
22,53.36,55,53
23,53.04,55,53
24,53.0,53,53
25,53.0,53,53
26,53.0,53,53
27,53.0,53,53
28,53.0,53,53
29,53.0,53,53
30,53.0,53,53
31,53.0,53,53
32,53.0,53,53
33,53.0,53,53
34,53.0,53,53
35,53.0,53,53
36,53.0,53,53
37,53.0,53,53
38,53.0,53,53
39,53.0,53,53
40,53.0,53,53
41,53.0,53,53
42,53.0,53,53
43,53.0,53,53
44,53.0,53,53
45,53.0,53,53
46,53.0,53,53
47,53.0,53,53
48,53.0,53,53
49,53.0,53,53
50,53.0,53,53
51,53.0,53,53
52,53.0,53,53
53,53.0,53,53
54,53.0,53,53
55,53.0,53,53
56,53.0,53,53
57,53.0,53,53
58,53.0,53,53
59,53.0,53,53
60,53.0,53,53
61,53.0,53,53
62,53.0,53,53
63,53.0,53,53
64,53.0,53,53
65,53.0,53,53
66,53.0,53,53
67,53.0,53,53
68,53.0,53,53
69,53.0,53,53
70,53.0,53,53
71,53.0,53,53
72,53.0,53,53
73,53.0,53,53
74,53.0,53,53
75,53.0,53,53
76,53.0,53,53
77,53.0,53,53
78,53.0,53,53
79,53.0,53,53
80,53.0,53,53
81,53.0,53,53
82,53.0,53,53
83,53.0,53,53
84,53.0,53,53
85,53.0,53,53
86,53.0,53,53
87,53.0,53,53
88,53.0,53,53
89,53.0,53,53
90,53.0,53,53
91,53.0,53,53
92,53.0,53,53
93,53.0,53,53
94,53.0,53,53
95,53.0,53,53
96,53.0,53,53
97,53.0,53,53
98,53.0,53,53
99,53.0,53,53
100,53.0,53,53
101,53.0,53,53
102,53.0,53,53
103,53.0,53,53
104,53.0,53,53
105,53.0,53,53
106,53.0,53,53
107,53.0,53,53
108,53.0,53,53
109,53.0,53,53
110,53.0,53,53
111,53.0,53,53
112,53.0,53,53
113,53.0,53,53
114,53.0,53,53
115,53.0,53,53
116,53.0,53,53
117,53.0,53,53
118,53.0,53,53
119,53.0,53,53
120,53.0,53,53
121,53.0,53,53
122,53.0,53,53
123,53.0,53,53
124,53.0,53,53
125,53.0,53,53
126,53.0,53,53
127,53.0,53,53
128,53.0,53,53
129,53.0,53,53
130,53.0,53,53
131,53.0,53,53
132,53.0,53,53
133,53.0,53,53
134,53.0,53,53
135,53.0,53,53
136,53.0,53,53
137,53.0,53,53
138,53.0,53,53
139,53.0,53,53
140,53.0,53,53
141,53.0,53,53
142,53.0,53,53
143,53.0,53,53
144,53.0,53,53
145,53.0,53,53
146,53.0,53,53
147,53.0,53,53
148,53.0,53,53
149,53.0,53,53
150,53.0,53,53
151,53.0,53,53
152,53.0,53,53
153,53.0,53,53
154,53.0,53,53
155,53.0,53,53
156,53.0,53,53
157,53.0,53,53
158,53.0,53,53
159,53.0,53,53
160,53.0,53,53
161,53.0,53,53
162,53.0,53,53
163,53.0,53,53
164,53.0,53,53
165,53.0,53,53
166,53.0,53,53
167,53.0,53,53
168,53.0,53,53
169,53.0,53,53
170,53.0,53,53
171,53.0,53,53
172,53.0,53,53
173,53.0,53,53
174,53.0,53,53
175,53.0,53,53
176,53.0,53,53
177,53.0,53,53
178,53.0,53,53
179,53.0,53,53
180,53.0,53,53
181,53.0,53,53
182,53.0,53,53
183,53.0,53,53
184,53.0,53,53
185,53.0,53,53
186,53.0,53,53
187,53.0,53,53
188,53.0,53,53
189,53.0,53,53
190,53.0,53,53
191,53.0,53,53
192,53.0,53,53
193,53.0,53,53
194,53.0,53,53
195,53.0,53,53
196,53.0,53,53
197,53.0,53,53
198,53.0,53,53
199,53.0,53,53
200,53.0,53,53
