Generation,Average_Fitness,Best_Fit,Worst_Fit
1,500.2497587888346,549.3538292180422,435.0428107089835
2,471.5230087199172,549.3538292180422,346.6621217555433
3,455.9564699744312,549.3538292180422,348.5569210069754
4,438.10051245558526,538.1971993951564,313.9354831038714
5,433.4039364243568,538.1971993951564,313.9354831038714
6,435.78760598274954,514.0581305200936,325.1949650963536
7,417.1684834850558,514.7840511003943,271.5766020458937
8,416.7408597074274,514.7840511003943,271.5766020458937
9,416.10517309180335,514.7840511003943,286.3429881311093
10,424.95564666621016,514.7840511003943,287.94889688032663
11,422.15388196441114,514.7840511003943,287.94889688032663
12,420.3609987512521,514.7840511003943,287.94889688032663
13,412.77895034675777,501.02562940344717,287.94889688032663
14,399.11485422819857,498.82354789840014,282.3898853527569
15,398.473941289188,504.3547571913902,282.3898853527569
16,401.47297695663093,504.3547571913902,282.3898853527569
17,409.4769469721424,524.0198691404075,282.3898853527569
18,430.3775289098858,516.7401987286053,357.8883486137977
19,418.8950155414402,516.7401987286053,317.01698452040523
20,414.80698921772523,524.0198691404075,301.63525879317734
21,405.2388580266901,524.0198691404075,301.63525879317734
22,393.540769694532,474.7569234233331,317.01698452040523
23,381.74388411724686,474.7569234233331,289.33459974280174
24,387.4855177707066,460.5856836015292,313.6465279579226
25,386.41500253635957,463.2360156216933,277.77027143750536
26,380.60790053083576,463.2360156216933,283.0126774727665
27,365.7674010922698,442.5087360903944,271.6011590915228
28,341.2077689166221,440.0778042061979,235.30001484935752
29,354.3164828829447,457.2084854186653,261.37521989424863
30,351.8082725202014,457.2084854186653,270.5226213205835
31,334.68590374964896,433.90445364060355,221.26990810280347
32,332.2362181323463,433.90445364060355,234.77622815566363
33,330.67824924203615,433.90445364060355,234.77622815566363
34,305.69937214680283,392.2285288927827,226.4415002483987
35,304.37400692934915,389.2133501178624,225.06666806723356
36,318.09832477688286,390.5681769618111,225.06666806723356
37,318.6290842261706,390.5681769618111,242.14801049155722
38,314.1419218656007,390.5681769618111,237.424118911996
39,298.5493989751727,377.80918763015313,208.73705307294694
40,292.47848380531036,377.80918763015313,206.54583112606886
41,295.8081419381722,398.7653277845771,206.54583112606886
42,299.16019194846257,398.7653277845771,206.54583112606886
43,293.09070499308956,398.7653277845771,214.3878966081421
44,292.9483231828891,383.8483073708448,214.3878966081421
45,291.46853367740994,383.8483073708448,218.83767858852792
46,289.1487567938591,383.8483073708448,204.12932063256784
47,268.4913421484405,377.80918763015313,205.18819384348575
48,258.7256460339414,377.80918763015313,196.41214045965881
49,270.52924585994083,377.80918763015313,198.79972787723273
50,257.888737987313,377.80918763015313,197.11488835408701
51,262.1802310900552,377.80918763015313,190.16918930631638
52,266.71359446580124,377.80918763015313,196.58980971944524
53,262.5928067539773,354.00533643126766,185.75198808265264
54,264.5376150673825,354.00533643126766,225.93155994222857
55,258.8673739526093,354.00533643126766,204.43308615935564
56,246.0053894939474,298.3217676124049,207.54551975073176
57,244.66192792644145,298.3217676124049,207.54551975073176
58,246.69141030130328,298.3217676124049,216.824458376808
59,245.9171581227646,298.3217676124049,220.8726996221171
60,253.0722818681714,299.12785006047267,198.93206634173129
61,251.8594175027041,299.12785006047267,198.93206634173129
62,250.21437766162768,299.12785006047267,198.086462820555
63,254.42595900220178,299.12785006047267,198.086462820555
64,244.58409057154725,298.3217676124049,193.27244538206793
65,239.69171169222287,280.6496907985009,191.6712488771236
66,231.57509270264623,280.6496907985009,172.43571028056155
67,226.1352411259689,280.6496907985009,182.24010399963387
68,232.34448189809427,280.6496907985009,182.24010399963387
69,236.66588758710938,280.6496907985009,202.70109310818407
70,242.02312520234267,282.68895301791196,205.2849627856807
71,245.88140700878148,291.9530994868952,208.2621411989266
72,242.32237946461956,291.9530994868952,204.77555615841163
73,244.85078716039186,291.9530994868952,207.29272502794282
74,246.07280090420676,291.9530994868952,201.90248328661093
75,246.9010760031197,291.9530994868952,201.90248328661093
76,240.53852904940337,280.55978521804104,189.7491397168189
77,235.5982771748724,280.55978521804104,189.7491397168189
78,234.92007650361847,280.55978521804104,198.93824625505124
79,237.04599161453535,280.55978521804104,198.93824625505124
80,239.71549490261015,280.55978521804104,198.93824625505124
81,237.7427565665163,280.55978521804104,198.93824625505124
82,239.2015792729315,280.55978521804104,198.93824625505124
83,235.34526761935237,280.55978521804104,187.1563568082773
84,232.28376982094676,280.55978521804104,186.01858116929571
85,239.0091049391759,281.5669986075738,181.53358656270058
86,237.21177305194269,280.55978521804104,187.94213198224185
87,248.10014724907742,280.55978521804104,197.0394017079814
88,247.63880082165122,287.347899790477,197.0394017079814
89,246.36478234651358,287.347899790477,198.1850194803708
90,240.86033461867177,287.347899790477,198.1850194803708
91,232.8714374820348,287.347899790477,197.254867513781
92,228.16091639352874,287.347899790477,206.29298725212527
93,222.96110629782564,243.58495850479417,206.29298725212527
94,220.8327719078511,243.80144416160843,200.95188576798168
95,222.48484726909965,243.80144416160843,202.24649086422517
96,218.54000944646356,237.05123780254445,198.1009335547731
97,217.18014750493066,249.35669478511616,186.35436405570505
98,212.67019600969746,239.18009516275723,184.7859471809316
99,215.68092833773986,239.18009516275723,184.7859471809316
100,214.12260320769414,239.18009516275723,184.7859471809316
101,217.08556054646178,239.18009516275723,188.99927716319831
102,217.79918090760538,238.45431203234997,188.99927716319831
103,216.78273373214518,238.41764435654116,188.99927716319831
104,215.74811533141505,238.41764435654116,178.99927716319831
105,218.75863208649267,241.9524515986897,182.39827038655878
106,217.82214846677053,241.9524515986897,182.39827038655878
107,215.19972266948176,241.9524515986897,182.39827038655878
108,220.02251262044535,244.33534025625957,193.86753623097414
109,218.30082235340316,242.34308397565678,192.95989766296245
110,217.6657752322909,242.34308397565678,198.8700583012743
111,221.81804382351086,248.02366053075582,198.8700583012743
112,223.99837605095732,248.33871942376544,198.8700583012743
113,221.93423991255102,248.02366053075582,197.7400299429432
114,221.34626518386025,248.02366053075582,197.7400299429432
115,223.62486942148433,248.02366053075582,197.7400299429432
116,229.0093478868416,261.88611659603185,197.7400299429432
117,228.01124906075248,261.88611659603185,201.93568455526434
118,228.8051965507361,243.41669091158187,201.93568455526434
119,226.6017059175564,241.88611659603188,207.1988818396247
120,225.81965914418626,243.55999430427184,201.28966713950393
121,224.60276477252347,242.09850409227724,201.28966713950393
122,222.91146747957953,241.15901655046767,200.895463505897
123,221.57716949719472,241.15901655046767,200.895463505897
124,216.896788000574,237.27357005558682,200.13382923479233
125,215.3671615214025,233.81889479943095,197.8281560438206
126,214.18040843991835,233.81889479943095,198.03633392508485
127,216.50606096177046,231.90213934014295,199.30655622301867
128,218.86495831788562,231.90213934014295,200.13382923479233
129,219.35857198585217,231.90213934014295,200.13382923479233
130,220.04221090785657,231.90213934014295,200.13382923479233
131,218.94504539147303,229.5130552378753,205.13382923479233
132,217.0943495444847,229.5130552378753,203.61125346649573
133,216.93705912400793,232.9598830829918,202.80460030709335
