Generation,Average_Fitness,Best_Fit,Worst_Fit
1,469.5487527839488,523.1905658204126,353.0006553572985
2,408.2778803632866,503.9206688095285,280.60778707025014
3,355.23766428277906,429.1585870211556,280.60778707025014
4,303.7276553344742,410.60849435780244,232.80893057739033
5,282.70909340273425,396.5256763018248,232.80893057739033
6,256.1089223441208,299.35371489984294,212.58453732599796
7,235.9629888987206,280.60778707025014,192.25008327704077
8,226.62174628987276,273.77346247215297,192.25008327704077
9,213.74849882058797,241.77223257483436,192.25008327704077
10,199.4730255277592,232.80893057739033,178.96909805137466
11,195.1782933230501,213.6202574214294,178.96909805137466
12,181.9723060622861,203.29004798999648,159.39835841736883
13,177.3886257381305,189.2266002539559,159.39835841736883
14,173.30728555414902,186.2120864825701,158.00406683572007
15,163.28980032762044,184.1603417928075,148.60555660088664
16,159.4673354034446,168.36823462081335,145.48027810467568
17,152.63679461083154,166.72553043719574,142.9778388833358
18,149.8773625719732,160.31857471220434,142.13867271963454
19,146.29371977907923,160.31857471220434,132.14447845283883
20,137.8319883589685,148.39503052515863,126.02734090887252
21,133.93817155332277,146.35030999942379,124.92656446111653
22,132.4907001272555,141.49489181607734,124.92656446111653
23,131.69730644366874,140.2450321011317,124.92656446111653
24,129.97096587822182,137.34718174256543,123.1750185316087
25,128.82726500929718,132.15683203575657,116.37280447766976
26,129.07976655244454,157.14447845283883,123.9406980278595
27,126.36558988767031,134.40684001984806,123.9406980278595
28,124.91771105502757,130.806835860462,122.05896650113765
29,125.23565226318169,137.17835504570883,123.58517159436796
30,124.58831171033715,144.57658490264907,116.37280447766976
31,123.85836510063697,132.14447845283883,115.04541372575662
32,121.96185839692221,132.14447845283883,116.37280447766976
33,119.0899434930981,123.9406980278595,116.2535814983961
34,118.53049284414654,123.66378555801975,116.37280447766976
35,118.11708122187156,133.66378555801978,113.66378555801975
36,116.41452872187791,121.37280447766976,113.66378555801975
37,115.80407924890775,121.37280447766976,113.66378555801975
38,115.25754392789214,118.66378555801977,113.66378555801975
39,116.19194416217016,128.66378555801978,113.66378555801975
40,115.37276513659012,136.37280447766975,111.04656555725566
41,115.58216513253026,136.1525093469926,111.04656555725566
42,114.87815573309395,136.1525093469926,111.04656555725566
43,113.30871305185451,116.10729322233354,111.04656555725566
44,113.42130803716978,128.75558447690565,111.04656555725566
45,112.39249280730937,115.94466285419263,111.04656555725566
46,112.75411908725253,123.3568459272518,110.94466285419263
47,111.89343288681019,116.10729322233354,108.26585542476576
48,111.76228612981565,116.10729322233354,108.26585542476576
49,111.61885342593385,125.94466285419261,108.26585542476576
50,110.04948610024759,113.22983804472561,108.22983804472561
51,109.6909509824561,110.94466285419263,108.22983804472561
52,109.89762427785669,120.94466285419261,108.22983804472561
53,109.45770351509834,120.94466285419261,108.22983804472561
54,108.06265123246489,110.94466285419263,105.57603712727563
55,107.82302309267075,115.57603712727563,105.46866104084276
56,107.22188570947982,115.57603712727563,105.46866104084276
57,107.38168163948482,115.57603712727563,105.46866104084276
58,107.11423580499492,120.57603712727563,105.52200709241056
59,107.08741600258868,120.57603712727563,102.83372226358551
60,106.12129966403548,120.57603712727563,102.86504970452407
61,105.8600751157451,117.91907973938912,102.86504970452407
62,104.99326251613347,113.22983804472561,102.86504970452407
63,104.69208391919983,115.57603712727563,102.86504970452407
64,105.6175737111672,115.5580244724507,102.86504970452407
65,105.44369912346606,125.52200709241058,102.86504970452407
66,106.43165159348827,122.87156861582848,102.86504970452407
67,105.50152478328206,117.87156861582848,102.86504970452407
68,104.74796898744425,117.87156861582848,102.86504970452407
69,103.14114627879925,105.52200709241056,102.86504970452407
70,102.87430142997889,102.91907973938913,102.86504970452407
71,103.53960168957033,117.9255986506935,102.86504970452407
72,103.20446735507484,107.87156861582847,102.86504970452407
73,103.2046846521183,112.87156861582848,102.86504970452407
74,103.20490194916178,107.87156861582847,102.87156861582847
75,103.03823528249512,107.87156861582847,102.87156861582847
76,102.87156861582845,102.87156861582847,102.87156861582847
77,102.87156861582845,102.87156861582847,102.87156861582847
78,103.53823528249512,112.87156861582848,102.87156861582847
79,103.37156861582845,112.87156861582848,102.87156861582847
80,103.37156861582845,112.87156861582848,102.87156861582847
81,103.87156861582845,112.87156861582848,102.87156861582847
82,104.03823528249512,112.87156861582848,102.87156861582847
83,103.87156861582845,117.87156861582848,102.87156861582847
84,102.87156861582845,102.87156861582847,102.87156861582847
85,103.03823528249512,107.87156861582847,102.87156861582847
86,103.37156861582845,107.87156861582847,102.87156861582847
87,103.37156861582845,107.87156861582847,102.87156861582847
88,103.20490194916178,112.87156861582848,102.87156861582847
89,104.20490194916178,127.87156861582847,102.87156861582847
90,103.37156861582845,117.87156861582848,102.87156861582847
91,103.70490194916178,112.87156861582848,102.87156861582847
92,103.87156861582845,107.87156861582847,102.87156861582847
93,103.53823528249512,112.87156861582848,102.87156861582847
94,102.87156861582845,102.87156861582847,102.87156861582847
95,103.37156861582845,112.87156861582848,102.87156861582847
96,103.53823528249512,117.87156861582848,102.87156861582847
97,103.37156861582845,107.87156861582847,102.87156861582847
98,102.87156861582845,102.87156861582847,102.87156861582847
99,103.03823528249512,107.87156861582847,102.87156861582847
100,103.53823528249512,112.87156861582848,102.87156861582847
101,103.70490194916178,122.87156861582848,102.87156861582847
102,103.20490194916178,107.87156861582847,102.87156861582847
103,103.70490194916178,112.87156861582848,102.87156861582847
104,104.20490194916178,112.87156861582848,102.87156861582847
105,104.03823528249512,112.87156861582848,102.87156861582847
106,103.53823528249512,107.87156861582847,102.87156861582847
107,103.70490194916178,107.87156861582847,102.87156861582847
108,103.70490194916178,107.87156861582847,102.87156861582847
109,103.20490194916178,107.87156861582847,102.87156861582847
110,103.20490194916178,107.87156861582847,102.87156861582847
111,103.20490194916178,112.87156861582848,102.87156861582847
112,103.87156861582845,112.87156861582848,102.87156861582847
113,105.37156861582845,117.87156861582848,102.87156861582847
114,104.03823528249512,112.87156861582848,102.87156861582847
115,103.37156861582845,107.87156861582847,102.87156861582847
116,102.87156861582845,102.87156861582847,102.87156861582847
117,102.87156861582845,102.87156861582847,102.87156861582847
118,102.87156861582845,102.87156861582847,102.87156861582847
119,103.87156861582845,117.87156861582848,102.87156861582847
120,103.03823528249512,107.87156861582847,102.87156861582847
121,103.03823528249512,107.87156861582847,102.87156861582847
122,102.87156861582845,102.87156861582847,102.87156861582847
123,102.87156861582845,102.87156861582847,102.87156861582847
124,103.20490194916178,112.87156861582848,102.87156861582847
125,102.87156861582845,102.87156861582847,102.87156861582847
126,103.53823528249512,117.87156861582848,102.87156861582847
127,103.03823528249512,107.87156861582847,102.87156861582847
128,103.53823528249512,122.87156861582848,102.87156861582847
129,103.70490194916178,122.87156861582848,102.87156861582847
130,102.87156861582845,102.87156861582847,102.87156861582847
131,103.03823528249512,107.87156861582847,102.87156861582847
132,103.20490194916178,107.87156861582847,102.87156861582847
133,103.03823528249512,107.87156861582847,102.87156861582847
134,104.03823528249512,117.87156861582848,102.87156861582847
135,102.87156861582845,102.87156861582847,102.87156861582847
136,102.87156861582845,102.87156861582847,102.87156861582847
137,102.87156861582845,102.87156861582847,102.87156861582847
138,103.1177628225145,107.87156861582847,102.87156861582847
139,103.6101512358866,112.87156861582848,102.87156861582847
140,103.20490194916178,112.87156861582848,102.87156861582847
141,103.03823528249512,107.87156861582847,102.87156861582847
142,103.03823528249512,107.87156861582847,102.87156861582847
143,103.03823528249512,107.87156861582847,102.87156861582847
144,104.03823528249512,122.87156861582848,102.87156861582847
145,103.37156861582845,107.87156861582847,102.87156861582847
146,103.20490194916178,107.87156861582847,102.87156861582847
147,103.20490194916178,107.87156861582847,102.87156861582847
148,103.03823528249512,107.87156861582847,102.87156861582847
149,103.20490194916178,107.87156861582847,102.87156861582847
150,102.87156861582845,102.87156861582847,102.87156861582847
151,103.03823528249512,107.87156861582847,102.87156861582847
152,102.87156861582845,102.87156861582847,102.87156861582847
153,102.87156861582845,102.87156861582847,102.87156861582847
154,103.37156861582845,112.87156861582848,102.87156861582847
155,103.87156861582845,122.87156861582848,102.87156861582847
156,103.03823528249512,107.87156861582847,102.87156861582847
157,103.03823528249512,107.87156861582847,102.87156861582847
158,103.70490194916178,112.87156861582848,102.87156861582847
159,103.03823528249512,107.87156861582847,102.87156861582847
160,102.87156861582845,102.87156861582847,102.87156861582847
161,102.87156861582845,102.87156861582847,102.87156861582847
162,103.03823528249512,107.87156861582847,102.87156861582847
163,103.20490194916178,107.87156861582847,102.87156861582847
164,103.03823528249512,107.87156861582847,102.87156861582847
165,103.53823528249512,122.87156861582848,102.87156861582847
166,104.70490194916178,142.87156861582847,102.87156861582847
167,103.03823528249512,107.87156861582847,102.87156861582847
168,103.53823528249512,117.87156861582848,102.87156861582847
169,102.87156861582845,102.87156861582847,102.87156861582847
170,103.03823528249512,107.87156861582847,102.87156861582847
171,102.87156861582845,102.87156861582847,102.87156861582847
172,103.03823528249512,107.87156861582847,102.87156861582847
173,102.87156861582845,102.87156861582847,102.87156861582847
174,102.95187678474036,105.28081368318603,102.87156861582847
175,103.2852101180737,107.87156861582847,102.87156861582847
176,104.37156861582845,117.87156861582848,102.87156861582847
177,103.87156861582845,117.87156861582848,102.87156861582847
178,102.78455794570385,102.87156861582847,100.26124851209048
179,103.69739859678741,120.25678814833545,100.26124851209048
180,103.11789127903718,112.87156861582848,100.26124851209048
