Generation,Average_Fitness,Best_Fit,Worst_Fit
1,96.46666666666667,100,91
2,95.86666666666666,100,91
3,95.56666666666666,100,91
4,95.63333333333334,100,91
5,95.7,100,91
6,95.36666666666666,99,88
7,94.43333333333334,99,89
8,94.13333333333334,99,89
9,94.0,99,89
10,94.1,99,89
11,93.96666666666667,99,89
12,93.2,99,89
13,92.56666666666666,99,87
14,91.96666666666667,99,87
15,91.43333333333334,99,84
16,91.4,99,84
17,91.03333333333333,99,85
18,91.3,99,85
19,91.4,99,85
20,91.06666666666666,99,85
21,90.83333333333333,99,85
22,90.26666666666667,99,83
23,89.76666666666667,96,85
24,89.3,96,83
25,88.06666666666666,96,82
26,87.4,96,82
27,87.23333333333333,96,82
28,87.1,96,81
29,86.5,96,79
30,86.16666666666667,96,79
31,86.6,96,79
32,86.73333333333333,96,79
33,86.53333333333333,96,79
34,85.93333333333334,96,79
35,85.8,96,79
36,85.83333333333333,96,79
37,85.53333333333333,96,78
38,85.03333333333333,92,78
39,84.06666666666666,92,77
40,84.2,91,79
41,83.43333333333334,91,78
42,83.2,91,78
43,82.5,87,75
44,82.53333333333333,87,75
45,82.9,87,75
46,82.3,87,75
47,82.46666666666667,87,75
48,82.03333333333333,87,78
49,82.03333333333333,87,78
50,81.5,87,76
51,81.9,87,76
52,81.73333333333333,87,76
53,81.7,84,76
54,81.33333333333333,84,76
55,81.23333333333333,84,76
56,80.7,84,73
57,80.7,85,73
58,80.26666666666667,85,73
59,79.66666666666667,85,73
60,79.5,85,73
61,79.4,85,73
62,79.13333333333334,85,73
63,79.33333333333333,85,73
64,79.23333333333333,85,70
65,79.16666666666667,84,70
66,78.5,83,70
67,78.46666666666667,83,70
68,79.06666666666666,83,70
69,79.03333333333333,83,70
70,78.56666666666666,83,68
71,78.6,83,68
72,78.5,83,68
73,77.43333333333334,83,68
74,76.06666666666666,82,68
75,76.8,82,68
76,76.76666666666667,82,69
77,76.73333333333333,82,69
78,76.7,82,69
79,76.5,82,69
80,76.73333333333333,82,69
81,76.53333333333333,82,69
82,76.53333333333333,81,73
83,76.53333333333333,81,73
84,76.26666666666667,80,71
85,76.13333333333334,80,71
86,75.8,80,71
87,75.86666666666666,80,72
88,75.96666666666667,80,73
89,75.83333333333333,78,73
90,75.76666666666667,78,73
91,75.83333333333333,79,72
92,76.1,79,72
93,75.7,79,70
94,75.33333333333333,79,70
95,75.1,78,70
96,75.43333333333334,78,71
97,75.26666666666667,78,70
98,75.6,78,71
99,75.3,78,71
100,75.53333333333333,78,71
101,75.03333333333333,78,67
102,75.1,78,72
103,74.53333333333333,78,70
104,74.33333333333333,77,69
105,73.8,77,69
106,73.26666666666667,77,69
107,73.4,77,69
108,73.03333333333333,76,69
109,73.2,76,69
110,73.56666666666666,76,69
111,73.3,76,69
112,72.93333333333334,76,69
113,72.96666666666667,76,68
114,73.4,76,69
115,73.33333333333333,76,69
116,73.26666666666667,76,69
117,73.03333333333333,75,69
118,72.36666666666666,76,69
119,72.46666666666667,76,70
120,72.0,76,68
121,71.76666666666667,75,68
122,71.6,75,68
123,71.6,75,68
124,71.73333333333333,75,68
125,71.66666666666667,75,68
126,72.1,76,68
127,72.06666666666666,76,69
128,71.6,76,69
129,71.6,76,69
130,71.2,76,69
131,70.8,76,69
132,70.56666666666666,74,69
133,70.5,74,69
134,70.23333333333333,74,67
135,70.66666666666667,74,69
136,70.7,74,69
137,70.63333333333334,74,68
138,70.6,73,68
139,70.36666666666666,73,68
140,70.26666666666667,72,68
141,70.1,72,68
142,69.93333333333334,72,68
143,70.06666666666666,72,68
144,70.03333333333333,72,68
145,69.86666666666666,72,68
146,70.1,72,68
147,70.0,72,68
148,69.73333333333333,72,68
149,69.4,72,68
150,69.4,72,67
151,69.4,72,67
152,69.4,72,67
153,69.5,72,66
154,69.36666666666666,72,67
155,69.23333333333333,71,66
156,69.13333333333334,71,66
157,69.2,71,66
158,69.06666666666666,71,66
159,69.03333333333333,71,65
160,69.1,72,65
161,69.06666666666666,72,65
162,69.1,71,65
163,68.86666666666666,71,65
164,68.5,71,65
165,68.86666666666666,71,66
166,69.46666666666667,71,66
167,69.5,71,66
168,69.33333333333333,71,66
169,69.16666666666667,71,66
170,69.16666666666667,71,67
171,69.36666666666666,71,67
172,69.3,71,67
173,68.83333333333333,71,66
174,69.16666666666667,71,67
175,68.73333333333333,71,66
176,68.96666666666667,71,67
177,69.03333333333333,71,67
178,68.8,71,67
179,68.53333333333333,71,66
180,68.23333333333333,73,66
181,68.23333333333333,73,66
182,68.33333333333333,71,66
183,68.23333333333333,72,66
184,68.4,72,66
185,68.33333333333333,72,66
186,68.36666666666666,73,66
187,68.3,73,66
188,68.36666666666666,73,66
189,68.33333333333333,71,66
190,68.26666666666667,71,65
191,68.2,71,65
192,68.36666666666666,71,65
193,68.5,72,65
194,68.23333333333333,71,65
195,68.13333333333334,71,65
196,68.2,71,66
197,68.4,72,64
198,68.36666666666666,72,64
199,68.23333333333333,72,64
200,67.9,72,64
