Generation,Average_Fitness,Worst_Fit,Best_Fit
1,970.6357522372396,1087.3953342623167,818.8853902293247
2,947.5680862461725,1065.1609204919396,715.7900535504714
3,946.5718885274562,1075.8958647677628,715.7900535504714
4,920.2451033683566,1075.8958647677628,715.7900535504714
5,902.7558480544724,1075.8958647677628,638.6386206484083
6,878.2484208035635,1075.8958647677628,628.3252825145167
7,856.932940918405,1059.455844540569,566.7958166157478
8,853.8788250371416,1059.455844540569,587.7585147201992
9,829.70705366589,1059.455844540569,587.7585147201992
10,817.7305743165845,1059.455844540569,587.7585147201992
11,792.9114660211122,1025.4603502338332,587.7585147201992
12,817.9840101074103,1030.6325982678368,573.5084368013186
13,820.3699843542411,1025.4603502338332,555.59642073895
14,790.7456395338642,1023.2515153931032,546.650872109064
15,806.7915701373263,983.4494027238353,607.9868259823393
16,795.000337138008,983.4494027238353,586.5424365336019
17,806.0914919547854,983.4494027238353,586.5424365336019
18,803.6177216070288,983.4494027238353,620.4989030322669
19,816.4581201640455,983.4494027238353,620.4989030322669
20,808.5506448735476,983.4494027238353,639.0031951686486
21,794.3232261277203,1023.9288921541845,561.1117886458818
22,768.8023041288795,979.7069142657654,561.1117886458818
23,774.7050904099592,979.7069142657654,561.1117886458818
24,786.702455845482,979.6183196867429,633.9395439539154
25,776.6289343650146,959.8089015700542,539.7671403255415
26,772.6436440200418,959.8089015700542,581.236277865254
27,757.932606738315,912.1707412579838,557.183652746448
28,741.6754270363776,912.1707412579838,536.6983885021351
29,736.9093521498588,912.1707412579838,536.6983885021351
30,730.3466519597661,912.1707412579838,488.51981232726376
31,705.0617578799303,912.1707412579838,448.79980073680656
32,685.3355941040904,912.1707412579838,430.1150310746995
33,673.6825454643254,799.4856309757402,492.08897585015507
34,667.4904095610652,799.4856309757402,492.08897585015507
35,665.898997569482,799.4856309757402,492.08897585015507
36,655.9589525854583,800.4509015053536,469.83043785268796
37,673.9849687017346,807.8113264047166,469.83043785268796
38,664.8362324757647,807.8113264047166,469.83043785268796
39,655.8576220161207,775.7339866750867,483.52711266664096
40,631.8774098687587,775.7339866750867,448.6989147091309
41,622.7484953728836,786.8262932351437,469.57399013777496
42,600.198330335816,751.3056491996462,469.57399013777496
43,589.8136764591203,751.3056491996462,474.56631506981256
44,577.8185724709671,751.3056491996462,474.56631506981256
45,563.9944754790433,751.3056491996462,464.69212217735134
46,552.2506274736262,751.3056491996462,437.9251371435811
47,537.7122435296127,751.3056491996462,437.9251371435811
48,536.0130215046223,751.3056491996462,458.8294501657334
49,516.2366883700928,643.9007098852486,434.30375844956916
50,511.73848606200886,643.9007098852486,380.0199588008188
51,524.8138305601758,643.9007098852486,378.350364179687
52,526.4704920884254,643.9007098852486,430.33191797306733
53,505.8660856778831,641.4462002595812,378.2933062903949
54,481.3724651858919,641.4462002595812,357.3759683849423
55,473.14439400844265,641.4462002595812,366.6010901719412
56,455.2298135886368,641.4462002595812,371.1057766284558
57,453.53462795656884,584.1515599994048,378.2933062903949
58,448.18083966152847,566.4464339187566,354.13767489772897
59,444.22446424372635,566.4464339187566,354.13767489772897
60,455.66230416918484,566.4464339187566,384.5282540929874
61,450.895035298216,548.187581475708,387.50476186048354
62,453.33906168997333,548.187581475708,359.8575003046086
63,435.4494756311989,548.187581475708,361.29523688405874
64,435.63239764271316,496.4062399954925,376.62572379920914
65,441.41437166167464,496.4062399954925,379.70964780125837
66,435.5525466041748,494.1960408494672,370.40146041742975
67,430.8413375569104,494.1960408494672,378.9524721749209
68,422.85653648148525,489.3958327360895,377.6719834276649
69,415.3108184646073,480.2060053389205,326.3915686398825
70,413.7746064560976,480.2060053389205,326.3915686398825
71,406.7581230709673,465.06148256982846,326.3915686398825
72,396.07062400101967,465.06148256982846,326.3915686398825
73,388.74256104516775,453.8747654627113,331.61927154784945
74,391.4716727425829,451.04873252740185,321.70144062764683
75,386.75102816427295,443.1121980841896,314.8260429638201
76,385.31996373497947,432.1318590424851,328.0648994148628
77,379.9109789958708,432.1318590424851,328.0648994148628
78,372.0519139947632,418.2032833280042,327.28126071572626
79,364.31175596252007,411.34303186540126,322.1054918013403
80,361.07614114171224,411.34303186540126,321.55765162601307
81,361.6139538497447,411.34303186540126,321.3896006321956
82,361.2540076033751,411.34303186540126,332.51938890062684
83,354.19539228775596,395.60812796596343,329.4654509491003
84,351.37703276595687,395.60812796596343,313.27692011263173
85,344.4544447039591,381.0468510961956,306.9464475549031
86,344.49457059780383,382.9147534233964,306.9464475549031
87,343.2088409240231,382.9147534233964,322.7167250964126
88,343.1612001193675,382.9147534233964,306.85027043515396
89,343.6430594395611,382.9147534233964,312.99124179589614
90,344.9150919208511,382.9147534233964,314.98008847060606
91,345.8219072997828,403.24284592806623,302.18064985691655
92,347.22645108698697,403.24284592806623,302.18064985691655
93,347.0822127253121,403.24284592806623,302.18064985691655
94,340.8139480592962,403.24284592806623,302.18064985691655
95,336.72913904341357,403.24284592806623,302.18064985691655
96,336.00138468797894,362.2670775780874,299.2975327497301
97,333.13176643822305,362.2670775780874,297.9232189383198
98,330.3085755952698,356.7171194795191,297.9232189383198
99,328.77811198628297,349.3872941963179,299.9943856464131
100,326.9013935031062,353.9064013785828,303.13141686927725
101,327.1811991503602,353.9064013785828,305.8127516937302
102,324.22374343005396,353.9064013785828,305.8127516937302
103,322.9530800975982,343.8370167990313,298.79857807059483
104,321.59894758400435,343.8370167990313,302.3173326573475
105,322.33842997583264,343.8370167990313,301.20859174151497
106,321.32438612488005,343.8370167990313,304.32032106407536
107,319.4801690861851,343.8370167990313,303.1598213038033
108,319.4739823102308,343.8370167990313,296.4591332179871
109,321.21933443278465,343.8370167990313,303.43579858726804
110,320.756793487909,342.0822690876167,304.36306491786104
111,318.2255412558712,342.0822690876167,301.69900845560414
112,318.155476667764,335.1371410660329,301.69900845560414
113,316.34217868160664,331.1224369610557,296.487437996948
114,315.22854599433754,331.1224369610557,296.487437996948
115,311.2990624896026,327.33882913815347,300.0763866271293
116,310.5742315714119,326.4539687760043,297.62953799144105
117,310.2242790986296,321.1580383006365,297.62953799144105
118,310.10625841129445,321.1580383006365,297.62953799144105
119,309.95320121975794,321.1580383006365,297.62953799144105
120,307.2224097558375,317.4103583841349,296.4584768352548
121,305.04579252194566,311.9015605796499,296.0025528085621
122,302.6803790649081,311.9015605796499,296.0025528085621
123,303.9667342268911,311.9015605796499,296.0025528085621
124,302.0291886496008,311.9015605796499,281.67971097158477
125,301.4257290621676,311.9015605796499,288.28304764975064
126,302.0550180411484,312.1636960609653,291.1456279440502
127,301.76858893210215,312.45007741660356,290.45119591966363
128,299.21823777358924,312.45007741660356,290.45119591966363
129,299.12668951141296,312.45007741660356,289.03013332241306
130,297.99891015480864,312.45007741660356,284.8676322394215
131,297.50431242805945,312.45007741660356,284.8676322394215
132,297.008077539911,312.45007741660356,284.8676322394215
133,297.24265783542694,312.45007741660356,284.50305980412077
134,297.8789691211615,312.45007741660356,282.5905149120497
135,297.16461064926983,312.45007741660356,282.0383383264303
136,297.34500463429066,312.1636960609653,282.0383383264303
137,297.3009287447103,310.41772616970115,288.1200669914011
138,296.70950523949057,310.41772616970115,288.1200669914011
139,295.93194795387654,310.41772616970115,288.1200669914011
140,295.87506834730186,310.41772616970115,288.1200669914011
141,296.158293668307,310.41772616970115,288.3636702998892
142,296.24820607367957,308.29780790918454,288.9544576943349
143,297.0423219767898,308.29780790918454,288.9544576943349
144,297.71107175620546,307.88437237629995,288.9544576943349
145,296.3226886520286,307.88437237629995,288.9544576943349
146,296.0579559251548,307.88437237629995,288.9544576943349
147,295.3881339579653,307.88437237629995,286.0904792891986
148,296.3815040066901,307.88437237629995,286.0904792891986
149,296.23559181406796,307.88437237629995,286.4904884911083
150,296.9293212967322,307.88437237629995,286.4904884911083
151,297.3907737105052,307.88437237629995,287.5043389089029
152,298.692449400411,307.88437237629995,287.5043389089029
153,298.4048739348971,307.88437237629995,287.5043389089029
154,298.1691038224653,307.88437237629995,287.5043389089029
155,298.70761604867715,305.1729481234559,287.5043389089029
156,299.18866273111394,305.1729481234559,292.613345515749
157,299.2825962794587,305.1729481234559,291.93616262868
158,298.72515474147167,305.1729481234559,291.93616262868
159,299.228146224084,305.1729481234559,291.93616262868
160,299.13407542264383,305.1729481234559,293.6202491603128
161,298.3942970243955,303.1554680108178,293.6202491603128
162,297.6280512611922,303.1554680108178,289.5261683263411
163,297.4123227139366,303.1554680108178,289.5261683263411
164,297.3018214549391,300.63627296144125,289.38414252842966
165,297.1126101840967,302.0589590152329,288.0000944429197
166,296.4291584330849,302.58792951511606,288.0000944429197
167,295.8493837502732,302.58792951511606,286.4219668003947
168,295.7751024889727,302.0589590152329,288.0000944429197
169,295.3600226161632,300.9167619251971,290.18223841054817
170,295.80732516812867,301.11546079430883,289.96003075914405
171,295.4068230656286,301.11546079430883,288.18124777215303
172,295.174620184711,301.11546079430883,288.18124777215303
173,295.5495277691305,301.11546079430883,288.18124777215303
174,295.343429398925,301.11546079430883,288.18124777215303
175,294.86090641331526,301.11546079430883,286.3919521663695
176,293.6161253770241,300.9167619251971,286.3919521663695
177,294.6036975252649,300.9167619251971,288.18124777215303
178,294.4193244627875,305.5431666035584,286.2189958984005
179,293.61127256577424,305.5431666035584,286.2189958984005
180,293.2707807919365,305.5431666035584,286.2189958984005
181,293.27178794188035,304.9707684015999,286.2189958984005
182,292.5463338401588,304.9707684015999,283.4133089734124
183,292.28587431850445,300.24672374237457,283.4133089734124
184,291.869430923582,299.91604689077656,283.4133089734124
185,292.1978119539307,299.91604689077656,283.4133089734124
186,290.61832494095205,299.91604689077656,281.63250705079736
187,290.98482747092146,299.91604689077656,283.21655155353693
188,290.59361655064475,299.91604689077656,281.52560942986145
189,289.1800216566347,299.91604689077656,281.52560942986145
190,289.88318680809977,299.91604689077656,281.52560942986145
191,290.74820412821816,299.91604689077656,279.94443732167116
192,290.0477055011774,300.01716833786077,280.0455587687553
193,289.86977126410903,300.01716833786077,280.18004021829455
194,291.7360216932945,300.01716833786077,280.3092346865203
195,291.4624753055803,300.01716833786077,280.3092346865203
196,292.89296358414356,302.53143978596506,284.25002790261686
197,293.16551719212305,302.53143978596506,284.0904006608511
198,294.0204820728613,302.53143978596506,284.25002790261686
199,294.2437788358359,302.53143978596506,289.4754133532912
200,294.14987351008574,302.53143978596506,289.4754133532912
